date,rno,rname,nichime,kimarite,wdir,wspd,santan,payout,ninki,win_course,win_teiban,zenzuke
2025-08-10,3,一般戦,5,まくり,南,3,4-3-6,2540,4,4,4,0
2025-08-10,4,一般戦,5,まくり,南,4,3-5-2,1650,3,3,3,0
2025-08-10,5,一般戦,5,まくり差し,南,5,5-1-3,157650,113,5,5,0
2025-08-10,6,一般戦,5,逃げ,南,3,1-4-2,1140,2,1,1,0
2025-08-10,7,一般戦,5,逃げ,南,3,1-5-2,1540,6,1,1,0
2025-08-10,8,一般戦,5,まくり,南,2,3-6-2,7320,29,3,3,0
2025-08-10,9,一般戦,5,逃げ,南,3,1-2-4,730,1,1,1,0
2025-08-10,10,準優勝戦,5,逃げ,南,4,1-4-5,2120,8,1,1,0
2025-08-10,11,準優勝戦,5,まくり差し,南,3,3-1-2,2470,9,3,3,0
2025-08-10,12,準優勝戦,5,逃げ,南,3,1-3-5,1520,5,1,1,0
2025-08-11,1,一般戦,6,まくり,南西,5,2-3-1,4070,15,2,2,0
2025-08-11,2,一般戦,6,差し,南西,6,2-1-5,5580,25,2,2,0
2025-08-11,3,一般戦,6,まくり差し,南,6,3-4-5,29620,83,3,3,0
2025-08-11,4,一般戦,6,まくり差し,南,6,3-2-5,11010,55,3,3,0
2025-08-11,5,ウインウイン,6,まくり,南,8,4-5-6,5990,24,4,4,0
2025-08-11,6,一般戦,6,逃げ,南西,8,1-2-3,3330,11,1,1,0
2025-08-11,7,ウインウイン,6,まくり,南,6,2-4-1,8800,34,2,2,0
2025-08-11,8,一般戦,6,差し,南,6,2-3-1,2200,8,2,2,0
2025-08-11,9,戸田特選,6,逃げ,南,8,1-5-6,1440,4,1,1,0
2025-08-11,10,選抜戦,6,逃げ,南,8,1-5-2,14810,55,1,1,0
2025-08-11,11,選抜戦,6,抜き,南,7,3-1-5,7660,25,3,3,0
2025-08-11,12,優勝戦,6,まくり,南,8,2-1-6,8820,31,2,2,0
2025-08-14,1,予選,1,まくり差し,南東,1,4-3-6,16350,50,4,4,0
2025-08-14,2,予選,1,抜き,南東,1,1-3-6,1850,3,1,1,0
2025-08-14,3,予選,1,差し,無,0,2-4-3,5430,20,2,2,0
2025-08-14,4,予選,1,まくり,無,0,3-4-2,2370,9,3,3,0
2025-08-14,5,ウインウイン,1,差し,西,2,2-1-3,24340,51,2,2,0
2025-08-14,6,予選,1,まくり差し,無,0,5-1-2,2750,10,5,5,0
2025-08-14,7,ウインウイン,1,逃げ,無,0,1-4-2,1530,8,1,1,0
2025-08-14,8,予選,1,逃げ,無,0,1-2-3,3710,16,1,1,0
