ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,3436,5,2,1,1,1,0,0,0.05,1,0,0,0,0,0,0,0,0,0
2025-07,3439,11,7,1,1,2,0,0,0.26,2,1,0,0,0.23,1,0,0,0,0
2025-07,3441,12,7,2,0,5,0,0,1.05,5,0,0,0,0,0,0,0,0,0
2025-07,3442,7,5,1,0,1,0,0,0.11,1,1,0,0,0.23,1,0,0,0,0
2025-07,3444,6,1,0,0,1,0,0,0.1,1,2,0,0,0.14,1,0,0,0,0
2025-07,3445,8,4,1,0,2,1,0,0.23,2,0,0,0,0,0,0,0,0,0
2025-07,3448,3,3,1,1,1,0,0,0.29,1,0,0,0,0,0,0,0,0,0
2025-07,3454,4,3,1,1,0,0,0,0,0,1,0,0,0.13,1,0,0,0,0
2025-07,3455,10,1,2,0,0,0,0,0,0,3,0,0,0.76,3,0,0,0,0
2025-07,3459,10,2,1,0,1,0,0,0.13,1,3,0,1,0.44,3,0,0,0,0
2025-07,3461,3,0,0,0,0,0,0,0,0,1,0,0,0.33,1,0,0,0,0
2025-07,3462,8,3,1,1,3,0,0,0.4,3,1,0,0,0.16,1,0,0,0,0
2025-07,3463,2,1,0,0,0,0,0,0,0,1,1,0,0.27,1,0,0,0,0
2025-07,3470,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3471,10,4,1,1,0,0,0,0,0,1,0,0,0.12,1,0,0,0,0
2025-07,3473,11,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3474,10,6,3,2,2,1,0,0.23,2,2,0,0,0.47,2,1,0,2,0
2025-07,3477,3,1,0,0,1,0,0,0.16,1,0,0,0,0,0,0,0,0,0
2025-07,3478,10,3,1,0,2,0,0,0.32,2,2,0,0,0.34,2,0,0,0,0
2025-07,3482,10,6,2,1,1,0,0,0.18,1,2,0,1,0.36,2,0,0,0,0
2025-07,3484,11,7,2,2,1,0,0,0.15,1,1,0,0,0.12,1,0,0,0,0
2025-07,3489,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3497,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3499,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3502,8,5,2,2,3,0,0,0.56,3,0,0,0,0,0,0,0,0,0
2025-07,3503,8,4,2,0,1,1,1,0.19,1,1,0,0,0.24,1,0,0,0,0
2025-07,3505,5,3,1,0,1,0,0,0.05,1,1,0,0,0.09,1,0,0,0,0
2025-07,3507,7,1,1,1,1,0,0,0.28,1,0,0,0,0,0,0,0,0,0
2025-07,3509,3,1,0,0,1,0,0,0.12,1,0,0,0,0,0,0,0,0,0
2025-07,3516,9,6,2,0,2,0,0,0.28,2,1,0,0,0.24,1,0,0,0,0
2025-07,3517,8,6,3,3,1,0,0,0.05,1,2,0,1,0.34,2,0,0,0,0
2025-07,3518,9,1,1,0,2,0,0,0.3,2,1,0,0,0.33,1,0,0,0,0
2025-07,3519,7,2,2,2,2,0,0,0.51,2,1,0,0,0.24,1,0,0,0,0
2025-07,3523,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3527,10,8,2,2,2,1,1,0.25,2,1,0,0,0.33,1,0,0,0,0
2025-07,3528,10,6,1,0,2,0,0,0.25,2,1,0,0,0.16,1,0,0,0,0
2025-07,3532,10,9,2,1,1,0,0,0.02,1,0,0,0,0,0,0,0,0,0
2025-07,3535,11,4,1,0,2,0,0,0.29,2,2,0,0,0.28,2,0,0,0,0
2025-07,3538,5,1,1,0,1,0,0,0.18,1,1,0,0,0.2,1,0,0,0,0
