登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
4864,小川日紀太,36.3,22,4.5,0.0,4.5,13.0,-5.1,4.3,0.169,1,0.0
4953,尾上雅也,67.6,40,12.5,17.5,30.0,37.0,-5.1,12.8,0.146,3,33.3
5294,豊田祥生,27.9,32,3.1,0.0,3.1,10.6,-5.1,3.0,0.168,1,0.0
5305,伊藤栞,15.5,27,0.0,0.0,0.0,7.9,-5.1,0.9,0.187,0,
3912,川原正明,55.1,41,2.4,14.6,17.1,24.2,-5.2,3.8,0.15,2,0.0
4150,山田雄太,57.3,41,2.4,14.6,17.1,24.2,-5.2,3.8,0.137,2,50.0
4366,前沢丈史,68.4,37,8.1,21.6,29.7,37.0,-5.2,9.6,0.173,3,0.0
4411,沢田昭宏,53.1,46,6.5,10.9,17.4,24.2,-5.2,6.8,0.171,0,
4427,秦英悟,64.8,34,17.6,8.8,26.5,34.0,-5.2,15.7,0.135,1,100.0
4445,宮地元輝,57.1,46,2.2,15.2,17.4,24.2,-5.2,3.5,0.113,0,
4495,森晋太郎,58.8,29,6.9,13.8,20.7,28.6,-5.2,7.5,0.143,1,0.0
4857,加藤翔馬,70.5,37,8.1,21.6,29.7,37.0,-5.2,9.6,0.188,3,33.3
3334,角ひとみ,54.2,36,2.8,13.9,16.7,24.2,-5.3,4.2,0.206,0,
3618,海野ゆかり,61.2,42,7.1,14.3,21.4,28.6,-5.3,7.6,0.218,0,
3664,鈴木賢一,46.2,31,6.5,3.2,9.7,17.6,-5.3,6.0,0.22,5,0.0
3932,池田浩美,43.6,31,6.5,3.2,9.7,17.6,-5.3,6.0,0.205,0,
3990,芹澤克彦,39.5,33,3.0,6.1,9.1,16.8,-5.3,3.6,0.178,0,
4395,下河雅史,44.6,39,5.1,5.1,10.3,17.6,-5.3,5.1,0.196,5,20.0
4510,坂本奈央,23.5,15,0.0,0.0,0.0,10.7,-5.3,1.8,0.24,0,
4740,齋藤達希,43.2,31,3.2,6.5,9.7,17.6,-5.3,3.8,0.195,3,33.3
4790,柳内敬太,63.6,48,6.2,20.8,27.1,34.0,-5.3,7.5,0.189,2,0.0
5178,成貞琳平,34.8,36,2.8,2.8,5.6,13.0,-5.3,3.1,0.24,4,0.0
4853,前原哉,35.8,23,0.0,4.3,4.3,13.0,-5.3,1.5,0.235,0,
4402,乙藤智史,57.8,38,5.3,15.8,21.1,28.6,-5.4,6.3,0.202,0,
3054,北川幸典,52.8,31,3.2,12.9,16.1,24.2,-5.5,4.6,0.209,0,
3563,堤昇,55.2,15,13.3,0.0,13.3,24.2,-5.5,10.4,0.149,2,0.0
3564,桑原啓,41.1,25,4.0,4.0,8.0,16.8,-5.5,4.3,0.142,0,
3951,石川吉鎬,47.7,29,0.0,13.8,13.8,22.1,-5.5,2.3,0.216,0,
3995,重野哲之,64.2,31,6.5,19.4,25.8,34.0,-5.5,8.0,0.136,5,40.0
4253,西川真人,37.5,24,0.0,4.2,4.2,13.0,-5.5,1.5,0.205,1,0.0
4358,松本庸平,35.8,24,0.0,4.2,4.2,13.0,-5.5,1.5,0.232,0,
4403,木下大將,64.0,31,3.2,22.6,25.8,34.0,-5.5,5.9,0.161,2,50.0
4951,新田洋一,50.2,35,2.9,11.4,14.3,22.1,-5.5,4.0,0.141,0,
4997,濱崎寿里矢,26.5,16,0.0,0.0,0.0,10.7,-5.5,1.7,0.237,1,0.0
5210,藤井公人,51.3,35,5.7,8.6,14.3,22.1,-5.5,6.0,0.153,1,0.0
5336,瀬川大地,20.7,31,0.0,0.0,0.0,8.2,-5.5,0.5,0.189,2,0.0
3484,芝田浩治,59.9,34,5.9,14.7,20.6,28.6,-5.6,6.8,0.196,3,0.0
4950,高岡竜也,62.0,34,5.9,14.7,20.6,28.6,-5.6,6.8,0.172,0,
4988,牟田奨太,35.6,38,2.6,2.6,5.3,13.0,-5.6,3.0,0.177,0,
5265,大廣咲季,26.5,36,2.8,0.0,2.8,10.7,-5.6,3.0,0.172,0,
4042,丸岡正典,62.8,49,12.2,14.3,26.5,34.0,-5.7,12.0,0.212,3,66.7
4420,津久井拓也,57.0,37,8.1,8.1,16.2,24.2,-5.7,7.9,0.194,3,66.7
4601,森野正弘,69.4,41,9.8,19.5,29.3,37.0,-5.7,10.7,0.13,0,
4681,太田潮,34.5,25,0.0,4.0,4.0,13.0,-5.7,1.4,0.218,1,0.0
4969,町田洸希,46.5,24,0.0,8.3,8.3,17.6,-5.7,2.0,0.208,0,
3776,横井健太,20.9,36,0.0,0.0,0.0,8.2,-5.8,0.5,0.197,2,0.0
3784,中島友和,50.9,30,0.0,13.3,13.3,22.1,-5.8,2.2,0.167,0,
4167,片岡秀樹,38.0,44,4.5,4.5,9.1,16.8,-5.8,4.6,0.159,0,
4294,古賀繁輝,68.1,38,13.2,15.8,28.9,37.0,-5.8,13.2,0.139,1,0.0
4479,矢野真梨菜,30.2,18,0.0,0.0,0.0,10.6,-5.8,1.2,0.251,1,0.0
4564,山本景士郎,43.5,33,0.0,9.1,9.1,17.6,-5.8,1.6,0.175,1,0.0
4738,清埜翔子,55.2,48,2.1,14.6,16.7,24.2,-5.8,3.4,0.164,5,60.0
4419,原加央理,58.1,26,11.5,7.7,19.2,28.6,-5.9,10.5,0.16,2,0.0
