登番,選手名,地力3連対,全国4走,実4まくり率,期待まくり率,まくり力,実4_1着率,全国4ST,当地4走,当地4まくり率
4769,馬場剛,64.5,44,20.5,11.0,7.0,20.5,0.12,4,0.0
5038,金田智博,63.7,33,21.2,11.0,7.0,21.2,0.126,1,0.0
5132,中野希一,72.8,46,23.9,14.6,7.0,28.3,0.107,13,23.1
4832,権藤俊光,67.1,44,20.5,11.0,7.0,29.5,0.141,0,
4100,松田隆司,50.0,44,15.9,6.6,6.9,18.2,0.154,1,0.0
4402,乙藤智史,59.2,31,19.4,9.1,6.9,25.8,0.144,0,
5048,眞鳥康太,43.7,22,18.2,6.5,6.9,18.2,0.164,0,
5344,谷口丞,36.9,26,15.4,4.6,6.9,19.2,0.138,1,0.0
3699,富永正人,36.0,35,14.3,4.6,6.8,14.3,0.187,0,
4979,中野夢斗,48.8,37,16.2,6.6,6.8,16.2,0.155,2,0.0
4762,藤原啓史朗,70.2,36,22.2,12.8,6.7,22.2,0.14,0,
5020,宮村勇哉,40.3,35,14.3,4.7,6.7,14.3,0.173,3,66.7
5141,大澤風葵,66.1,34,20.6,11.0,6.6,23.5,0.108,3,66.7
3289,高橋淳美,22.8,20,15.0,3.7,6.5,15.0,0.157,0,
3562,山下和彦,60.5,45,17.8,9.1,6.5,20.0,0.144,1,0.0
3630,黒田誠司,25.4,20,15.0,3.7,6.5,15.0,0.158,3,33.3
5179,藤本元輝,38.2,27,14.8,4.7,6.5,14.8,0.177,0,
3843,上之晃弘,43.0,39,15.4,6.5,6.4,15.4,0.16,0,
3940,飯山泰,65.0,46,19.6,11.0,6.4,19.6,0.135,3,0.0
4702,三浦敬太,65.0,35,20.0,11.0,6.3,20.0,0.126,3,0.0
4812,西野雄貴,71.8,37,21.6,12.8,6.3,21.6,0.114,0,
4834,浜本裕己,55.4,53,17.0,8.8,6.3,20.8,0.137,0,
4370,山口達也,64.1,41,19.5,11.0,6.2,19.5,0.153,2,0.0
5150,坂本雄紀,65.7,41,19.5,11.0,6.2,24.4,0.153,5,40.0
4813,宮内直哉,29.8,33,12.1,3.2,6.2,12.1,0.163,3,33.3
4729,佐藤謙史朗,32.1,22,13.6,3.2,6.2,13.6,0.169,0,
3975,小野寺智洋,56.1,34,17.6,8.8,6.1,17.6,0.132,0,
4237,大峯豊,65.9,47,19.1,11.0,6.1,19.1,0.134,1,0.0
4539,金子賢志,59.6,40,17.5,9.1,6.1,20.0,0.116,0,
4552,杉山勝匡,50.5,40,15.0,6.6,6.1,20.0,0.142,0,
5265,大廣咲季,27.8,44,11.4,3.2,6.1,15.9,0.151,0,
3439,大平誉史明,60.2,34,17.6,9.1,6.0,23.5,0.159,1,0.0
4410,井上大輔,45.3,41,14.6,6.5,6.0,14.6,0.133,3,33.3
4625,渡邊裕貴,41.1,29,13.8,4.7,6.0,20.7,0.171,0,
4796,春園功太,64.1,30,20.0,11.0,6.0,23.3,0.129,5,40.0
5289,佃來紀,57.2,41,17.1,8.8,6.0,17.1,0.152,0,
4232,笠雅雄,44.7,33,15.2,6.5,5.9,21.2,0.175,1,0.0
4401,小林泰,51.6,41,14.6,6.6,5.9,17.1,0.149,2,50.0
4276,鈴木勝博,55.1,42,16.7,8.8,5.8,23.8,0.132,1,100.0
4871,菊池宏志,41.9,30,13.3,4.7,5.7,13.3,0.181,0,
3918,深井利寿,65.9,49,18.4,11.0,5.6,20.4,0.144,1,0.0
4793,金子萌,62.5,42,16.7,9.1,5.6,23.8,0.139,0,
5377,鳥居塚嶺王,33.5,41,12.2,4.6,5.6,12.2,0.172,2,0.0
4011,堀之内紀代子,57.0,36,16.7,8.8,5.5,16.7,0.154,2,0.0
4843,深尾巴恵,43.8,18,16.7,6.5,5.5,16.7,0.129,0,
5129,山口真喜子,54.5,36,16.7,8.8,5.5,19.4,0.154,0,
4062,後藤陽介,35.6,42,11.9,4.6,5.4,11.9,0.158,3,0.0
4797,中山将,67.9,34,20.6,12.8,5.4,20.6,0.135,3,33.3
4879,山崎鉄平,44.2,35,14.3,6.5,5.4,17.1,0.159,1,0.0
4887,富澤祐作,47.1,35,14.3,6.5,5.4,17.1,0.118,2,0.0
4988,牟田奨太,35.1,32,12.5,4.6,5.4,12.5,0.137,0,
5065,伊久間陽優,50.3,35,14.3,6.6,5.4,17.1,0.134,0,
5245,倉富大誠,47.7,35,14.3,6.6,5.4,17.1,0.157,2,50.0
3822,平尾崇典,63.4,38,18.4,11.0,5.3,18.4,0.147,1,0.0
4073,大橋純一郎,66.8,44,18.2,11.0,5.3,18.2,0.147,1,100.0
4369,丹下将,57.3,44,15.9,8.8,5.3,18.2,0.16,0,
4519,清水沙樹,51.4,27,14.8,6.6,5.3,14.8,0.143,2,50.0
5298,水谷理人,70.9,51,19.6,12.8,5.3,25.5,0.158,0,
3878,胡本悟志,36.6,33,12.1,4.6,5.2,12.1,0.165,3,0.0
4190,長嶋万記,70.6,18,22.2,12.8,5.2,27.8,0.161,0,
5299,西丸敦基,51.3,44,13.6,6.6,5.2,15.9,0.154,0,
4177,萬正嗣,43.3,28,14.3,6.5,5.1,14.3,0.164,2,0.0
4478,櫻本あゆみ,59.8,37,16.2,9.1,5.1,21.6,0.136,4,0.0
4589,塩崎桐加,47.1,28,14.3,6.5,5.1,14.3,0.15,1,0.0
4808,松尾拓,62.4,44,15.9,9.1,5.1,15.9,0.163,2,0.0
4973,栗原直也,47.7,36,13.9,6.6,5.1,13.9,0.167,5,0.0
5405,竹内来,9.5,21,9.5,0.7,5.1,9.5,0.184,2,0.0
3470,新田芳美,49.4,28,14.3,6.6,5.0,14.3,0.169,0,
3713,伊藤誠二,56.0,38,15.8,8.8,5.0,15.8,0.149,0,
3930,岸本隆,49.4,45,13.3,6.6,5.0,17.8,0.139,2,0.0
4374,永田義紘,44.2,37,13.5,6.5,5.0,13.5,0.154,1,0.0
4520,高倉孝太,53.8,38,15.8,8.8,5.0,15.8,0.153,4,25.0
4804,高田ひかる,64.0,45,17.8,11.0,5.0,24.4,0.17,0,
5034,若林義人,63.4,45,17.8,11.0,5.0,20.0,0.118,2,50.0
3294,野中義生,38.9,23,13.0,4.7,5.0,13.0,0.16,3,0.0
4427,秦英悟,62.7,39,17.9,11.0,5.0,25.6,0.164,2,0.0
3381,滝沢芳行,45.6,46,13.0,6.5,4.9,13.0,0.139,6,33.3
3444,香月大介,20.3,20,10.0,1.4,4.9,10.0,0.177,0,
3517,高橋勲,58.7,52,15.4,9.1,4.9,17.3,0.15,4,0.0
4594,谷川祐一,60.5,52,15.4,9.1,4.9,17.3,0.141,4,25.0
4734,安河内将,71.3,41,19.5,12.8,4.9,22.0,0.137,1,0.0
4823,中村桃佳,65.2,33,18.2,11.0,4.9,27.3,0.127,1,0.0
4983,前田篤哉,70.2,41,19.5,12.8,4.9,31.7,0.133,2,50.0
5107,松本真広,41.0,34,11.8,4.7,4.9,11.8,0.198,0,
5117,冨名腰桃奈,36.2,24,12.5,4.6,4.9,12.5,0.184,1,0.0
5196,鰐部太空海,67.7,41,19.5,12.8,4.9,26.8,0.147,0,
5005,石田貴洋,65.6,33,18.2,11.0,4.9,18.2,0.155,6,16.7
3212,亀本勇樹,38.7,45,11.1,4.7,4.8,11.1,0.144,0,
3256,三角哲男,62.3,31,16.1,9.1,4.8,25.8,0.143,1,0.0
3811,石田章央,60.7,38,15.8,9.1,4.8,15.8,0.146,4,25.0
4366,前沢丈史,70.7,47,19.1,12.8,4.8,21.3,0.125,4,25.0
5217,藤原碧生,62.3,31,16.1,9.1,4.8,19.4,0.146,0,
3664,鈴木賢一,47.4,29,13.8,6.5,4.8,13.8,0.18,4,25.0
3898,平田忠則,71.7,36,19.4,12.8,4.7,22.2,0.165,4,50.0
3779,原田幸哉,53.8,47,14.9,8.8,4.6,17.0,0.113,1,0.0
3966,作間章,70.1,42,19.0,12.8,4.6,23.8,0.146,3,0.0
5092,篠原晟弥,60.7,46,15.2,9.1,4.6,21.7,0.136,1,0.0
3233,小畑実成,41.8,36,11.1,4.7,4.5,13.9,0.17,2,50.0
3801,五反田忍,45.1,21,14.3,6.5,4.5,14.3,0.172,0,
4059,入澤友治,50.0,39,12.8,6.6,4.5,20.5,0.139,1,0.0
4816,村松修二,55.2,40,15.0,8.8,4.5,20.0,0.141,3,0.0
4342,谷野錬志,66.2,41,17.1,11.0,4.4,24.4,0.147,4,50.0
4530,小野生奈,69.7,37,18.9,12.8,4.4,18.9,0.157,0,
4877,鈴谷一平,62.6,41,17.1,11.0,4.4,19.5,0.135,1,100.0
5016,宮田龍馬,68.4,37,18.9,12.8,4.4,21.6,0.137,1,100.0
5061,中村駿平,27.4,29,10.3,3.7,4.4,10.3,0.141,1,0.0
5086,本村大,29.9,31,9.7,3.2,4.4,12.9,0.169,0,
5206,梅原祥平,36.2,26,11.5,4.6,4.4,11.5,0.149,3,0.0
5331,佐藤永梧,36.1,26,11.5,4.6,4.4,15.4,0.138,1,0.0
4230,濱崎直矢,65.0,28,17.9,11.0,4.4,17.9,0.168,4,0.0
3176,長谷川巌,40.3,15,13.3,4.7,4.3,13.3,0.189,0,
4226,村田浩司,44.0,31,12.9,6.5,4.3,12.9,0.154,0,
4380,鈴木峻佑,39.3,37,10.8,4.7,4.3,13.5,0.164,2,0.0
5057,上田紗奈,49.5,40,12.5,6.6,4.3,12.5,0.153,0,
5136,濱野斗馬,60.1,40,15.0,9.1,4.3,17.5,0.149,0,
5252,荒木颯斗,62.7,35,17.1,11.0,4.3,17.1,0.15,1,0.0
