regno,n2c,win2c,sashi_win
4363,47,6,5
4150,37,6,4
3652,35,0,0
3790,39,5,1
4992,39,5,2
3482,45,3,2
4901,27,3,3
4893,31,4,0
4358,34,3,1
3745,28,2,2
4903,45,16,7
3929,30,2,0
4144,48,7,4
3448,27,3,2
4748,44,10,6
4512,44,12,8
3619,36,3,3
3659,31,1,1
4651,32,3,2
4197,38,1,1
3569,38,4,4
4022,27,2,0
4131,32,5,4
4555,30,3,2
5012,30,2,0
4824,41,12,10
5141,35,6,5
5038,44,7,6
5060,41,7,4
4788,50,7,4
5145,41,9,3
3779,36,4,3
4470,39,8,5
5312,34,4,3
3776,36,1,1
3867,36,2,2
4879,34,4,1
5199,32,3,1
3211,32,3,1
4640,44,3,2
5039,36,3,1
4527,29,1,1
4342,38,11,6
4226,35,1,0
4140,35,3,1
4299,33,1,1
4174,44,5,2
3550,45,8,3
4360,37,4,2
3629,42,7,4
4121,38,9,8
4251,50,8,6
3434,36,0,0
4951,34,4,2
4335,36,12,5
4674,36,5,4
3710,37,3,3
4092,37,5,5
3509,31,0,0
4776,46,9,6
3999,48,3,2
4720,33,5,5
4411,41,3,2
4011,33,7,6
4449,28,1,1
3411,33,0,0
4260,43,2,2
4463,38,4,4
4711,38,4,2
3546,42,0,0
3556,38,5,1
4949,37,6,5
3656,28,1,0
3746,44,6,5
4355,25,0,0
4368,29,1,0
3731,54,4,3
3757,32,2,1
4204,31,7,5
3523,26,0,0
4295,46,12,6
4105,42,5,4
4700,34,7,6
4239,44,11,8
3212,43,1,0
3558,34,4,3
3519,25,2,2
4351,35,6,4
5278,45,8,6
3843,40,2,1
3070,40,6,5
3933,100,15,13
4073,42,5,5
4665,35,1,1
3339,36,1,1
4563,32,2,2
4231,48,11,6
4852,39,15,7
3392,29,1,0
5166,32,7,5
3788,25,4,2
4945,26,0,0
4066,37,4,2
3615,33,1,1
4710,45,7,4
5300,26,0,0
4050,33,10,4
4688,37,8,5
4747,31,3,1
4047,36,0,0
3988,39,4,3
3539,49,3,3
3370,36,2,1
4856,49,12,5
4049,51,7,7
4593,38,6,5
4618,33,4,3
3965,43,8,5
3832,25,1,0
3692,28,2,1
4669,36,1,1
4306,27,6,3
4268,22,0,0
4415,39,6,3
3959,38,8,4
3686,40,4,3
4684,34,4,3
4637,30,2,1
4483,41,10,8
4040,47,1,0
5070,32,2,0
5282,33,4,3
5232,31,3,1
5136,42,9,4
5150,42,12,3
5076,41,5,3
5157,40,3,3
5256,38,8,5
5114,50,7,5
5289,41,3,1
5058,51,12,8
5131,32,3,0
4676,34,4,2
4031,37,4,3
3880,33,1,0
3708,43,3,0
4989,39,8,3
4207,35,5,1
4122,49,3,2
4940,11,0,0
3294,26,3,2
3827,37,0,0
4987,30,1,1
4738,42,11,7
4680,40,4,3
3580,35,0,0
5113,19,0,0
4275,23,0,0
4726,16,1,1
4183,35,5,2
4414,31,4,1
4694,36,6,4
4791,39,6,3
4482,41,7,6
3583,26,0,0
3699,34,3,3
5100,24,3,2
4578,38,10,7
5226,27,4,2
4645,42,7,6
4930,41,7,2
4072,30,9,6
4933,36,4,3
3978,34,7,5
4035,40,4,2
4588,44,7,5
4871,34,2,1
4772,31,3,1
4142,36,7,4
4516,49,13,5
4323,34,4,3
3158,29,3,2
4118,37,7,5
3808,31,2,1
4822,45,7,7
4693,38,3,2
4425,33,2,2
3315,23,3,3
4005,3,0,0
5295,17,1,1
3207,27,0,0
3998,37,1,1
4398,44,7,3
3435,36,6,4
4837,31,2,2
4963,41,10,7
4020,35,2,1
4636,24,0,0
4880,27,2,1
5101,27,1,1
4033,49,9,4
4036,39,6,3
4691,31,5,4
3612,66,5,2
4518,39,9,4
4193,52,14,8
4056,15,2,2
5032,34,4,2
3771,39,6,2
3714,36,2,1
4435,29,7,7
4896,27,2,1
4828,32,10,7
4594,37,7,4
3833,49,12,8
4511,35,1,0
4842,35,6,5
5043,44,5,3
3910,42,3,2
4339,35,1,1
3893,35,5,3
4672,40,3,2
4259,50,8,6
5090,28,5,3
4209,43,3,2
4201,27,1,1
4584,33,7,4
4383,35,5,3
3655,47,0,0
4615,37,1,1
3350,33,5,3
4953,45,10,5
5294,36,2,0
5079,36,6,2
4120,41,6,5
5132,45,14,6
5237,19,3,2
3627,44,1,0
4301,34,0,0
4889,28,3,1
3900,38,6,2
5238,41,7,4
4520,38,5,2
3976,34,3,3
4439,35,0,0
5151,37,2,0
3973,45,2,2
4246,35,3,3
4071,30,0,0
4002,40,5,4
3960,39,8,5
5257,46,8,3
3712,30,1,0
4840,37,5,5
4835,37,2,2
4723,24,2,1
3828,32,3,1
4359,34,4,3
3848,39,0,0
5112,45,12,9
5216,40,8,5
5093,35,4,0
5142,47,11,6
5246,30,5,2
5082,46,2,2
4980,38,9,9
4910,42,4,1
5307,38,2,1
5319,27,6,3
5139,40,11,10
4431,27,5,4
4114,29,1,1
5068,40,9,4
3718,34,4,2
4877,35,7,1
4740,39,3,3
4562,40,1,0
4678,34,5,2
3620,33,2,2
4076,40,3,2
4898,29,3,2
4232,38,5,2
4624,43,9,5
5016,38,13,10
4124,36,11,9
4797,37,10,5
4458,47,7,7
3445,30,1,1
5103,22,1,1
3990,40,9,3
5182,36,7,2
4924,42,1,0
4373,37,6,5
4900,37,5,1
4878,29,3,0
3302,26,5,0
3778,28,0,0
4546,31,6,3
4845,28,12,3
4984,29,2,1
4882,22,1,1
5003,45,3,1
5244,29,1,1
2538,35,1,1
4643,32,6,3
4228,36,2,0
5154,31,4,1
4817,34,6,5
4536,42,10,2
3995,35,3,2
5123,33,2,1
3920,63,5,3
3557,53,4,1
3711,47,4,3
4803,33,2,1
3878,36,3,3
3684,38,9,4
3224,39,1,0
3934,36,3,2
5303,34,5,3
4988,32,0,0
4272,29,3,3
3441,37,3,1
4016,34,3,2
5160,43,7,4
3850,42,3,1
4034,39,1,1
4626,37,4,3
4403,42,12,9
5221,40,11,6
5018,48,11,5
5014,27,3,3
4522,36,7,5
4583,45,8,6
3892,36,5,3
4526,29,5,4
4570,40,11,7
3566,39,3,2
4834,43,7,5
4753,18,3,1
4959,49,10,4
4557,27,2,2
4960,39,10,7
5002,43,9,6
4061,44,6,5
3202,36,0,0
3752,36,3,2
3286,23,3,1
3637,36,3,3
3852,32,1,0
4113,36,8,5
5098,38,2,1
5197,16,5,2
5301,34,3,0
5102,41,3,0
5302,29,0,0
5292,39,3,1
5229,45,6,4
5074,29,1,1
5106,37,2,1
3454,34,4,2
4356,32,5,3
5022,31,2,2
5007,33,2,2
4330,37,3,1
3161,44,2,1
5359,33,5,1
4256,41,7,6
4082,35,8,8
4234,31,2,1
4083,48,17,9
4906,33,5,4
4311,46,12,6
5245,33,5,2
4081,36,3,0
4815,18,3,2
5128,25,3,2
4861,42,6,3
5023,36,5,4
4380,38,1,0
3869,39,2,2
4792,27,2,0
5252,38,6,4
4754,32,6,4
4947,38,2,1
4746,26,4,1
4501,46,6,0
5283,23,0,0
4590,42,14,10
5155,32,7,5
4758,17,3,1
5320,28,1,0
5287,34,1,0
3474,40,6,3
5213,37,5,1
5200,18,1,1
4547,34,5,2
4396,35,2,2
4274,29,2,2
5020,30,5,3
5028,45,12,6
4796,39,10,5
3362,87,12,5
4545,40,10,6
4991,46,5,5
4374,40,7,3
4821,41,6,6
4370,41,11,3
4586,35,0,0
4337,37,5,4
3719,38,4,3
4450,36,8,7
3415,57,12,7
4030,48,4,2
4205,39,8,6
3897,40,7,4
4024,41,4,2
4418,36,8,5
4876,40,0,0
5096,40,5,3
3787,31,0,0
3742,30,3,3
3372,26,0,0
4236,46,8,4
4428,43,9,7
4057,48,7,3
4273,38,5,5
4044,35,5,1
4925,38,2,1
4895,33,6,3
3563,44,4,2
4258,33,5,5
5092,32,10,6
4423,39,6,5
5091,22,4,4
4962,39,2,1
4919,22,2,2
3793,29,4,3
5187,23,1,0
4451,43,8,2
5013,36,12,4
4385,27,2,1
3930,37,4,1
5188,37,10,5
4215,35,3,2
4182,40,4,4
5239,33,8,7
4089,41,4,2
3327,48,6,4
5073,41,9,8
5206,28,1,0
5332,25,0,0
5054,31,4,3
4875,33,4,3
4413,55,5,3
3940,50,9,3
4397,50,9,5
4384,40,3,1
3590,40,9,4
4059,33,4,3
4100,40,2,1
4180,32,7,6
2878,37,5,3
4406,31,5,2
5308,37,3,3
4420,49,3,2
4752,39,1,0
3548,38,6,4
4068,39,3,3
3834,31,2,0
5331,27,3,3
5183,37,2,0
4995,36,6,2
4097,25,0,0
5279,40,10,8
4587,37,6,2
5248,32,3,1
3578,28,2,1
5298,37,9,7
4944,36,5,3
4736,38,12,9
3882,38,3,3
4134,40,2,1
4789,35,7,4
3822,47,5,3
4051,41,5,5
4677,30,5,2
4778,34,5,4
4679,49,8,3
4499,31,6,4
4625,32,5,3
4464,38,5,3
4164,30,0,0
4102,38,12,7
4884,23,5,3
4190,25,5,2
3901,26,3,3
4416,32,5,4
5129,33,5,3
4524,40,5,3
4503,40,6,3
4013,39,6,3
4573,41,6,2
4932,42,9,6
4320,38,8,6
4262,40,10,8
3783,40,11,8
3941,40,8,4
4459,38,7,6
4362,34,7,6
4831,32,4,3
4196,42,4,2
4171,43,6,5
4382,40,2,1
4509,31,4,4
3977,40,5,3
4446,46,13,9
4263,34,7,5
4175,28,1,0
4472,44,11,10
3385,32,5,5
4540,28,4,2
4974,43,7,3
5271,29,1,1
4376,51,4,3
4270,40,3,1
4809,26,4,3
4375,37,8,2
5234,42,11,7
5205,49,7,6
3107,24,0,0
4952,33,1,0
4486,44,7,5
3268,47,5,1
4381,42,8,3
4865,23,1,0
4424,46,8,6
5029,39,10,4
4967,37,4,4
5004,43,5,4
5135,27,5,4
4675,28,2,2
5152,33,3,2
4485,35,6,3
4551,44,7,3
4085,27,4,4
4715,26,13,5
5208,32,2,0
4581,42,11,8
4181,39,3,3
3517,35,4,2
5170,40,3,1
5042,43,9,6
4552,31,2,2
4957,41,8,7
5065,31,3,3
5120,32,2,2
4027,38,6,5
4010,29,0,0
3293,32,0,0
3532,61,15,5
4950,35,5,2
4155,33,9,7
5158,42,10,3
4558,29,1,1
5285,29,0,0
3891,37,3,3
3797,38,2,2
4058,42,5,2
3875,34,2,2
3349,49,10,5
4611,42,12,5
4000,44,4,4
5048,18,0,0
3635,35,3,2
4324,76,18,13
4494,32,6,3
4208,45,8,7
4344,38,8,4
4851,42,9,8
4391,36,7,5
4350,41,7,2
4445,37,3,2
4739,49,8,4
4371,39,5,4
4502,34,7,6
3906,43,3,2
5321,31,4,2
4769,40,8,2
4631,32,1,1
4914,39,7,3
4966,38,8,6
3837,31,7,7
3983,44,8,4
4004,35,4,2
3527,39,7,6
4410,39,3,3
5277,32,4,2
4641,30,2,2
3908,45,8,7
4154,32,3,3
5264,43,6,2
4156,33,4,3
4159,46,8,4
4695,35,2,2
4152,36,5,4
5071,33,4,1
3690,39,4,2
4202,33,1,1
5000,32,2,1
5075,50,5,3
4012,40,12,8
4112,32,2,1
4210,39,3,0
3986,28,5,4
5008,32,3,1
4681,31,1,1
4561,53,12,2
4394,37,5,5
3528,27,2,1
4864,32,2,1
5006,31,0,0
4177,30,2,1
5130,36,0,0
5089,37,9,8
3872,37,3,2
3915,44,7,5
5253,17,1,0
4393,38,2,1
4093,36,2,1
4598,42,6,5
4779,29,1,0
4039,37,2,0
4401,34,3,1
5254,20,1,1
5322,30,1,0
4478,34,4,3
4163,44,3,2
4785,32,2,2
5273,37,4,3
4568,32,2,1
4286,46,7,6
4505,33,7,4
4305,30,10,7
3820,25,0,0
3284,38,3,2
3874,42,6,5
3333,43,8,4
3541,43,5,3
3471,32,3,1
3800,28,4,3
3256,43,10,6
4498,22,2,1
4409,45,10,5
4319,45,5,3
4969,26,1,1
4060,29,3,2
3582,86,17,10
4237,41,9,6
4887,33,2,1
3568,38,3,2
4909,37,4,2
4288,53,16,10
4532,48,11,9
3401,40,2,2
3825,28,1,0
3641,50,6,5
4364,41,9,5
4836,35,9,3
4719,37,9,3
4238,26,7,4
4537,53,15,9
3716,38,4,1
4166,37,11,5
4500,44,11,5
4290,37,6,2
3942,36,5,3
4848,40,10,6
4528,32,5,3
4682,35,7,7
4444,37,3,2
4219,37,1,1
3581,37,2,2
5057,34,4,3
5306,40,1,0
4798,41,7,6
4158,36,1,0
4447,33,1,1
3516,26,2,1
4639,34,2,0
4436,40,10,9
4315,35,4,3
4907,39,9,7
4069,37,5,4
5196,43,18,13
3584,40,3,3
5184,15,3,0
4843,24,1,0
4823,37,11,8
4433,49,16,6
4997,17,0,0
4642,38,9,5
3232,29,4,3
5218,36,10,7
4927,44,9,5
4456,36,9,8
4269,44,9,6
3572,42,4,2
5061,30,0,0
5126,39,5,3
5315,27,1,0
3761,32,7,5
4473,31,3,1
3653,22,1,0
4161,31,3,2
4261,43,3,0
3939,5,3,3
4233,48,10,5
4713,41,8,7
4535,25,5,3
3518,32,1,1
4211,26,1,0
4958,51,12,7
3909,45,7,2
3905,44,3,2
3717,35,2,1
3412,41,4,2
5178,41,2,1
5262,34,3,1
4529,32,2,1
4241,37,2,1
3701,33,2,1
3567,29,1,1
4074,41,7,5
5104,29,11,8
4826,40,5,3
4686,45,8,4
4110,31,2,0
4028,48,7,6
3841,47,6,6
4608,29,2,2
5009,36,8,5
5251,22,0,0
5035,38,7,4
4220,33,3,2
5223,43,5,4
4191,48,12,8
4325,29,3,2
5140,32,2,1
4400,29,0,0
5173,34,8,6
5281,30,10,7
5241,31,2,1
5144,38,3,1
4123,45,5,2
4462,31,4,3
4289,43,12,7
3809,18,1,1
4133,45,6,2
5358,13,0,0
4760,43,9,6
4766,27,1,1
5217,35,7,4
4314,37,5,2
3507,31,1,1
5275,44,14,7
4063,49,7,5
4725,37,4,3
3497,34,2,1
3966,43,10,6
5269,29,7,4
4176,26,1,0
4883,33,7,5
5207,31,2,1
5019,24,1,1
5286,38,4,1
5268,23,1,0
4750,30,4,4
4508,32,1,1
3319,35,4,2
3054,31,7,1
4189,57,7,4
3730,39,2,0
3535,31,2,2
3459,33,2,0
3251,47,10,4
3478,38,4,3
4553,32,7,7
3300,48,7,3
3948,34,0,0
4614,41,10,7
3613,41,9,8
4468,42,7,5
3577,28,3,2
5087,40,10,8
4006,31,4,1
4419,36,4,3
4718,29,7,4
4009,28,1,0
5011,33,1,1
5172,35,2,1
5165,35,6,3
4014,32,5,1
4117,39,5,2
5163,32,5,3
4773,40,4,2
5153,39,1,1
4902,40,4,3
4474,39,2,1
4343,36,2,1
4184,32,10,5
4283,34,2,1
4216,36,1,0
3968,38,5,5
5010,47,7,3
4019,43,5,1
3967,31,0,0
4308,39,5,5
3105,34,2,2
5044,32,3,1
3792,33,6,2
4580,37,6,4
4366,48,8,7
4078,1,0,0
4491,39,0,0
4095,38,10,7
3455,36,6,6
3081,20,5,3
3855,1,0,0
4603,36,4,4
3602,30,5,3
3949,31,2,0
3591,26,0,0
4703,38,7,1
4708,30,1,1
4819,35,5,3
5265,39,0,0
5230,27,1,0
4733,30,3,3
5335,20,0,0
4567,29,1,0
3605,33,0,0
3950,36,1,0
4043,41,2,1
4735,35,3,0
4692,27,0,0
4648,37,3,2
4652,39,5,3
3589,34,3,2
5247,43,3,2
4982,29,1,0
5220,32,4,0
4213,23,2,1
3623,142,29,20
3614,44,1,1
3439,40,9,7
3562,47,6,4
4377,45,10,8
4786,46,19,11
3681,26,4,3
4592,37,3,2
4298,50,5,0
4894,37,1,1
4727,34,3,2
3956,42,9,2
3685,38,3,0
4106,34,1,1
5261,34,3,2
5299,36,4,1
3769,36,4,2
4510,21,1,1
4764,35,5,1
5037,29,9,8
4218,56,10,6
3538,19,2,1
3505,39,3,2
4329,35,4,3
3951,43,9,7
3811,36,7,5
3945,30,1,0
3696,33,3,2
4240,36,7,6
3406,38,5,4
4099,44,8,6
5046,34,2,2
3661,49,7,4
5067,28,3,0
4248,28,0,0
4336,35,1,0
3713,34,7,3
4173,46,6,3
3868,40,2,2
3499,32,7,7
5323,24,2,1
4139,30,1,1
3866,27,3,2
4607,43,4,3
4942,32,4,1
4619,26,2,2
3849,59,18,3
4990,16,0,0
3630,18,0,0
5115,29,5,1
4489,29,6,5
4084,43,4,3
5203,36,4,3
3617,29,1,1
3606,33,8,4
3611,37,4,4
4243,42,9,6
4936,30,8,2
4744,26,4,4
4534,25,1,1
5069,27,4,3
4443,43,4,4
4442,40,10,7
5171,7,0,0
3987,31,2,0
4379,49,6,4
3377,29,3,3
3947,40,2,2
4432,34,0,0
3721,39,8,7
4632,28,1,1
3436,37,8,6
3957,38,5,3
4264,42,5,4
4928,34,6,4
3854,35,3,3
4479,26,0,0
4017,36,5,3
