c2_regno,c1_regno,c1_won,win_course,kimarite
3334,3207,0,3,まくり
4136,3998,0,2,差し
4784,5334,0,2,まくり
3804,3684,1,1,逃げ
4224,4720,0,4,差し
5222,3679,1,1,逃げ
5334,3999,0,3,まくり
4271,4036,1,1,逃げ
3477,3935,1,1,逃げ
4564,4691,1,1,逃げ
4257,3934,0,4,まくり
3024,3546,0,3,まくり
4793,3612,0,2,差し
4543,3224,0,3,差し
4762,4917,0,4,抜き
4457,3746,1,1,逃げ
4200,4260,1,1,逃げ
3935,4543,1,1,逃げ
3024,4762,1,1,逃げ
4664,4511,0,5,まくり差し
3442,3812,1,1,逃げ
4108,3757,0,5,まくり差し
3870,3523,0,5,まくり差し
4245,3714,0,2,差し
4303,4594,0,2,差し
3992,4828,1,1,逃げ
4635,3731,1,1,逃げ
3444,4303,1,1,逃げ
4850,3833,1,1,逃げ
3654,5043,0,2,差し
3282,4656,0,3,抜き
5336,4615,0,3,まくり差し
4732,3955,0,4,まくり
4346,3849,0,5,まくり差し
3072,4710,1,1,逃げ
4656,5166,1,1,逃げ
4544,5047,0,2,まくり
3963,4600,1,1,逃げ
4145,4718,1,1,逃げ
3931,4079,1,1,逃げ
5243,4839,0,5,抜き
4973,4066,1,1,逃げ
4487,4049,0,4,まくり
3257,4889,1,1,逃げ
4589,4747,0,5,まくり差し
3918,5079,0,2,まくり
4709,4276,0,2,差し
3838,3627,1,1,逃げ
4365,4856,0,2,まくり
4759,4301,1,1,逃げ
4199,4919,0,4,まくり差し
3176,3988,1,1,逃げ
4244,3900,1,1,逃げ
4025,4688,1,1,逃げ
4705,4442,0,3,まくり差し
4247,4568,1,1,逃げ
3680,4254,1,1,逃げ
3921,4521,0,5,まくり差し
3503,3584,0,2,差し
4661,3313,0,4,抜き
5033,3891,0,3,抜き
4714,5321,1,1,逃げ
4904,5045,0,6,まくり
4521,3256,1,1,逃げ
5280,4188,1,1,逃げ
4504,4237,1,1,逃げ
4407,5257,1,1,逃げ
5177,3852,0,4,抜き
4146,3473,1,1,逃げ
4926,4697,0,2,差し
3814,4002,0,3,まくり差し
5305,4113,0,3,まくり
3961,4669,1,1,逃げ
5180,4439,0,5,まくり差し
3801,4730,1,1,逃げ
4706,3692,0,4,抜き
4452,3489,1,1,逃げ
3473,3960,0,3,まくり
3381,4610,0,3,抜き
5051,4863,0,2,差し
4771,4574,0,4,まくり
3703,5110,0,4,まくり差し
4062,3828,0,6,差し
5133,4907,1,1,逃げ
4905,4359,1,1,逃げ
4467,4808,0,5,まくり差し
5110,4565,0,4,まくり
4644,3653,0,5,まくり差し
4402,4483,0,5,まくり差し
4811,4269,0,3,まくり
5242,4327,0,3,まくり差し
3542,5211,0,3,まくり差し
5240,4031,0,5,まくり差し
4417,4356,1,1,逃げ
4466,3911,0,4,まくり
3463,3866,0,3,まくり差し
4109,3542,0,3,まくり差し
3851,3826,0,5,まくり差し
4633,3643,0,2,抜き
4440,4989,0,3,まくり差し
4363,4496,1,1,逃げ
4150,3743,1,1,逃げ
3652,4956,1,1,逃げ
3790,4562,0,5,まくり
4992,4940,0,2,まくり
3482,3993,0,2,恵まれ
4901,3414,0,4,まくり
4893,4918,1,1,逃げ
4358,5085,1,1,逃げ
3745,4678,0,4,まくり
4903,3968,0,4,まくり
3929,3874,0,6,抜き
4144,4043,0,2,差し
3448,3422,1,1,逃げ
4748,3583,0,5,まくり
4512,3538,0,4,まくり
3619,4555,0,4,まくり
3659,5212,1,1,逃げ
4137,4343,0,2,まくり
4651,3740,1,1,逃げ
4197,5053,1,1,逃げ
3569,4469,0,4,まくり
4022,4748,1,1,逃げ
4131,4786,0,4,まくり
4555,4137,1,1,逃げ
5012,4643,1,1,逃げ
4824,5055,0,2,差し
5141,4933,0,2,差し
5038,4649,1,1,逃げ
3744,4931,0,3,まくり
5060,5226,0,3,まくり差し
5161,4825,1,1,逃げ
4788,4804,1,1,逃げ
5145,4787,0,2,差し
3779,3876,1,1,逃げ
4470,4352,1,1,逃げ
3946,3721,1,1,逃げ
5224,4961,0,3,まくり差し
5312,4064,1,1,逃げ
3776,4296,1,1,逃げ
3867,4471,1,1,逃げ
4650,3922,0,2,まくり
4879,4475,0,4,まくり
3663,4035,1,1,逃げ
5199,4873,1,1,逃げ
4292,5312,1,1,逃げ
3211,3606,1,1,逃げ
4812,4604,1,1,逃げ
4640,4772,1,1,逃げ
4296,4448,1,1,逃げ
5039,3711,1,1,逃げ
4527,4679,0,4,まくり
4342,4174,1,4,差し
4226,3995,0,3,まくり差し
4299,4874,1,3,まくり
4174,4142,0,6,まくり
3550,4516,0,5,まくり差し
3265,4822,1,1,抜き
4360,4140,0,4,まくり差し
3629,4547,0,6,差し
3574,3807,1,1,逃げ
3831,3805,0,2,差し
4899,5015,1,1,逃げ
4251,4335,1,2,まくり
4951,4596,0,3,まくり
4335,3611,1,1,逃げ
3554,5218,0,4,まくり
4302,3952,0,6,まくり
4674,4009,0,2,差し
3710,4515,1,1,逃げ
4938,3355,0,2,まくり
4092,4398,0,3,まくり
3509,3435,1,1,逃げ
4776,4103,0,5,まくり差し
3999,4443,0,2,差し
3679,4803,0,2,まくり
4720,3470,1,1,逃げ
4136,4979,1,1,逃げ
5088,4224,1,1,逃げ
4411,5125,0,5,まくり差し
4011,4963,1,1,逃げ
4449,4793,1,1,逃げ
3411,4200,1,1,逃げ
3024,3656,0,4,まくり
4260,4257,0,4,差し
4463,4518,1,1,逃げ
4711,4193,1,1,逃げ
3546,3974,0,5,まくり差し
3556,4457,1,1,逃げ
3024,4056,0,4,まくり差し
4949,4880,1,1,抜き
3656,4033,0,3,まくり差し
3746,3556,1,1,逃げ
4355,5032,1,1,逃げ
4368,3372,0,4,抜き
3731,3444,0,5,まくり差し
3757,3870,0,4,まくり
4204,3742,0,4,差し
3523,4842,1,1,逃げ
4105,4218,1,2,差し
4700,4513,0,3,まくり差し
4239,3992,0,2,差し
3212,3654,1,1,逃げ
