regno,course,n,r1,r2,r3
5064,5,39,4,12,7
5064,3,35,6,9,3
3744,2,40,7,9,11
3744,3,47,11,10,10
3744,6,19,1,1,0
3744,5,41,9,4,5
3744,1,64,47,6,2
3744,4,67,7,17,11
5141,3,38,10,12,7
5141,4,32,8,9,4
5141,5,39,6,6,8
5141,1,48,30,9,3
5141,2,35,6,11,6
5141,6,22,1,3,5
4914,6,37,3,9,3
4914,5,43,5,9,4
4914,1,42,37,2,0
4914,4,47,10,10,7
4914,3,37,5,15,8
4914,2,39,7,13,8
5134,1,42,27,4,6
5134,3,37,5,10,7
5134,2,36,6,9,5
5134,6,36,0,6,8
5134,5,29,3,4,3
5134,4,33,1,7,8
4579,4,45,6,5,8
4579,2,38,2,9,12
4579,5,41,5,9,9
4579,6,25,0,2,3
4579,1,52,36,5,4
4579,3,45,5,10,18
4649,2,41,8,8,7
4649,5,37,2,2,8
4649,6,43,0,1,7
4649,1,46,23,11,3
4649,3,51,8,7,9
4649,4,48,9,7,6
4977,4,36,7,6,7
4977,1,39,22,8,1
4977,6,26,0,4,4
4977,3,40,6,10,8
4977,2,36,5,10,8
4977,5,36,2,5,12
4477,5,36,3,7,6
4477,2,43,4,14,13
4477,6,36,0,6,9
4477,3,42,4,9,13
4477,1,52,40,5,3
4477,4,39,7,14,10
4278,6,32,0,9,4
4278,2,49,14,11,17
4278,4,41,5,13,11
4278,3,47,9,15,10
4278,1,66,54,9,1
4278,5,50,7,6,7
3946,2,134,13,56,29
3946,1,68,44,13,6
3946,3,57,9,12,15
3946,4,28,4,2,8
3946,6,4,0,2,0
3946,5,7,0,1,1
4825,1,47,33,6,2
4825,6,24,0,7,4
4825,2,35,7,7,10
4825,5,42,5,5,13
4825,3,36,9,7,7
4825,4,34,6,10,7
3779,4,50,8,9,11
3779,3,47,10,7,9
3779,2,36,4,7,8
3779,1,57,40,5,0
3779,6,32,0,4,6
3779,5,31,5,2,2
3876,5,26,10,6,3
3876,3,32,14,5,3
3876,4,23,8,4,4
3876,1,43,32,5,0
3876,2,24,4,10,5
3876,6,29,3,3,5
3606,1,47,17,17,6
3606,4,42,2,6,8
3606,3,44,7,13,7
3606,5,39,2,4,9
3606,6,30,0,0,4
3606,2,33,8,12,6
3964,3,38,2,7,6
3964,2,36,2,7,10
3964,5,35,1,1,6
3964,1,25,7,6,5
3964,6,26,0,1,2
3964,4,32,0,1,6
3922,2,50,1,8,9
3922,5,49,1,2,8
3922,4,40,3,6,4
3922,1,30,8,7,4
3922,3,40,2,5,4
3922,6,20,0,0,1
4213,4,25,4,2,1
4213,5,37,5,3,6
4213,6,70,10,8,5
4213,2,23,2,5,2
4213,1,16,5,5,1
4213,3,16,0,4,1
3867,5,36,1,1,3
3867,1,24,8,5,2
3867,6,25,0,1,1
3867,2,36,2,8,2
3867,4,38,2,3,6
3867,3,37,2,6,6
5417,6,93,0,3,8
5417,5,27,0,3,3
5417,4,19,2,0,8
5417,3,8,1,1,2
4812,1,49,41,3,2
4812,2,37,12,15,2
4812,5,39,6,12,5
4812,4,38,8,6,10
4812,3,36,7,12,8
4812,6,28,1,5,8
4871,3,37,2,8,8
4871,5,33,0,3,9
4871,4,29,4,4,4
4871,2,34,2,10,3
4871,1,28,12,5,2
4871,6,29,1,0,4
4292,2,42,7,11,10
4292,6,25,1,4,3
4292,1,54,34,8,6
4292,4,39,5,7,13
4292,5,46,9,3,14
4292,3,40,7,8,10
3273,6,2,0,0,0
3273,5,4,0,0,1
3273,2,1,0,0,0
3273,3,1,0,0,0
3273,1,1,1,0,0
3953,5,24,0,1,1
3953,1,19,7,3,1
3953,2,26,0,2,4
3953,6,24,0,0,0
3953,4,25,1,1,4
3953,3,19,0,3,2
5312,4,35,0,2,4
5312,5,37,1,1,1
5312,6,33,0,0,4
5312,2,34,4,2,5
5312,1,22,8,2,3
5312,3,38,2,2,3
4640,3,54,11,13,13
4640,6,37,0,5,8
4640,1,58,33,17,5
4640,4,44,7,12,7
4640,2,44,3,11,15
4640,5,55,5,6,16
4879,1,30,8,11,4
4879,3,34,3,11,3
4879,4,35,6,3,3
4879,5,32,2,4,7
4879,2,34,4,6,5
4879,6,42,0,4,5
3776,5,34,0,4,7
3776,4,35,0,0,3
3776,1,23,1,2,3
3776,2,36,1,7,4
3776,3,32,1,4,5
3776,6,31,0,0,0
3715,6,21,1,2,3
3715,2,31,4,12,7
3715,1,28,10,6,6
3715,4,33,1,6,13
3715,3,29,3,11,7
3715,5,28,0,5,5
4978,2,46,4,8,11
4978,1,36,16,6,2
4978,5,43,3,2,8
4978,6,37,0,4,4
4978,3,40,1,7,10
4978,4,39,5,3,11
4007,4,28,1,4,6
4007,1,24,11,5,4
4007,5,31,0,1,11
4007,2,32,4,5,5
4007,3,30,3,6,6
4007,6,29,0,0,3
4111,1,30,16,8,4
4111,3,45,7,13,7
4111,5,37,3,4,5
4111,2,38,6,6,11
4111,6,27,0,1,4
4111,4,37,1,8,7
4448,5,43,6,8,8
4448,2,41,9,14,4
4448,3,41,12,14,6
4448,1,48,37,7,2
4448,6,31,0,8,9
4448,4,40,6,12,11
4296,2,25,4,8,6
4296,3,25,6,5,7
4296,4,27,1,10,7
4296,5,33,3,5,9
4296,1,40,29,7,1
4296,6,20,1,4,4
4588,6,39,1,1,4
4588,3,42,7,6,15
4588,1,48,27,10,2
4588,2,44,7,19,9
4588,4,52,6,12,8
4588,5,46,3,3,11
4035,3,51,5,8,6
4035,5,51,2,5,5
4035,1,30,9,4,5
4035,2,40,4,6,4
4035,6,28,0,1,3
4035,4,35,2,5,2
5309,4,28,0,0,0
5309,6,34,0,0,1
5309,5,35,2,0,4
5309,3,21,1,3,1
5309,2,22,0,3,2
5309,1,9,4,1,1
4650,1,18,11,1,2
4650,4,20,4,4,4
4650,2,21,5,7,3
4650,3,18,3,3,5
4650,5,15,0,3,4
4650,6,14,0,1,2
5041,2,30,4,3,7
5041,5,32,2,2,7
5041,3,36,5,8,10
5041,1,25,12,6,2
5041,4,26,7,3,2
5041,6,36,0,3,3
5199,4,29,3,0,6
5199,1,26,12,4,4
5199,5,37,5,4,4
5199,2,32,3,5,14
5199,3,31,7,6,4
5199,6,32,1,2,7
3527,3,41,2,13,10
3527,1,39,15,12,3
3527,4,37,2,3,10
3527,6,29,1,3,4
3527,5,42,1,6,10
3527,2,39,7,8,8
5348,6,73,2,10,5
5348,5,36,4,7,9
5348,4,37,6,11,5
5348,1,3,0,0,0
5348,3,9,1,2,3
5348,2,1,0,0,0
4772,3,42,10,11,9
4772,5,35,7,8,7
4772,1,51,37,9,3
4772,2,31,3,16,6
4772,6,34,0,5,5
4772,4,37,6,8,11
4873,4,48,2,9,11
4873,2,42,6,10,8
4873,5,38,0,4,7
4873,1,47,23,7,5
4873,3,44,5,8,15
4873,6,27,0,2,3
3663,2,42,3,9,10
3663,5,42,2,4,8
3663,3,47,7,12,7
3663,1,45,24,13,3
3663,4,38,2,8,10
3663,6,32,0,2,9
4948,6,31,0,3,9
4948,2,40,4,15,5
4948,3,36,2,13,9
4948,4,34,6,5,4
4948,1,33,17,11,3
4948,5,36,3,2,5
4471,2,47,12,13,10
4471,1,67,58,6,1
4471,4,50,5,13,14
4471,3,41,8,14,4
4471,6,39,4,5,12
4471,5,43,1,5,11
3211,3,34,0,5,3
3211,6,29,0,2,2
3211,4,30,0,3,2
3211,2,32,3,5,4
3211,5,31,0,2,4
3211,1,27,6,5,8
4475,4,44,4,8,16
4475,5,38,3,4,10
4475,1,57,36,11,6
4475,2,43,3,13,13
4475,6,36,0,3,8
4475,3,46,9,13,7
3975,2,36,12,6,7
3975,3,36,3,11,8
3975,6,32,0,3,8
3975,4,33,6,3,8
3975,5,41,0,1,10
3975,1,32,18,7,3
4604,3,49,6,17,11
4604,1,61,54,3,1
4604,4,46,5,16,10
4604,2,48,9,19,7
4604,6,37,3,2,9
4604,5,49,4,9,13
4064,4,43,7,6,15
4064,2,39,3,17,11
4064,3,49,4,22,8
4064,1,66,54,7,2
4064,5,38,2,7,13
4064,6,34,1,7,8
4315,1,27,12,3,3
4315,4,38,3,6,7
4315,3,36,7,7,9
4315,5,40,6,1,10
4315,2,35,4,6,2
4315,6,26,0,1,1
4253,6,24,0,0,1
4253,5,43,1,0,7
4253,3,45,0,3,10
4253,4,47,2,5,11
4253,2,43,2,9,10
4253,1,30,11,6,6
5330,4,38,5,11,7
5330,2,41,10,10,8
5330,6,34,2,3,9
5330,3,36,10,8,3
5330,5,31,5,9,4
5330,1,36,29,3,0
4627,1,37,20,5,4
4627,6,26,1,4,5
4627,2,33,11,9,6
4627,3,28,9,4,5
4627,4,32,7,6,7
4627,5,30,2,4,6
5195,2,38,6,10,11
5195,3,28,4,3,7
5195,5,32,2,4,7
5195,1,29,19,4,1
5195,6,32,0,2,5
5195,4,32,3,5,6
5272,3,30,3,4,6
5272,2,33,3,10,8
5272,6,28,0,1,4
5272,5,32,0,2,4
5272,1,27,14,1,3
5272,4,34,2,5,4
3994,4,33,3,7,11
3994,3,35,3,9,9
3994,2,33,1,11,8
3994,6,20,0,1,2
3994,1,27,10,7,3
3994,5,32,0,2,4
3704,5,30,1,0,2
3704,2,34,0,2,4
3704,4,25,0,2,4
3704,1,21,5,3,2
3704,3,29,0,2,5
3704,6,21,0,1,0
5335,6,46,0,2,1
5335,3,29,0,4,4
5335,4,27,1,1,1
5335,5,29,1,1,3
5335,2,20,0,1,0
5335,1,10,3,1,1
4456,3,31,9,13,2
4456,6,29,0,3,9
4456,1,57,45,6,2
4456,5,36,2,3,12
4456,2,36,9,11,7
4456,4,39,2,11,4
4556,6,27,1,4,5
4556,1,48,36,8,1
4556,2,29,11,7,3
4556,3,33,8,13,3
4556,5,24,0,3,11
4556,4,41,8,8,14
5317,2,41,1,13,7
5317,3,38,1,8,10
5317,6,30,0,2,5
5317,1,30,9,6,8
5317,4,44,2,4,11
5317,5,40,2,2,9
5296,1,19,6,4,1
5296,4,31,3,0,4
5296,3,39,6,8,5
5296,2,34,4,2,4
5296,6,33,0,0,2
5296,5,41,3,2,5
4349,4,30,4,5,2
4349,1,21,7,6,5
4349,2,34,3,7,5
4349,5,40,0,7,2
4349,3,29,2,7,7
4349,6,25,1,1,3
5327,5,38,0,0,0
5327,6,37,0,0,0
5327,4,31,0,0,2
5327,3,19,0,1,0
5327,2,21,0,0,1
5327,1,12,0,0,0
3579,1,22,11,5,3
3579,6,21,0,0,1
3579,2,30,3,4,7
3579,3,31,2,5,5
3579,5,29,1,2,7
3579,4,27,1,7,3
4190,3,20,4,9,3
4190,6,15,2,2,3
4190,1,30,23,2,2
4190,4,18,6,3,3
4190,2,25,5,8,5
4190,5,27,3,6,5
5250,2,35,1,7,8
5250,3,33,1,6,9
5250,4,35,0,4,5
5250,6,27,1,0,2
5250,1,21,8,3,3
5250,5,28,0,5,4
3357,5,34,0,3,3
3357,4,35,0,2,6
3357,1,30,6,8,7
3357,3,30,1,7,3
3357,2,33,0,4,9
3357,6,24,0,0,1
5203,4,37,1,5,7
5203,3,35,7,3,7
5203,5,32,1,3,6
5203,1,25,13,6,2
5203,2,36,4,6,11
5203,6,25,0,1,3
5264,6,42,3,2,7
5264,4,34,5,6,5
5264,2,43,6,11,10
5264,1,29,5,5,9
5264,5,38,2,5,6
5264,3,41,3,6,10
4317,2,37,4,9,3
4317,5,37,2,3,2
4317,3,32,2,6,6
4317,4,36,2,3,5
4317,6,25,0,0,2
4317,1,27,13,4,1
4240,3,39,2,10,11
4240,5,34,0,3,13
4240,1,42,24,8,1
4240,2,36,7,18,6
4240,6,34,1,4,2
4240,4,28,4,6,5
4447,6,35,0,4,3
4447,1,40,15,9,8
4447,4,35,3,8,7
4447,5,43,4,4,10
4447,2,33,1,14,7
4447,3,31,6,8,7
5281,1,43,31,2,2
5281,5,37,3,11,7
5281,6,38,2,5,10
5281,3,37,7,10,5
5281,2,30,10,7,2
5281,4,36,5,7,5
3518,4,28,2,4,7
3518,5,30,0,1,5
3518,1,20,2,7,1
3518,3,32,4,3,7
3518,2,32,1,5,6
3518,6,23,0,3,0
4765,5,35,1,5,7
4765,2,28,3,8,7
4765,4,33,3,2,3
4765,1,26,11,3,4
4765,3,30,5,5,6
4765,6,25,1,1,2
4123,6,34,2,3,6
4123,4,40,2,14,11
4123,3,44,7,16,9
4123,5,43,4,8,17
4123,2,45,5,13,11
4123,1,62,39,13,4
4014,1,47,28,8,3
4014,4,41,3,4,8
4014,5,35,1,5,5
4014,3,45,6,14,9
4014,2,32,5,8,8
4014,6,33,0,2,6
5193,5,39,3,7,9
5193,1,57,39,8,6
5193,3,41,10,13,11
5193,4,39,1,7,12
5193,6,35,0,3,9
5193,2,38,11,13,5
5078,2,37,1,12,6
5078,3,33,1,8,9
5078,4,35,1,5,6
5078,5,35,0,4,9
5078,6,27,0,1,1
5078,1,26,15,3,1
5144,4,38,2,7,7
5144,5,38,2,8,6
5144,3,36,5,10,7
5144,2,38,3,10,6
5144,1,28,12,7,2
5144,6,27,0,1,3
4045,1,30,12,8,1
4045,5,34,0,6,0
4045,2,34,5,5,6
4045,3,38,5,8,6
4045,6,19,0,1,2
4045,4,29,2,4,5
4530,4,37,7,13,4
4530,2,37,11,9,5
4530,6,31,2,6,7
4530,1,58,45,10,2
4530,3,42,7,16,7
4530,5,35,5,5,6
5163,5,28,5,5,6
5163,3,33,9,9,6
5163,4,41,5,9,6
5163,1,46,32,8,3
5163,2,32,5,13,6
5163,6,37,3,4,7
4525,2,35,4,11,5
4525,5,29,1,4,4
4525,4,33,0,4,8
4525,6,17,0,0,2
4525,3,30,0,7,3
4525,1,23,10,4,3
3845,1,25,12,6,3
3845,2,32,6,6,2
3845,5,21,0,3,3
3845,4,31,1,5,6
3845,3,28,7,3,8
3845,6,9,0,0,3
4225,4,23,3,4,7
4225,2,30,5,12,7
4225,3,32,1,12,7
4225,6,27,1,3,4
4225,5,30,2,2,8
4225,1,42,26,9,2
4484,2,34,4,5,9
4484,3,37,5,9,6
4484,5,32,1,1,12
4484,4,29,0,6,6
4484,6,29,0,3,2
4484,1,27,11,3,4
5340,6,61,0,4,4
5340,4,48,2,6,8
5340,5,52,2,3,11
5340,3,35,3,6,5
5340,2,15,2,2,3
5340,1,7,1,1,1
3551,5,30,1,2,2
3551,2,34,3,7,5
3551,1,22,6,5,3
3551,4,28,1,1,4
3551,3,27,1,1,3
3551,6,19,0,0,1
4433,4,45,7,13,13
4433,3,45,7,19,9
4433,1,67,52,6,2
4433,2,49,16,10,8
4433,5,35,3,10,6
4433,6,43,2,2,16
4478,1,48,28,7,4
4478,3,38,9,2,9
4478,5,36,2,5,6
4478,2,34,4,12,12
4478,4,35,8,7,8
4478,6,35,0,1,7
4936,6,33,1,5,5
4936,5,29,3,4,9
4936,1,39,27,5,1
4936,2,30,8,5,7
4936,3,26,6,6,3
4936,4,40,4,9,10
4773,1,57,34,9,7
4773,3,51,6,15,10
4773,6,34,3,1,6
4773,5,46,3,8,9
4773,2,40,4,17,9
4773,4,42,3,7,14
5138,2,18,1,2,2
5138,3,26,0,2,6
5138,6,16,0,0,2
5138,1,13,5,2,2
5138,5,18,0,1,1
5138,4,19,0,1,6
5140,1,27,8,8,5
5140,3,34,3,7,9
5140,5,31,1,2,2
5140,2,32,2,9,7
5140,6,29,0,0,5
5140,4,31,1,4,4
3950,4,27,2,2,8
3950,3,30,3,7,5
3950,1,24,3,4,2
3950,5,29,0,1,3
3950,6,26,0,3,1
3950,2,36,1,6,6
4498,5,24,2,3,4
4498,3,22,8,5,3
4498,4,21,2,6,4
4498,6,20,0,2,3
4498,2,22,2,4,5
4498,1,16,8,3,1
4632,3,33,3,8,5
4632,6,24,0,1,3
4632,4,29,1,6,10
4632,1,19,7,6,2
4632,2,28,1,5,6
4632,5,28,0,3,6
5412,6,109,0,1,2
5412,5,29,0,1,0
5412,4,17,0,0,1
4529,1,40,26,4,4
4529,4,32,4,5,10
4529,3,33,5,7,9
4529,6,35,0,2,7
4529,2,32,2,11,9
4529,5,44,3,9,8
3957,3,45,6,9,9
3957,4,33,3,3,6
3957,1,34,11,6,9
3957,5,48,1,5,12
3957,2,38,5,8,6
3957,6,27,0,3,6
3277,2,35,2,6,10
3277,5,34,1,2,4
3277,4,37,3,7,5
3277,3,44,1,11,6
3277,1,33,10,5,4
3277,6,25,0,1,3
4004,5,40,2,3,8
4004,4,42,3,8,13
4004,2,35,4,7,4
4004,6,23,0,2,2
4004,3,35,3,4,8
4004,1,29,13,8,2
4592,4,32,1,4,6
4592,3,34,5,4,6
4592,1,25,6,5,8
4592,5,40,1,3,8
4592,2,37,3,12,9
4592,6,22,0,0,2
5314,6,35,0,0,1
5314,5,31,0,0,1
5314,4,36,0,3,5
5314,3,22,1,2,3
5314,2,21,1,1,5
5314,1,15,4,3,0
4728,1,28,15,5,1
4728,6,30,0,1,3
4728,3,33,3,9,2
4728,5,31,0,4,3
4728,2,30,2,3,10
4728,4,29,0,6,5
3982,2,36,3,5,6
3982,5,37,1,0,6
3982,3,38,2,3,5
3982,1,28,8,9,3
3982,4,32,3,7,3
3982,6,24,1,0,0
4731,4,32,2,6,6
4731,2,34,5,10,10
4731,6,25,1,2,3
4731,5,35,3,1,4
4731,1,23,12,3,2
4731,3,30,2,8,8
4106,3,33,0,0,5
4106,4,37,3,4,2
4106,1,18,4,5,1
4106,6,14,0,0,1
4106,2,34,1,7,6
4106,5,30,1,2,4
5084,6,33,1,6,9
5084,2,34,8,10,7
5084,4,41,6,11,8
5084,3,36,7,12,9
5084,1,48,39,3,4
5084,5,30,3,2,5
4906,5,40,2,5,10
4906,1,34,14,10,5
4906,2,33,5,7,5
4906,4,35,3,6,7
4906,3,37,5,12,11
4906,6,32,0,4,7
3681,3,28,1,6,6
3681,4,31,2,4,4
3681,6,22,0,1,4
3681,2,26,4,9,3
3681,1,26,11,6,2
3681,5,23,1,0,5
4943,2,28,4,6,6
4943,6,23,0,0,3
4943,1,22,9,3,2
4943,4,27,2,4,5
4943,5,28,0,0,4
4943,3,31,2,2,4
3736,5,5,0,0,3
3736,2,3,0,3,0
3736,1,3,3,0,0
3736,4,3,0,1,1
3736,3,2,0,0,2
3736,6,1,0,0,0
4214,1,45,28,8,3
4214,5,38,2,2,8
4214,3,35,1,8,7
4214,4,32,2,8,8
4214,6,31,0,3,8
4214,2,26,5,6,6
4220,6,22,0,1,3
4220,1,29,21,2,2
4220,3,34,8,5,5
4220,4,33,3,2,4
4220,2,33,3,10,3
4220,5,36,1,6,2
3617,4,33,4,4,5
3617,6,21,0,0,0
3617,3,39,3,10,4
3617,2,29,1,4,4
3617,1,23,9,3,0
3617,5,32,1,1,0
4570,4,41,6,14,9
4570,3,43,10,10,13
4570,2,40,11,12,6
4570,1,52,30,7,7
4570,6,34,1,4,12
4570,5,40,6,8,6
5063,5,29,1,1,8
5063,2,33,3,9,7
5063,6,34,0,0,4
5063,4,38,2,8,5
5063,1,21,10,0,4
5063,3,28,2,3,5
4472,1,52,39,7,4
4472,4,51,7,12,13
4472,3,48,3,13,12
4472,6,31,1,5,9
4472,5,50,5,9,11
4472,2,44,11,13,4
5361,6,52,0,1,6
5361,4,34,0,0,7
5361,5,37,0,1,3
5361,3,11,1,0,0
5361,2,8,0,0,1
5361,1,3,0,1,0
4506,2,38,8,13,4
4506,3,39,11,10,6
4506,4,40,9,9,8
4506,6,31,1,5,6
4506,5,40,4,7,10
4506,1,44,29,7,2
4994,2,42,10,15,6
4994,5,42,1,7,11
4994,1,53,34,9,6
4994,3,44,5,19,11
4994,4,34,6,6,8
4994,6,32,0,5,8
4347,4,34,2,6,6
4347,2,41,4,14,13
4347,6,32,0,2,9
4347,1,44,27,8,3
4347,3,36,8,12,8
4347,5,37,2,7,7
5162,1,12,2,3,4
5162,2,19,0,1,6
5162,6,14,0,0,1
5162,5,14,0,1,1
5162,4,14,0,1,2
5162,3,18,1,1,6
4451,1,65,42,13,5
4451,6,32,1,3,8
4451,2,43,8,11,16
4451,5,42,2,8,6
