regno,course,n,r1,r2,r3
4005,2,3,0,0,0
4143,2,35,0,2,9
4143,5,37,0,5,6
4143,4,38,2,4,7
4143,6,21,1,0,2
4143,3,31,2,7,9
4143,1,19,6,6,2
4425,1,25,13,2,4
4425,6,28,0,0,6
4425,4,27,1,7,8
4425,3,33,0,6,10
4425,5,31,1,2,9
4425,2,33,2,7,7
3805,3,36,4,11,4
3805,2,34,3,11,7
3805,5,31,0,4,8
3805,1,32,13,7,7
3805,4,35,4,6,11
3805,6,23,0,2,2
4367,5,31,1,1,9
4367,2,30,1,4,7
4367,4,36,2,3,6
4367,3,33,0,4,12
4367,1,22,8,5,4
4367,6,27,0,1,3
3467,6,24,2,3,0
3467,1,26,4,3,3
3467,2,29,2,4,5
3467,5,28,0,1,4
3467,3,32,1,0,10
3467,4,29,0,2,7
5143,4,36,2,2,10
5143,2,40,1,9,5
5143,3,44,2,8,7
5143,5,43,0,6,7
5143,6,29,1,1,3
5143,1,21,2,4,2
4981,2,30,1,6,11
4981,4,39,1,5,10
4981,3,38,4,11,11
4981,5,36,4,7,6
4981,1,27,12,1,3
4981,6,30,0,2,4
5218,4,54,14,7,15
5218,1,51,36,4,7
5218,6,36,1,8,6
5218,3,41,6,12,10
5218,5,38,4,4,10
5218,2,36,10,9,5
3928,3,45,4,5,7
3928,5,32,0,1,6
3928,4,40,0,3,4
3928,6,28,0,0,2
3928,1,27,13,4,2
3928,2,36,0,4,7
4734,5,43,3,11,13
4734,4,42,9,11,11
4734,2,32,7,14,2
4734,1,55,39,9,5
4734,3,40,12,11,7
4734,6,31,1,1,6
3315,1,22,5,2,5
3315,3,29,1,9,4
3315,6,27,0,2,3
3315,5,24,0,2,5
3315,4,24,1,2,5
3315,2,23,3,6,1
5066,2,37,11,10,5
5066,6,29,1,3,9
5066,3,42,8,10,9
5066,5,44,8,11,8
5066,1,39,23,4,4
5066,4,42,8,11,12
5397,6,129,0,0,2
5397,5,29,0,0,0
4853,2,19,1,2,6
4853,4,21,2,0,3
4853,3,27,4,6,7
4853,1,19,7,2,4
4853,5,22,1,1,3
4853,6,20,0,0,1
3574,1,57,38,7,6
3574,3,59,5,12,10
3574,2,125,22,32,19
3574,4,6,0,2,0
3574,5,1,0,0,0
3554,3,79,11,22,20
3554,2,58,7,18,12
3554,1,79,53,15,6
3554,5,22,0,5,5
3554,4,65,11,16,12
3554,6,3,0,0,0
4251,4,31,1,5,2
4251,6,43,0,1,7
4251,1,29,10,8,1
4251,2,50,8,6,15
4251,5,44,2,5,8
4251,3,42,4,5,7
5367,6,64,0,1,0
5367,5,36,1,0,1
5367,4,23,1,2,1
5367,3,7,0,0,0
5259,5,29,1,1,4
5259,2,27,1,4,3
5259,3,24,1,1,2
5259,6,25,0,1,2
5259,1,16,4,2,2
5259,4,22,0,2,2
4335,1,61,49,5,3
4335,3,45,11,14,11
4335,4,38,5,10,8
4335,6,37,1,8,10
4335,2,36,12,9,8
4335,5,37,5,2,15
3831,3,39,6,11,4
3831,4,35,1,4,7
3831,2,32,3,11,5
3831,1,29,11,7,1
3831,6,26,0,1,0
3831,5,30,0,2,6
5146,2,35,5,7,9
5146,3,34,10,8,6
5146,5,33,0,3,8
5146,1,28,14,3,5
5146,4,37,3,4,12
5146,6,22,0,2,2
4899,4,34,2,3,6
4899,2,39,5,9,4
4899,5,31,1,4,2
4899,6,22,1,1,3
4899,3,37,1,7,5
4899,1,22,12,3,2
4596,6,39,0,4,12
4596,2,43,12,14,11
4596,1,55,31,12,4
4596,5,43,3,6,16
4596,3,40,3,15,11
4596,4,40,2,7,10
4302,5,39,4,7,7
4302,1,64,48,5,3
4302,4,40,8,11,4
4302,2,64,11,23,8
4302,3,56,6,20,16
4302,6,1,0,0,0
3939,1,11,5,4,2
3939,3,10,3,2,0
3939,6,9,0,0,1
3939,4,11,0,3,3
3939,2,5,3,0,0
3939,5,5,0,0,2
5087,4,51,9,9,13
5087,1,51,34,8,3
5087,3,36,9,9,5
5087,6,34,1,6,5
5087,2,40,10,18,6
5087,5,35,8,4,11
4009,3,38,3,8,12
4009,6,24,0,1,4
4009,1,47,28,7,5
4009,4,43,6,9,8
4009,5,35,1,7,5
4009,2,28,1,5,5
3434,6,31,0,2,2
3434,1,32,17,3,5
3434,3,31,3,8,5
3434,5,38,2,7,4
3434,2,36,0,10,10
3434,4,39,0,6,10
3952,3,38,13,10,8
3952,1,60,34,13,6
3952,4,38,9,7,10
3952,6,34,2,5,9
3952,5,41,7,3,13
3952,2,39,13,11,2
4674,1,51,30,9,7
4674,5,48,0,7,10
4674,4,43,6,9,8
4674,2,36,5,3,7
4674,3,44,5,7,11
4674,6,37,0,4,9
3863,2,36,2,2,10
3863,5,35,1,3,4
3863,3,41,3,6,7
3863,4,33,1,4,9
3863,1,31,9,9,3
3863,6,27,0,1,1
5373,6,40,0,0,3
5373,4,31,0,1,5
5373,5,38,1,0,6
5373,3,4,0,0,0
5373,2,2,0,1,1
4951,4,40,2,7,9
4951,5,33,3,4,7
4951,1,39,20,6,3
4951,2,34,4,6,6
4951,6,33,2,1,4
4951,3,32,2,6,15
5015,1,51,46,3,0
5015,5,29,0,6,7
5015,6,30,0,3,12
5015,2,38,9,10,7
5015,4,42,6,12,7
5015,3,38,6,17,12
4693,5,38,2,4,4
4693,6,32,1,0,6
4693,3,42,3,5,7
4693,2,38,3,8,5
4693,4,35,0,5,4
4693,1,27,6,6,4
3611,1,47,25,10,4
3611,3,37,1,15,5
3611,6,34,0,4,9
3611,4,34,4,4,8
3611,5,37,2,4,8
3611,2,37,4,15,6
5189,2,42,7,11,14
5189,5,43,2,5,11
5189,4,37,3,6,10
5189,3,37,8,6,8
5189,6,33,0,8,5
5189,1,38,17,7,4
5291,5,36,1,1,2
5291,2,38,2,7,9
5291,6,39,0,2,5
5291,4,39,1,4,5
5291,3,37,0,6,4
5291,1,24,5,4,4
3349,1,51,27,13,6
3349,6,8,0,0,0
3349,3,54,6,13,9
3349,2,49,10,10,15
3349,4,51,7,6,13
3349,5,30,5,0,7
5277,3,36,4,6,9
5277,1,30,14,7,6
5277,2,32,4,9,7
5277,4,33,4,4,12
5277,6,30,1,1,4
5277,5,36,0,4,5
5003,4,47,6,8,8
5003,5,42,5,2,5
5003,6,17,0,0,1
5003,3,40,5,10,2
5003,1,27,11,6,1
5003,2,45,3,14,6
3741,5,36,0,2,3
3741,2,35,1,4,3
3741,6,22,0,0,1
3741,3,30,0,6,3
3741,4,39,0,3,2
3741,1,22,8,4,6
3839,2,34,1,1,7
3839,3,43,1,8,7
3839,1,30,6,5,4
3839,6,34,0,1,4
3839,4,39,1,5,3
3839,5,41,0,2,7
5315,6,46,1,1,0
5315,1,19,2,5,2
5315,5,29,0,2,4
5315,2,27,1,1,3
5315,4,25,2,1,0
5315,3,28,1,2,3
4509,1,43,23,8,4
4509,5,41,1,6,13
4509,6,38,0,3,8
4509,3,38,5,8,8
4509,2,31,4,6,10
4509,4,36,4,8,12
3587,2,39,1,9,6
3587,5,33,0,6,5
3587,3,40,1,5,8
3587,6,39,0,1,3
3587,4,39,1,3,7
3587,1,33,11,4,3
3661,4,37,4,3,10
3661,3,41,2,9,10
3661,1,46,20,10,9
3661,2,49,7,8,12
3661,5,36,1,3,5
3661,6,36,0,4,7
4286,3,55,3,14,14
4286,4,49,9,6,11
4286,2,46,7,11,13
4286,5,50,1,6,10
4286,1,55,26,19,3
4286,6,36,0,3,4
5230,5,31,1,5,3
5230,1,23,10,4,1
5230,3,24,4,7,2
5230,4,28,2,4,3
5230,2,27,1,7,4
5230,6,31,0,0,3
5173,6,32,0,0,3
5173,5,38,2,7,3
5173,3,32,4,6,7
5173,2,34,8,5,6
5173,4,37,2,6,7
5173,1,30,22,4,0
4566,1,46,36,4,1
4566,4,41,1,7,8
4566,5,43,4,9,10
4566,3,43,6,9,12
4566,2,30,5,9,5
4566,6,30,1,1,7
3484,2,39,9,10,8
3484,5,45,1,5,9
3484,3,46,6,14,11
3484,4,40,6,10,9
3484,1,52,30,11,4
3484,6,29,0,1,3
5071,4,34,2,6,8
5071,6,29,2,0,3
5071,1,28,11,3,6
5071,3,33,2,8,15
5071,2,33,4,8,6
5071,5,35,1,3,3
5241,5,30,2,3,6
5241,1,25,8,6,4
5241,2,31,2,9,5
5241,4,26,1,3,5
5241,6,35,1,3,4
5241,3,33,3,11,8
5106,6,28,0,1,5
5106,4,34,6,6,9
5106,1,32,15,9,3
5106,3,36,6,6,8
5106,2,37,2,11,8
5106,5,36,1,6,9
3977,3,38,4,4,8
3977,6,35,2,3,1
3977,4,47,5,4,8
3977,1,32,11,5,8
3977,2,40,5,5,7
3977,5,36,2,1,8
3333,1,60,38,14,1
3333,6,33,0,3,11
3333,2,43,8,10,9
3333,3,42,11,11,8
3333,5,43,2,7,13
3333,4,54,7,8,12
3175,2,37,4,9,12
3175,5,30,0,1,6
3175,3,29,1,7,6
3175,1,23,2,5,7
3175,4,35,3,6,5
3175,6,25,0,1,3
3662,5,31,4,8,5
3662,2,39,6,6,5
3662,1,42,21,14,1
3662,6,47,1,4,8
3662,4,38,5,7,4
3662,3,35,8,9,7
4446,6,38,0,3,11
4446,1,59,49,5,1
4446,4,48,7,15,9
4446,3,42,9,14,11
4446,2,46,13,17,3
4446,5,40,1,13,12
3907,3,40,5,12,8
3907,2,39,3,9,9
3907,6,38,1,1,5
3907,1,44,28,5,3
3907,5,40,1,7,6
3907,4,40,3,9,11
4270,4,37,4,5,7
4270,5,31,0,2,6
4270,3,27,1,2,5
4270,2,40,3,6,8
4270,1,28,15,7,2
4270,6,28,0,3,2
4409,4,37,4,10,14
4409,1,54,42,5,2
4409,5,40,8,8,6
4409,2,45,10,18,5
4409,6,36,3,3,5
4409,3,37,5,11,6
3233,2,37,2,8,12
3233,1,30,11,4,4
3233,3,37,5,5,9
3233,5,36,1,1,5
3233,6,28,0,0,4
3233,4,35,5,0,10
4623,3,40,3,7,8
4623,2,44,6,17,5
4623,6,25,0,0,3
4623,1,34,18,5,4
4623,4,38,1,6,7
4623,5,50,2,2,9
4055,6,24,2,1,3
4055,1,58,39,12,0
4055,2,56,14,22,4
4055,5,53,2,9,17
4055,4,53,5,18,11
4055,3,50,9,12,10
3784,5,26,1,3,5
3784,2,32,4,11,9
3784,3,37,2,8,9
3784,6,28,0,0,4
3784,4,39,6,4,9
3784,1,28,10,10,3
4314,4,36,3,10,7
4314,3,45,9,11,12
4314,2,37,5,10,10
4314,5,40,3,8,5
4314,1,46,34,7,2
4314,6,37,2,3,5
3983,6,36,0,5,6
3983,4,44,4,11,9
3983,1,44,29,7,7
3983,2,44,8,8,16
3983,3,51,12,11,8
3983,5,46,6,8,10
4015,2,50,8,15,13
4015,5,42,2,8,8
4015,3,42,3,12,13
4015,4,38,1,9,9
4015,6,43,1,3,9
4015,1,52,29,7,9
3690,3,40,4,10,2
3690,4,37,3,8,5
3690,1,30,11,8,3
3690,5,36,2,2,5
3690,6,34,0,2,3
3690,2,39,4,7,10
4950,3,41,10,8,9
4950,4,36,8,5,9
4950,5,41,4,8,7
4950,1,44,36,3,3
4950,2,35,5,17,5
4950,6,32,1,2,5
3563,4,41,2,8,11
3563,3,44,3,11,7
3563,1,38,16,8,5
3563,2,44,4,8,15
3563,5,33,3,5,2
3563,6,11,0,1,0
3327,6,4,0,1,0
3327,4,61,9,15,10
3327,2,48,6,13,9
3327,1,49,29,7,7
3327,3,55,6,9,12
3327,5,12,0,2,4
5165,6,33,0,2,5
5165,3,36,3,6,8
5165,1,26,8,5,3
5165,2,35,6,6,5
5165,4,29,1,3,8
5165,5,38,1,4,7
3909,5,47,11,7,9
3909,4,50,6,16,8
3909,1,53,41,5,2
3909,2,45,7,15,11
3909,3,50,7,9,10
3909,6,7,0,2,0
4044,1,51,34,10,0
4044,4,39,6,10,8
4044,2,35,5,12,8
4044,5,38,4,4,5
4044,3,39,8,7,9
4044,6,28,0,2,10
5026,2,42,8,11,10
5026,1,55,46,4,1
5026,6,37,1,4,5
5026,3,40,7,14,9
5026,4,44,7,12,6
5026,5,40,6,6,6
4704,6,47,1,6,7
4704,1,55,38,7,3
4704,5,35,0,5,15
4704,3,52,14,11,9
4704,2,49,9,11,5
4704,4,45,12,11,7
4713,3,45,8,11,13
4713,5,51,7,9,13
4713,2,41,8,14,6
4713,4,38,8,10,12
4713,1,62,46,7,5
4713,6,44,0,8,11
3478,4,31,3,5,6
3478,5,37,2,4,8
3478,1,28,15,6,3
3478,2,38,4,6,12
3478,6,32,0,2,7
3478,3,40,2,6,10
3430,2,44,5,7,6
3430,1,30,14,6,2
3430,4,45,1,4,6
3430,3,37,3,6,4
3430,5,39,2,4,5
3430,6,25,0,1,1
4411,1,48,30,9,2
4411,5,40,2,5,12
4411,4,41,2,9,9
4411,3,38,8,9,5
4411,2,41,3,9,10
4411,6,42,1,3,5
4092,3,35,2,7,10
4092,6,32,0,4,3
4092,4,27,2,2,8
4092,2,37,5,6,15
4092,5,27,0,4,6
4092,1,29,17,1,1
3853,4,39,1,9,9
3853,1,46,33,9,1
3853,3,50,6,7,10
3853,6,33,0,1,5
3853,5,43,2,1,6
3853,2,35,3,14,8
4803,5,35,0,4,4
4803,3,35,0,2,4
4803,6,27,0,0,3
4803,1,22,5,4,2
4803,2,33,2,4,4
4803,4,25,2,1,6
4979,6,27,0,1,7
4979,4,39,7,5,8
4979,2,36,3,6,4
4979,1,35,23,5,3
4979,3,37,0,9,11
4979,5,39,1,9,5
4784,1,19,7,4,2
4784,5,27,1,3,2
4784,2,24,5,2,6
4784,3,23,1,4,7
4784,6,23,0,2,1
4784,4,20,2,1,0
4844,3,41,1,13,9
4844,6,30,0,1,5
4844,2,50,3,14,9
4844,4,39,2,4,4
4844,1,32,11,7,4
4844,5,42,1,0,7
5334,4,34,1,1,2
5334,1,24,4,3,3
5334,2,33,1,5,5
5334,5,38,1,0,4
5334,6,36,0,0,2
5334,3,44,2,5,2
3207,5,27,1,2,1
3207,1,28,3,5,2
3207,3,29,1,3,2
3207,2,27,0,1,2
3207,4,26,0,2,3
3207,6,22,0,0,2
5295,6,63,5,5,4
5295,1,18,7,1,3
5295,4,34,7,3,3
5295,2,17,1,2,3
5295,3,22,2,3,3
5295,5,35,2,1,10
3355,2,17,0,1,6
3355,3,16,0,0,1
3355,6,9,0,0,0
3355,1,12,0,0,3
3355,4,12,0,1,2
3355,5,18,0,1,1
4515,3,49,8,9,15
4515,6,46,0,2,11
4515,4,41,1,12,8
4515,1,56,42,7,2
4515,5,42,5,4,10
4515,2,45,6,19,8
4053,2,31,7,15,4
4053,3,43,7,6,14
4053,6,33,0,2,5
4053,5,29,1,9,7
4053,4,42,4,6,8
4053,1,39,22,7,2
4398,4,49,8,12,13
4398,1,68,53,9,2
4398,6,40,1,6,5
4398,5,48,9,11,9
4398,2,44,7,15,8
4398,3,41,7,15,9
3710,1,31,11,8,3
3710,5,38,2,4,6
3710,3,42,2,4,10
3710,2,37,3,7,6
3710,6,28,0,3,2
3710,4,44,3,7,9
4103,5,27,0,2,1
4103,2,31,1,6,2
4103,1,29,7,2,6
4103,3,30,0,3,7
4103,6,30,0,0,2
4103,4,31,0,4,7
5311,6,29,0,3,3
5311,4,36,5,6,7
5311,5,40,4,5,8
5311,2,35,3,4,7
5311,3,39,6,5,9
5311,1,25,14,4,2
4963,1,49,37,7,1
4963,3,32,9,4,6
4963,6,33,0,4,5
4963,5,39,0,8,7
4963,2,41,10,16,4
4963,4,43,4,8,12
3435,6,28,0,2,7
3435,4,47,4,9,14
3435,3,37,6,8,9
3435,1,55,38,11,4
3435,5,39,1,9,9
3435,2,36,6,13,7
3509,4,24,0,2,2
3509,1,22,4,8,4
3509,3,33,1,2,2
3509,2,31,0,2,8
3509,5,28,0,1,4
3509,6,17,0,1,3
4720,5,31,0,1,4
4720,4,30,0,2,9
4720,1,24,8,2,5
4720,6,29,0,0,5
4720,2,33,5,7,8
4720,3,31,1,2,7
4775,2,28,1,12,8
4775,4,30,3,9,8
4775,3,25,5,4,6
4775,6,26,1,0,2
4775,5,25,3,5,3
4775,1,34,25,5,3
4224,3,42,4,12,4
4224,6,34,0,6,4
4224,2,44,6,11,8
4224,5,38,2,4,7
4224,1,36,19,5,4
4224,4,41,5,4,15
4837,1,28,11,11,2
4837,5,38,1,7,9
4837,3,38,2,11,6
4837,4,33,1,5,12
4837,2,31,2,8,3
4837,6,23,0,1,2
5125,2,33,4,9,8
5125,6,31,0,2,10
5125,3,30,3,4,6
5125,1,43,27,3,4
5125,5,36,5,6,4
5125,4,23,2,1,4
3684,6,31,0,1,4
3684,4,46,4,15,10
3684,1,42,23,12,4
3684,5,33,3,5,4
3684,2,38,9,6,11
3684,3,38,3,9,9
4666,4,15,0,2,3
4666,2,24,1,7,5
4666,3,22,0,0,3
4666,6,22,0,0,1
4666,5,21,2,1,3
4666,1,12,5,3,0
4939,3,34,8,11,6
4939,5,33,5,7,4
4939,2,42,6,13,6
4939,6,39,2,10,8
4939,4,33,9,11,5
4939,1,50,41,3,1
4011,1,37,25,5,1
4011,5,30,1,5,7
4011,3,35,5,8,4
4011,2,33,7,10,6
4011,6,34,4,4,6
4011,4,36,6,6,7
3999,6,34,0,4,9
3999,5,49,1,10,9
3999,1,62,41,13,4
3999,2,48,3,24,4
3999,3,44,7,12,7
3999,4,44,6,3,15
3470,4,31,4,1,9
3470,2,35,4,11,9
3470,3,38,10,5,6
3470,1,31,11,2,4
3470,5,23,1,4,4
3470,6,27,1,1,6
4938,2,48,13,15,7
4938,5,44,4,6,13
4938,1,56,41,10,3
4938,3,49,15,9,7
4938,6,29,0,1,10
4938,4,34,6,6,6
5362,5,43,0,1,2
5362,4,25,0,0,2
5362,6,55,0,0,3
5362,3,13,0,0,2
5362,2,12,0,1,3
5362,1,6,1,1,0
4510,3,21,0,3,3
4510,1,15,2,2,3
4510,4,22,0,1,2
4510,5,21,0,2,0
4510,2,21,1,3,4
4510,6,14,0,0,0
4465,2,26,2,8,4
4465,1,22,9,2,3
4465,5,28,0,3,6
4465,6,26,0,0,4
4465,4,28,2,3,4
4465,3,21,0,2,4
3804,6,31,0,3,3
3804,5,39,1,2,6
3804,2,45,5,10,9
3804,4,41,1,11,7
3804,3,38,3,9,8
3804,1,29,10,8,3
3998,3,34,1,3,7
3998,5,39,0,5,6
3998,1,29,11,12,2
3998,6,28,0,0,2
3998,4,32,1,4,5
3998,2,37,1,12,8
3334,5,42,0,6,6
3334,2,39,3,12,8
3334,6,31,0,1,4
3334,3,47,4,17,14
3334,4,45,1,8,16
3334,1,53,28,7,4
5326,6,60,2,2,6
5326,4,47,2,5,10
5326,5,50,2,3,6
5326,3,39,6,9,2
5326,2,35,5,11,4
5326,1,27,9,2,2
4408,2,28,0,3,4
4408,3,26,2,8,0
4408,6,17,0,1,0
4408,5,29,0,3,5
4408,4,33,1,1,1
4408,1,18,9,4,0
5222,4,38,9,7,11
5222,1,45,29,3,7
5222,2,45,6,16,10
5222,6,31,0,4,3
5222,3,38,7,10,8
5222,5,31,0,8,5
5088,2,45,18,12,7
5088,4,51,10,12,11
5088,5,47,10,6,5
5088,6,41,5,7,6
5088,1,76,54,12,4
5088,3,47,14,11,10
3618,1,58,37,9,6
3618,2,43,9,15,7
3618,4,44,5,10,11
3618,5,35,1,6,8
3618,6,37,2,3,4
3618,3,45,12,12,4
4443,3,39,2,10,6
4443,6,30,0,2,8
4443,4,47,5,14,11
4443,1,44,21,12,8
4443,5,43,3,5,6
4443,2,43,4,14,9
3679,2,39,7,14,11
3679,5,45,1,6,8
3679,1,48,37,6,3
3679,3,44,2,20,11
3679,4,55,4,15,20
3679,6,25,0,2,5
4136,3,33,8,9,6
4136,6,36,0,5,12
4136,2,36,6,15,11
4136,4,31,1,8,9
4136,1,49,33,9,4
4136,5,29,2,9,7
4776,4,44,4,10,7
4776,1,67,53,8,3
4776,5,48,7,8,12
4776,2,46,9,17,11
4776,6,40,1,2,16
4776,3,42,9,14,11
4145,1,26,3,5,3
4145,5,38,0,0,8
4145,3,38,4,3,4
4145,2,38,2,6,10
4145,4,41,2,3,9
4145,6,22,0,0,2
4953,3,47,9,14,7
4953,1,47,39,1,5
4953,4,42,8,14,11
4953,5,39,5,14,1
4953,2,45,10,14,5
4953,6,35,5,4,6
4404,5,36,1,2,5
4404,2,36,2,5,9
4404,4,37,2,1,6
4404,3,38,4,7,8
4404,1,23,7,2,4
4404,6,31,1,1,0
3722,2,32,1,2,3
3722,3,38,2,6,5
3722,4,26,0,0,5
3722,5,35,0,1,2
3722,1,21,1,7,1
3722,6,29,0,0,4
3615,4,40,3,6,2
3615,1,33,12,13,4
3615,3,37,2,12,7
3615,5,36,0,3,3
3615,2,33,1,11,5
3615,6,28,0,0,1
5375,6,86,0,4,7
5375,4,24,0,0,3
5375,5,45,1,0,3
4080,4,8,1,3,0
4080,2,13,1,7,2
4080,5,18,4,2,4
4080,1,17,15,0,1
4080,6,13,1,3,1
4080,3,16,7,4,2
4264,5,40,4,10,12
4264,1,65,46,10,4
4264,3,40,10,9,4
4264,6,30,3,8,5
4264,4,54,7,11,16
4264,2,42,5,15,9
4346,3,34,3,5,3
4346,6,39,0,2,5
4346,2,38,3,8,6
4346,1,32,15,4,6
4346,5,43,4,3,2
4346,4,34,5,6,4
3072,1,45,15,11,3
3072,2,136,6,12,17
3072,3,11,0,1,1
5403,6,116,0,3,3
5403,5,27,0,1,3
5403,4,10,0,0,2
4934,2,37,6,11,8
4934,3,40,5,12,11
4934,6,39,1,2,5
4934,4,39,3,8,8
4934,5,37,2,7,9
4934,1,49,26,13,3
4583,3,55,6,14,13
4583,6,42,0,1,9
4583,5,38,0,3,9
4583,4,43,4,7,12
4583,1,50,29,11,2
4583,2,45,8,8,10
3788,4,26,3,9,3
3788,1,23,12,3,3
3788,3,15,4,5,2
3788,2,25,4,8,6
3788,6,21,0,3,1
3788,5,29,5,4,3
5047,2,31,6,5,7
5047,4,34,2,5,5
5047,1,30,14,5,3
5047,6,32,0,0,8
5047,3,36,3,10,7
5047,5,30,2,2,7
4600,5,39,1,7,11
4600,2,40,9,16,6
4600,1,46,33,3,1
4600,3,33,9,9,8
4600,4,40,4,11,14
4600,6,31,2,0,7
5166,6,37,1,1,12
5166,3,41,11,8,13
5166,1,47,29,6,6
5166,2,32,7,6,8
5166,4,32,3,6,5
5166,5,38,3,6,17
4329,1,30,10,11,1
4329,5,39,0,3,8
4329,6,30,0,0,3
4329,3,32,0,3,5
4329,2,35,4,8,9
4329,4,43,2,5,12
4544,1,82,62,9,4
4544,4,46,22,11,6
4544,2,44,16,15,5
4544,5,46,10,15,8
4544,3,43,14,13,5
4544,6,35,3,8,13
3955,2,29,5,9,4
3955,1,20,8,7,3
3955,4,25,2,3,7
3955,5,28,0,2,8
3955,3,28,2,8,3
3955,6,20,0,0,3
4615,3,34,1,3,8
4615,1,22,7,5,4
4615,6,21,0,0,2
4615,5,44,1,7,6
4615,2,37,1,6,11
4615,4,27,2,4,5
4656,4,36,5,9,5
4656,1,27,12,7,2
4656,2,37,6,6,5
4656,3,35,4,6,4
4656,6,26,0,2,5
4656,5,37,0,8,5
3931,5,30,1,2,9
3931,3,31,4,6,9
3931,2,26,4,7,6
3931,4,28,3,7,5
3931,1,31,18,6,1
3931,6,37,1,4,10
5404,6,130,1,2,8
5404,5,7,0,0,0
5404,4,5,1,0,0
4983,3,38,12,12,8
4983,2,48,13,15,6
4983,5,39,7,6,7
4983,6,39,1,7,9
4983,4,41,14,7,7
4983,1,66,46,11,5
4732,1,59,42,11,2
4732,5,52,0,11,17
4732,2,43,8,13,6
4732,4,48,7,13,9
4732,3,46,8,14,9
4732,6,28,0,1,6
4079,2,39,8,7,11
4079,6,38,0,4,6
4079,3,47,11,14,11
4079,1,51,31,9,4
4079,4,43,3,7,15
4079,5,40,0,3,10
3392,5,33,0,1,3
3392,3,32,1,9,6
3392,2,29,1,5,7
3392,6,30,0,1,4
3392,4,26,0,3,4
3392,1,32,11,4,8
4945,4,42,4,4,15
4945,6,32,0,2,3
4945,5,48,0,2,7
4945,2,26,0,6,1
4945,1,21,1,4,3
4945,3,45,7,7,6
3350,3,32,2,6,5
3350,5,35,1,4,10
3350,4,37,2,9,5
3350,1,36,22,6,1
3350,2,33,5,8,9
3350,6,30,0,1,3
3792,4,36,6,12,8
3792,5,33,1,6,5
3792,6,28,2,3,5
3792,1,38,20,13,2
3792,3,32,9,9,10
3792,2,33,6,7,8
3963,1,45,21,7,10
3963,4,28,4,5,6
3963,3,48,4,10,15
3963,2,35,4,10,10
3963,5,41,7,7,2
3963,6,35,1,1,7
3282,5,35,0,3,4
3282,2,41,0,12,11
3282,6,21,0,0,4
3282,3,36,0,6,6
3282,4,39,1,2,8
3282,1,29,13,6,0
4839,2,37,8,9,9
4839,4,34,3,8,4
4839,1,42,22,7,1
4839,5,37,4,5,9
4839,3,31,4,8,4
4839,6,28,1,4,6
4066,6,40,2,5,15
4066,3,40,5,12,7
4066,1,45,29,7,4
4066,4,38,3,2,16
4066,2,37,4,12,9
4066,5,44,3,6,17
4718,3,35,10,7,6
4718,5,31,1,8,5
4718,1,48,28,7,3
4718,4,42,2,18,6
4718,6,32,2,3,7
4718,2,29,7,4,10
5336,5,24,0,2,1
5336,2,25,0,1,4
5336,6,23,1,0,0
5336,1,11,2,2,1
5336,4,19,0,1,2
5336,3,26,1,3,3
4973,1,40,21,4,7
4973,4,38,5,7,2
4973,2,40,2,8,8
4973,6,40,1,1,5
4973,3,34,5,8,6
4973,5,32,1,7,10
4790,4,48,3,15,15
4790,2,37,8,6,9
4790,5,39,4,6,10
4790,1,56,44,4,3
4790,6,43,0,3,8
4790,3,43,4,15,11
3849,5,11,0,3,0
3849,1,60,48,8,1
3849,3,45,15,5,11
3849,2,59,18,14,7
3849,4,40,12,7,8
3849,6,5,0,0,3
5014,6,27,0,1,1
5014,5,34,3,6,3
5014,3,28,0,4,5
5014,1,24,10,5,4
5014,4,37,5,7,9
5014,2,27,3,10,9
4522,1,52,42,3,3
4522,4,35,2,8,8
4522,3,40,5,16,6
4522,6,36,0,2,4
4522,5,34,0,5,6
4522,2,36,7,12,7
5243,6,29,0,3,3
5243,4,42,7,6,14
5243,2,34,6,7,6
5243,3,30,6,7,5
5243,1,38,18,7,0
5243,5,44,3,6,5
4710,4,34,2,9,10
4710,1,58,41,8,4
4710,3,51,6,10,14
4710,5,49,1,11,11
4710,2,45,7,15,7
4710,6,40,2,4,9
4568,1,39,25,4,5
4568,4,34,4,4,9
4568,3,36,5,9,7
4568,2,32,2,9,6
4568,6,44,1,2,10
4568,5,28,0,3,9
3889,5,34,0,6,3
3889,2,31,2,6,4
3889,3,40,3,3,8
3889,4,30,0,3,8
3889,6,27,0,0,2
3889,1,25,8,5,3
3313,2,35,4,7,4
3313,5,33,0,6,3
3313,1,26,9,5,3
3313,4,32,2,2,4
3313,3,34,5,2,4
3313,6,27,0,1,2
4904,4,46,5,6,11
4904,3,44,6,7,9
4904,5,44,3,4,9
4904,2,42,3,16,6
4904,6,35,0,3,5
4904,1,40,17,12,4
3891,6,26,0,1,2
3891,1,30,9,2,5
3891,5,42,0,2,2
3891,3,45,0,9,7
3891,4,41,0,2,5
3891,2,37,3,3,7
3616,3,34,3,10,7
3616,5,29,1,3,11
3616,1,27,12,4,2
3616,2,30,2,7,5
3616,6,28,1,4,5
3616,4,33,5,4,9
3822,1,60,42,6,5
3822,3,34,7,8,5
3822,5,40,2,15,8
3822,2,47,5,13,10
3822,6,33,4,2,3
3822,4,37,7,7,8
5280,4,40,4,12,10
5280,3,32,8,10,6
5280,5,43,8,13,11
5280,2,50,15,11,12
5280,6,34,0,2,11
5280,1,44,36,4,3
4254,2,24,3,4,8
4254,3,34,5,6,7
