regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
5003,来田衣織,43,0.6744,0.5381,13.6,14,0.143,0.929,壁強●,
3822,平尾崇典,46,0.7609,0.6195,14.1,11,0.455,0.727,壁強●,
3655,本橋克洋,46,0.6957,0.5535,14.2,14,0.0,1.0,壁強●,
4347,魚谷香織,40,0.725,0.5781,14.7,11,0.364,0.727,壁強●,
4826,井上一輝,40,0.775,0.6268,14.8,9,0.556,0.667,壁強●,
5105,富田恕生,41,0.7317,0.5792,15.2,11,0.091,0.909,壁強●,
4073,大橋純一郎,40,0.75,0.5911,15.9,10,0.4,0.6,壁強●,
4040,廣瀬将亨,45,0.7556,0.5961,15.9,11,0.091,1.0,壁強●,
3282,池本輝明,41,0.7073,0.5404,16.7,12,0.0,1.0,壁強●,
3226,浦田信義,42,0.7619,0.5688,19.3,10,0.0,0.9,壁強●,
3911,鈴木猛,46,0.7609,0.5555,20.5,11,0.545,0.455,壁強●,
