regno,n1c,lose,p2_when_lose
4874,32,23,5
4142,41,22,12
4516,55,21,12
4822,46,15,9
4140,46,13,5
4547,50,26,12
3807,30,19,10
3805,30,18,7
4596,54,23,12
4515,51,12,6
3355,12,12,0
3435,55,17,11
4103,29,22,2
4443,41,21,12
4803,22,17,4
3470,31,20,2
4979,34,11,5
4224,36,17,5
5125,41,16,3
4793,43,15,5
4200,31,19,6
3656,33,22,13
4257,25,13,3
4518,50,15,7
4193,49,16,7
3974,21,16,7
4457,24,16,4
4056,9,5,1
4880,23,16,6
4033,48,11,7
3556,67,16,9
5032,32,15,6
3372,21,18,5
3444,16,10,2
3870,26,17,4
3742,28,18,5
4842,38,15,7
4218,58,13,8
4513,43,15,10
3992,29,15,4
3654,51,17,5
4295,65,14,6
4383,45,24,18
4016,28,21,8
3984,61,17,11
4584,53,22,14
3655,51,25,12
4403,36,11,5
5160,40,16,9
3441,30,23,11
3893,30,16,9
4034,24,14,8
4057,45,19,14
4236,79,16,9
3722,20,19,7
4346,31,16,3
5014,23,14,5
3792,35,15,11
3350,36,14,6
4080,17,2,0
5336,11,9,2
4790,53,11,3
4583,49,20,11
4120,51,13,11
3176,21,14,5
3286,22,13,6
3752,27,19,5
5132,63,27,8
4974,39,21,6
5294,24,17,5
4589,24,11,5
3257,49,13,8
3838,29,18,10
4199,67,18,10
4025,41,11,4
3686,48,16,8
4306,29,20,7
4520,33,17,6
4246,29,23,6
4926,44,6,1
4211,29,23,6
3801,20,10,2
4407,35,21,13
3965,47,19,9
4706,53,23,10
4369,50,20,9
4638,28,17,4
3406,42,20,13
4771,64,13,6
3075,32,21,2
5051,52,8,3
5098,24,16,3
5089,57,16,8
5081,43,21,7
5106,32,17,9
5139,41,13,5
5102,30,13,4
5112,50,14,7
5229,45,19,2
5197,16,7,3
4910,62,11,7
4740,25,14,3
5242,20,16,4
3454,34,23,13
4109,54,18,10
3851,14,13,3
4252,27,18,5
4116,36,24,5
4363,50,22,12
4297,46,12,10
3620,26,17,4
3981,32,15,3
3929,31,21,7
3305,27,15,4
4067,51,20,9
3778,18,15,2
3474,31,23,11
4984,27,15,4
4947,23,15,2
4065,27,15,7
3302,22,14,4
4746,25,9,3
5213,35,13,8
4758,17,5,2
4900,43,13,5
4845,41,13,6
4546,41,14,8
3569,33,26,13
4766,17,12,2
4872,35,17,7
4228,52,23,11
4075,49,20,13
3946,68,24,13
5145,46,14,6
4477,52,12,5
5330,35,7,3
4948,32,16,11
4342,38,7,1
5249,29,18,4
4817,42,13,4
3863,31,22,9
5146,27,13,3
3928,26,13,4
4844,31,20,7
4136,48,16,9
4463,42,24,15
4564,28,20,8
4876,31,12,3
3477,27,22,4
4020,26,16,2
5096,42,15,5
4711,40,21,12
4449,25,16,5
4271,28,21,8
5303,33,15,9
4949,54,18,9
3024,94,49,16
3442,23,15,6
4204,28,18,7
3461,13,8,3
3212,29,20,7
3787,22,16,5
4850,49,11,5
4700,35,13,5
4105,42,26,9
4239,57,16,10
5018,67,14,10
4272,24,16,8
5221,60,17,4
4227,48,13,4
3339,30,23,9
4231,40,25,10
4626,24,14,4
3933,33,23,9
3850,28,12,5
4665,24,20,10
4073,47,15,8
4351,78,27,10
4934,48,23,13
4983,64,19,11
4709,42,24,10
3202,36,26,9
4487,26,15,4
3793,24,16,5
3637,25,17,3
5300,17,15,1
3370,22,14,2
4050,59,12,8
4759,49,10,2
3918,52,20,10
3961,38,10,5
3973,32,23,9
4071,21,13,5
4415,47,13,5
4618,25,15,2
3976,28,18,3
4268,14,12,1
3832,16,15,4
4432,44,23,10
3959,54,18,11
3848,33,20,10
3888,45,19,8
4637,31,13,7
4653,54,9,5
4402,40,13,7
5074,26,12,5
5232,22,12,3
5292,22,17,5
5289,30,11,4
5076,23,10,3
5058,53,5,0
5216,52,19,7
5256,57,13,4
5136,49,17,10
5142,58,14,7
4980,55,12,9
4417,26,15,8
5169,14,12,6
4332,23,16,7
4633,39,18,8
4440,24,17,5
4122,51,24,9
4466,40,14,8
4901,22,10,1
3827,28,23,7
4042,58,23,11
4293,47,26,14
5279,33,14,7
5245,23,14,4
4181,21,14,3
4861,28,11,6
5103,16,12,2
4097,18,17,2
5170,25,10,2
4420,48,25,8
3548,55,23,9
4624,41,10,6
5287,20,18,3
4414,22,14,6
5003,24,15,6
5248,20,18,3
4501,48,20,6
5113,15,12,2
4738,56,13,5
5231,30,11,4
5155,34,19,8
4183,40,10,6
4373,61,28,14
4590,62,21,11
4405,26,20,6
4429,24,14,3
4197,30,22,3
4761,50,18,6
3550,40,18,9
5039,31,15,7
3158,48,20,11
4775,33,9,5
4053,37,16,7
5088,76,22,12
3411,26,19,5
5101,16,14,3
4368,20,12,4
