regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4352,下條雄太郎,92,0.207,0,,0.207,全国,47,12,0.417,,,32,0.188,0.156,,24,0.583,36,0.5,,
4355,小川広大,76,0.079,10,0.0,0.079,全国,15,11,0.182,,,27,0.0,0.037,,27,0.111,23,0.043,●,●
4356,長岡良也,110,0.191,10,0.4,0.191,全国,44,14,0.643,,,20,0.0,0.1,,33,0.485,35,0.286,,
4357,田中和也,103,0.272,8,0.125,0.272,全国,60,25,0.56,●,,24,0.125,0.292,,39,0.821,42,0.524,,
4358,松本庸平,85,0.106,7,0.0,0.106,全国,27,20,0.4,,,23,0.0,0.043,,30,0.167,26,0.077,●,●
4359,横川聖志,101,0.168,0,,0.168,全国,35,19,0.421,,,31,0.065,0.161,,35,0.371,36,0.333,,
4360,庄司孝輔,112,0.196,0,,0.196,全国,37,20,0.25,,,32,0.125,0.281,,36,0.417,36,0.417,,
4361,柳生泰二,104,0.221,0,,0.221,全国,54,8,0.5,,,30,0.2,0.133,,30,0.633,39,0.487,,
4362,土屋智則,91,0.198,10,0.2,0.198,全国,45,22,0.455,●,,24,0.042,0.292,,30,0.533,34,0.324,,
4363,大野芳顕,135,0.296,9,0.444,0.296,全国,50,22,0.545,●,,42,0.0,0.31,●,44,0.386,44,0.364,,
4364,池永太,115,0.209,0,,0.209,全国,55,16,0.625,,,29,0.207,0.138,,38,0.395,38,0.474,,
4365,盛本真輔,109,0.128,4,0.0,0.128,全国,38,19,0.474,,,34,0.0,0.147,,35,0.343,35,0.171,●,
4366,前沢丈史,136,0.287,9,0.444,0.287,全国,67,23,0.522,●,,33,0.061,0.242,,44,0.659,44,0.386,,
4367,山口修路,94,0.191,0,,0.191,全国,22,14,0.357,,,25,0.04,0.12,,30,0.333,26,0.192,●,
4368,山口隆史,90,0.111,6,0.333,0.111,全国,20,12,0.333,,,32,0.031,0.062,,33,0.242,22,0.091,●,●
4369,丹下将,131,0.16,10,0.2,0.16,全国,50,20,0.45,●,,39,0.077,0.103,,41,0.488,44,0.227,●,
4370,山口達也,102,0.186,0,,0.186,全国,66,24,0.333,●,飛ぶ型,28,0.107,0.036,,39,0.538,40,0.425,,
4371,西山貴浩,103,0.155,4,0.5,0.155,全国,48,10,0.6,,,29,0.069,0.207,,34,0.412,35,0.371,,
4372,原田佑実,88,0.216,5,0.2,0.216,全国,32,11,0.182,,,27,0.074,0.259,,32,0.344,23,0.304,,
4373,若狭奈美子,112,0.268,5,0.2,0.268,全国,61,28,0.5,●,,37,0.081,0.27,,29,0.31,41,0.415,,
4374,永田義紘,101,0.149,3,0.0,0.149,全国,26,14,0.357,,,25,0.08,0.16,,37,0.162,27,0.259,,●
4375,照屋厚仁,121,0.24,3,0.333,0.24,全国,48,20,0.6,●,残す型,38,0.053,0.316,,40,0.35,42,0.429,,
4376,藤田靖弘,133,0.143,4,0.0,0.143,全国,51,17,0.235,,,45,0.111,0.044,●,41,0.341,46,0.217,●,
4377,濱本優一,123,0.236,10,0.0,0.236,全国,52,18,0.5,,,42,0.119,0.286,●,43,0.558,40,0.5,,
4379,桑島和宏,121,0.248,3,0.333,0.248,全国,50,20,0.5,●,,38,0.132,0.237,,43,0.488,39,0.385,,
4380,鈴木峻佑,98,0.112,3,0.333,0.112,全国,30,12,0.25,,,31,0.032,0.097,,31,0.226,31,0.161,●,●
4381,田路朋史,111,0.162,0,,0.162,全国,48,20,0.45,●,,27,0.037,0.037,,41,0.341,35,0.143,●,
4382,高山智至,108,0.231,4,0.25,0.231,全国,25,18,0.444,,,24,0.042,0.167,,38,0.263,30,0.267,,
4383,竹田吉行,109,0.211,0,,0.211,全国,45,24,0.75,●,残す型,28,0.071,0.107,,35,0.4,30,0.167,●,
4384,鶴本崇文,116,0.31,6,0.5,0.31,全国,59,20,0.6,●,残す型,35,0.057,0.171,,38,0.658,40,0.3,,
4385,鈴木祐美子,61,0.098,9,0.222,0.098,全国,15,12,0.167,,,14,0.0,0.071,,21,0.048,18,0.222,●,●
4387,平山智加,117,0.274,0,,0.274,全国,62,20,0.5,●,,30,0.067,0.3,,40,0.45,32,0.438,,
4388,是澤孝宏,133,0.271,4,0.25,0.271,全国,46,18,0.5,,,38,0.079,0.184,,42,0.524,44,0.341,,
4389,伊藤喜智,93,0.204,8,0.0,0.204,全国,28,17,0.235,,,31,0.097,0.032,,29,0.517,28,0.107,●,
4390,松本弓雄,100,0.16,0,,0.16,全国,27,21,0.095,,,25,0.0,0.08,,37,0.324,26,0.154,●,
4391,松田祐季,115,0.2,9,0.222,0.2,全国,57,15,0.533,,,36,0.083,0.139,,40,0.575,42,0.31,,
4393,田中孝明,98,0.153,5,0.0,0.153,全国,22,12,0.25,,,31,0.0,0.129,,33,0.182,31,0.129,●,●
4394,永嶋裕一,107,0.336,0,,0.336,全国,37,17,0.471,,,27,0.074,0.259,,36,0.472,30,0.433,,
4395,下河雅史,117,0.171,4,0.0,0.171,全国,39,20,0.4,,,35,0.057,0.057,,36,0.306,35,0.114,●,
4396,大田直弥,112,0.259,0,,0.259,全国,38,22,0.455,,,29,0.0,0.276,,36,0.306,33,0.333,,
4397,西村拓也,119,0.176,10,0.3,0.176,全国,59,13,0.308,,,25,0.2,0.08,,45,0.6,37,0.459,,
4398,船岡洋一郎,137,0.197,5,0.2,0.197,全国,68,15,0.6,,,36,0.167,0.139,,44,0.568,42,0.333,,
4400,加藤奈月,91,0.165,0,,0.165,全国,25,22,0.364,,,30,0.033,0.133,,30,0.2,27,0.222,●,●
4401,小林泰,104,0.163,8,0.125,0.163,全国,36,10,0.4,,,30,0.067,0.2,,32,0.281,32,0.281,,
4402,乙藤智史,103,0.204,0,,0.204,全国,40,13,0.538,,,33,0.061,0.212,,33,0.455,37,0.27,,
4403,木下大將,108,0.231,6,0.0,0.231,全国,36,11,0.455,,,27,0.037,0.222,,39,0.59,28,0.25,,
4404,岸蔭亮,104,0.106,2,0.0,0.106,全国,21,15,0.067,,,31,0.032,0.0,,35,0.257,31,0.065,●,
4405,南野利騰,93,0.215,0,,0.215,全国,26,20,0.3,,,23,0.0,0.174,,33,0.394,23,0.13,●,
4406,幸野史明,124,0.145,9,0.111,0.145,全国,25,12,0.417,,,46,0.022,0.087,●,43,0.326,32,0.156,●,
4407,鹿島敏弘,112,0.223,4,0.25,0.223,全国,35,21,0.619,,,34,0.029,0.147,,34,0.382,34,0.147,●,
4408,仁科さやか,79,0.076,5,0.0,0.076,全国,18,9,0.444,,,17,0.059,0.0,,28,0.25,21,0.095,●,
4409,坂元浩仁,113,0.221,0,,0.221,全国,50,11,0.455,,,36,0.083,0.139,,38,0.553,38,0.368,,
4410,井上大輔,103,0.146,0,,0.146,全国,30,17,0.176,,,24,0.083,0.125,,39,0.256,26,0.308,,
4411,沢田昭宏,123,0.211,3,0.333,0.211,全国,45,17,0.529,,,41,0.073,0.098,●,40,0.475,41,0.244,●,
4413,水摩敦,120,0.208,5,0.2,0.208,全国,53,23,0.304,●,飛ぶ型,34,0.118,0.235,,40,0.425,45,0.467,,
4414,大澤真菜,78,0.077,8,0.0,0.077,全国,22,14,0.429,,,20,0.0,0.0,,28,0.143,19,0.053,●,●
4415,下出卓矢,123,0.106,5,0.0,0.106,全国,47,13,0.385,,,48,0.146,0.083,●,45,0.4,37,0.378,,
4416,三宅健太,113,0.177,4,0.0,0.177,全国,32,24,0.417,,,36,0.0,0.083,,35,0.286,33,0.182,●,
4417,服部剛,87,0.161,0,,0.161,全国,26,15,0.533,,,20,0.05,0.15,,33,0.455,23,0.217,●,
4418,茅原悠紀,107,0.262,8,0.125,0.262,全国,59,13,0.385,,,35,0.143,0.286,,31,0.645,42,0.5,,
4419,原加央理,90,0.222,0,,0.222,全国,26,15,0.4,,,21,0.048,0.143,,32,0.375,24,0.208,●,
