regno,選手名,n2c,勝率,差し勝率,補正勝率,補正差し勝率,差し比率,差し巧者,差し不発
3612,馬袋義則,66,0.076,0.03,0.095,0.045,0.4,,●
3161,古場輝義,44,0.045,0.023,0.081,0.045,0.5,,●
3614,谷勝幸,44,0.023,0.023,0.065,0.045,1.0,,●
3888,山本英志,45,0.089,0.022,0.11,0.044,0.25,,●
5003,来田衣織,45,0.067,0.022,0.095,0.044,0.333,,●
3268,森竜也,47,0.106,0.021,0.122,0.043,0.2,,●
3156,金子良昭,49,0.041,0.02,0.075,0.042,0.5,,●
3922,菅沼佳昭,50,0.02,0.02,0.06,0.041,1.0,,●
4844,村上奈穂,50,0.06,0.02,0.088,0.041,0.333,,●
3557,太田和美,53,0.075,0.019,0.098,0.04,0.25,,●
3542,清水紀克,132,0.045,0.023,0.06,0.032,0.5,,●
4948,木場悠介,40,0.1,0.0,0.12,0.031,0.0,,●
3282,池本輝明,41,0.0,0.0,0.052,0.031,0,,●
3381,滝沢芳行,40,0.05,0.0,0.086,0.031,0.0,,●
4562,阪本勇介,40,0.025,0.0,0.07,0.031,0.0,,●
5102,原田雄次,41,0.073,0.0,0.101,0.031,0.0,,●
4876,梅木敬太,40,0.0,0.0,0.053,0.031,0,,●
5306,河内悠利杏,40,0.025,0.0,0.07,0.031,0.0,,●
3226,浦田信義,42,0.0,0.0,0.051,0.03,0,,●
3618,海野ゆかり,43,0.209,0.0,0.193,0.03,0.0,,●
3546,中里昌志,42,0.0,0.0,0.051,0.03,0,,●
3212,亀本勇樹,43,0.023,0.0,0.066,0.03,0.0,,●
3708,岡部貴司,43,0.07,0.0,0.098,0.03,0.0,,●
3627,井上恵一,44,0.023,0.0,0.065,0.03,0.0,,●
4924,中北涼,42,0.024,0.0,0.067,0.03,0.0,,●
4261,岡祐臣,43,0.07,0.0,0.098,0.03,0.0,,●
3303,渡辺豊,43,0.023,0.0,0.066,0.03,0.0,,●
4501,樋口由加里,46,0.13,0.0,0.139,0.029,0.0,,●
4040,廣瀬将亨,47,0.021,0.0,0.062,0.028,0.0,,●
3655,本橋克洋,47,0.0,0.0,0.047,0.028,0,,●
4298,宮下元胤,50,0.1,0.0,0.117,0.027,0.0,,●
4496,内堀学,53,0.094,0.0,0.112,0.026,0.0,,●
3072,西田靖,136,0.044,0.015,0.059,0.025,0.333,,●
