regno,選手名,n2c,勝率,差し勝率,補正勝率,補正差し勝率,差し比率,差し巧者,差し不発
4649,和田操拓,41,0.195,0.146,0.183,0.129,0.75,,
4497,桑原悠,41,0.244,0.146,0.216,0.129,0.6,,
4482,守屋美穂,41,0.171,0.146,0.167,0.129,0.857,,
4256,渡辺浩司,41,0.171,0.146,0.167,0.129,0.857,,
4821,妻鳥晋也,41,0.146,0.146,0.15,0.129,1.0,,
4237,大峯豊,41,0.22,0.146,0.2,0.129,0.667,,
4798,浜先真範,41,0.171,0.146,0.167,0.129,0.857,,
3777,樋口亮,41,0.244,0.146,0.216,0.129,0.6,,
4487,三原司,42,0.19,0.143,0.18,0.127,0.75,,
4645,上村純一,42,0.167,0.143,0.164,0.127,0.857,,
4932,新開航,42,0.214,0.143,0.196,0.127,0.667,,
4243,西村歩,42,0.214,0.143,0.196,0.127,0.667,,
4539,金子賢志,42,0.238,0.143,0.213,0.127,0.6,,
4151,下河誉史,42,0.143,0.143,0.148,0.127,1.0,,
5224,西岡顕心,43,0.233,0.14,0.209,0.125,0.6,,
4049,荒川健太,51,0.137,0.137,0.143,0.125,1.0,,
5002,上田健太,43,0.209,0.14,0.193,0.125,0.667,,
5042,畑田汰一,43,0.209,0.14,0.193,0.125,0.667,,
3256,三角哲男,43,0.233,0.14,0.209,0.125,0.6,,
4958,溝口海義也,51,0.235,0.137,0.214,0.125,0.583,,
4760,山崎郡,43,0.209,0.14,0.193,0.125,0.667,,
3966,作間章,43,0.233,0.14,0.209,0.125,0.6,,
3933,山地正樹,100,0.15,0.13,0.151,0.124,0.867,,
4748,渡邉雄朗,44,0.227,0.136,0.206,0.123,0.6,,
5038,金田智博,44,0.159,0.136,0.159,0.123,0.857,,
4269,杉山裕也,44,0.205,0.136,0.19,0.123,0.667,,
4099,吉永則雄,44,0.182,0.136,0.175,0.123,0.75,,
5278,田中駿兵,45,0.178,0.133,0.172,0.121,0.75,,
5132,中野希一,45,0.311,0.133,0.264,0.121,0.429,,
4583,古田祐貴,45,0.178,0.133,0.172,0.121,0.75,,
5028,原田才一郎,45,0.267,0.133,0.233,0.121,0.5,,
4515,藤田浩人,45,0.133,0.133,0.141,0.121,1.0,,
5121,定松勇樹,46,0.239,0.13,0.215,0.12,0.545,,
3911,鈴木猛,46,0.13,0.13,0.139,0.12,1.0,,
4776,竹田和哉,46,0.196,0.13,0.184,0.12,0.667,,
4295,小坂尚哉,46,0.261,0.13,0.23,0.12,0.5,,
4311,岡村仁,46,0.261,0.13,0.23,0.12,0.5,,
4424,松尾昂明,46,0.174,0.13,0.169,0.12,0.75,,
4286,平田さやか,46,0.152,0.13,0.154,0.12,0.857,,
4302,西野翔太,64,0.172,0.125,0.169,0.118,0.727,,
5142,常住蓮,47,0.234,0.128,0.212,0.118,0.545,,
3841,佐々木和伸,47,0.128,0.128,0.137,0.118,1.0,,
4388,是澤孝宏,47,0.149,0.128,0.152,0.118,0.857,,
4231,鈴木裕隆,48,0.229,0.125,0.208,0.116,0.545,,
4028,田村隆信,48,0.146,0.125,0.15,0.116,0.857,,
4600,井内将太郎,40,0.225,0.125,0.203,0.115,0.556,,
4245,高橋直哉,40,0.175,0.125,0.17,0.115,0.714,,
3070,山室展弘,40,0.15,0.125,0.153,0.115,0.833,,
5216,長谷川晴哉,40,0.2,0.125,0.186,0.115,0.625,,
3415,松井繁,57,0.211,0.123,0.197,0.115,0.583,,
4276,鈴木勝博,40,0.175,0.125,0.17,0.115,0.714,,
4787,椎名豊,40,0.375,0.125,0.303,0.115,0.333,,
5205,刑部亜里紗,49,0.143,0.122,0.147,0.114,0.857,,
4433,川野芽唯,49,0.327,0.122,0.278,0.114,0.375,,
4448,青木玄太,41,0.22,0.122,0.2,0.113,0.556,,
4015,前野竜一,50,0.16,0.12,0.16,0.113,0.75,,
4434,田中辰彦,41,0.22,0.122,0.2,0.113,0.556,,
4251,川崎誠志,50,0.16,0.12,0.16,0.113,0.75,,
4259,真庭明志,50,0.16,0.12,0.16,0.113,0.75,,
4120,柘植政浩,41,0.146,0.122,0.15,0.113,0.833,,
4051,清水敦揮,41,0.122,0.122,0.134,0.113,1.0,,
4364,池永太,41,0.22,0.122,0.2,0.113,0.556,,
4074,柳沢一,41,0.171,0.122,0.167,0.113,0.714,,
3997,北村征嗣,50,0.18,0.12,0.174,0.113,0.667,,
3582,吉川昭男,86,0.198,0.116,0.19,0.112,0.588,,
5189,藤原早菜,42,0.167,0.119,0.164,0.111,0.714,,
4939,宮之原輝紀,42,0.143,0.119,0.148,0.111,0.833,,
4073,大橋純一郎,42,0.119,0.119,0.132,0.111,1.0,,
4611,今井美亜,42,0.286,0.119,0.245,0.111,0.417,,
4598,加藤政彦,42,0.143,0.119,0.148,0.111,0.833,,
3874,山本寛久,42,0.143,0.119,0.148,0.111,0.833,,
4468,大池佑来,42,0.167,0.119,0.164,0.111,0.714,,
4743,木村仁紀,52,0.173,0.115,0.169,0.11,0.667,,
3965,北中元樹,43,0.186,0.116,0.177,0.109,0.625,,
4624,高田明,43,0.209,0.116,0.193,0.109,0.556,,
4834,浜本裕己,43,0.163,0.116,0.162,0.109,0.714,,
4171,榎幸司,43,0.14,0.116,0.146,0.109,0.833,,
4460,後藤翔之,43,0.116,0.116,0.13,0.109,1.0,,
4224,大橋栄里佳,44,0.136,0.114,0.143,0.108,0.833,,
3746,岡瀬正人,44,0.136,0.114,0.143,0.108,0.833,,
4588,田中京介,44,0.159,0.114,0.159,0.108,0.714,,
4061,萩原秀人,44,0.136,0.114,0.143,0.108,0.833,,
4486,野村誠,44,0.159,0.114,0.159,0.108,0.714,,
3915,繁野谷圭介,44,0.159,0.114,0.159,0.108,0.714,,
4500,山田康二,44,0.25,0.114,0.222,0.108,0.455,,
4927,関野文,44,0.205,0.114,0.19,0.108,0.556,,
5088,高憧四季,45,0.4,0.111,0.326,0.106,0.278,,
3804,中渡修作,45,0.111,0.111,0.126,0.106,1.0,,
3024,西島義則,111,0.252,0.108,0.238,0.106,0.429,,
4953,尾上雅也,45,0.222,0.111,0.203,0.106,0.5,,
4409,坂元浩仁,45,0.222,0.111,0.203,0.106,0.5,,
4991,宗行治哉,46,0.109,0.109,0.124,0.104,1.0,,
4218,吉川喜継,56,0.179,0.107,0.173,0.104,0.6,,
4886,入海馨,47,0.149,0.106,0.152,0.103,0.714,,
3574,大神康司,125,0.176,0.104,0.174,0.103,0.591,,
4363,大野芳顕,47,0.128,0.106,0.137,0.103,0.833,,
4077,品田直樹,47,0.255,0.106,0.227,0.103,0.417,,
4938,小芦るり華,48,0.271,0.104,0.238,0.101,0.385,,
5018,竹下大樹,48,0.229,0.104,0.208,0.101,0.455,,
4233,亀山雅幸,48,0.208,0.104,0.194,0.101,0.5,,
4856,豊田健士郎,49,0.245,0.102,0.22,0.1,0.417,,
4516,野口勝弘,49,0.265,0.102,0.234,0.1,0.385,,
3349,吉田一郎,49,0.204,0.102,0.191,0.1,0.5,,
4063,市橋卓士,49,0.143,0.102,0.147,0.1,0.714,,
4704,河野大,49,0.184,0.102,0.176,0.1,0.556,,
3304,烏野賢太,50,0.1,0.1,0.117,0.098,1.0,,
3473,石川真二,163,0.153,0.098,0.154,0.098,0.64,,
5114,小林孝彰,50,0.14,0.1,0.145,0.098,0.714,,
4002,古結宏,40,0.125,0.1,0.136,0.098,0.8,,
5068,前田滉,40,0.225,0.1,0.203,0.098,0.444,,
3897,白井英治,40,0.175,0.1,0.17,0.098,0.571,,
4182,吉田和仁,40,0.1,0.1,0.12,0.098,1.0,,
4397,西村拓也,50,0.18,0.1,0.174,0.098,0.556,,
3590,濱野谷憲吾,40,0.225,0.1,0.203,0.098,0.444,,
3941,池田浩二,40,0.2,0.1,0.186,0.098,0.5,,
3641,一瀬明,50,0.12,0.1,0.131,0.098,0.833,,
4348,宮崎奨,40,0.15,0.1,0.153,0.098,0.667,,
4148,枝尾賢,40,0.15,0.1,0.153,0.098,0.667,,
3159,江口晃生,111,0.162,0.099,0.162,0.098,0.611,,
4961,西橋奈未,41,0.195,0.098,0.183,0.097,0.5,,
5060,数原魁,41,0.171,0.098,0.167,0.097,0.571,,
5238,笹木香吾,41,0.171,0.098,0.167,0.097,0.571,,
4168,石野貴之,41,0.146,0.098,0.15,0.097,0.667,,
4292,麻生慎介,42,0.167,0.095,0.164,0.095,0.571,,
4873,蒲原健太,42,0.143,0.095,0.148,0.095,0.667,,
4994,山本梨菜,42,0.238,0.095,0.213,0.095,0.4,,
4407,鹿島敏弘,42,0.119,0.095,0.132,0.095,0.8,,
4452,松尾祭,42,0.143,0.095,0.148,0.095,0.667,,
3629,浅見昌克,42,0.167,0.095,0.164,0.095,0.571,,
4105,松下直也,42,0.119,0.095,0.132,0.095,0.8,,
5136,濱野斗馬,42,0.214,0.095,0.196,0.095,0.444,,
4264,長尾章平,42,0.119,0.095,0.132,0.095,0.8,,
5160,藤森陸斗,43,0.163,0.093,0.162,0.093,0.571,,
5004,河野主樹,43,0.116,0.093,0.13,0.093,0.8,,
3333,丸尾義孝,43,0.186,0.093,0.177,0.093,0.5,,
5223,森清友翔,43,0.116,0.093,0.13,0.093,0.8,,
4443,津田裕絵,43,0.093,0.093,0.114,0.093,1.0,,
4623,中北将史,44,0.136,0.091,0.143,0.092,0.667,,
4369,丹下将,44,0.114,0.091,0.128,0.092,0.8,,
4000,松本博昭,44,0.091,0.091,0.112,0.092,1.0,,
3983,須藤博倫,44,0.182,0.091,0.175,0.092,0.5,,
4052,興津藍,44,0.159,0.091,0.159,0.092,0.571,,
4172,森定晃史,44,0.114,0.091,0.128,0.092,0.8,,
4437,中田元泰,45,0.133,0.089,0.141,0.091,0.667,,
5051,松本純平,45,0.2,0.089,0.187,0.091,0.444,,
4467,渡邉俊介,45,0.133,0.089,0.141,0.091,0.667,,
4710,福田宗平,45,0.156,0.089,0.157,0.091,0.571,,
5229,吉川晴人,45,0.133,0.089,0.141,0.091,0.667,,
4686,丸野一樹,45,0.178,0.089,0.172,0.091,0.5,,
4199,北川潤二,90,0.156,0.089,0.156,0.09,0.571,,
4236,松村敏,46,0.174,0.087,0.169,0.089,0.5,,
4159,向後龍一,46,0.174,0.087,0.169,0.089,0.5,,
4471,新田泰章,47,0.255,0.085,0.227,0.088,0.333,,
4466,南佑典,47,0.085,0.085,0.107,0.088,1.0,,
3251,平石和男,47,0.213,0.085,0.197,0.088,0.4,,
3562,山下和彦,47,0.128,0.085,0.137,0.088,0.667,,
5045,平川香織,48,0.271,0.083,0.238,0.087,0.308,,
4604,岩瀬裕亮,48,0.188,0.083,0.179,0.087,0.444,,
4144,石塚久也,48,0.146,0.083,0.15,0.087,0.571,,
3327,野長瀬正孝,48,0.125,0.083,0.135,0.087,0.667,,
5034,若林義人,48,0.146,0.083,0.15,0.087,0.571,,
4033,伊藤将吉,49,0.184,0.082,0.176,0.085,0.444,,
4959,井上忠政,49,0.204,0.082,0.191,0.085,0.4,,
3532,柴田光,61,0.246,0.082,0.224,0.085,0.333,,
4739,中村晃朋,49,0.163,0.082,0.162,0.085,0.5,,
3661,柳瀬興志,49,0.143,0.082,0.147,0.085,0.571,,
4379,桑島和宏,49,0.122,0.082,0.133,0.085,0.667,,
4137,君島秀三,50,0.14,0.08,0.145,0.084,0.571,,
4788,小池哲也,50,0.14,0.08,0.145,0.084,0.571,,
5191,飛田江己,51,0.176,0.078,0.172,0.083,0.444,,
3422,服部幸男,40,0.175,0.075,0.17,0.081,0.429,,
3686,鳥居塚孝博,40,0.1,0.075,0.12,0.081,0.75,,
