regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4105,松下直也,42,0.5952,0.5608,3.4,17,0.353,0.529,,
5134,大原祥昌,44,0.6136,0.5798,3.4,17,0.353,0.529,,
4957,竹之内極,44,0.5909,0.5564,3.5,18,0.333,0.556,,
3957,大谷直弘,42,0.5952,0.56,3.5,17,0.294,0.824,,
4389,伊藤喜智,42,0.619,0.5833,3.6,16,0.312,0.75,,
3777,樋口亮,40,0.6,0.5638,3.6,16,0.5,0.625,,
4890,石川諒,41,0.5854,0.5475,3.8,17,0.353,0.529,,
4113,木村浩士,40,0.575,0.5368,3.8,17,0.471,0.471,,
3909,佐々木康幸,41,0.6098,0.5713,3.8,16,0.438,0.75,,
5265,大廣咲季,41,0.561,0.5224,3.9,18,0.0,0.889,,
5234,塚越海斗,45,0.6222,0.582,4.0,17,0.824,0.353,,
3984,坂口周,51,0.6078,0.5674,4.0,20,0.4,0.6,,
3807,岡部哲,42,0.5952,0.5548,4.0,17,0.294,0.706,,
3613,角谷健吾,41,0.5854,0.5441,4.1,17,0.294,0.529,,
4902,山川雄大,41,0.6098,0.5679,4.2,16,0.188,0.625,,
3687,花田和明,57,0.614,0.5724,4.2,22,0.136,0.818,,
4033,伊藤将吉,46,0.6522,0.6091,4.3,16,0.375,0.375,,
4531,武富智亮,43,0.6047,0.5614,4.3,17,0.353,0.588,,
3910,松下知幸,42,0.5952,0.5509,4.4,17,0.176,0.647,,
4713,白神優,45,0.6444,0.6002,4.4,16,0.5,0.438,,
4171,榎幸司,40,0.625,0.5811,4.4,15,0.333,0.533,,
4876,梅木敬太,44,0.6136,0.5692,4.4,17,0.059,0.588,,
4172,森定晃史,45,0.6,0.5561,4.4,18,0.167,0.667,,
4224,大橋栄里佳,40,0.6,0.5559,4.4,16,0.25,0.625,,
4649,和田操拓,40,0.575,0.5314,4.4,17,0.353,0.529,,
3746,岡瀬正人,44,0.5909,0.5449,4.6,18,0.389,0.667,,
3406,中里英夫,41,0.5854,0.5396,4.6,17,0.294,0.588,,
4409,坂元浩仁,44,0.6364,0.5881,4.8,16,0.438,0.625,,
4049,荒川健太,46,0.6087,0.5611,4.8,18,0.333,0.444,,
2538,高橋二朗,41,0.5854,0.5375,4.8,17,0.059,0.588,,
4319,三宅潤,45,0.6222,0.5727,4.9,17,0.294,0.706,,
4208,三浦永理,45,0.6444,0.5954,4.9,16,0.5,0.5,,
4908,上田龍星,43,0.6744,0.6245,5.0,14,0.5,0.429,,
5102,原田雄次,40,0.625,0.5751,5.0,15,0.2,0.8,,
4732,堀本和也,44,0.6364,0.5861,5.0,16,0.625,0.375,,
4933,板橋侑我,41,0.6829,0.6322,5.1,13,0.385,0.538,,
5031,渡辺空依,43,0.6279,0.5771,5.1,16,0.25,0.562,,
4264,長尾章平,42,0.6667,0.6145,5.2,14,0.429,0.429,,
5017,澤田尚也,43,0.6977,0.6453,5.2,13,0.615,0.308,,
4978,山田和佐,42,0.619,0.5662,5.3,16,0.25,0.625,,
3888,山本英志,43,0.6279,0.5754,5.3,16,0.25,0.562,,
4645,上村純一,41,0.6585,0.6052,5.3,14,0.429,0.5,,
5114,小林孝彰,48,0.6042,0.5493,5.5,19,0.368,0.632,,
5222,津田陸翔,46,0.6522,0.5967,5.5,16,0.438,0.625,,
4466,南佑典,43,0.6047,0.5481,5.7,17,0.294,0.529,,
4015,前野竜一,49,0.6327,0.5733,5.9,18,0.278,0.667,,
4000,松本博昭,45,0.6222,0.5628,5.9,17,0.235,0.529,,
4910,中村泰平,40,0.65,0.5899,6.0,14,0.429,0.429,,
4844,村上奈穂,49,0.6122,0.5527,6.0,19,0.158,0.632,,
4468,大池佑来,43,0.6744,0.6149,6.0,14,0.357,0.571,,
4123,細川裕子,44,0.6364,0.5761,6.0,16,0.375,0.688,,
4366,前沢丈史,48,0.625,0.5638,6.1,18,0.444,0.389,,
5351,齊藤廉,41,0.6098,0.5486,6.1,16,0.188,0.438,,
4679,植田太一,47,0.617,0.5554,6.2,18,0.278,0.667,,
4991,宗行治哉,40,0.625,0.563,6.2,15,0.4,0.6,,
3833,中辻博訓,46,0.6304,0.564,6.6,17,0.647,0.471,,
5247,大森翼,46,0.6304,0.5633,6.7,17,0.118,0.824,,
3748,小黒竜吾,41,0.6098,0.5403,6.9,16,0.125,0.688,,
4962,畑竜生,43,0.6047,0.5345,7.0,17,0.235,0.765,,
4550,石岡将太,40,0.65,0.5803,7.0,14,0.357,0.571,,
4798,浜先真範,41,0.6341,0.5641,7.0,15,0.6,0.2,,
3505,山田竜一,42,0.5952,0.5239,7.1,17,0.353,0.529,,
3740,大澤普司,40,0.65,0.5782,7.2,14,0.429,0.5,,
3744,徳増秀樹,41,0.6829,0.609,7.4,13,0.385,0.462,,
3843,上之晃弘,41,0.6341,0.5578,7.6,15,0.133,0.667,,
4019,笠原亮,41,0.7073,0.631,7.6,12,0.25,0.917,,
3928,林恵祐,41,0.6585,0.5797,7.9,14,0.071,0.857,,
4506,稗田聖也,42,0.6667,0.5862,8.0,14,0.643,0.429,,
3303,渡辺豊,43,0.6047,0.5247,8.0,17,0.059,0.529,,
4209,藤田竜弘,42,0.6667,0.5825,8.4,14,0.143,0.786,壁強●,
4924,中北涼,42,0.619,0.5347,8.4,16,0.062,0.625,壁強●,
4227,安達裕樹,43,0.6977,0.6122,8.5,13,0.231,0.615,壁強●,
3618,海野ゆかり,46,0.6522,0.5658,8.6,16,0.5,0.75,壁強●,
4423,坂口貴彦,40,0.65,0.5641,8.6,14,0.357,0.571,壁強●,
3922,菅沼佳昭,45,0.6667,0.5799,8.7,15,0.067,0.867,壁強●,
4137,君島秀三,45,0.6889,0.6004,8.8,14,0.429,0.571,壁強●,
5026,安河内健,45,0.6667,0.5774,8.9,15,0.467,0.4,壁強●,
3804,中渡修作,47,0.6383,0.5479,9.0,17,0.294,0.529,壁強●,
4904,松本一毅,46,0.6739,0.5835,9.0,15,0.133,0.733,壁強●,
4967,中村魁生,41,0.6829,0.5929,9.0,13,0.308,0.692,壁強●,
3999,大瀧明日香,50,0.66,0.5689,9.1,17,0.235,0.706,壁強●,
3557,太田和美,54,0.7222,0.63,9.2,15,0.2,0.6,壁強●,
5038,金田智博,44,0.6591,0.5673,9.2,15,0.667,0.267,壁強●,
3334,角ひとみ,41,0.6341,0.5411,9.3,15,0.267,0.733,壁強●,
4588,田中京介,44,0.6591,0.5653,9.4,15,0.4,0.733,壁強●,
5212,西川拓利,43,0.6744,0.5795,9.5,14,0.429,0.643,壁強●,
