regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
3942,寺田祥,93,0.237,4,0.0,0.237,全国,59,23,0.522,●,,16,0.0,0.188,,33,0.545,29,0.345,,
3943,三松直美,28,0.0,5,0.0,0.0,全国,5,5,0.0,,,12,0.0,0.0,,9,0.0,6,0.0,,
3944,山口裕二,108,0.213,18,0.222,0.213,全国,44,13,0.692,,,28,0.179,0.143,,31,0.419,37,0.405,,
3945,橋口真樹,84,0.143,3,0.333,0.143,全国,20,15,0.267,,,22,0.091,0.091,,31,0.129,22,0.227,●,●
3946,赤岩善生,43,0.209,0,,0.209,全国,71,21,0.476,●,,5,0.4,0.2,,41,0.585,45,0.667,,
3947,寺本昇平,104,0.212,0,,0.212,全国,34,23,0.174,,,30,0.1,0.167,,36,0.306,32,0.312,,
3948,大町利克,88,0.068,0,,0.068,全国,19,15,0.333,,,29,0.0,0.034,,27,0.259,30,0.067,●,
3949,今出晋二,91,0.099,7,0.143,0.099,全国,26,25,0.24,,,27,0.0,0.074,,29,0.069,31,0.129,●,●
3950,石川哲秀,80,0.125,4,0.25,0.125,全国,23,22,0.227,,,23,0.13,0.0,,31,0.194,23,0.13,●,●
3951,石川吉鎬,106,0.217,6,0.333,0.217,全国,38,23,0.304,,,27,0.0,0.148,,35,0.371,30,0.167,●,
3952,中澤和志,118,0.297,11,0.364,0.297,全国,59,22,0.5,●,,30,0.067,0.233,,43,0.581,37,0.405,,
3953,志道吉和,66,0.091,5,0.2,0.091,全国,17,9,0.222,,,23,0.043,0.0,,21,0.143,19,0.053,●,●
3955,眞田英二,76,0.237,0,,0.237,全国,20,12,0.5,,,20,0.0,0.2,,27,0.259,21,0.19,●,
3956,横澤剛治,102,0.216,3,0.0,0.216,全国,38,15,0.4,,,26,0.077,0.154,,32,0.438,36,0.361,,
3957,大谷直弘,115,0.209,0,,0.209,全国,35,23,0.391,,,28,0.107,0.179,,46,0.304,30,0.367,,
3959,坪井康晴,115,0.191,4,0.25,0.191,全国,53,18,0.611,,,29,0.034,0.103,,41,0.537,37,0.324,,
3960,菊地孝平,121,0.157,7,0.0,0.157,全国,55,18,0.389,,,32,0.094,0.094,,36,0.5,42,0.333,,
3961,谷村一哉,98,0.306,5,0.4,0.306,全国,43,11,0.545,,,34,0.147,0.353,,31,0.516,36,0.583,,
3963,原田秀弥,110,0.182,0,,0.182,全国,44,20,0.35,●,飛ぶ型,32,0.031,0.219,,39,0.436,35,0.286,,
3964,宮地博士,100,0.17,16,0.188,0.17,全国,24,20,0.4,,,26,0.038,0.115,,36,0.278,26,0.115,●,
3965,北中元樹,125,0.184,0,,0.184,全国,47,19,0.526,,,43,0.07,0.256,●,35,0.486,45,0.356,,
3966,作間章,125,0.264,7,0.286,0.264,全国,63,19,0.316,,,36,0.083,0.278,,40,0.525,41,0.439,,
3967,鈴木茂高,100,0.11,3,0.0,0.11,全国,24,13,0.462,,,31,0.0,0.065,,33,0.182,26,0.077,●,●
3968,茶谷信次,103,0.33,0,,0.33,全国,38,14,0.5,,,37,0.054,0.27,,31,0.548,45,0.333,,
3973,崎利仁,112,0.161,8,0.125,0.161,全国,32,25,0.28,,,34,0.059,0.147,,38,0.342,32,0.219,●,
3974,深山祐二,87,0.161,6,0.167,0.161,全国,25,19,0.474,,,23,0.0,0.13,,30,0.2,23,0.217,●,●
3975,小野寺智洋,105,0.248,6,0.167,0.248,全国,37,12,0.417,,,34,0.059,0.265,,36,0.278,32,0.25,,
3976,内田圭,98,0.071,8,0.0,0.071,全国,26,17,0.235,,,27,0.037,0.0,,31,0.258,28,0.036,●,
3977,山本兼士,117,0.171,3,0.0,0.171,全国,31,22,0.136,,,34,0.088,0.0,,35,0.229,31,0.161,●,●
3978,齊藤仁,107,0.215,0,,0.215,全国,44,14,0.214,,,37,0.081,0.243,,33,0.455,38,0.342,,
3981,今坂晃広,119,0.134,10,0.0,0.134,全国,29,12,0.167,,,36,0.028,0.083,,38,0.263,29,0.138,●,
3982,福田理,91,0.099,0,,0.099,全国,29,21,0.333,,,23,0.0,0.0,,32,0.188,25,0.04,●,●
3983,須藤博倫,132,0.205,8,0.25,0.205,全国,47,17,0.529,,,37,0.135,0.189,,42,0.595,41,0.366,,
3984,坂口周,128,0.289,9,0.222,0.289,全国,62,17,0.588,,,33,0.0,0.242,,41,0.561,44,0.341,,
3986,沖島広和,54,0.185,4,0.5,0.185,全国,20,9,0.778,,,22,0.0,0.091,,18,0.389,22,0.136,●,
3987,後藤正宗,124,0.218,0,,0.218,全国,45,16,0.375,,,40,0.1,0.175,●,33,0.576,42,0.333,,
3988,古川誠之,129,0.248,0,,0.248,全国,54,19,0.632,,,40,0.05,0.3,●,37,0.514,49,0.367,,
3989,熊本英一,90,0.122,5,0.2,0.122,全国,22,14,0.214,,,31,0.065,0.097,,26,0.192,25,0.2,●,●
3990,芹澤克彦,102,0.118,2,0.5,0.118,全国,26,15,0.2,,,27,0.037,0.074,,36,0.25,28,0.143,●,
3992,関口智久,91,0.143,2,0.0,0.143,全国,30,14,0.214,,,32,0.094,0.156,,32,0.219,27,0.407,,●
3993,永井聖美,90,0.222,5,0.2,0.222,全国,32,20,0.1,,,20,0.05,0.25,,31,0.387,22,0.318,,
3994,小野桜,91,0.209,0,,0.209,全国,30,19,0.316,,,20,0.05,0.1,,36,0.25,23,0.217,●,
3995,重野哲之,89,0.258,0,,0.258,全国,40,9,0.556,,,27,0.074,0.222,,29,0.586,30,0.333,,
3997,北村征嗣,132,0.288,9,0.111,0.288,全国,66,21,0.429,●,,29,0.103,0.241,,53,0.547,37,0.405,,
3998,冨成謙児,101,0.069,2,0.0,0.069,全国,30,19,0.579,,,26,0.0,0.0,,41,0.244,26,0.0,●,●
3999,大瀧明日香,120,0.283,9,0.222,0.283,全国,60,22,0.545,●,,35,0.086,0.286,,38,0.342,40,0.425,,
4000,松本博昭,131,0.298,5,0.4,0.298,全国,60,27,0.63,●,残す型,35,0.057,0.371,,41,0.415,43,0.419,,
4002,古結宏,110,0.236,6,0.167,0.236,全国,58,18,0.389,,,23,0.087,0.522,,37,0.541,37,0.595,,
4003,表憲一,97,0.247,2,0.0,0.247,全国,29,19,0.211,,,31,0.161,0.194,,31,0.419,31,0.387,,
4004,山本浩輔,102,0.216,26,0.346,0.346,当地,30,16,0.625,,,22,0.091,0.091,,35,0.371,27,0.222,●,
4006,小野勇作,103,0.136,0,,0.136,全国,30,19,0.474,,,27,0.0,0.148,,34,0.324,27,0.185,●,
4007,榮田将彦,83,0.193,6,0.167,0.193,全国,25,13,0.462,,,32,0.0,0.125,,29,0.379,30,0.133,●,
4009,小林一樹,103,0.175,3,0.667,0.175,全国,45,18,0.333,,,23,0.087,0.13,,32,0.344,34,0.265,,
4010,越智照浩,88,0.216,0,,0.216,全国,22,11,0.091,,,21,0.0,0.095,,29,0.138,21,0.19,●,●
4011,堀之内紀代子,95,0.221,5,0.6,0.221,全国,33,11,0.545,,,32,0.125,0.25,,29,0.31,32,0.531,,
4012,中村有裕,94,0.181,5,0.2,0.181,全国,39,11,0.364,,,18,0.0,0.278,,38,0.447,32,0.312,,
4013,中島孝平,125,0.208,0,,0.208,全国,58,10,0.2,,,42,0.19,0.095,●,43,0.558,42,0.31,,
4014,片岡恵里,106,0.17,9,0.111,0.17,全国,49,17,0.353,,,32,0.062,0.156,,31,0.355,37,0.243,●,
4015,前野竜一,127,0.213,10,0.1,0.213,全国,51,21,0.381,●,飛ぶ型,43,0.093,0.233,●,38,0.447,40,0.325,,
4016,西川新太郎,107,0.159,0,,0.159,全国,30,19,0.316,,,33,0.091,0.121,,32,0.375,36,0.222,●,
4017,向井美鈴,103,0.233,7,0.429,0.233,全国,39,14,0.5,,,35,0.0,0.2,,34,0.471,33,0.212,●,
4019,笠原亮,118,0.178,6,0.167,0.178,全国,56,17,0.588,,,39,0.128,0.154,,40,0.525,40,0.35,,
4020,川上清人,102,0.098,7,0.0,0.098,全国,23,14,0.143,,,33,0.091,0.061,,34,0.176,27,0.185,●,●
4022,待鳥雄紀,87,0.103,2,0.0,0.103,全国,24,14,0.071,,,21,0.048,0.095,,27,0.259,25,0.16,●,
4023,柴田友和,94,0.096,4,0.25,0.096,全国,22,15,0.267,,,26,0.0,0.0,,36,0.306,23,0.0,●,
4024,井口佳典,125,0.208,4,0.0,0.208,全国,44,19,0.316,,,36,0.028,0.167,,40,0.475,45,0.333,,
4025,山本隆幸,83,0.169,4,0.25,0.169,全国,37,11,0.455,,,20,0.1,0.15,,28,0.429,27,0.481,,
4027,松江秀徳,90,0.144,9,0.222,0.144,全国,32,16,0.312,,,19,0.053,0.105,,28,0.393,25,0.16,●,
4028,田村隆信,101,0.198,4,0.0,0.198,全国,48,15,0.4,,,26,0.038,0.308,,36,0.389,31,0.419,,
4030,森高一真,127,0.244,5,0.2,0.244,全国,49,20,0.4,●,,35,0.057,0.143,,46,0.457,36,0.194,●,
4031,飯島誠,97,0.144,0,,0.144,全国,29,19,0.474,,,33,0.061,0.03,,34,0.294,29,0.103,●,
4033,伊藤将吉,115,0.226,2,0.0,0.226,全国,49,12,0.583,,,38,0.105,0.316,,36,0.444,38,0.421,,
4034,西原明生,100,0.05,5,0.2,0.05,全国,25,18,0.556,,,23,0.0,0.043,,38,0.158,23,0.043,●,●
4035,杉江浩明,115,0.087,3,0.0,0.087,全国,30,22,0.182,,,31,0.032,0.129,,45,0.2,27,0.222,●,●
4036,金田諭,112,0.25,10,0.3,0.25,全国,50,16,0.5,,,38,0.105,0.342,,34,0.559,44,0.477,,
4039,村上功祐,112,0.188,4,0.0,0.188,全国,41,22,0.409,●,,36,0.056,0.139,,36,0.444,39,0.179,●,
4040,廣瀬将亨,121,0.207,9,0.0,0.207,全国,51,18,0.389,,,45,0.067,0.133,●,34,0.5,44,0.182,●,
4041,小林基樹,88,0.182,6,0.333,0.182,全国,24,18,0.222,,,18,0.0,0.111,,37,0.243,22,0.136,●,●
4042,丸岡正典,115,0.217,3,0.0,0.217,全国,55,20,0.4,●,,44,0.136,0.136,●,33,0.576,42,0.357,,
4043,桐本康臣,114,0.316,4,0.5,0.316,全国,51,25,0.48,●,,31,0.097,0.226,,39,0.615,37,0.405,,
4044,湯川浩司,107,0.28,4,0.75,0.28,全国,50,14,0.643,,,26,0.077,0.346,,35,0.314,34,0.412,,
4045,佐々木裕美,89,0.067,0,,0.067,全国,30,20,0.4,,,19,0.053,0.105,,34,0.176,21,0.143,●,●
4047,吉永浩則,87,0.069,6,0.167,0.069,全国,27,13,0.538,,,28,0.0,0.036,,30,0.233,25,0.04,●,●
4049,荒川健太,111,0.288,3,0.333,0.288,全国,58,17,0.529,,,21,0.048,0.143,,36,0.472,38,0.342,,
4050,田口節子,109,0.239,4,0.0,0.239,全国,56,11,0.727,,,39,0.179,0.205,,33,0.606,40,0.45,,
4051,清水敦揮,89,0.326,5,0.4,0.326,全国,40,13,0.308,,,26,0.192,0.192,,29,0.621,28,0.5,,
