date,race,combo,odds
2026-08-30,1,1-2-3,7.6
2026-08-30,1,1-2-4,26.5
2026-08-30,1,1-2-5,47.6
2026-08-30,1,1-2-6,17.2
2026-08-30,1,1-3-2,8.3
2026-08-30,1,1-3-4,15.8
2026-08-30,1,1-3-5,27.4
2026-08-30,1,1-3-6,10.8
2026-08-30,1,1-4-2,66.2
2026-08-30,1,1-4-3,55.2
2026-08-30,1,1-4-5,138.4
2026-08-30,1,1-4-6,65.7
2026-08-30,1,1-5-2,139.8
2026-08-30,1,1-5-3,110.7
2026-08-30,1,1-5-4,244.5
2026-08-30,1,1-5-6,149.8
2026-08-30,1,1-6-2,49.3
2026-08-30,1,1-6-3,43.1
2026-08-30,1,1-6-4,89.0
2026-08-30,1,1-6-5,147.6
2026-08-30,1,2-1-3,19.1
2026-08-30,1,2-1-4,48.8
2026-08-30,1,2-1-5,73.9
2026-08-30,1,2-1-6,36.6
2026-08-30,1,2-3-1,38.1
2026-08-30,1,2-3-4,69.6
2026-08-30,1,2-3-5,97.2
2026-08-30,1,2-3-6,49.9
2026-08-30,1,2-4-1,195.8
2026-08-30,1,2-4-3,215.8
2026-08-30,1,2-4-5,491.9
2026-08-30,1,2-4-6,229.1
2026-08-30,1,2-5-1,269.8
2026-08-30,1,2-5-3,277.8
2026-08-30,1,2-5-4,679.9
2026-08-30,1,2-5-6,278.3
2026-08-30,1,2-6-1,127.4
2026-08-30,1,2-6-3,143.4
2026-08-30,1,2-6-4,282.0
2026-08-30,1,2-6-5,333.2
2026-08-30,1,3-1-2,27.8
2026-08-30,1,3-1-4,45.5
2026-08-30,1,3-1-5,49.2
2026-08-30,1,3-1-6,25.7
2026-08-30,1,3-2-1,46.5
2026-08-30,1,3-2-4,80.2
2026-08-30,1,3-2-5,84.6
2026-08-30,1,3-2-6,44.8
2026-08-30,1,3-4-1,109.7
2026-08-30,1,3-4-2,155.4
2026-08-30,1,3-4-5,202.7
2026-08-30,1,3-4-6,100.9
2026-08-30,1,3-5-1,141.6
2026-08-30,1,3-5-2,176.0
2026-08-30,1,3-5-4,241.7
2026-08-30,1,3-5-6,121.2
2026-08-30,1,3-6-1,63.6
2026-08-30,1,3-6-2,90.6
2026-08-30,1,3-6-4,119.0
2026-08-30,1,3-6-5,136.2
2026-08-30,1,4-1-2,443.7
2026-08-30,1,4-1-3,403.0
2026-08-30,1,4-1-5,663.8
2026-08-30,1,4-1-6,334.5
2026-08-30,1,4-2-1,631.2
2026-08-30,1,4-2-3,770.8
2026-08-30,1,4-2-5,989.8
2026-08-30,1,4-2-6,578.8
2026-08-30,1,4-3-1,465.9
2026-08-30,1,4-3-2,717.9
2026-08-30,1,4-3-5,950.4
2026-08-30,1,4-3-6,483.4
2026-08-30,1,4-5-1,832.2
2026-08-30,1,4-5-2,1317.0
2026-08-30,1,4-5-3,1038.0
2026-08-30,1,4-5-6,832.2
2026-08-30,1,4-6-1,463.3
2026-08-30,1,4-6-2,677.2
2026-08-30,1,4-6-3,655.9
2026-08-30,1,4-6-5,929.3
2026-08-30,1,5-1-2,453.3
2026-08-30,1,5-1-3,386.3
2026-08-30,1,5-1-4,853.4
2026-08-30,1,5-1-6,522.7
2026-08-30,1,5-2-1,606.0
2026-08-30,1,5-2-3,555.7
2026-08-30,1,5-2-4,1296.0
2026-08-30,1,5-2-6,828.1
2026-08-30,1,5-3-1,418.1
2026-08-30,1,5-3-2,557.5
2026-08-30,1,5-3-4,1239.0
2026-08-30,1,5-3-6,580.8
2026-08-30,1,5-4-1,1019.0
2026-08-30,1,5-4-2,1724.0
2026-08-30,1,5-4-3,1578.0
2026-08-30,1,5-4-6,1454.0
2026-08-30,1,5-6-1,685.5
2026-08-30,1,5-6-2,770.8
2026-08-30,1,5-6-3,721.0
2026-08-30,1,5-6-4,1317.0
2026-08-30,1,6-1-2,148.4
2026-08-30,1,6-1-3,149.0
2026-08-30,1,6-1-4,255.7
2026-08-30,1,6-1-5,503.8
2026-08-30,1,6-2-1,213.9
2026-08-30,1,6-2-3,261.7
2026-08-30,1,6-2-4,519.4
2026-08-30,1,6-2-5,699.9
2026-08-30,1,6-3-1,203.0
2026-08-30,1,6-3-2,299.2
2026-08-30,1,6-3-4,439.0
2026-08-30,1,6-3-5,661.1
2026-08-30,1,6-4-1,453.3
2026-08-30,1,6-4-2,717.9
2026-08-30,1,6-4-3,671.7
2026-08-30,1,6-4-5,1086.0
2026-08-30,1,6-5-1,819.9
2026-08-30,1,6-5-2,889.7
2026-08-30,1,6-5-3,880.4
2026-08-30,1,6-5-4,1286.0
2026-08-30,2,1-2-3,22.6
2026-08-30,2,1-2-4,8.6
2026-08-30,2,1-2-5,25.4
