date,race,combo,odds
2025-10-11,1,1-2-3,7.6
2025-10-11,1,1-2-4,6.5
2025-10-11,1,1-2-5,18.0
2025-10-11,1,1-2-6,58.5
2025-10-11,1,1-3-2,10.7
2025-10-11,1,1-3-4,11.8
2025-10-11,1,1-3-5,23.3
2025-10-11,1,1-3-6,121.8
2025-10-11,1,1-4-2,10.9
2025-10-11,1,1-4-3,17.3
2025-10-11,1,1-4-5,16.9
2025-10-11,1,1-4-6,77.8
2025-10-11,1,1-5-2,42.4
2025-10-11,1,1-5-3,54.0
2025-10-11,1,1-5-4,41.0
2025-10-11,1,1-5-6,160.5
2025-10-11,1,1-6-2,285.0
2025-10-11,1,1-6-3,366.5
2025-10-11,1,1-6-4,289.0
2025-10-11,1,1-6-5,442.5
2025-10-11,1,2-1-3,55.3
2025-10-11,1,2-1-4,43.4
2025-10-11,1,2-1-5,89.9
2025-10-11,1,2-1-6,197.5
2025-10-11,1,2-3-1,172.2
2025-10-11,1,2-3-4,151.4
2025-10-11,1,2-3-5,310.9
2025-10-11,1,2-3-6,882.7
2025-10-11,1,2-4-1,86.0
2025-10-11,1,2-4-3,144.4
2025-10-11,1,2-4-5,176.3
2025-10-11,1,2-4-6,403.4
2025-10-11,1,2-5-1,365.6
2025-10-11,1,2-5-3,533.0
2025-10-11,1,2-5-4,393.7
2025-10-11,1,2-5-6,927.6
2025-10-11,1,2-6-1,887.5
2025-10-11,1,2-6-3,1282.0
2025-10-11,1,2-6-4,1094.0
2025-10-11,1,2-6-5,1198.0
2025-10-11,1,3-1-2,95.8
2025-10-11,1,3-1-4,75.6
2025-10-11,1,3-1-5,147.1
2025-10-11,1,3-1-6,496.0
2025-10-11,1,3-2-1,177.1
2025-10-11,1,3-2-4,133.6
2025-10-11,1,3-2-5,254.1
2025-10-11,1,3-2-6,907.1
2025-10-11,1,3-4-1,143.1
2025-10-11,1,3-4-2,146.0
2025-10-11,1,3-4-5,191.8
2025-10-11,1,3-4-6,746.3
2025-10-11,1,3-5-1,388.1
2025-10-11,1,3-5-2,432.0
2025-10-11,1,3-5-4,311.5
2025-10-11,1,3-5-6,1216.0
2025-10-11,1,3-6-1,1492.0
2025-10-11,1,3-6-2,1909.0
2025-10-11,1,3-6-4,1578.0
2025-10-11,1,3-6-5,1784.0
2025-10-11,1,4-1-2,38.4
2025-10-11,1,4-1-3,79.1
2025-10-11,1,4-1-5,31.3
2025-10-11,1,4-1-6,127.0
2025-10-11,1,4-2-1,67.8
2025-10-11,1,4-2-3,134.8
2025-10-11,1,4-2-5,102.4
2025-10-11,1,4-2-6,322.5
2025-10-11,1,4-3-1,202.4
2025-10-11,1,4-3-2,201.9
2025-10-11,1,4-3-5,216.0
2025-10-11,1,4-3-6,873.3
2025-10-11,1,4-5-1,48.0
2025-10-11,1,4-5-2,86.5
2025-10-11,1,4-5-3,149.1
2025-10-11,1,4-5-6,126.6
2025-10-11,1,4-6-1,356.9
2025-10-11,1,4-6-2,584.3
2025-10-11,1,4-6-3,977.3
2025-10-11,1,4-6-5,410.4
2025-10-11,1,5-1-2,202.2
2025-10-11,1,5-1-3,327.7
2025-10-11,1,5-1-4,150.6
2025-10-11,1,5-1-6,367.3
2025-10-11,1,5-2-1,363.2
2025-10-11,1,5-2-3,508.3
2025-10-11,1,5-2-4,353.1
