登番,全国1コ走数,全国逃げ率
3898,51,74.5
3900,48,66.7
3904,20,40.0
3905,53,67.9
3906,28,39.3
3907,44,65.9
3908,64,71.9
3909,54,79.6
3910,29,37.9
3911,45,44.4
3912,46,76.1
3915,50,68.0
3918,51,64.7
3920,33,36.4
3922,28,25.0
3928,27,44.4
3929,32,31.2
3930,42,54.8
3931,32,53.1
3932,22,40.9
3933,34,32.4
3934,35,34.3
3935,23,43.5
3940,66,60.6
3941,63,82.5
3942,64,62.5
3944,47,63.8
3946,71,63.4
3947,36,33.3
3948,23,30.4
3949,25,4.0
3950,24,12.5
3951,44,38.6
3952,61,55.7
3955,22,36.4
3956,43,60.5
3957,35,37.1
3959,51,66.7
3960,59,66.1
3961,38,71.1
3963,43,51.2
3964,25,32.0
3965,48,58.3
3966,65,67.7
3967,27,51.9
3968,39,53.8
3973,33,27.3
3974,20,20.0
3975,32,53.1
3976,28,35.7
3977,33,30.3
3978,51,68.6
3981,35,57.1
3982,28,32.1
3983,43,60.5
3984,61,73.8
3986,27,55.6
3987,34,61.8
3988,50,70.0
3989,23,34.8
3990,25,40.0
3992,32,50.0
3993,32,31.2
3994,28,35.7
3995,49,77.6
3997,70,71.4
3998,29,37.9
3999,62,66.1
4000,62,64.5
4002,59,64.4
4003,30,43.3
4004,30,43.3
4006,25,40.0
4007,24,50.0
4009,45,62.2
4011,38,73.7
4012,42,59.5
4013,61,82.0
4014,48,58.3
4015,52,59.6
4016,29,20.7
4017,41,61.0
4019,56,73.2
4020,26,42.3
4022,25,40.0
4023,24,29.2
4024,46,58.7
4025,43,72.1
4027,39,56.4
4028,50,80.0
4030,44,52.3
4031,28,39.3
4033,51,78.4
4034,26,42.3
4035,29,27.6
4036,59,69.5
4039,45,46.7
4040,50,64.0
4042,60,63.3
4043,49,51.0
4044,56,67.9
4045,31,41.9
4047,27,63.0
4049,59,71.2
4050,59,78.0
4051,45,71.1
4052,53,75.5
4053,42,57.1
4054,32,50.0
4055,57,66.7
4057,48,62.5
4058,55,54.5
4059,35,42.9
4060,30,40.0
4061,55,74.5
4062,38,39.5
4063,67,73.1
4064,68,83.8
4065,28,42.9
4066,44,65.9
4067,52,59.6
4068,32,37.5
4069,51,56.9
4071,21,38.1
4072,57,78.9
4073,53,64.2
4074,51,66.7
4075,53,60.4
4076,48,56.2
4077,35,42.9
4079,50,60.0
4081,32,34.4
4082,31,51.6
