date,race,combo,odds
2026-05-10,1,1-2-3,8.2
2026-05-10,1,1-2-4,11.4
2026-05-10,1,1-2-5,22.2
2026-05-10,1,1-2-6,45.4
2026-05-10,1,1-3-2,6.4
2026-05-10,1,1-3-4,5.0
2026-05-10,1,1-3-5,11.1
2026-05-10,1,1-3-6,28.7
2026-05-10,1,1-4-2,16.1
2026-05-10,1,1-4-3,12.6
2026-05-10,1,1-4-5,27.2
2026-05-10,1,1-4-6,37.9
2026-05-10,1,1-5-2,47.7
2026-05-10,1,1-5-3,37.4
2026-05-10,1,1-5-4,59.8
2026-05-10,1,1-5-6,66.5
2026-05-10,1,1-6-2,151.8
2026-05-10,1,1-6-3,133.6
2026-05-10,1,1-6-4,152.4
2026-05-10,1,1-6-5,161.9
2026-05-10,1,2-1-3,81.0
2026-05-10,1,2-1-4,102.0
2026-05-10,1,2-1-5,168.9
2026-05-10,1,2-1-6,291.0
2026-05-10,1,2-3-1,167.7
2026-05-10,1,2-3-4,370.7
2026-05-10,1,2-3-5,581.1
2026-05-10,1,2-3-6,982.1
2026-05-10,1,2-4-1,287.0
2026-05-10,1,2-4-3,617.4
2026-05-10,1,2-4-5,823.2
2026-05-10,1,2-4-6,1272.0
2026-05-10,1,2-5-1,519.9
2026-05-10,1,2-5-3,1142.0
2026-05-10,1,2-5-4,1208.0
2026-05-10,1,2-5-6,2023.0
2026-05-10,1,2-6-1,1447.0
2026-05-10,1,2-6-3,2399.0
2026-05-10,1,2-6-4,2506.0
2026-05-10,1,2-6-5,2544.0
2026-05-10,1,3-1-2,29.7
2026-05-10,1,3-1-4,25.2
2026-05-10,1,3-1-5,49.0
2026-05-10,1,3-1-6,98.8
2026-05-10,1,3-2-1,104.6
2026-05-10,1,3-2-4,168.2
2026-05-10,1,3-2-5,279.4
2026-05-10,1,3-2-6,579.1
2026-05-10,1,3-4-1,100.5
2026-05-10,1,3-4-2,177.5
2026-05-10,1,3-4-5,251.7
2026-05-10,1,3-4-6,276.6
2026-05-10,1,3-5-1,228.5
2026-05-10,1,3-5-2,531.4
2026-05-10,1,3-5-4,463.9
2026-05-10,1,3-5-6,708.6
2026-05-10,1,3-6-1,674.4
2026-05-10,1,3-6-2,1142.0
2026-05-10,1,3-6-4,976.4
2026-05-10,1,3-6-5,1150.0
2026-05-10,1,4-1-2,241.3
2026-05-10,1,4-1-3,251.4
2026-05-10,1,4-1-5,353.5
2026-05-10,1,4-1-6,444.3
2026-05-10,1,4-2-1,495.4
2026-05-10,1,4-2-3,803.5
2026-05-10,1,4-2-5,1301.0
2026-05-10,1,4-2-6,1825.0
2026-05-10,1,4-3-1,427.3
2026-05-10,1,4-3-2,711.6
2026-05-10,1,4-3-5,1011.0
2026-05-10,1,4-3-6,1423.0
2026-05-10,1,4-5-1,671.7
2026-05-10,1,4-5-2,1097.0
2026-05-10,1,4-5-3,970.8
2026-05-10,1,4-5-6,1182.0
2026-05-10,1,4-6-1,1312.0
2026-05-10,1,4-6-2,2434.0
2026-05-10,1,4-6-3,2239.0
2026-05-10,1,4-6-5,2332.0
2026-05-10,1,5-1-2,543.5
2026-05-10,1,5-1-3,400.8
2026-05-10,1,5-1-4,717.7
2026-05-10,1,5-1-6,648.4
2026-05-10,1,5-2-1,1158.0
2026-05-10,1,5-2-3,1866.0
2026-05-10,1,5-2-4,2665.0
2026-05-10,1,5-2-6,2181.0
2026-05-10,1,5-3-1,593.4
2026-05-10,1,5-3-2,1423.0
2026-05-10,1,5-3-4,2073.0
2026-05-10,1,5-3-6,1513.0
2026-05-10,1,5-4-1,1322.0
2026-05-10,1,5-4-2,2895.0
2026-05-10,1,5-4-3,2665.0
2026-05-10,1,5-4-6,2846.0
2026-05-10,1,5-6-1,1056.0
2026-05-10,1,5-6-2,2506.0
2026-05-10,1,5-6-3,2506.0
2026-05-10,1,5-6-4,2846.0
2026-05-10,1,6-1-2,1662.0
2026-05-10,1,6-1-3,1630.0
2026-05-10,1,6-1-4,2099.0
2026-05-10,1,6-1-5,1614.0
2026-05-10,1,6-2-1,2753.0
2026-05-10,1,6-2-3,4798.0
2026-05-10,1,6-2-4,4665.0
2026-05-10,1,6-2-5,4419.0
2026-05-10,1,6-3-1,1999.0
2026-05-10,1,6-3-2,2239.0
2026-05-10,1,6-3-4,2365.0
2026-05-10,1,6-3-5,3817.0
2026-05-10,1,6-4-1,3053.0
2026-05-10,1,6-4-2,4665.0
2026-05-10,1,6-4-3,5998.0
2026-05-10,1,6-4-5,6459.0
2026-05-10,1,6-5-1,1786.0
2026-05-10,1,6-5-2,4798.0
2026-05-10,1,6-5-3,3573.0
2026-05-10,1,6-5-4,4939.0
2026-05-10,2,1-2-3,123.7
2026-05-10,2,1-2-4,71.7
2026-05-10,2,1-2-5,203.7
2026-05-10,2,1-2-6,73.4
2026-05-10,2,1-3-2,156.1
2026-05-10,2,1-3-4,115.8
2026-05-10,2,1-3-5,238.5
2026-05-10,2,1-3-6,131.0
2026-05-10,2,1-4-2,50.2
2026-05-10,2,1-4-3,74.1
2026-05-10,2,1-4-5,84.3
2026-05-10,2,1-4-6,23.0
2026-05-10,2,1-5-2,412.8
2026-05-10,2,1-5-3,588.1
2026-05-10,2,1-5-4,337.4
2026-05-10,2,1-5-6,361.5
2026-05-10,2,1-6-2,51.6
2026-05-10,2,1-6-3,86.7
2026-05-10,2,1-6-4,15.4
2026-05-10,2,1-6-5,129.3
2026-05-10,2,2-1-3,346.9
2026-05-10,2,2-1-4,171.0
2026-05-10,2,2-1-5,538.3
2026-05-10,2,2-1-6,166.0
2026-05-10,2,2-3-1,548.6
2026-05-10,2,2-3-4,271.7
2026-05-10,2,2-3-5,643.2
2026-05-10,2,2-3-6,327.7
2026-05-10,2,2-4-1,156.2
2026-05-10,2,2-4-3,182.8
2026-05-10,2,2-4-5,239.1
2026-05-10,2,2-4-6,68.2
2026-05-10,2,2-5-1,981.3
2026-05-10,2,2-5-3,1184.0
2026-05-10,2,2-5-4,525.2
2026-05-10,2,2-5-6,715.5
2026-05-10,2,2-6-1,182.7
2026-05-10,2,2-6-3,261.4
2026-05-10,2,2-6-4,85.4
2026-05-10,2,2-6-5,443.7
2026-05-10,2,3-1-2,459.2
2026-05-10,2,3-1-4,270.0
2026-05-10,2,3-1-5,668.2
2026-05-10,2,3-1-6,299.2
2026-05-10,2,3-2-1,528.4
2026-05-10,2,3-2-4,297.1
2026-05-10,2,3-2-5,626.7
2026-05-10,2,3-2-6,278.3
2026-05-10,2,3-4-1,233.0
2026-05-10,2,3-4-2,248.9
2026-05-10,2,3-4-5,325.8
2026-05-10,2,3-4-6,129.7
2026-05-10,2,3-5-1,938.4
2026-05-10,2,3-5-2,1066.0
2026-05-10,2,3-5-4,588.1
2026-05-10,2,3-5-6,970.2
2026-05-10,2,3-6-1,360.8
2026-05-10,2,3-6-2,268.3
2026-05-10,2,3-6-4,143.1
2026-05-10,2,3-6-5,609.0
2026-05-10,2,4-1-2,49.2
2026-05-10,2,4-1-3,79.1
2026-05-10,2,4-1-5,44.6
2026-05-10,2,4-1-6,14.1
2026-05-10,2,4-2-1,81.9
2026-05-10,2,4-2-3,123.9
2026-05-10,2,4-2-5,98.8
2026-05-10,2,4-2-6,32.7
2026-05-10,2,4-3-1,143.3
2026-05-10,2,4-3-2,192.1
2026-05-10,2,4-3-5,174.0
