date,race,combo,odds
2026-04-22,1,1-2-3,4.2
2026-04-22,1,1-2-4,34.7
2026-04-22,1,1-2-5,81.2
2026-04-22,1,1-2-6,11.4
2026-04-22,1,1-3-2,3.7
2026-04-22,1,1-3-4,26.8
2026-04-22,1,1-3-5,68.1
2026-04-22,1,1-3-6,6.4
2026-04-22,1,1-4-2,105.9
2026-04-22,1,1-4-3,95.6
2026-04-22,1,1-4-5,238.6
2026-04-22,1,1-4-6,124.7
2026-04-22,1,1-5-2,344.9
2026-04-22,1,1-5-3,341.0
2026-04-22,1,1-5-4,432.7
2026-04-22,1,1-5-6,374.9
2026-04-22,1,1-6-2,22.7
2026-04-22,1,1-6-3,19.0
2026-04-22,1,1-6-4,110.6
2026-04-22,1,1-6-5,209.6
2026-04-22,1,2-1-3,48.5
2026-04-22,1,2-1-4,212.5
2026-04-22,1,2-1-5,405.1
2026-04-22,1,2-1-6,87.3
2026-04-22,1,2-3-1,84.2
2026-04-22,1,2-3-4,457.3
2026-04-22,1,2-3-5,689.9
2026-04-22,1,2-3-6,162.2
2026-04-22,1,2-4-1,749.9
2026-04-22,1,2-4-3,774.0
2026-04-22,1,2-4-5,1724.0
2026-04-22,1,2-4-6,868.6
2026-04-22,1,2-5-1,1257.0
2026-04-22,1,2-5-3,1420.0
2026-04-22,1,2-5-4,2515.0
2026-04-22,1,2-5-6,1775.0
2026-04-22,1,2-6-1,213.3
2026-04-22,1,2-6-3,246.4
2026-04-22,1,2-6-4,789.1
2026-04-22,1,2-6-5,1207.0
2026-04-22,1,3-1-2,21.4
2026-04-22,1,3-1-4,89.5
2026-04-22,1,3-1-5,218.7
2026-04-22,1,3-1-6,26.9
2026-04-22,1,3-2-1,46.9
2026-04-22,1,3-2-4,280.1
2026-04-22,1,3-2-5,469.8
2026-04-22,1,3-2-6,86.9
2026-04-22,1,3-4-1,258.5
2026-04-22,1,3-4-2,453.9
2026-04-22,1,3-4-5,754.6
2026-04-22,1,3-4-6,295.2
2026-04-22,1,3-5-1,799.6
2026-04-22,1,3-5-2,907.8
2026-04-22,1,3-5-4,1040.0
2026-04-22,1,3-5-6,921.7
2026-04-22,1,3-6-1,64.3
2026-04-22,1,3-6-2,98.0
2026-04-22,1,3-6-4,214.4
2026-04-22,1,3-6-5,443.9
2026-04-22,1,4-1-2,784.0
2026-04-22,1,4-1-3,612.9
2026-04-22,1,4-1-5,1232.0
2026-04-22,1,4-1-6,862.4
2026-04-22,1,4-2-1,1014.0
2026-04-22,1,4-2-3,1588.0
2026-04-22,1,4-2-5,2278.0
2026-04-22,1,4-2-6,1372.0
2026-04-22,1,4-3-1,745.3
2026-04-22,1,4-3-2,1387.0
2026-04-22,1,4-3-5,1724.0
2026-04-22,1,4-3-6,1023.0
2026-04-22,1,4-5-1,1588.0
2026-04-22,1,4-5-2,2945.0
2026-04-22,1,4-5-3,2156.0
2026-04-22,1,4-5-6,2012.0
2026-04-22,1,4-6-1,1006.0
2026-04-22,1,4-6-2,1454.0
2026-04-22,1,4-6-3,1068.0
2026-04-22,1,4-6-5,1700.0
2026-04-22,1,5-1-2,1284.0
2026-04-22,1,5-1-3,1049.0
2026-04-22,1,5-1-4,1404.0
2026-04-22,1,5-1-6,1631.0
2026-04-22,1,5-2-1,1775.0
2026-04-22,1,5-2-3,1609.0
2026-04-22,1,5-2-4,3449.0
2026-04-22,1,5-2-6,1947.0
2026-04-22,1,5-3-1,1472.0
2026-04-22,1,5-3-2,1568.0
2026-04-22,1,5-3-4,2278.0
2026-04-22,1,5-3-6,2464.0
2026-04-22,1,5-4-1,1172.0
2026-04-22,1,5-4-2,3177.0
2026-04-22,1,5-4-3,2464.0
2026-04-22,1,5-4-6,2195.0
2026-04-22,1,5-6-1,2046.0
2026-04-22,1,5-6-2,2195.0
2026-04-22,1,5-6-3,2945.0
2026-04-22,1,5-6-4,2156.0
2026-04-22,1,6-1-2,122.3
2026-04-22,1,6-1-3,109.5
2026-04-22,1,6-1-4,432.7
2026-04-22,1,6-1-5,586.1
2026-04-22,1,6-2-1,232.2
2026-04-22,1,6-2-3,289.5
2026-04-22,1,6-2-4,794.3
2026-04-22,1,6-2-5,1014.0
2026-04-22,1,6-3-1,186.6
2026-04-22,1,6-3-2,287.4
2026-04-22,1,6-3-4,682.1
2026-04-22,1,6-3-5,1118.0
2026-04-22,1,6-4-1,907.8
2026-04-22,1,6-4-2,1372.0
2026-04-22,1,6-4-3,1118.0
2026-04-22,1,6-4-5,1829.0
2026-04-22,1,6-5-1,1775.0
2026-04-22,1,6-5-2,1829.0
2026-04-22,1,6-5-3,2367.0
2026-04-22,1,6-5-4,2322.0
2026-04-22,2,1-2-3,10.7
2026-04-22,2,1-2-4,26.4
2026-04-22,2,1-2-5,16.9
2026-04-22,2,1-2-6,272.1
2026-04-22,2,1-3-2,11.8
2026-04-22,2,1-3-4,26.0
2026-04-22,2,1-3-5,15.6
2026-04-22,2,1-3-6,373.6
2026-04-22,2,1-4-2,55.4
2026-04-22,2,1-4-3,59.5
2026-04-22,2,1-4-5,81.0
2026-04-22,2,1-4-6,545.3
2026-04-22,2,1-5-2,47.7
2026-04-22,2,1-5-3,46.5
2026-04-22,2,1-5-4,111.6
2026-04-22,2,1-5-6,425.8
2026-04-22,2,1-6-2,1154.0
2026-04-22,2,1-6-3,1197.0
2026-04-22,2,1-6-4,1095.0
2026-04-22,2,1-6-5,1001.0
2026-04-22,2,2-1-3,24.9
2026-04-22,2,2-1-4,48.0
2026-04-22,2,2-1-5,32.8
2026-04-22,2,2-1-6,445.0
2026-04-22,2,2-3-1,35.3
2026-04-22,2,2-3-4,51.2
2026-04-22,2,2-3-5,24.6
2026-04-22,2,2-3-6,334.6
2026-04-22,2,2-4-1,100.4
2026-04-22,2,2-4-3,93.3
2026-04-22,2,2-4-5,108.3
2026-04-22,2,2-4-6,692.7
2026-04-22,2,2-5-1,62.6
2026-04-22,2,2-5-3,50.0
2026-04-22,2,2-5-4,101.9
2026-04-22,2,2-5-6,408.1
2026-04-22,2,2-6-1,1755.0
2026-04-22,2,2-6-3,1408.0
2026-04-22,2,2-6-4,1731.0
2026-04-22,2,2-6-5,1124.0
2026-04-22,2,3-1-2,24.2
2026-04-22,2,3-1-4,30.4
2026-04-22,2,3-1-5,24.9
2026-04-22,2,3-1-6,440.4
2026-04-22,2,3-2-1,28.1
2026-04-22,2,3-2-4,24.5
2026-04-22,2,3-2-5,20.3
2026-04-22,2,3-2-6,298.7
2026-04-22,2,3-4-1,57.5
2026-04-22,2,3-4-2,42.6
2026-04-22,2,3-4-5,34.9
2026-04-22,2,3-4-6,456.1
2026-04-22,2,3-5-1,36.8
2026-04-22,2,3-5-2,27.8
2026-04-22,2,3-5-4,41.1
2026-04-22,2,3-5-6,287.3
2026-04-22,2,3-6-1,1473.0
2026-04-22,2,3-6-2,1134.0
2026-04-22,2,3-6-4,1424.0
2026-04-22,2,3-6-5,1175.0
2026-04-22,2,4-1-2,196.5
2026-04-22,2,4-1-3,230.5
2026-04-22,2,4-1-5,195.6
2026-04-22,2,4-1-6,1256.0
2026-04-22,2,4-2-1,211.8
2026-04-22,2,4-2-3,182.0
2026-04-22,2,4-2-5,152.9
2026-04-22,2,4-2-6,1256.0
2026-04-22,2,4-3-1,221.3
2026-04-22,2,4-3-2,159.4
2026-04-22,2,4-3-5,133.9
2026-04-22,2,4-3-6,1220.0
2026-04-22,2,4-5-1,223.6
2026-04-22,2,4-5-2,174.3
2026-04-22,2,4-5-3,161.4
2026-04-22,2,4-5-6,1186.0
2026-04-22,2,4-6-1,2786.0
2026-04-22,2,4-6-2,2786.0
2026-04-22,2,4-6-3,3463.0
2026-04-22,2,4-6-5,2248.0
2026-04-22,2,5-1-2,127.5
2026-04-22,2,5-1-3,114.9
2026-04-22,2,5-1-4,268.1
2026-04-22,2,5-1-6,593.3
2026-04-22,2,5-2-1,121.6
2026-04-22,2,5-2-3,83.9
2026-04-22,2,5-2-4,215.0
2026-04-22,2,5-2-6,538.5
2026-04-22,2,5-3-1,108.8
2026-04-22,2,5-3-2,84.8
2026-04-22,2,5-3-4,200.2
2026-04-22,2,5-3-6,569.6
2026-04-22,2,5-4-1,399.2
2026-04-22,2,5-4-2,297.3
2026-04-22,2,5-4-3,394.3
2026-04-22,2,5-4-6,1321.0
2026-04-22,2,5-6-1,935.5
2026-04-22,2,5-6-2,724.1
2026-04-22,2,5-6-3,963.6
2026-04-22,2,5-6-4,1321.0
2026-04-22,2,6-1-2,2513.0
2026-04-22,2,6-1-3,2615.0
2026-04-22,2,6-1-4,2912.0
2026-04-22,2,6-1-5,4272.0
2026-04-22,2,6-2-1,3126.0
2026-04-22,2,6-2-3,2726.0
2026-04-22,2,6-2-4,4272.0
2026-04-22,2,6-2-5,2670.0
2026-04-22,2,6-3-1,3883.0
2026-04-22,2,6-3-2,3286.0
2026-04-22,2,6-3-4,4746.0
2026-04-22,2,6-3-5,3769.0
2026-04-22,2,6-4-1,4419.0
2026-04-22,2,6-4-2,4005.0
2026-04-22,2,6-4-3,6408.0
2026-04-22,2,6-4-5,4577.0
2026-04-22,2,6-5-1,3126.0
2026-04-22,2,6-5-2,2848.0
2026-04-22,2,6-5-3,3560.0
2026-04-22,2,6-5-4,4272.0
2026-04-22,3,1-2-3,8.6
2026-04-22,3,1-2-4,29.5
2026-04-22,3,1-2-5,41.9
2026-04-22,3,1-2-6,317.9
2026-04-22,3,1-3-2,6.9
2026-04-22,3,1-3-4,13.8
2026-04-22,3,1-3-5,19.1
2026-04-22,3,1-3-6,118.0
2026-04-22,3,1-4-2,59.7
2026-04-22,3,1-4-3,39.0
2026-04-22,3,1-4-5,131.1
2026-04-22,3,1-4-6,359.0
2026-04-22,3,1-5-2,103.5
2026-04-22,3,1-5-3,62.8
2026-04-22,3,1-5-4,175.2
2026-04-22,3,1-5-6,641.7
2026-04-22,3,1-6-2,789.8
2026-04-22,3,1-6-3,518.6
2026-04-22,3,1-6-4,942.0
2026-04-22,3,1-6-5,1166.0
2026-04-22,3,2-1-3,32.2
2026-04-22,3,2-1-4,81.6
2026-04-22,3,2-1-5,109.8
2026-04-22,3,2-1-6,534.8
2026-04-22,3,2-3-1,38.5
2026-04-22,3,2-3-4,50.6
2026-04-22,3,2-3-5,66.0
2026-04-22,3,2-3-6,316.9
2026-04-22,3,2-4-1,177.9
2026-04-22,3,2-4-3,106.6
2026-04-22,3,2-4-5,231.2
2026-04-22,3,2-4-6,755.0
2026-04-22,3,2-5-1,278.2
2026-04-22,3,2-5-3,180.4
2026-04-22,3,2-5-4,415.7
2026-04-22,3,2-5-6,1006.0
2026-04-22,3,2-6-1,1116.0
2026-04-22,3,2-6-3,1104.0
2026-04-22,3,2-6-4,1555.0
2026-04-22,3,2-6-5,1510.0
2026-04-22,3,3-1-2,12.6
2026-04-22,3,3-1-4,17.6
2026-04-22,3,3-1-5,18.6
2026-04-22,3,3-1-6,102.8
2026-04-22,3,3-2-1,24.9
2026-04-22,3,3-2-4,25.2
2026-04-22,3,3-2-5,29.6
2026-04-22,3,3-2-6,146.9
2026-04-22,3,3-4-1,26.8
2026-04-22,3,3-4-2,29.6
2026-04-22,3,3-4-5,26.3
2026-04-22,3,3-4-6,87.7
2026-04-22,3,3-5-1,34.5
2026-04-22,3,3-5-2,40.1
2026-04-22,3,3-5-4,41.5
2026-04-22,3,3-5-6,126.9
2026-04-22,3,3-6-1,399.5
2026-04-22,3,3-6-2,505.8
2026-04-22,3,3-6-4,338.8
2026-04-22,3,3-6-5,373.4
2026-04-22,3,4-1-2,259.3
2026-04-22,3,4-1-3,173.1
2026-04-22,3,4-1-5,378.9
2026-04-22,3,4-1-6,789.8
2026-04-22,3,4-2-1,297.6
2026-04-22,3,4-2-3,190.8
2026-04-22,3,4-2-5,431.4
2026-04-22,3,4-2-6,772.0
2026-04-22,3,4-3-1,158.7
2026-04-22,3,4-3-2,144.6
2026-04-22,3,4-3-5,159.4
2026-04-22,3,4-3-6,368.0
2026-04-22,3,4-5-1,479.8
2026-04-22,3,4-5-2,555.0
2026-04-22,3,4-5-3,316.9
2026-04-22,3,4-5-6,855.7
2026-04-22,3,4-6-1,1194.0
2026-04-22,3,4-6-2,1426.0
2026-04-22,3,4-6-3,1047.0
2026-04-22,3,4-6-5,1446.0
2026-04-22,3,5-1-2,633.8
2026-04-22,3,5-1-3,321.8
2026-04-22,3,5-1-4,728.2
2026-04-22,3,5-1-6,1532.0
2026-04-22,3,5-2-1,618.5
2026-04-22,3,5-2-3,368.0
2026-04-22,3,5-2-4,968.7
2026-04-22,3,5-2-6,1833.0
2026-04-22,3,5-3-1,272.3
2026-04-22,3,5-3-2,285.2
2026-04-22,3,5-3-4,289.2
2026-04-22,3,5-3-6,738.7
2026-04-22,3,5-4-1,728.2
2026-04-22,3,5-4-2,1037.0
2026-04-22,3,5-4-3,462.5
2026-04-22,3,5-4-6,1683.0
2026-04-22,3,5-6-1,1711.0
2026-04-22,3,5-6-2,3667.0
2026-04-22,3,5-6-3,1770.0
2026-04-22,3,5-6-4,2632.0
2026-04-22,3,6-1-2,1867.0
2026-04-22,3,6-1-3,1604.0
2026-04-22,3,6-1-4,2504.0
2026-04-22,3,6-1-5,2933.0
2026-04-22,3,6-2-1,1510.0
2026-04-22,3,6-2-3,1683.0
2026-04-22,3,6-2-4,2775.0
2026-04-22,3,6-2-5,3208.0
2026-04-22,3,6-3-1,1466.0
2026-04-22,3,6-3-2,2095.0
2026-04-22,3,6-3-4,1579.0
2026-04-22,3,6-3-5,2281.0
2026-04-22,3,6-4-1,1656.0
2026-04-22,3,6-4-2,2567.0
2026-04-22,3,6-4-3,1711.0
2026-04-22,3,6-4-5,2632.0
2026-04-22,3,6-5-1,1656.0
2026-04-22,3,6-5-2,2444.0
2026-04-22,3,6-5-3,2567.0
2026-04-22,3,6-5-4,2281.0
