date,race,combo,odds
2025-09-05,1,1-2-3,10.5
2025-09-05,1,1-2-4,37.3
2025-09-05,1,1-2-5,10.3
2025-09-05,1,1-2-6,44.4
2025-09-05,1,1-3-2,14.3
2025-09-05,1,1-3-4,30.5
2025-09-05,1,1-3-5,10.9
2025-09-05,1,1-3-6,55.8
2025-09-05,1,1-4-2,80.6
2025-09-05,1,1-4-3,78.9
2025-09-05,1,1-4-5,74.2
2025-09-05,1,1-4-6,174.5
2025-09-05,1,1-5-2,10.2
2025-09-05,1,1-5-3,11.0
2025-09-05,1,1-5-4,39.4
2025-09-05,1,1-5-6,28.4
2025-09-05,1,1-6-2,57.3
2025-09-05,1,1-6-3,59.3
2025-09-05,1,1-6-4,138.4
2025-09-05,1,1-6-5,47.8
2025-09-05,1,2-1-3,51.6
2025-09-05,1,2-1-4,105.5
2025-09-05,1,2-1-5,53.1
2025-09-05,1,2-1-6,156.8
2025-09-05,1,2-3-1,64.5
2025-09-05,1,2-3-4,103.0
2025-09-05,1,2-3-5,87.4
2025-09-05,1,2-3-6,204.1
2025-09-05,1,2-4-1,274.7
2025-09-05,1,2-4-3,257.1
2025-09-05,1,2-4-5,357.4
2025-09-05,1,2-4-6,609.2
2025-09-05,1,2-5-1,84.8
2025-09-05,1,2-5-3,116.6
2025-09-05,1,2-5-4,223.3
2025-09-05,1,2-5-6,278.6
2025-09-05,1,2-6-1,336.0
2025-09-05,1,2-6-3,579.9
2025-09-05,1,2-6-4,782.8
2025-09-05,1,2-6-5,484.7
2025-09-05,1,3-1-2,61.4
2025-09-05,1,3-1-4,84.1
2025-09-05,1,3-1-5,49.9
2025-09-05,1,3-1-6,175.3
2025-09-05,1,3-2-1,89.0
2025-09-05,1,3-2-4,158.4
2025-09-05,1,3-2-5,114.0
2025-09-05,1,3-2-6,303.4
2025-09-05,1,3-4-1,119.0
2025-09-05,1,3-4-2,254.6
2025-09-05,1,3-4-5,131.0
2025-09-05,1,3-4-6,457.8
2025-09-05,1,3-5-1,66.6
2025-09-05,1,3-5-2,119.6
2025-09-05,1,3-5-4,140.5
2025-09-05,1,3-5-6,233.7
2025-09-05,1,3-6-1,366.6
2025-09-05,1,3-6-2,702.1
2025-09-05,1,3-6-4,846.3
2025-09-05,1,3-6-5,358.3
2025-09-05,1,4-1-2,579.9
2025-09-05,1,4-1-3,559.2
2025-09-05,1,4-1-5,437.3
2025-09-05,1,4-1-6,932.0
2025-09-05,1,4-2-1,714.9
2025-09-05,1,4-2-3,749.1
2025-09-05,1,4-2-5,832.8
2025-09-05,1,4-2-6,1232.0
2025-09-05,1,4-3-1,590.8
2025-09-05,1,4-3-2,745.6
2025-09-05,1,4-3-5,614.0
2025-09-05,1,4-3-6,1273.0
2025-09-05,1,4-5-1,490.8
2025-09-05,1,4-5-2,807.1
2025-09-05,1,4-5-3,702.1
2025-09-05,1,4-5-6,1262.0
2025-09-05,1,4-6-1,1294.0
2025-09-05,1,4-6-2,1648.0
2025-09-05,1,4-6-3,2060.0
2025-09-05,1,4-6-5,1739.0
2025-09-05,1,5-1-2,34.9
2025-09-05,1,5-1-3,38.5
2025-09-05,1,5-1-4,103.1
2025-09-05,1,5-1-6,93.8
2025-09-05,1,5-2-1,66.1
2025-09-05,1,5-2-3,74.7
2025-09-05,1,5-2-4,184.2
2025-09-05,1,5-2-6,212.7
2025-09-05,1,5-3-1,68.1
2025-09-05,1,5-3-2,93.1
2025-09-05,1,5-3-4,144.0
2025-09-05,1,5-3-6,197.2
2025-09-05,1,5-4-1,264.4
2025-09-05,1,5-4-2,385.6
2025-09-05,1,5-4-3,242.3
2025-09-05,1,5-4-6,674.9
2025-09-05,1,5-6-1,193.7
2025-09-05,1,5-6-2,317.6
2025-09-05,1,5-6-3,257.1
2025-09-05,1,5-6-4,657.8
2025-09-05,1,6-1-2,282.1
2025-09-05,1,6-1-3,338.1
2025-09-05,1,6-1-4,565.2
2025-09-05,1,6-1-5,234.4
2025-09-05,1,6-2-1,545.5
2025-09-05,1,6-2-3,860.3
2025-09-05,1,6-2-4,1079.0
2025-09-05,1,6-2-5,738.5
2025-09-05,1,6-3-1,657.8
2025-09-05,1,6-3-2,1087.0
2025-09-05,1,6-3-4,1283.0
2025-09-05,1,6-3-5,972.5
2025-09-05,1,6-4-1,1349.0
2025-09-05,1,6-4-2,1886.0
2025-09-05,1,6-4-3,1505.0
2025-09-05,1,6-4-5,1701.0
2025-09-05,1,6-5-1,340.3
2025-09-05,1,6-5-2,618.8
2025-09-05,1,6-5-3,686.7
2025-09-05,1,6-5-4,1283.0
2025-09-05,2,1-2-3,10.3
2025-09-05,2,1-2-4,33.4
2025-09-05,2,1-2-5,15.6
2025-09-05,2,1-2-6,10.4
2025-09-05,2,1-3-2,17.1
2025-09-05,2,1-3-4,66.5
2025-09-05,2,1-3-5,38.4
2025-09-05,2,1-3-6,23.7
2025-09-05,2,1-4-2,91.0
2025-09-05,2,1-4-3,129.2
2025-09-05,2,1-4-5,138.4
2025-09-05,2,1-4-6,127.0
2025-09-05,2,1-5-2,35.4
2025-09-05,2,1-5-3,67.0
2025-09-05,2,1-5-4,122.3
2025-09-05,2,1-5-6,51.3
2025-09-05,2,1-6-2,20.1
2025-09-05,2,1-6-3,40.4
2025-09-05,2,1-6-4,131.0
2025-09-05,2,1-6-5,61.1
2025-09-05,2,2-1-3,23.2
2025-09-05,2,2-1-4,72.2
2025-09-05,2,2-1-5,43.1
2025-09-05,2,2-1-6,19.3
2025-09-05,2,2-3-1,43.7
2025-09-05,2,2-3-4,89.6
2025-09-05,2,2-3-5,63.9
2025-09-05,2,2-3-6,27.0
2025-09-05,2,2-4-1,223.3
2025-09-05,2,2-4-3,202.9
2025-09-05,2,2-4-5,305.7
2025-09-05,2,2-4-6,165.1
2025-09-05,2,2-5-1,124.2
2025-09-05,2,2-5-3,141.1
2025-09-05,2,2-5-4,307.7
2025-09-05,2,2-5-6,105.0
2025-09-05,2,2-6-1,36.7
2025-09-05,2,2-6-3,39.5
2025-09-05,2,2-6-4,167.0
2025-09-05,2,2-6-5,85.6
2025-09-05,2,3-1-2,60.8
2025-09-05,2,3-1-4,164.4
2025-09-05,2,3-1-5,117.2
2025-09-05,2,3-1-6,72.9
