regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
3746,岡瀬正人,40,0.575,0.5394136600944244,3.6,17.0,0.353,0.706,,
3748,小黒竜吾,41,0.6585365853658537,0.5336255613163119,12.5,14.0,0.143,0.643,壁強●,
3804,中渡修作,43,0.6744186046511628,0.5666372290776367,10.8,14.0,0.214,0.571,壁強●,
3822,平尾崇典,47,0.7659574468085106,0.6178723901844921,14.8,11.0,0.455,0.545,壁強●,
3833,中辻博訓,45,0.5777777777777777,0.5368537918022571,4.1,19.0,0.632,0.474,,
3841,佐々木和伸,45,0.5555555555555556,0.5747499242469668,-1.9,20.0,0.3,0.5,,
3849,中岡正彦,54,0.4074074074074074,0.5799435965327615,-17.3,32.0,0.5,0.781,壁弱●,食う型
3850,小川知行,40,0.55,0.5354066737009477,1.5,18.0,0.167,0.611,,
3874,山本寛久,42,0.7380952380952381,0.6119820765971363,12.6,11.0,0.545,0.364,壁強●,
3888,山本英志,43,0.6744186046511628,0.5718590220422158,10.3,14.0,0.286,0.643,壁強●,
3898,平田忠則,40,0.575,0.5764474901895674,-0.1,17.0,0.412,0.412,,
3905,天野友和,43,0.6744186046511628,0.5726331501853504,10.2,14.0,0.214,0.714,壁強●,
3908,重成一人,44,0.6136363636363636,0.6081313165996405,0.6,17.0,0.471,0.529,,
3909,佐々木康幸,46,0.5869565217391305,0.5730099730657827,1.4,19.0,0.421,0.842,,
3911,鈴木猛,46,0.7608695652173914,0.5550514644113761,20.6,11.0,0.545,0.364,壁強●,
3915,繁野谷圭介,43,0.5116279069767442,0.5492222393499504,-3.8,21.0,0.333,0.429,,
3918,深井利寿,43,0.4418604651162791,0.5813385378124246,-13.9,24.0,0.333,0.667,壁弱●,素通し型
3920,正木聖賢,60,0.38333333333333336,0.5573600813671483,-17.4,37.0,0.108,0.838,壁弱●,素通し型
3922,菅沼佳昭,46,0.6956521739130435,0.5776783176386476,11.8,14.0,0.071,0.786,壁強●,
3933,山地正樹,95,0.4105263157894737,0.5451605453473868,-13.5,56.0,0.268,0.625,壁弱●,素通し型
3940,飯山泰,48,0.5416666666666666,0.5531097193981558,-1.1,22.0,0.409,0.682,,
3941,池田浩二,40,0.675,0.6710170283892636,0.4,13.0,0.615,0.538,,
3944,山口裕二,41,0.6341463414634146,0.6024324967526974,3.2,15.0,0.267,0.6,,
3946,赤岩善生,129,0.5813953488372093,0.5820195456469118,-0.1,54.0,0.241,0.556,,
3951,石川吉鎬,44,0.5,0.5369966487748772,-3.7,22.0,0.409,0.545,,
3956,横澤剛治,42,0.5,0.5667875201394542,-6.7,21.0,0.429,0.762,,
3965,北中元樹,42,0.47619047619047616,0.550060975368371,-7.4,22.0,0.364,0.727,,
3966,作間章,43,0.5116279069767442,0.5623665943322209,-5.1,21.0,0.476,0.571,,
3973,崎利仁,44,0.5909090909090909,0.526700940883346,6.4,18.0,0.111,0.778,,
3983,須藤博倫,43,0.5116279069767442,0.582942959621176,-7.1,21.0,0.381,0.429,,
3997,北村征嗣,48,0.6041666666666666,0.5910594800856935,1.3,19.0,0.421,0.526,,
3999,大瀧明日香,47,0.5957446808510638,0.5595249009299504,3.6,19.0,0.105,0.737,,
4000,松本博昭,43,0.627906976744186,0.5600995221750459,6.8,16.0,0.25,0.5,,
4012,中村有裕,40,0.4,0.5485340890162564,-14.9,24.0,0.5,0.458,壁弱●,食う型
4015,前野竜一,43,0.4883720930232558,0.5672572392338644,-7.9,22.0,0.318,0.545,,
4019,笠原亮,43,0.6976744186046512,0.6281823604747001,6.9,13.0,0.385,0.846,,
4024,井口佳典,41,0.6097560975609756,0.659685523738358,-5.0,16.0,0.25,0.812,,
4028,田村隆信,46,0.4782608695652174,0.6209891784609571,-14.3,24.0,0.25,0.708,壁弱●,素通し型
4030,森高一真,46,0.7608695652173914,0.6812228662028645,8.0,11.0,0.364,0.636,壁強●,
4033,伊藤将吉,48,0.5833333333333334,0.5828732953053353,0.0,20.0,0.45,0.55,,
4040,廣瀬将亨,45,0.7555555555555555,0.596927731384857,15.9,11.0,0.091,0.818,壁強●,
4042,丸岡正典,44,0.5454545454545454,0.6064058446625142,-6.1,20.0,0.45,0.55,,
4043,桐本康臣,41,0.6097560975609756,0.5716418787340979,3.8,16.0,0.125,0.625,,
