regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5224,西岡顕心,117.0,0.153,146.0,0.14,5.0,0.158,3.0,0.083,0.14,全国,,,0.153,全国,,
5226,藤田俊祐,72.0,0.159,81.0,0.153,,,,,0.153,全国,,,0.159,全国,,
5227,川原愛未,19.0,0.199,13.0,0.198,,,,,0.198,全国,●,,0.199,全国,●,
5228,若林樹蘭,79.0,0.168,85.0,0.162,2.0,0.2,3.0,0.087,0.162,全国,,,0.168,全国,,
5229,吉川晴人,123.0,0.157,132.0,0.169,,,,,0.169,全国,,,0.157,全国,,
5230,石原凪紗,90.0,0.192,73.0,0.182,6.0,0.167,1.0,0.18,0.182,全国,●,,0.192,全国,●,
5231,寺田空詩,85.0,0.169,100.0,0.157,2.0,0.17,3.0,0.23,0.157,全国,,,0.169,全国,,
5232,樅山拓馬,82.0,0.156,84.0,0.165,4.0,0.14,3.0,0.143,0.165,全国,,,0.156,全国,,
5234,塚越海斗,123.0,0.143,149.0,0.152,9.0,0.143,8.0,0.145,0.152,全国,,,0.143,全国,,
5235,岩田凌,47.0,0.169,49.0,0.179,4.0,0.18,4.0,0.218,0.179,全国,,,0.169,全国,,
5236,小宮涼雅,127.0,0.189,76.0,0.151,4.0,0.2,4.0,0.148,0.151,全国,,,0.189,全国,●,
5237,永松良教,87.0,0.17,63.0,0.124,,,,,0.124,全国,,●,0.17,全国,,
5238,笹木香吾,116.0,0.134,123.0,0.151,,,,,0.151,全国,,,0.134,全国,,
5239,上野俊樹,100.0,0.161,106.0,0.161,,,,,0.161,全国,,,0.161,全国,,
5240,高橋龍治,88.0,0.171,88.0,0.166,6.0,0.147,5.0,0.134,0.166,全国,,,0.171,全国,,
5241,門田栞,90.0,0.163,88.0,0.175,,,,,0.175,全国,,,0.163,全国,,
5242,高山弘斗,93.0,0.185,97.0,0.176,,,,,0.176,全国,,,0.185,全国,●,
5243,三馬崇史,115.0,0.165,103.0,0.146,4.0,0.108,2.0,0.12,0.146,全国,,,0.165,全国,,
5244,黒田剛,76.0,0.168,81.0,0.146,5.0,0.144,4.0,0.132,0.146,全国,,,0.168,全国,,
5245,倉富大誠,96.0,0.165,87.0,0.187,6.0,0.153,7.0,0.201,0.187,全国,●,,0.165,全国,,
5246,楠将太郎,88.0,0.171,88.0,0.176,,,,,0.176,全国,,,0.171,全国,,
5247,大森翼,101.0,0.163,108.0,0.183,,,,,0.183,全国,●,,0.163,全国,,
5248,本田愛,101.0,0.19,86.0,0.212,4.0,0.14,5.0,0.202,0.212,全国,●,,0.19,全国,●,
5249,三木晴斗,100.0,0.167,95.0,0.157,,,,,0.157,全国,,,0.167,全国,,
5250,嶋田有里,91.0,0.194,88.0,0.171,,,,,0.171,全国,,,0.194,全国,●,
5251,沼田七華,48.0,0.185,51.0,0.172,,,,,0.172,全国,,,0.185,全国,●,
5252,荒木颯斗,95.0,0.159,108.0,0.134,5.0,0.154,5.0,0.082,0.134,全国,,,0.159,全国,,
5253,藤井太雅,68.0,0.238,39.0,0.213,4.0,0.192,4.0,0.232,0.213,全国,●,,0.238,全国,●,
5254,羽田妃希,92.0,0.198,67.0,0.212,6.0,0.242,3.0,0.207,0.212,全国,●,,0.198,全国,●,
5255,藤原仙二,121.0,0.18,130.0,0.181,8.0,0.173,9.0,0.143,0.181,全国,●,,0.18,全国,●,
5256,中山翔太,121.0,0.124,138.0,0.133,30.0,0.109,33.0,0.123,0.123,当地,,●,0.109,当地,,●
5257,西丸侑太朗,121.0,0.153,149.0,0.156,8.0,0.149,9.0,0.106,0.156,全国,,,0.153,全国,,
5258,仲本舜,92.0,0.174,80.0,0.139,,,,,0.139,全国,,,0.174,全国,,
5259,野田昇吾,75.0,0.169,66.0,0.138,,,,,0.138,全国,,,0.169,全国,,
5261,岡暢祐,87.0,0.188,84.0,0.168,4.0,0.095,4.0,0.118,0.168,全国,,,0.188,全国,●,
5262,鈴木章司,89.0,0.223,92.0,0.169,5.0,0.19,5.0,0.176,0.169,全国,,,0.223,全国,●,
5263,花田凱成,103.0,0.194,104.0,0.166,,,,,0.166,全国,,,0.194,全国,●,
5264,登みひ果,113.0,0.163,113.0,0.157,,,,,0.157,全国,,,0.163,全国,,
5265,大廣咲季,104.0,0.165,100.0,0.148,,,,,0.148,全国,,,0.165,全国,,
5266,石田勇斗,88.0,0.154,84.0,0.155,13.0,0.158,13.0,0.137,0.137,当地,,,0.158,当地,,
5267,石本裕武,116.0,0.151,127.0,0.152,5.0,0.162,6.0,0.135,0.152,全国,,,0.151,全国,,
5268,山本幸也,106.0,0.227,61.0,0.175,,,,,0.175,全国,,,0.227,全国,●,
5269,山口晃朋,98.0,0.144,90.0,0.142,,,,,0.142,全国,,,0.144,全国,,
5270,小玉啓太,88.0,0.162,79.0,0.164,,,,,0.164,全国,,,0.162,全国,,
5271,杉山太陽,87.0,0.194,75.0,0.163,4.0,0.188,5.0,0.15,0.163,全国,,,0.194,全国,●,
5272,松田真実,94.0,0.194,90.0,0.184,4.0,0.21,6.0,0.22,0.184,全国,●,,0.194,全国,●,
5273,山下拓巳,104.0,0.184,105.0,0.168,3.0,0.15,4.0,0.143,0.168,全国,,,0.184,全国,●,
5274,城間盛渚,96.0,0.187,84.0,0.175,,,,,0.175,全国,,,0.187,全国,●,
5275,松田淳平,108.0,0.124,121.0,0.134,20.0,0.121,26.0,0.12,0.12,当地,,●,0.121,当地,,●
5276,大島隆乃介,98.0,0.163,104.0,0.166,5.0,0.142,5.0,0.158,0.166,全国,,,0.163,全国,,
5277,井上未都,100.0,0.153,97.0,0.147,,,,,0.147,全国,,,0.153,全国,,
5278,田中駿兵,125.0,0.146,147.0,0.134,4.0,0.192,6.0,0.083,0.134,全国,,,0.146,全国,,
5279,石渡翔一郎,91.0,0.162,108.0,0.158,5.0,0.158,6.0,0.147,0.158,全国,,,0.162,全国,,
5280,廣瀬凜,118.0,0.174,127.0,0.146,,,,,0.146,全国,,,0.174,全国,,
5281,井上遥妃,109.0,0.138,110.0,0.133,4.0,0.238,7.0,0.097,0.133,全国,,,0.138,全国,,
5282,中本大樹,94.0,0.175,91.0,0.167,7.0,0.18,7.0,0.187,0.167,全国,,,0.175,全国,,
5283,植木美帆,68.0,0.21,55.0,0.182,,,,,0.182,全国,●,,0.21,全国,●,
5284,嘉手苅徹哉,80.0,0.175,61.0,0.147,5.0,0.136,4.0,0.245,0.147,全国,,,0.175,全国,,
5285,若林麗,92.0,0.184,91.0,0.168,5.0,0.172,4.0,0.112,0.168,全国,,,0.184,全国,●,
5286,坂井滉哉,88.0,0.15,100.0,0.165,4.0,0.158,5.0,0.154,0.165,全国,,,0.15,全国,,
5287,滝沢織寧,93.0,0.165,86.0,0.164,,,,,0.164,全国,,,0.165,全国,,
5288,尾道佳諭,89.0,0.157,80.0,0.156,8.0,0.184,8.0,0.162,0.156,全国,,,0.157,全国,,
5289,佃來紀,105.0,0.152,105.0,0.161,,,,,0.161,全国,,,0.152,全国,,
5290,坂本一真,97.0,0.183,96.0,0.164,5.0,0.162,4.0,0.178,0.164,全国,,,0.183,全国,●,
5291,三嶌こころ,113.0,0.238,98.0,0.179,,,,,0.179,全国,,,0.238,全国,●,
5292,佐藤右京,86.0,0.207,99.0,0.203,5.0,0.252,4.0,0.14,0.203,全国,●,,0.207,全国,●,
5293,眞崎武蔵,80.0,0.222,44.0,0.21,4.0,0.12,5.0,0.184,0.21,全国,●,,0.222,全国,●,
5294,豊田祥生,92.0,0.165,90.0,0.166,4.0,0.175,5.0,0.14,0.166,全国,,,0.165,全国,,
5295,田上凜,130.0,0.175,58.0,0.178,8.0,0.275,1.0,0.15,0.178,全国,,,0.175,全国,,
5296,永田楽,107.0,0.196,92.0,0.195,,,,,0.195,全国,●,,0.196,全国,●,
5297,南彩寧,107.0,0.223,93.0,0.202,8.0,0.221,9.0,0.204,0.202,全国,●,,0.223,全国,●,
5298,水谷理人,127.0,0.154,130.0,0.143,9.0,0.158,10.0,0.139,0.139,当地,,,0.154,全国,,
5299,西丸敦基,110.0,0.145,102.0,0.157,,,,,0.157,全国,,,0.145,全国,,
5300,横田海人,90.0,0.192,80.0,0.18,,,,,0.18,全国,,,0.192,全国,●,
5301,岩下巧斗,84.0,0.154,100.0,0.157,4.0,0.185,5.0,0.138,0.157,全国,,,0.154,全国,,
5302,秋末秦悟,82.0,0.174,82.0,0.156,7.0,0.119,10.0,0.202,0.202,当地,●,,0.174,全国,,
5303,土井歩夢,112.0,0.168,103.0,0.161,5.0,0.208,5.0,0.164,0.161,全国,,,0.168,全国,,
5304,井田涼介,94.0,0.19,42.0,0.195,4.0,0.175,4.0,0.165,0.195,全国,●,,0.19,全国,●,
5305,伊藤栞,83.0,0.158,74.0,0.174,16.0,0.179,10.0,0.17,0.17,当地,,,0.179,当地,,
5306,河内悠利杏,100.0,0.196,107.0,0.208,3.0,0.077,4.0,0.13,0.208,全国,●,,0.196,全国,●,
5307,富永夏哉人,95.0,0.199,99.0,0.18,,,,,0.18,全国,,,0.199,全国,●,
5308,藤森拓海,102.0,0.172,91.0,0.172,,,,,0.172,全国,,,0.172,全国,,
5309,森雄利,98.0,0.159,51.0,0.144,,,,,0.144,全国,,,0.159,全国,,
5310,土屋蘭,84.0,0.167,75.0,0.182,,,,,0.182,全国,●,,0.167,全国,,
5311,小林京平,105.0,0.174,98.0,0.178,,,,,0.178,全国,,,0.174,全国,,
5312,川辺郭人,105.0,0.175,94.0,0.166,,,,,0.166,全国,,,0.175,全国,,
5313,鈴木唯央,118.0,0.174,66.0,0.144,5.0,0.146,2.0,0.12,0.144,全国,,,0.174,全国,,
5314,中曽瑠華,103.0,0.184,58.0,0.168,4.0,0.342,4.0,0.088,0.168,全国,,,0.184,全国,●,
5315,浅井翼,99.0,0.201,72.0,0.193,,,,,0.193,全国,●,,0.201,全国,●,
5316,村松将平,122.0,0.14,54.0,0.154,,,,,0.154,全国,,,0.14,全国,,
5317,長尾萌加,113.0,0.165,111.0,0.159,5.0,0.176,5.0,0.18,0.159,全国,,,0.165,全国,,
5318,河内一馬,103.0,0.178,82.0,0.176,,,,,0.176,全国,,,0.178,全国,,
5319,近藤颯斗,78.0,0.133,75.0,0.16,8.0,0.118,10.0,0.156,0.156,当地,,,0.133,全国,,
5320,岩崎麗子,83.0,0.158,85.0,0.182,,,,,0.182,全国,●,,0.158,全国,,
5321,一色颯輝,81.0,0.19,85.0,0.189,,,,,0.189,全国,●,,0.19,全国,●,
5322,根岸真優,92.0,0.166,88.0,0.205,,,,,0.205,全国,●,,0.166,全国,,
5323,香川陽太,81.0,0.178,65.0,0.17,9.0,0.226,3.0,0.147,0.17,全国,,,0.178,全国,,
5324,畑田希咲,79.0,0.229,56.0,0.199,10.0,0.212,7.0,0.223,0.199,全国,●,,0.212,当地,●,
5325,澁川夏,129.0,0.163,76.0,0.161,4.0,0.103,5.0,0.182,0.161,全国,,,0.163,全国,,
5326,三嶌さらら,158.0,0.181,100.0,0.179,,,,,0.179,全国,,,0.181,全国,●,
5327,西田和加,106.0,0.192,52.0,0.19,3.0,0.19,3.0,0.173,0.19,全国,●,,0.192,全国,●,
5328,井上慧人,78.0,0.179,52.0,0.193,,,,,0.193,全国,●,,0.179,全国,,
5329,金子龍斗,113.0,0.174,63.0,0.151,,,,,0.151,全国,,,0.174,全国,,
5330,安河内鈴之介,104.0,0.153,114.0,0.137,3.0,0.11,6.0,0.16,0.137,全国,,,0.153,全国,,
5331,佐藤永梧,91.0,0.159,91.0,0.148,10.0,0.166,7.0,0.164,0.148,全国,,,0.166,当地,,
5332,村松遥輝,97.0,0.159,77.0,0.174,3.0,0.153,4.0,0.15,0.174,全国,,,0.159,全国,,
5333,山下智己,82.0,0.188,62.0,0.182,11.0,0.17,4.0,0.19,0.182,全国,●,,0.17,当地,,
5334,樫葉新心,108.0,0.197,101.0,0.181,3.0,0.203,6.0,0.203,0.181,全国,●,,0.197,全国,●,
5335,森陽多,103.0,0.172,59.0,0.196,5.0,0.108,4.0,0.195,0.196,全国,●,,0.172,全国,,
5336,瀬川大地,66.0,0.174,63.0,0.154,,,,,0.154,全国,,,0.174,全国,,
5337,出畑孝成,188.0,0.194,1.0,0.31,9.0,0.23,1.0,0.31,0.31,全国,●,,0.194,全国,●,
5338,香月大輝,138.0,0.171,38.0,0.153,,,,,0.153,全国,,,0.171,全国,,
5339,石井伸長,104.0,0.165,56.0,0.186,,,,,0.186,全国,●,,0.165,全国,,
5340,樋江井舞,161.0,0.165,57.0,0.166,8.0,0.146,5.0,0.15,0.166,全国,,,0.165,全国,,
5341,山道諄也,118.0,0.193,16.0,0.15,5.0,0.338,3.0,0.147,0.15,全国,,,0.193,全国,●,
5342,原村百那,130.0,0.165,8.0,0.199,5.0,0.248,,,0.199,全国,●,,0.165,全国,,
5343,小林礼央,152.0,0.166,16.0,0.13,,,,,0.13,全国,,●,0.166,全国,,
5344,谷口丞,120.0,0.146,62.0,0.158,11.0,0.125,9.0,0.143,0.158,全国,,,0.125,当地,,●
5345,牧村俊輝,125.0,0.211,45.0,0.168,,,,,0.168,全国,,,0.211,全国,●,
5346,中村紋夕梨,136.0,0.216,14.0,0.195,8.0,0.206,,,0.195,全国,●,,0.216,全国,●,
5347,井澤聖奈,143.0,0.207,3.0,0.32,,,,,0.32,全国,●,,0.207,全国,●,
5348,小林甘寧,147.0,0.163,13.0,0.165,8.0,0.132,1.0,0.21,0.165,全国,,,0.163,全国,,
5349,宮崎奏磨,148.0,0.196,13.0,0.216,4.0,0.15,5.0,0.24,0.216,全国,●,,0.196,全国,●,
5350,網代良芽,114.0,0.158,85.0,0.16,5.0,0.188,4.0,0.145,0.16,全国,,,0.158,全国,,
5351,齊藤廉,105.0,0.158,69.0,0.171,,,,,0.171,全国,,,0.158,全国,,
5352,西岡蒼志,124.0,0.161,80.0,0.174,,,,,0.174,全国,,,0.161,全国,,
5353,草川壮良,128.0,0.169,15.0,0.155,4.0,0.152,,,0.155,全国,,,0.169,全国,,
5354,渡邊雄斗,144.0,0.202,15.0,0.165,34.0,0.177,6.0,0.173,0.165,全国,,,0.177,当地,,
5355,萩原丈太朗,95.0,0.18,42.0,0.184,9.0,0.193,,,0.184,全国,●,,0.18,全国,,
5356,長谷川暖,101.0,0.151,62.0,0.152,,,,,0.152,全国,,,0.151,全国,,
5357,田中瀬里奈,112.0,0.17,39.0,0.206,,,,,0.206,全国,●,,0.17,全国,,
5358,増本杏珠,70.0,0.188,44.0,0.174,,,,,0.174,全国,,,0.188,全国,●,
5359,佐藤世那,87.0,0.178,84.0,0.151,3.0,0.263,3.0,0.167,0.151,全国,,,0.178,全国,,
5360,高木茉白,111.0,0.172,41.0,0.184,9.0,0.179,9.0,0.21,0.184,全国,●,,0.172,全国,,
5361,植竹玲奈,123.0,0.211,22.0,0.212,4.0,0.315,6.0,0.263,0.212,全国,●,,0.211,全国,●,
5362,中嶋世奈,123.0,0.207,30.0,0.222,5.0,0.188,4.0,0.14,0.222,全国,●,,0.207,全国,●,
5363,山本凱立,97.0,0.195,1.0,0.13,,,,,0.13,全国,,●,0.195,全国,●,
5364,金子怜央,159.0,0.158,,,27.0,0.165,,,,全国,,,0.165,当地,,
5365,石村日奈那,148.0,0.197,10.0,0.235,6.0,0.188,,,0.235,全国,●,,0.197,全国,●,
5366,塩嶋泰空,126.0,0.192,16.0,0.192,7.0,0.241,,,0.192,全国,●,,0.192,全国,●,
5367,赤松咲香,120.0,0.175,7.0,0.199,,,,,0.199,全国,●,,0.175,全国,,
5368,宮崎心之介,106.0,0.178,40.0,0.152,8.0,0.215,,,0.152,全国,,,0.178,全国,,
5369,岡崎凪汰,88.0,0.183,51.0,0.17,,,,,0.17,全国,,,0.183,全国,●,
5370,日隈茜,110.0,0.195,,,10.0,0.215,,,,全国,,,0.215,当地,●,
5371,早川颯太,146.0,0.208,,,14.0,0.216,,,,全国,,,0.216,当地,●,
5372,上岡巧汰,118.0,0.163,,,,,,,,全国,,,0.163,全国,,
5373,諏訪玲奈,109.0,0.218,6.0,0.29,,,,,0.29,全国,●,,0.218,全国,●,
5374,木山大聖,149.0,0.147,,,,,,,,全国,,,0.147,全国,,
5375,庄島潤成,156.0,0.191,,,,,,,,全国,,,0.191,全国,●,
5376,吉田一心,105.0,0.171,78.0,0.157,13.0,0.138,4.0,0.158,0.157,全国,,,0.138,当地,,
5377,鳥居塚嶺王,134.0,0.169,10.0,0.149,8.0,0.154,,,0.149,全国,,,0.169,全国,,
5378,鈴木結平太,149.0,0.219,,,8.0,0.22,,,,全国,,,0.219,全国,●,
5379,廣部大明,96.0,0.186,44.0,0.197,,,,,0.197,全国,●,,0.186,全国,●,
5380,野田亜湖,139.0,0.288,,,,,,,,全国,,,0.288,全国,●,
5381,有山望,142.0,0.173,27.0,0.144,,,,,0.144,全国,,,0.173,全国,,
5382,山下心一,133.0,0.165,7.0,0.197,9.0,0.153,,,0.197,全国,●,,0.165,全国,,
5383,中村楓,166.0,0.176,,,38.0,0.179,,,,全国,,,0.179,当地,,
5384,八戸琉楓,154.0,0.21,11.0,0.245,,,,,0.245,全国,●,,0.21,全国,●,
5385,鈴木柊介,156.0,0.156,2.0,0.27,18.0,0.162,,,0.27,全国,●,,0.162,当地,,
5386,米玉利大悟,127.0,0.18,47.0,0.176,12.0,0.218,,,0.176,全国,,,0.218,当地,●,
5387,戸田海咲音,136.0,0.194,,,6.0,0.238,,,,全国,,,0.194,全国,●,
5388,佐野優都,145.0,0.146,2.0,0.095,,,,,0.095,全国,,●,0.146,全国,,
5389,恵良琴美,175.0,0.182,,,,,,,,全国,,,0.182,全国,●,
5390,高橋涼夏,133.0,0.162,,,,,,,,全国,,,0.162,全国,,
5391,出穂和鼓,137.0,0.193,,,,,,,,全国,,,0.193,全国,●,
5392,安武一也,158.0,0.184,,,,,,,,全国,,,0.184,全国,●,
5393,藤原駿,142.0,0.213,,,,,,,,全国,,,0.213,全国,●,
5394,福西広太郎,179.0,0.187,,,8.0,0.227,,,,全国,,,0.187,全国,●,
5395,日高龍之介,129.0,0.198,,,,,,,,全国,,,0.198,全国,●,
5396,近藤来希,133.0,0.204,3.0,0.15,8.0,0.199,,,0.15,全国,,,0.204,全国,●,
5397,寺田夢生,157.0,0.187,,,6.0,0.187,,,,全国,,,0.187,全国,●,
5398,鐘ヶ江真司,159.0,0.182,37.0,0.163,,,,,0.163,全国,,,0.182,全国,●,
5399,長野未来,139.0,0.233,,,33.0,0.231,,,,全国,,,0.231,当地,●,
5400,高村諒,152.0,0.172,12.0,0.158,6.0,0.213,,,0.158,全国,,,0.172,全国,,
5401,谷海夏人,107.0,0.208,,,,,,,,全国,,,0.208,全国,●,
5402,塚越陸斗,124.0,0.206,,,6.0,0.293,,,,全国,,,0.206,全国,●,
5403,藤山湧太,153.0,0.189,,,,,,,,全国,,,0.189,全国,●,
5404,内田壮,142.0,0.212,,,,,,,,全国,,,0.212,全国,●,
5405,竹内来,145.0,0.187,1.0,0.24,9.0,0.151,,,0.24,全国,●,,0.187,全国,●,
5406,小畑楓夏,164.0,0.194,,,,,,,,全国,,,0.194,全国,●,
5407,中岡駿,148.0,0.182,,,,,,,,全国,,,0.182,全国,●,
5408,中山鷹輔,76.0,0.204,,,,,,,,全国,,,0.204,全国,●,
5409,宮本琉正,142.0,0.159,,,,,,,,全国,,,0.159,全国,,
5410,今泉澪,124.0,0.177,,,13.0,0.19,,,,全国,,,0.19,当地,●,
5411,木下虎之輔,144.0,0.169,,,8.0,0.143,,,,全国,,,0.169,全国,,
5412,久保田凪紗,155.0,0.182,,,,,,,,全国,,,0.182,全国,●,
5413,宮城那菜,146.0,0.145,,,,,,,,全国,,,0.145,全国,,
5414,中澤英里,33.0,0.22,,,9.0,0.221,,,,全国,,,0.22,全国,●,
5415,阿部未侑,122.0,0.231,,,16.0,0.27,,,,全国,,,0.27,当地,●,
5416,龍田真白,139.0,0.153,,,28.0,0.184,,,,全国,,,0.184,当地,●,
5417,小柳勝希,139.0,0.192,7.0,0.151,,,,,0.151,全国,,,0.192,全国,●,
5418,堀内亜海,145.0,0.203,,,,,,,,全国,,,0.203,全国,●,
5419,櫻井隼,146.0,0.237,,,17.0,0.222,,,,全国,,,0.222,当地,●,
5420,吉原快誓,127.0,0.184,,,,,,,,全国,,,0.184,全国,●,
5421,原田朱理,77.0,0.238,,,,,,,,全国,,,0.238,全国,●,
5422,真田聖也,84.0,0.147,,,,,,,,全国,,,0.147,全国,,
5423,高橋嗣穏,71.0,0.216,,,,,,,,全国,,,0.216,全国,●,
5424,熊倉幹太,80.0,0.209,,,,,,,,全国,,,0.209,全国,●,
5425,西山育,92.0,0.245,,,27.0,0.262,,,,全国,,,0.262,当地,●,
5426,甲斐貴大,102.0,0.192,,,,,,,,全国,,,0.192,全国,●,
5427,港理樹,132.0,0.216,,,8.0,0.229,,,,全国,,,0.216,全国,●,
5428,古園井綾南,94.0,0.194,,,,,,,,全国,,,0.194,全国,●,
5429,吉川颯汰,89.0,0.218,,,,,,,,全国,,,0.218,全国,●,
5430,鳥本智史,84.0,0.18,,,34.0,0.161,,,,全国,,,0.161,当地,,
5431,得山大輝,100.0,0.165,,,,,,,,全国,,,0.165,全国,,
5432,安藤瑠希,107.0,0.168,,,,,,,,全国,,,0.168,全国,,
5433,米本圭佑,105.0,0.239,,,17.0,0.261,,,,全国,,,0.261,当地,●,
5434,藤田康生,105.0,0.158,,,,,,,,全国,,,0.158,全国,,
5435,中西月輝,85.0,0.222,,,,,,,,全国,,,0.222,全国,●,
5436,市川瑚幸,100.0,0.212,,,15.0,0.195,,,,全国,,,0.195,当地,●,
5437,中澤里桜,76.0,0.221,,,,,,,,全国,,,0.221,全国,●,
5438,星田夢結,100.0,0.208,,,,,,,,全国,,,0.208,全国,●,
5439,志賀美優,101.0,0.203,,,8.0,0.19,,,,全国,,,0.203,全国,●,
5440,薗頭心,89.0,0.187,,,,,,,,全国,,,0.187,全国,●,
5441,鈴木雄登,122.0,0.176,,,6.0,0.123,,,,全国,,,0.176,全国,,
5442,池田美優,89.0,0.21,,,,,,,,全国,,,0.21,全国,●,
5443,西村仁吾,87.0,0.228,,,,,,,,全国,,,0.228,全国,●,
5444,林風音,104.0,0.196,,,6.0,0.225,,,,全国,,,0.196,全国,●,
5445,一ノ木匠,25.0,0.165,,,9.0,0.116,,,,全国,,,0.165,全国,,
5446,長嶺真李愛,21.0,0.23,,,,,,,,全国,,,0.23,全国,●,
5447,岡本亜子,28.0,0.192,,,,,,,,全国,,,0.192,全国,●,
5448,福田柊人,31.0,0.231,,,,,,,,全国,,,0.231,全国,●,
5449,堀井涼平,31.0,0.164,,,8.0,0.186,,,,全国,,,0.164,全国,,
5450,藤本遼磨,32.0,0.213,,,,,,,,全国,,,0.213,全国,●,
5451,知念伶奈,14.0,0.307,,,,,,,,全国,,,0.307,全国,●,
5452,上馬場風依,24.0,0.2,,,,,,,,全国,,,0.2,全国,●,
5453,久保翔耶,36.0,0.184,,,,,,,,全国,,,0.184,全国,●,
5454,谷島咲希,33.0,0.215,,,,,,,,全国,,,0.215,全国,●,
5455,澁澤周羽,36.0,0.202,,,8.0,0.181,,,,全国,,,0.202,全国,●,
5456,今村天次朗,37.0,0.143,,,,,,,,全国,,,0.143,全国,,
5457,山田陽翔,27.0,0.201,,,,,,,,全国,,,0.201,全国,●,
5458,田中大輝,35.0,0.211,,,,,,,,全国,,,0.211,全国,●,
5459,田中きら,19.0,0.255,,,,,,,,全国,,,0.255,全国,●,
5460,早川理稀,43.0,0.196,,,,,,,,全国,,,0.196,全国,●,
5461,板頭里緒,25.0,0.222,,,9.0,0.232,,,,全国,,,0.222,全国,●,
5462,山浦槙,33.0,0.227,,,,,,,,全国,,,0.227,全国,●,
5463,出口飛龍,22.0,0.216,,,,,,,,全国,,,0.216,全国,●,
5464,宮田栞,23.0,0.216,,,,,,,,全国,,,0.216,全国,●,
5465,直江健成,22.0,0.23,,,,,,,,全国,,,0.23,全国,●,
5466,成田華音,33.0,0.199,,,9.0,0.189,,,,全国,,,0.199,全国,●,
5467,野村羽玖,31.0,0.182,,,6.0,0.188,,,,全国,,,0.182,全国,●,
5468,山口隼人,33.0,0.192,,,,,,,,全国,,,0.192,全国,●,
5469,今泉博人,34.0,0.241,,,,,,,,全国,,,0.241,全国,●,
5470,坂口諒宗,15.0,0.226,,,,,,,,全国,,,0.226,全国,●,
5471,田中結,39.0,0.198,,,,,,,,全国,,,0.198,全国,●,
5472,中川海虹,23.0,0.255,,,,,,,,全国,,,0.255,全国,●,
