regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5041,荒牧凪沙,94.0,0.179,90.0,0.185,,,,,0.185,全国,●,,0.179,全国,,
5042,畑田汰一,117.0,0.125,134.0,0.115,,,,,0.115,全国,,●,0.125,全国,,●
5043,中村日向,128.0,0.138,132.0,0.128,5.0,0.172,4.0,0.092,0.128,全国,,●,0.138,全国,,
5044,渡邉健,102.0,0.145,105.0,0.138,3.0,0.163,4.0,0.125,0.138,全国,,,0.145,全国,,
5045,平川香織,131.0,0.215,140.0,0.189,4.0,0.25,5.0,0.258,0.189,全国,●,,0.215,全国,●,
5046,松山裕基,98.0,0.18,86.0,0.162,9.0,0.196,9.0,0.168,0.162,全国,,,0.18,全国,●,
5047,國分将太郎,97.0,0.194,96.0,0.154,,,,,0.154,全国,,,0.194,全国,●,
5048,眞鳥康太,124.0,0.196,54.0,0.174,9.0,0.194,9.0,0.2,0.174,全国,,,0.196,全国,●,
5049,松井友汰,96.0,0.184,87.0,0.169,4.0,0.17,4.0,0.218,0.169,全国,,,0.184,全国,●,
5050,木下雄介,102.0,0.169,103.0,0.163,5.0,0.176,5.0,0.15,0.163,全国,,,0.169,全国,,
5051,松本純平,119.0,0.162,138.0,0.148,4.0,0.17,4.0,0.22,0.148,全国,,,0.162,全国,,
5052,赤井星璃菜,52.0,0.169,56.0,0.143,,,,,0.143,全国,,,0.169,全国,,
5053,山口広樹,99.0,0.19,84.0,0.154,4.0,0.182,5.0,0.128,0.154,全国,,,0.19,全国,●,
5054,佐々木大河,111.0,0.144,106.0,0.134,4.0,0.12,5.0,0.134,0.134,全国,,,0.144,全国,,
5055,眞鳥章太,120.0,0.156,130.0,0.146,8.0,0.149,9.0,0.142,0.146,全国,,,0.156,全国,,
5056,西岡成美,4.0,0.13,4.0,0.152,,,,,0.152,全国,,,0.13,全国,,●
5057,上田紗奈,96.0,0.165,105.0,0.153,,,,,0.153,全国,,,0.165,全国,,
5058,前原大道,130.0,0.161,140.0,0.151,,,,,0.151,全国,,,0.161,全国,,
5060,数原魁,105.0,0.176,115.0,0.158,5.0,0.142,5.0,0.138,0.158,全国,,,0.176,全国,,
5061,中村駿平,96.0,0.161,81.0,0.166,6.0,0.242,1.0,0.18,0.166,全国,,,0.161,全国,,
5063,大塚雅治,102.0,0.19,80.0,0.182,5.0,0.172,4.0,0.178,0.182,全国,●,,0.19,全国,●,
5064,品川二千翔,119.0,0.164,121.0,0.158,,,,,0.158,全国,,,0.164,全国,,
5065,伊久間陽優,95.0,0.12,84.0,0.123,,,,,0.123,全国,,●,0.12,全国,,●
5066,鈴木孝明,115.0,0.161,118.0,0.168,,,,,0.168,全国,,,0.161,全国,,
5067,山田真聖,94.0,0.159,84.0,0.139,,,,,0.139,全国,,,0.159,全国,,
5068,前田滉,111.0,0.145,133.0,0.139,2.0,0.1,5.0,0.158,0.139,全国,,,0.145,全国,,
5069,山崎小葉音,70.0,0.175,77.0,0.158,4.0,0.168,6.0,0.152,0.158,全国,,,0.175,全国,,
5070,中島航,73.0,0.214,86.0,0.18,4.0,0.178,5.0,0.248,0.18,全国,●,,0.214,全国,●,
5071,野見山拓己,97.0,0.139,94.0,0.116,,,,,0.116,全国,,●,0.139,全国,,
5072,吉田杏美,32.0,0.19,34.0,0.219,,,,,0.219,全国,●,,0.19,全国,●,
5073,上原健次郎,100.0,0.175,117.0,0.186,3.0,0.237,4.0,0.262,0.186,全国,●,,0.175,全国,,
5074,大澤誠也,96.0,0.19,82.0,0.181,5.0,0.158,3.0,0.163,0.181,全国,●,,0.19,全国,●,
5075,中島秀治,130.0,0.154,150.0,0.164,12.0,0.166,15.0,0.157,0.157,当地,,,0.166,当地,,
5076,石原光,93.0,0.176,97.0,0.158,5.0,0.198,3.0,0.147,0.158,全国,,,0.176,全国,,
5077,滝沢崚,56.0,0.179,47.0,0.187,7.0,0.193,9.0,0.19,0.187,全国,●,,0.179,全国,,
5078,山川波乙,98.0,0.2,96.0,0.167,14.0,0.184,15.0,0.132,0.132,当地,,,0.184,当地,●,
5079,大石真央,104.0,0.176,107.0,0.172,,,,,0.172,全国,,,0.176,全国,,
5081,篠原飛翔,98.0,0.168,112.0,0.183,3.0,0.203,4.0,0.165,0.183,全国,●,,0.168,全国,,
5082,一色凌雅,116.0,0.182,124.0,0.186,3.0,0.21,4.0,0.188,0.186,全国,●,,0.182,全国,●,
5083,柳瀬幹太,88.0,0.149,86.0,0.173,5.0,0.114,5.0,0.154,0.173,全国,,,0.149,全国,,
5084,末永和也,105.0,0.136,119.0,0.126,8.0,0.14,9.0,0.109,0.126,全国,,●,0.136,全国,,
5085,中村栄治,106.0,0.209,111.0,0.188,5.0,0.16,5.0,0.162,0.188,全国,●,,0.209,全国,●,
5086,本村大,89.0,0.196,78.0,0.196,,,,,0.196,全国,●,,0.196,全国,●,
5087,佐藤航,120.0,0.15,126.0,0.149,2.0,0.11,3.0,0.143,0.149,全国,,,0.15,全国,,
5088,高憧四季,140.0,0.161,169.0,0.155,4.0,0.218,7.0,0.146,0.155,全国,,,0.161,全国,,
5089,前田翔,100.0,0.169,134.0,0.15,4.0,0.143,6.0,0.125,0.15,全国,,,0.169,全国,,
5090,生方靖亜,92.0,0.169,82.0,0.134,5.0,0.134,4.0,0.165,0.134,全国,,,0.169,全国,,
5091,為本智也,72.0,0.147,72.0,0.162,5.0,0.174,4.0,0.143,0.162,全国,,,0.147,全国,,
5092,篠原晟弥,108.0,0.13,110.0,0.133,,,,,0.133,全国,,,0.13,全国,,●
5093,浦野海,99.0,0.203,114.0,0.148,,,,,0.148,全国,,,0.203,全国,●,
5095,小原聡将,86.0,0.144,100.0,0.151,,,,,0.151,全国,,,0.144,全国,,
5096,上原崚,122.0,0.143,126.0,0.137,8.0,0.12,11.0,0.152,0.152,当地,,,0.143,全国,,
5098,大江純,107.0,0.153,104.0,0.136,4.0,0.132,5.0,0.118,0.136,全国,,,0.153,全国,,
5100,栗原一馬,77.0,0.177,79.0,0.159,4.0,0.153,4.0,0.16,0.159,全国,,,0.177,全国,,
5101,表健太,81.0,0.188,68.0,0.188,,,,,0.188,全国,●,,0.188,全国,●,
5102,原田雄次,102.0,0.217,110.0,0.168,4.0,0.18,5.0,0.16,0.168,全国,,,0.217,全国,●,
5103,芝田京介,74.0,0.191,55.0,0.181,,,,,0.181,全国,●,,0.191,全国,●,
5104,山田丈,88.0,0.169,89.0,0.143,,,,,0.143,全国,,,0.169,全国,,
5105,富田恕生,99.0,0.169,99.0,0.189,4.0,0.175,5.0,0.19,0.189,全国,●,,0.169,全国,,
5106,山崎祥,98.0,0.191,106.0,0.179,7.0,0.186,9.0,0.149,0.179,全国,,,0.191,全国,●,
5107,松本真広,88.0,0.179,82.0,0.168,10.0,0.159,7.0,0.203,0.168,全国,,,0.159,当地,,
