date,race,combo,odds
2026-08-21,1,1-2-3,33.4
2026-08-21,1,1-2-4,66.2
2026-08-21,1,1-2-5,75.3
2026-08-21,1,1-2-6,20.2
2026-08-21,1,1-3-2,25.9
2026-08-21,1,1-3-4,25.5
2026-08-21,1,1-3-5,39.8
2026-08-21,1,1-3-6,11.6
2026-08-21,1,1-4-2,74.3
2026-08-21,1,1-4-3,55.1
2026-08-21,1,1-4-5,100.5
2026-08-21,1,1-4-6,31.0
2026-08-21,1,1-5-2,109.8
2026-08-21,1,1-5-3,89.7
2026-08-21,1,1-5-4,144.0
2026-08-21,1,1-5-6,35.3
2026-08-21,1,1-6-2,23.6
2026-08-21,1,1-6-3,16.1
2026-08-21,1,1-6-4,34.7
2026-08-21,1,1-6-5,28.1
2026-08-21,1,2-1-3,129.1
2026-08-21,1,2-1-4,226.9
2026-08-21,1,2-1-5,341.1
2026-08-21,1,2-1-6,117.4
2026-08-21,1,2-3-1,229.3
2026-08-21,1,2-3-4,467.8
2026-08-21,1,2-3-5,715.9
2026-08-21,1,2-3-6,187.3
2026-08-21,1,2-4-1,404.5
2026-08-21,1,2-4-3,569.0
2026-08-21,1,2-4-5,935.6
2026-08-21,1,2-4-6,332.2
2026-08-21,1,2-5-1,579.8
2026-08-21,1,2-5-3,828.8
2026-08-21,1,2-5-4,1081.0
2026-08-21,1,2-5-6,544.6
2026-08-21,1,2-6-1,178.3
2026-08-21,1,2-6-3,215.1
2026-08-21,1,2-6-4,337.4
2026-08-21,1,2-6-5,395.0
2026-08-21,1,3-1-2,72.2
2026-08-21,1,3-1-4,58.2
2026-08-21,1,3-1-5,95.4
2026-08-21,1,3-1-6,21.2
2026-08-21,1,3-2-1,151.2
2026-08-21,1,3-2-4,257.6
2026-08-21,1,3-2-5,321.0
2026-08-21,1,3-2-6,97.3
2026-08-21,1,3-4-1,80.0
2026-08-21,1,3-4-2,234.2
2026-08-21,1,3-4-5,185.3
2026-08-21,1,3-4-6,50.2
2026-08-21,1,3-5-1,194.7
2026-08-21,1,3-5-2,339.6
2026-08-21,1,3-5-4,350.5
2026-08-21,1,3-5-6,113.7
2026-08-21,1,3-6-1,22.9
2026-08-21,1,3-6-2,67.1
2026-08-21,1,3-6-4,41.9
2026-08-21,1,3-6-5,74.7
2026-08-21,1,4-1-2,244.0
2026-08-21,1,4-1-3,130.3
2026-08-21,1,4-1-5,194.7
2026-08-21,1,4-1-6,73.1
2026-08-21,1,4-2-1,403.4
2026-08-21,1,4-2-3,569.0
2026-08-21,1,4-2-5,560.6
2026-08-21,1,4-2-6,221.3
2026-08-21,1,4-3-1,150.8
2026-08-21,1,4-3-2,383.1
2026-08-21,1,4-3-5,288.2
2026-08-21,1,4-3-6,92.6
2026-08-21,1,4-5-1,197.5
2026-08-21,1,4-5-2,421.2
2026-08-21,1,4-5-3,279.3
2026-08-21,1,4-5-6,92.7
2026-08-21,1,4-6-1,63.4
2026-08-21,1,4-6-2,156.4
2026-08-21,1,4-6-3,82.6
2026-08-21,1,4-6-5,80.0
2026-08-21,1,5-1-2,527.7
2026-08-21,1,5-1-3,369.2
2026-08-21,1,5-1-4,462.1
2026-08-21,1,5-1-6,133.5
2026-08-21,1,5-2-1,794.3
2026-08-21,1,5-2-3,1097.0
2026-08-21,1,5-2-4,941.3
2026-08-21,1,5-2-6,511.7
2026-08-21,1,5-3-1,411.0
2026-08-21,1,5-3-2,1059.0
2026-08-21,1,5-3-4,640.7
2026-08-21,1,5-3-6,256.7
2026-08-21,1,5-4-1,390.0
2026-08-21,1,5-4-2,929.9
2026-08-21,1,5-4-3,610.0
2026-08-21,1,5-4-6,169.8
2026-08-21,1,5-6-1,137.6
2026-08-21,1,5-6-2,311.2
2026-08-21,1,5-6-3,208.6
2026-08-21,1,5-6-4,198.5
2026-08-21,1,6-1-2,57.2
2026-08-21,1,6-1-3,27.7
2026-08-21,1,6-1-4,55.6
2026-08-21,1,6-1-5,104.9
2026-08-21,1,6-2-1,134.3
2026-08-21,1,6-2-3,162.2
2026-08-21,1,6-2-4,292.1
2026-08-21,1,6-2-5,428.3
2026-08-21,1,6-3-1,34.1
2026-08-21,1,6-3-2,115.0
2026-08-21,1,6-3-4,77.9
2026-08-21,1,6-3-5,134.4
2026-08-21,1,6-4-1,100.1
2026-08-21,1,6-4-2,250.0
2026-08-21,1,6-4-3,120.1
2026-08-21,1,6-4-5,131.9
2026-08-21,1,6-5-1,126.3
2026-08-21,1,6-5-2,291.5
2026-08-21,1,6-5-3,191.1
2026-08-21,1,6-5-4,205.8
2026-08-21,2,1-2-3,17.7
2026-08-21,2,1-2-4,101.9
2026-08-21,2,1-2-5,67.7
2026-08-21,2,1-2-6,27.6
2026-08-21,2,1-3-2,8.6
2026-08-21,2,1-3-4,29.6
2026-08-21,2,1-3-5,16.1
2026-08-21,2,1-3-6,3.1
2026-08-21,2,1-4-2,172.7
2026-08-21,2,1-4-3,81.9
2026-08-21,2,1-4-5,204.5
2026-08-21,2,1-4-6,95.3
2026-08-21,2,1-5-2,100.7
2026-08-21,2,1-5-3,37.2
2026-08-21,2,1-5-4,218.6
2026-08-21,2,1-5-6,45.3
2026-08-21,2,1-6-2,21.7
2026-08-21,2,1-6-3,6.9
2026-08-21,2,1-6-4,54.3
2026-08-21,2,1-6-5,22.8
2026-08-21,2,2-1-3,232.5
2026-08-21,2,2-1-4,692.2
2026-08-21,2,2-1-5,557.2
2026-08-21,2,2-1-6,368.8
2026-08-21,2,2-3-1,384.5
2026-08-21,2,2-3-4,1499.0
2026-08-21,2,2-3-5,1090.0
2026-08-21,2,2-3-6,779.1
2026-08-21,2,2-4-1,1475.0
2026-08-21,2,2-4-3,1935.0
2026-08-21,2,2-4-5,2168.0
2026-08-21,2,2-4-6,1914.0
2026-08-21,2,2-5-1,829.4
2026-08-21,2,2-5-3,1836.0
2026-08-21,2,2-5-4,2768.0
2026-08-21,2,2-5-6,1836.0
2026-08-21,2,2-6-1,669.0
2026-08-21,2,2-6-3,1199.0
2026-08-21,2,2-6-4,1606.0
2026-08-21,2,2-6-5,1874.0
2026-08-21,2,3-1-2,72.9
2026-08-21,2,3-1-4,109.7
2026-08-21,2,3-1-5,48.2
2026-08-21,2,3-1-6,21.6
2026-08-21,2,3-2-1,209.5
2026-08-21,2,3-2-4,762.6
2026-08-21,2,3-2-5,456.8
2026-08-21,2,3-2-6,403.5
2026-08-21,2,3-4-1,321.9
2026-08-21,2,3-4-2,789.3
2026-08-21,2,3-4-5,785.9
2026-08-21,2,3-4-6,434.7
2026-08-21,2,3-5-1,181.9
2026-08-21,2,3-5-2,506.9
2026-08-21,2,3-5-4,731.6
2026-08-21,2,3-5-6,216.5
2026-08-21,2,3-6-1,46.8
2026-08-21,2,3-6-2,234.0
2026-08-21,2,3-6-4,224.4
2026-08-21,2,3-6-5,102.9
2026-08-21,2,4-1-2,869.4
2026-08-21,2,4-1-3,550.4
2026-08-21,2,4-1-5,913.6
2026-08-21,2,4-1-6,506.9
2026-08-21,2,4-2-1,1538.0
2026-08-21,2,4-2-3,2646.0
2026-08-21,2,4-2-5,2068.0
2026-08-21,2,4-2-6,1606.0
2026-08-21,2,4-3-1,772.4
2026-08-21,2,4-3-2,2045.0
2026-08-21,2,4-3-5,1565.0
2026-08-21,2,4-3-6,1011.0
2026-08-21,2,4-5-1,1956.0
2026-08-21,2,4-5-2,3157.0
2026-08-21,2,4-5-3,2999.0
2026-08-21,2,4-5-6,2768.0
2026-08-21,2,4-6-1,616.3
2026-08-21,2,4-6-2,1439.0
2026-08-21,2,4-6-3,1104.0
2026-08-21,2,4-6-5,1363.0
2026-08-21,2,5-1-2,562.4
2026-08-21,2,5-1-3,334.5
2026-08-21,2,5-1-4,1199.0
2026-08-21,2,5-1-6,288.8
2026-08-21,2,5-2-1,904.4
2026-08-21,2,5-2-3,1323.0
2026-08-21,2,5-2-4,1764.0
2026-08-21,2,5-2-6,1285.0
2026-08-21,2,5-3-1,478.6
2026-08-21,2,5-3-2,1199.0
2026-08-21,2,5-3-4,2194.0
2026-08-21,2,5-3-6,705.8
2026-08-21,2,5-4-1,2337.0
2026-08-21,2,5-4-2,3050.0
2026-08-21,2,5-4-3,3461.0
2026-08-21,2,5-4-6,3050.0
2026-08-21,2,5-6-1,329.0
2026-08-21,2,5-6-2,967.6
2026-08-21,2,5-6-3,564.2
2026-08-21,2,5-6-4,1818.0
2026-08-21,2,6-1-2,94.1
2026-08-21,2,6-1-3,36.8
2026-08-21,2,6-1-4,211.9
2026-08-21,2,6-1-5,64.4
2026-08-21,2,6-2-1,279.9
2026-08-21,2,6-2-3,471.1
2026-08-21,2,6-2-4,1104.0
2026-08-21,2,6-2-5,762.6
2026-08-21,2,6-3-1,68.8
2026-08-21,2,6-3-2,303.5
2026-08-21,2,6-3-4,400.8
2026-08-21,2,6-3-5,177.6
2026-08-21,2,6-4-1,601.9
2026-08-21,2,6-4-2,1439.0
2026-08-21,2,6-4-3,1022.0
2026-08-21,2,6-4-5,1451.0
2026-08-21,2,6-5-1,131.5
2026-08-21,2,6-5-2,472.3
2026-08-21,2,6-5-3,244.8
2026-08-21,2,6-5-4,837.1
2026-08-21,3,1-2-3,73.1
2026-08-21,3,1-2-4,146.5
2026-08-21,3,1-2-5,37.6
2026-08-21,3,1-2-6,55.9
2026-08-21,3,1-3-2,127.9
2026-08-21,3,1-3-4,318.5
2026-08-21,3,1-3-5,122.1
2026-08-21,3,1-3-6,212.4
2026-08-21,3,1-4-2,361.9
2026-08-21,3,1-4-3,449.1
2026-08-21,3,1-4-5,364.7
2026-08-21,3,1-4-6,322.9
2026-08-21,3,1-5-2,52.8
2026-08-21,3,1-5-3,112.7
2026-08-21,3,1-5-4,226.9
2026-08-21,3,1-5-6,73.0
2026-08-21,3,1-6-2,142.4
2026-08-21,3,1-6-3,320.7
2026-08-21,3,1-6-4,393.8
2026-08-21,3,1-6-5,152.0
2026-08-21,3,2-1-3,36.9
