date,race,combo,odds
2026-09-18,1,1-2-3,22.5
2026-09-18,1,1-2-4,36.7
2026-09-18,1,1-2-5,72.1
2026-09-18,1,1-2-6,139.6
2026-09-18,1,1-3-2,19.0
2026-09-18,1,1-3-4,10.0
2026-09-18,1,1-3-5,15.0
2026-09-18,1,1-3-6,66.5
2026-09-18,1,1-4-2,36.3
2026-09-18,1,1-4-3,15.8
2026-09-18,1,1-4-5,27.1
2026-09-18,1,1-4-6,109.9
2026-09-18,1,1-5-2,99.4
2026-09-18,1,1-5-3,41.3
2026-09-18,1,1-5-4,53.2
2026-09-18,1,1-5-6,145.4
2026-09-18,1,1-6-2,325.6
2026-09-18,1,1-6-3,215.8
2026-09-18,1,1-6-4,304.5
2026-09-18,1,1-6-5,361.9
2026-09-18,1,2-1-3,46.7
2026-09-18,1,2-1-4,60.9
2026-09-18,1,2-1-5,98.9
2026-09-18,1,2-1-6,237.6
2026-09-18,1,2-3-1,61.0
2026-09-18,1,2-3-4,70.0
2026-09-18,1,2-3-5,112.0
2026-09-18,1,2-3-6,275.1
2026-09-18,1,2-4-1,113.1
2026-09-18,1,2-4-3,112.6
2026-09-18,1,2-4-5,225.6
2026-09-18,1,2-4-6,377.9
2026-09-18,1,2-5-1,266.5
2026-09-18,1,2-5-3,241.9
2026-09-18,1,2-5-4,336.0
2026-09-18,1,2-5-6,615.0
2026-09-18,1,2-6-1,591.8
2026-09-18,1,2-6-3,573.7
2026-09-18,1,2-6-4,702.2
2026-09-18,1,2-6-5,712.8
2026-09-18,1,3-1-2,28.0
2026-09-18,1,3-1-4,13.3
2026-09-18,1,3-1-5,21.2
2026-09-18,1,3-1-6,64.9
2026-09-18,1,3-2-1,54.2
2026-09-18,1,3-2-4,66.2
2026-09-18,1,3-2-5,84.5
2026-09-18,1,3-2-6,207.2
2026-09-18,1,3-4-1,24.0
2026-09-18,1,3-4-2,68.0
2026-09-18,1,3-4-5,34.8
2026-09-18,1,3-4-6,88.1
2026-09-18,1,3-5-1,38.2
2026-09-18,1,3-5-2,99.4
2026-09-18,1,3-5-4,49.3
2026-09-18,1,3-5-6,99.6
2026-09-18,1,3-6-1,187.4
2026-09-18,1,3-6-2,330.1
2026-09-18,1,3-6-4,235.8
2026-09-18,1,3-6-5,246.3
2026-09-18,1,4-1-2,88.4
2026-09-18,1,4-1-3,42.2
2026-09-18,1,4-1-5,61.3
2026-09-18,1,4-1-6,171.0
2026-09-18,1,4-2-1,137.3
2026-09-18,1,4-2-3,155.2
2026-09-18,1,4-2-5,214.8
2026-09-18,1,4-2-6,402.1
2026-09-18,1,4-3-1,57.5
2026-09-18,1,4-3-2,155.2
2026-09-18,1,4-3-5,76.8
2026-09-18,1,4-3-6,200.2
2026-09-18,1,4-5-1,95.1
2026-09-18,1,4-5-2,200.6
2026-09-18,1,4-5-3,101.0
2026-09-18,1,4-5-6,168.0
2026-09-18,1,4-6-1,382.5
2026-09-18,1,4-6-2,566.8
2026-09-18,1,4-6-3,421.9
2026-09-18,1,4-6-5,344.6
2026-09-18,1,5-1-2,205.0
2026-09-18,1,5-1-3,112.1
2026-09-18,1,5-1-4,165.3
2026-09-18,1,5-1-6,297.7
2026-09-18,1,5-2-1,397.0
2026-09-18,1,5-2-3,361.9
2026-09-18,1,5-2-4,550.2
2026-09-18,1,5-2-6,825.4
2026-09-18,1,5-3-1,143.0
2026-09-18,1,5-3-2,349.8
2026-09-18,1,5-3-4,184.5
2026-09-18,1,5-3-6,376.4
2026-09-18,1,5-4-1,202.8
2026-09-18,1,5-4-2,337.2
2026-09-18,1,5-4-3,190.4
2026-09-18,1,5-4-6,351.1
2026-09-18,1,5-6-1,522.7
2026-09-18,1,5-6-2,980.2
2026-09-18,1,5-6-3,487.5
2026-09-18,1,5-6-4,702.2
2026-09-18,1,6-1-2,818.2
2026-09-18,1,6-1-3,487.5
2026-09-18,1,6-1-4,970.1
2026-09-18,1,6-1-5,871.3
2026-09-18,1,6-2-1,931.6
2026-09-18,1,6-2-3,887.7
2026-09-18,1,6-2-4,1222.0
2026-09-18,1,6-2-5,1344.0
2026-09-18,1,6-3-1,492.6
2026-09-18,1,6-3-2,922.5
2026-09-18,1,6-3-4,758.8
2026-09-18,1,6-3-5,818.2
2026-09-18,1,6-4-1,863.3
2026-09-18,1,6-4-2,1383.0
2026-09-18,1,6-4-3,896.2
2026-09-18,1,6-4-5,1011.0
2026-09-18,1,6-5-1,825.4
2026-09-18,1,6-5-2,1425.0
2026-09-18,1,6-5-3,832.7
2026-09-18,1,6-5-4,990.5
2026-09-18,2,1-2-3,5.5
2026-09-18,2,1-2-4,121.8
2026-09-18,2,1-2-5,26.4
2026-09-18,2,1-2-6,47.5
2026-09-18,2,1-3-2,8.1
2026-09-18,2,1-3-4,107.8
2026-09-18,2,1-3-5,24.5
2026-09-18,2,1-3-6,49.5
2026-09-18,2,1-4-2,243.1
2026-09-18,2,1-4-3,222.3
2026-09-18,2,1-4-5,331.6
2026-09-18,2,1-4-6,433.8
2026-09-18,2,1-5-2,75.9
2026-09-18,2,1-5-3,72.2
2026-09-18,2,1-5-4,312.6
2026-09-18,2,1-5-6,271.3
2026-09-18,2,1-6-2,143.9
2026-09-18,2,1-6-3,157.5
2026-09-18,2,1-6-4,693.6
2026-09-18,2,1-6-5,428.2
2026-09-18,2,2-1-3,10.4
2026-09-18,2,2-1-4,112.9
2026-09-18,2,2-1-5,25.4
2026-09-18,2,2-1-6,54.9
2026-09-18,2,2-3-1,12.7
2026-09-18,2,2-3-4,97.8
2026-09-18,2,2-3-5,21.7
2026-09-18,2,2-3-6,38.5
2026-09-18,2,2-4-1,275.8
2026-09-18,2,2-4-3,243.1
2026-09-18,2,2-4-5,367.5
2026-09-18,2,2-4-6,499.9
2026-09-18,2,2-5-1,71.0
2026-09-18,2,2-5-3,52.3
2026-09-18,2,2-5-4,339.6
2026-09-18,2,2-5-6,192.3
2026-09-18,2,2-6-1,212.7
2026-09-18,2,2-6-3,146.5
2026-09-18,2,2-6-4,665.4
2026-09-18,2,2-6-5,353.0
2026-09-18,2,3-1-2,16.6
2026-09-18,2,3-1-4,146.5
2026-09-18,2,3-1-5,28.5
2026-09-18,2,3-1-6,57.6
2026-09-18,2,3-2-1,17.4
2026-09-18,2,3-2-4,126.1
2026-09-18,2,3-2-5,24.2
2026-09-18,2,3-2-6,41.7
2026-09-18,2,3-4-1,231.2
2026-09-18,2,3-4-2,237.3
2026-09-18,2,3-4-5,301.2
2026-09-18,2,3-4-6,443.6
2026-09-18,2,3-5-1,54.9
2026-09-18,2,3-5-2,45.5
2026-09-18,2,3-5-4,226.4
2026-09-18,2,3-5-6,119.5
2026-09-18,2,3-6-1,207.3
2026-09-18,2,3-6-2,135.8
2026-09-18,2,3-6-4,615.5
2026-09-18,2,3-6-5,256.4
2026-09-18,2,4-1-2,718.9
2026-09-18,2,4-1-3,813.9
