date,race,combo,odds
2026-07-11,1,1-2-3,10.4
2026-07-11,1,1-2-4,24.0
2026-07-11,1,1-2-5,13.9
2026-07-11,1,1-2-6,68.1
2026-07-11,1,1-3-2,11.7
2026-07-11,1,1-3-4,25.0
2026-07-11,1,1-3-5,13.9
2026-07-11,1,1-3-6,100.9
2026-07-11,1,1-4-2,49.4
2026-07-11,1,1-4-3,56.3
2026-07-11,1,1-4-5,71.0
2026-07-11,1,1-4-6,168.2
2026-07-11,1,1-5-2,29.5
2026-07-11,1,1-5-3,30.6
2026-07-11,1,1-5-4,73.5
2026-07-11,1,1-5-6,120.6
2026-07-11,1,1-6-2,254.5
2026-07-11,1,1-6-3,376.5
2026-07-11,1,1-6-4,344.3
2026-07-11,1,1-6-5,293.5
2026-07-11,1,2-1-3,15.7
2026-07-11,1,2-1-4,26.9
2026-07-11,1,2-1-5,16.3
2026-07-11,1,2-1-6,66.8
2026-07-11,1,2-3-1,32.1
2026-07-11,1,2-3-4,51.2
2026-07-11,1,2-3-5,46.1
2026-07-11,1,2-3-6,168.0
2026-07-11,1,2-4-1,55.9
2026-07-11,1,2-4-3,70.5
2026-07-11,1,2-4-5,85.0
2026-07-11,1,2-4-6,168.7
2026-07-11,1,2-5-1,55.9
2026-07-11,1,2-5-3,75.6
2026-07-11,1,2-5-4,111.2
2026-07-11,1,2-5-6,210.8
2026-07-11,1,2-6-1,269.8
2026-07-11,1,2-6-3,471.5
2026-07-11,1,2-6-4,430.4
2026-07-11,1,2-6-5,461.6
2026-07-11,1,3-1-2,41.8
2026-07-11,1,3-1-4,69.4
2026-07-11,1,3-1-5,39.1
2026-07-11,1,3-1-6,198.5
2026-07-11,1,3-2-1,61.7
2026-07-11,1,3-2-4,92.3
2026-07-11,1,3-2-5,75.6
2026-07-11,1,3-2-6,281.7
2026-07-11,1,3-4-1,135.7
2026-07-11,1,3-4-2,130.7
2026-07-11,1,3-4-5,153.5
2026-07-11,1,3-4-6,384.1
2026-07-11,1,3-5-1,75.4
2026-07-11,1,3-5-2,103.7
2026-07-11,1,3-5-4,142.5
2026-07-11,1,3-5-6,264.6
2026-07-11,1,3-6-1,555.2
2026-07-11,1,3-6-2,693.4
2026-07-11,1,3-6-4,777.9
2026-07-11,1,3-6-5,633.2
2026-07-11,1,4-1-2,111.5
2026-07-11,1,4-1-3,165.1
2026-07-11,1,4-1-5,122.5
2026-07-11,1,4-1-6,281.2
2026-07-11,1,4-2-1,130.9
2026-07-11,1,4-2-3,173.9
2026-07-11,1,4-2-5,166.4
2026-07-11,1,4-2-6,302.8
2026-07-11,1,4-3-1,208.5
2026-07-11,1,4-3-2,208.2
2026-07-11,1,4-3-5,257.5
2026-07-11,1,4-3-6,643.9
2026-07-11,1,4-5-1,143.0
2026-07-11,1,4-5-2,174.1
2026-07-11,1,4-5-3,242.8
2026-07-11,1,4-5-6,232.5
2026-07-11,1,4-6-1,587.1
2026-07-11,1,4-6-2,589.4
2026-07-11,1,4-6-3,819.5
2026-07-11,1,4-6-5,553.2
2026-07-11,1,5-1-2,85.4
2026-07-11,1,5-1-3,79.5
2026-07-11,1,5-1-4,146.9
2026-07-11,1,5-1-6,203.5
2026-07-11,1,5-2-1,126.0
2026-07-11,1,5-2-3,155.4
2026-07-11,1,5-2-4,205.9
2026-07-11,1,5-2-6,336.0
2026-07-11,1,5-3-1,122.1
2026-07-11,1,5-3-2,174.5
2026-07-11,1,5-3-4,254.1
2026-07-11,1,5-3-6,499.2
2026-07-11,1,5-4-1,246.7
2026-07-11,1,5-4-2,268.8
2026-07-11,1,5-4-3,337.5
2026-07-11,1,5-4-6,365.7
2026-07-11,1,5-6-1,458.8
2026-07-11,1,5-6-2,675.1
2026-07-11,1,5-6-3,687.2
2026-07-11,1,5-6-4,652.1
2026-07-11,1,6-1-2,819.5
2026-07-11,1,6-1-3,1102.0
2026-07-11,1,6-1-4,1432.0
2026-07-11,1,6-1-5,1035.0
2026-07-11,1,6-2-1,1014.0
2026-07-11,1,6-2-3,1126.0
2026-07-11,1,6-2-4,1021.0
2026-07-11,1,6-2-5,1473.0
2026-07-11,1,6-3-1,1178.0
2026-07-11,1,6-3-2,1235.0
2026-07-11,1,6-3-4,1064.0
2026-07-11,1,6-3-5,1741.0
2026-07-11,1,6-4-1,1226.0
2026-07-11,1,6-4-2,976.1
2026-07-11,1,6-4-3,1647.0
2026-07-11,1,6-4-5,1256.0
2026-07-11,1,6-5-1,963.8
2026-07-11,1,6-5-2,1321.0
2026-07-11,1,6-5-3,1432.0
2026-07-11,1,6-5-4,1206.0
2026-07-11,2,1-2-3,7.1
2026-07-11,2,1-2-4,6.3
2026-07-11,2,1-2-5,41.1
2026-07-11,2,1-2-6,31.1
2026-07-11,2,1-3-2,17.1
2026-07-11,2,1-3-4,28.1
2026-07-11,2,1-3-5,78.7
2026-07-11,2,1-3-6,94.4
2026-07-11,2,1-4-2,14.8
2026-07-11,2,1-4-3,35.3
2026-07-11,2,1-4-5,105.4
2026-07-11,2,1-4-6,60.9
2026-07-11,2,1-5-2,109.6
2026-07-11,2,1-5-3,207.9
2026-07-11,2,1-5-4,251.8
2026-07-11,2,1-5-6,343.7
2026-07-11,2,1-6-2,115.6
2026-07-11,2,1-6-3,262.0
2026-07-11,2,1-6-4,194.2
2026-07-11,2,1-6-5,400.4
2026-07-11,2,2-1-3,14.3
2026-07-11,2,2-1-4,10.7
2026-07-11,2,2-1-5,69.4
2026-07-11,2,2-1-6,44.3
2026-07-11,2,2-3-1,41.8
2026-07-11,2,2-3-4,52.7
2026-07-11,2,2-3-5,170.3
2026-07-11,2,2-3-6,129.4
2026-07-11,2,2-4-1,25.2
2026-07-11,2,2-4-3,49.8
2026-07-11,2,2-4-5,154.2
2026-07-11,2,2-4-6,68.7
2026-07-11,2,2-5-1,240.2
2026-07-11,2,2-5-3,412.6
2026-07-11,2,2-5-4,299.7
2026-07-11,2,2-5-6,435.1
2026-07-11,2,2-6-1,152.2
2026-07-11,2,2-6-3,250.0
2026-07-11,2,2-6-4,187.5
2026-07-11,2,2-6-5,474.7
2026-07-11,2,3-1-2,42.7
2026-07-11,2,3-1-4,61.3
2026-07-11,2,3-1-5,142.7
2026-07-11,2,3-1-6,144.8
2026-07-11,2,3-2-1,54.2
2026-07-11,2,3-2-4,70.3
2026-07-11,2,3-2-5,263.1
2026-07-11,2,3-2-6,185.4
2026-07-11,2,3-4-1,101.7
2026-07-11,2,3-4-2,98.3
2026-07-11,2,3-4-5,336.0
2026-07-11,2,3-4-6,268.3
2026-07-11,2,3-5-1,406.4
2026-07-11,2,3-5-2,508.4
2026-07-11,2,3-5-4,675.4
2026-07-11,2,3-5-6,1005.0
2026-07-11,2,3-6-1,446.6
2026-07-11,2,3-6-2,400.4
2026-07-11,2,3-6-4,491.9
2026-07-11,2,3-6-5,998.2
2026-07-11,2,4-1-2,38.8
2026-07-11,2,4-1-3,90.6
2026-07-11,2,4-1-5,170.5
2026-07-11,2,4-1-6,107.5
2026-07-11,2,4-2-1,38.0
2026-07-11,2,4-2-3,94.1
2026-07-11,2,4-2-5,197.3
2026-07-11,2,4-2-6,94.7
2026-07-11,2,4-3-1,157.3
2026-07-11,2,4-3-2,119.9
2026-07-11,2,4-3-5,440.8
2026-07-11,2,4-3-6,299.7
2026-07-11,2,4-5-1,304.4
2026-07-11,2,4-5-2,303.0
2026-07-11,2,4-5-3,561.0
2026-07-11,2,4-5-6,420.3
2026-07-11,2,4-6-1,187.5
2026-07-11,2,4-6-2,167.4
2026-07-11,2,4-6-3,348.1
2026-07-11,2,4-6-5,481.4
2026-07-11,2,5-1-2,411.4
2026-07-11,2,5-1-3,592.8
2026-07-11,2,5-1-4,580.1
2026-07-11,2,5-1-6,822.8
2026-07-11,2,5-2-1,420.3
2026-07-11,2,5-2-3,741.8
2026-07-11,2,5-2-4,568.0
2026-07-11,2,5-2-6,1028.0
2026-07-11,2,5-3-1,893.2
2026-07-11,2,5-3-2,875.9
2026-07-11,2,5-3-4,1414.0
2026-07-11,2,5-3-6,1786.0
