date,race,combo,odds
2025-12-29,1,1-2-3,12.2
2025-12-29,1,1-2-4,86.9
2025-12-29,1,1-2-5,42.7
2025-12-29,1,1-2-6,19.4
2025-12-29,1,1-3-2,10.8
2025-12-29,1,1-3-4,70.9
2025-12-29,1,1-3-5,23.7
2025-12-29,1,1-3-6,12.0
2025-12-29,1,1-4-2,162.5
2025-12-29,1,1-4-3,160.3
2025-12-29,1,1-4-5,227.1
2025-12-29,1,1-4-6,149.0
2025-12-29,1,1-5-2,74.0
2025-12-29,1,1-5-3,56.0
2025-12-29,1,1-5-4,250.7
2025-12-29,1,1-5-6,57.3
2025-12-29,1,1-6-2,23.8
2025-12-29,1,1-6-3,19.2
2025-12-29,1,1-6-4,125.7
2025-12-29,1,1-6-5,50.1
2025-12-29,1,2-1-3,43.2
2025-12-29,1,2-1-4,181.6
2025-12-29,1,2-1-5,86.8
2025-12-29,1,2-1-6,41.1
2025-12-29,1,2-3-1,62.3
2025-12-29,1,2-3-4,268.3
2025-12-29,1,2-3-5,93.1
2025-12-29,1,2-3-6,50.1
2025-12-29,1,2-4-1,380.8
2025-12-29,1,2-4-3,493.7
2025-12-29,1,2-4-5,566.9
2025-12-29,1,2-4-6,305.0
2025-12-29,1,2-5-1,212.5
2025-12-29,1,2-5-3,169.6
2025-12-29,1,2-5-4,631.2
2025-12-29,1,2-5-6,174.9
2025-12-29,1,2-6-1,59.6
2025-12-29,1,2-6-3,64.4
2025-12-29,1,2-6-4,342.1
2025-12-29,1,2-6-5,146.1
2025-12-29,1,3-1-2,36.9
2025-12-29,1,3-1-4,150.4
2025-12-29,1,3-1-5,48.8
2025-12-29,1,3-1-6,23.8
2025-12-29,1,3-2-1,56.6
2025-12-29,1,3-2-4,251.7
2025-12-29,1,3-2-5,71.4
2025-12-29,1,3-2-6,42.2
2025-12-29,1,3-4-1,319.5
2025-12-29,1,3-4-2,432.9
2025-12-29,1,3-4-5,416.0
2025-12-29,1,3-4-6,266.6
2025-12-29,1,3-5-1,97.5
2025-12-29,1,3-5-2,102.7
2025-12-29,1,3-5-4,373.0
2025-12-29,1,3-5-6,76.2
2025-12-29,1,3-6-1,32.9
2025-12-29,1,3-6-2,45.8
2025-12-29,1,3-6-4,206.0
2025-12-29,1,3-6-5,71.4
2025-12-29,1,4-1-2,519.8
2025-12-29,1,4-1-3,489.0
2025-12-29,1,4-1-5,593.2
2025-12-29,1,4-1-6,399.1
2025-12-29,1,4-2-1,662.2
2025-12-29,1,4-2-3,811.0
2025-12-29,1,4-2-5,877.6
2025-12-29,1,4-2-6,531.7
2025-12-29,1,4-3-1,604.4
2025-12-29,1,4-3-2,843.0
2025-12-29,1,4-3-5,935.3
2025-12-29,1,4-3-6,639.1
2025-12-29,1,4-5-1,711.8
2025-12-29,1,4-5-2,848.6
2025-12-29,1,4-5-3,889.8
2025-12-29,1,4-5-6,554.7
2025-12-29,1,4-6-1,483.5
2025-12-29,1,4-6-2,521.9
2025-12-29,1,4-6-3,594.6
2025-12-29,1,4-6-5,590.5
2025-12-29,1,5-1-2,197.1
2025-12-29,1,5-1-3,154.6
2025-12-29,1,5-1-4,518.7
2025-12-29,1,5-1-6,133.3
2025-12-29,1,5-2-1,301.5
2025-12-29,1,5-2-3,212.3
2025-12-29,1,5-2-4,747.1
2025-12-29,1,5-2-6,196.3
2025-12-29,1,5-3-1,214.4
2025-12-29,1,5-3-2,185.8
2025-12-29,1,5-3-4,648.8
2025-12-29,1,5-3-6,137.4
2025-12-29,1,5-4-1,871.7
2025-12-29,1,5-4-2,978.1
2025-12-29,1,5-4-3,848.6
2025-12-29,1,5-4-6,495.7
2025-12-29,1,5-6-1,134.3
2025-12-29,1,5-6-2,169.1
2025-12-29,1,5-6-3,154.2
2025-12-29,1,5-6-4,397.3
2025-12-29,1,6-1-2,49.6
2025-12-29,1,6-1-3,42.0
2025-12-29,1,6-1-4,238.1
2025-12-29,1,6-1-5,102.8
2025-12-29,1,6-2-1,73.9
2025-12-29,1,6-2-3,82.1
2025-12-29,1,6-2-4,331.5
2025-12-29,1,6-2-5,167.2
2025-12-29,1,6-3-1,57.3
2025-12-29,1,6-3-2,77.2
2025-12-29,1,6-3-4,338.1
2025-12-29,1,6-3-5,131.3
2025-12-29,1,6-4-1,477.2
2025-12-29,1,6-4-2,460.1
2025-12-29,1,6-4-3,573.3
2025-12-29,1,6-4-5,611.6
2025-12-29,1,6-5-1,134.1
2025-12-29,1,6-5-2,171.7
