date,race,combo,odds
2026-05-27,1,1-2-3,23.0
2026-05-27,1,1-2-4,20.8
2026-05-27,1,1-2-5,100.3
2026-05-27,1,1-2-6,59.2
2026-05-27,1,1-3-2,18.8
2026-05-27,1,1-3-4,8.1
2026-05-27,1,1-3-5,84.0
2026-05-27,1,1-3-6,21.5
2026-05-27,1,1-4-2,16.7
2026-05-27,1,1-4-3,9.4
2026-05-27,1,1-4-5,78.9
2026-05-27,1,1-4-6,16.9
2026-05-27,1,1-5-2,247.8
2026-05-27,1,1-5-3,234.7
2026-05-27,1,1-5-4,233.1
2026-05-27,1,1-5-6,330.6
2026-05-27,1,1-6-2,86.1
2026-05-27,1,1-6-3,64.3
2026-05-27,1,1-6-4,55.4
2026-05-27,1,1-6-5,280.7
2026-05-27,1,2-1-3,54.8
2026-05-27,1,2-1-4,49.5
2026-05-27,1,2-1-5,239.6
2026-05-27,1,2-1-6,118.0
2026-05-27,1,2-3-1,112.6
2026-05-27,1,2-3-4,125.2
2026-05-27,1,2-3-5,563.8
2026-05-27,1,2-3-6,275.6
2026-05-27,1,2-4-1,79.9
2026-05-27,1,2-4-3,133.0
2026-05-27,1,2-4-5,435.3
2026-05-27,1,2-4-6,158.3
2026-05-27,1,2-5-1,600.7
2026-05-27,1,2-5-3,1250.0
2026-05-27,1,2-5-4,849.1
2026-05-27,1,2-5-6,1310.0
2026-05-27,1,2-6-1,365.8
2026-05-27,1,2-6-3,684.4
2026-05-27,1,2-6-4,352.7
2026-05-27,1,2-6-5,1348.0
2026-05-27,1,3-1-2,62.7
2026-05-27,1,3-1-4,18.0
2026-05-27,1,3-1-5,181.0
2026-05-27,1,3-1-6,37.3
2026-05-27,1,3-2-1,121.4
2026-05-27,1,3-2-4,127.7
2026-05-27,1,3-2-5,418.1
2026-05-27,1,3-2-6,198.5
2026-05-27,1,3-4-1,28.7
2026-05-27,1,3-4-2,83.6
2026-05-27,1,3-4-5,196.8
2026-05-27,1,3-4-6,43.7
2026-05-27,1,3-5-1,509.5
2026-05-27,1,3-5-2,747.6
2026-05-27,1,3-5-4,556.9
2026-05-27,1,3-5-6,491.3
2026-05-27,1,3-6-1,107.1
2026-05-27,1,3-6-2,238.8
2026-05-27,1,3-6-4,103.5
2026-05-27,1,3-6-5,404.6
2026-05-27,1,4-1-2,43.3
2026-05-27,1,4-1-3,21.7
2026-05-27,1,4-1-5,126.3
2026-05-27,1,4-1-6,30.2
2026-05-27,1,4-2-1,83.7
2026-05-27,1,4-2-3,133.6
2026-05-27,1,4-2-5,304.3
2026-05-27,1,4-2-6,103.9
2026-05-27,1,4-3-1,30.4
2026-05-27,1,4-3-2,91.2
2026-05-27,1,4-3-5,207.4
2026-05-27,1,4-3-6,46.0
2026-05-27,1,4-5-1,279.0
2026-05-27,1,4-5-2,467.9
2026-05-27,1,4-5-3,439.5
2026-05-27,1,4-5-6,225.1
2026-05-27,1,4-6-1,55.0
2026-05-27,1,4-6-2,117.6
2026-05-27,1,4-6-3,76.8
2026-05-27,1,4-6-5,185.4
2026-05-27,1,5-1-2,631.0
2026-05-27,1,5-1-3,899.1
2026-05-27,1,5-1-4,681.0
2026-05-27,1,5-1-6,1146.0
2026-05-27,1,5-2-1,818.8
2026-05-27,1,5-2-3,2023.0
2026-05-27,1,5-2-4,1322.0
2026-05-27,1,5-2-6,1763.0
2026-05-27,1,5-3-1,1136.0
2026-05-27,1,5-3-2,1910.0
2026-05-27,1,5-3-4,1545.0
2026-05-27,1,5-3-6,1810.0
2026-05-27,1,5-4-1,608.7
2026-05-27,1,5-4-2,1196.0
2026-05-27,1,5-4-3,1273.0
2026-05-27,1,5-4-6,760.0
2026-05-27,1,5-6-1,1348.0
2026-05-27,1,5-6-2,2183.0
2026-05-27,1,5-6-3,1965.0
2026-05-27,1,5-6-4,1136.0
2026-05-27,1,6-1-2,335.5
2026-05-27,1,6-1-3,261.5
2026-05-27,1,6-1-4,204.7
2026-05-27,1,6-1-5,982.6
2026-05-27,1,6-2-1,493.0
2026-05-27,1,6-2-3,768.5
2026-05-27,1,6-2-4,405.8
2026-05-27,1,6-2-5,1810.0
2026-05-27,1,6-3-1,332.2
2026-05-27,1,6-3-2,760.0
2026-05-27,1,6-3-4,289.0
2026-05-27,1,6-3-5,1348.0
2026-05-27,1,6-4-1,221.1
2026-05-27,1,6-4-2,416.8
2026-05-27,1,6-4-3,258.1
2026-05-27,1,6-4-5,735.6
2026-05-27,1,6-5-1,1362.0
2026-05-27,1,6-5-2,2023.0
2026-05-27,1,6-5-3,1810.0
2026-05-27,1,6-5-4,854.4
2026-05-27,2,1-2-3,13.2
2026-05-27,2,1-2-4,13.8
2026-05-27,2,1-2-5,14.4
2026-05-27,2,1-2-6,66.6
2026-05-27,2,1-3-2,23.6
2026-05-27,2,1-3-4,33.2
2026-05-27,2,1-3-5,25.3
2026-05-27,2,1-3-6,84.7
2026-05-27,2,1-4-2,30.3
2026-05-27,2,1-4-3,43.8
2026-05-27,2,1-4-5,38.3
2026-05-27,2,1-4-6,100.0
2026-05-27,2,1-5-2,30.8
2026-05-27,2,1-5-3,44.8
2026-05-27,2,1-5-4,56.2
2026-05-27,2,1-5-6,98.0
2026-05-27,2,1-6-2,160.3
2026-05-27,2,1-6-3,219.1
2026-05-27,2,1-6-4,258.3
2026-05-27,2,1-6-5,241.5
2026-05-27,2,2-1-3,20.7
2026-05-27,2,2-1-4,19.8
2026-05-27,2,2-1-5,18.7
2026-05-27,2,2-1-6,65.0
2026-05-27,2,2-3-1,49.7
2026-05-27,2,2-3-4,64.9
2026-05-27,2,2-3-5,49.3
2026-05-27,2,2-3-6,136.9
2026-05-27,2,2-4-1,48.7
2026-05-27,2,2-4-3,80.5
2026-05-27,2,2-4-5,41.5
2026-05-27,2,2-4-6,140.5
2026-05-27,2,2-5-1,44.6
2026-05-27,2,2-5-3,66.9
2026-05-27,2,2-5-4,51.5
2026-05-27,2,2-5-6,120.6
2026-05-27,2,2-6-1,288.0
2026-05-27,2,2-6-3,363.4
2026-05-27,2,2-6-4,359.1
2026-05-27,2,2-6-5,280.0
2026-05-27,2,3-1-2,77.0
2026-05-27,2,3-1-4,110.3
2026-05-27,2,3-1-5,75.0
2026-05-27,2,3-1-6,189.3
2026-05-27,2,3-2-1,104.3
2026-05-27,2,3-2-4,118.8
2026-05-27,2,3-2-5,78.7
2026-05-27,2,3-2-6,196.4
2026-05-27,2,3-4-1,149.8
2026-05-27,2,3-4-2,161.5
2026-05-27,2,3-4-5,117.9
2026-05-27,2,3-4-6,227.1
2026-05-27,2,3-5-1,112.1
2026-05-27,2,3-5-2,108.4
2026-05-27,2,3-5-4,139.8
2026-05-27,2,3-5-6,170.0
2026-05-27,2,3-6-1,471.3
2026-05-27,2,3-6-2,445.6
2026-05-27,2,3-6-4,439.2
2026-05-27,2,3-6-5,301.9
2026-05-27,2,4-1-2,99.7
2026-05-27,2,4-1-3,158.2
2026-05-27,2,4-1-5,85.9
2026-05-27,2,4-1-6,230.3
2026-05-27,2,4-2-1,99.0
2026-05-27,2,4-2-3,162.9
2026-05-27,2,4-2-5,71.3
2026-05-27,2,4-2-6,206.1
2026-05-27,2,4-3-1,244.6
2026-05-27,2,4-3-2,257.3
2026-05-27,2,4-3-5,173.8
2026-05-27,2,4-3-6,371.6
2026-05-27,2,4-5-1,105.0
2026-05-27,2,4-5-2,83.9
2026-05-27,2,4-5-3,136.0
2026-05-27,2,4-5-6,144.3
2026-05-27,2,4-6-1,430.3
2026-05-27,2,4-6-2,430.3
2026-05-27,2,4-6-3,488.7
2026-05-27,2,4-6-5,277.8
2026-05-27,2,5-1-2,85.8
2026-05-27,2,5-1-3,117.9
2026-05-27,2,5-1-4,139.4
2026-05-27,2,5-1-6,199.6
2026-05-27,2,5-2-1,101.9
2026-05-27,2,5-2-3,134.9
2026-05-27,2,5-2-4,117.7
2026-05-27,2,5-2-6,187.6
2026-05-27,2,5-3-1,167.2
2026-05-27,2,5-3-2,170.2
2026-05-27,2,5-3-4,274.6
2026-05-27,2,5-3-6,258.3
2026-05-27,2,5-4-1,170.2
2026-05-27,2,5-4-2,130.8
2026-05-27,2,5-4-3,224.4
2026-05-27,2,5-4-6,179.0
2026-05-27,2,5-6-1,371.0
2026-05-27,2,5-6-2,333.2
2026-05-27,2,5-6-3,392.2
2026-05-27,2,5-6-4,354.3
2026-05-27,2,6-1-2,485.3
2026-05-27,2,6-1-3,871.2
2026-05-27,2,6-1-4,1142.0
2026-05-27,2,6-1-5,975.1
2026-05-27,2,6-2-1,553.6
2026-05-27,2,6-2-3,979.6
2026-05-27,2,6-2-4,853.7
2026-05-27,2,6-2-5,753.8
2026-05-27,2,6-3-1,949.0
2026-05-27,2,6-3-2,1296.0
2026-05-27,2,6-3-4,1446.0
2026-05-27,2,6-3-5,988.7
2026-05-27,2,6-4-1,1090.0
2026-05-27,2,6-4-2,998.0
2026-05-27,2,6-4-3,1497.0
2026-05-27,2,6-4-5,817.6
2026-05-27,2,6-5-1,1031.0
2026-05-27,2,6-5-2,900.8
2026-05-27,2,6-5-3,904.6
2026-05-27,2,6-5-4,853.7
2026-05-27,3,1-2-3,10.0
2026-05-27,3,1-2-4,14.4
2026-05-27,3,1-2-5,63.4
2026-05-27,3,1-2-6,71.4
2026-05-27,3,1-3-2,10.6
2026-05-27,3,1-3-4,8.3
2026-05-27,3,1-3-5,34.1
2026-05-27,3,1-3-6,40.9
2026-05-27,3,1-4-2,17.4
2026-05-27,3,1-4-3,11.8
2026-05-27,3,1-4-5,52.1
2026-05-27,3,1-4-6,44.8
2026-05-27,3,1-5-2,184.9
2026-05-27,3,1-5-3,111.7
2026-05-27,3,1-5-4,155.5
2026-05-27,3,1-5-6,276.3
2026-05-27,3,1-6-2,244.2
2026-05-27,3,1-6-3,161.6
2026-05-27,3,1-6-4,179.3
2026-05-27,3,1-6-5,364.6
2026-05-27,3,2-1-3,34.9
2026-05-27,3,2-1-4,44.6
2026-05-27,3,2-1-5,118.4
2026-05-27,3,2-1-6,148.9
2026-05-27,3,2-3-1,50.7
2026-05-27,3,2-3-4,69.9
2026-05-27,3,2-3-5,144.8
2026-05-27,3,2-3-6,188.6
2026-05-27,3,2-4-1,84.0
2026-05-27,3,2-4-3,93.1
2026-05-27,3,2-4-5,220.9
2026-05-27,3,2-4-6,232.7
2026-05-27,3,2-5-1,402.3
2026-05-27,3,2-5-3,398.6
2026-05-27,3,2-5-4,472.0
2026-05-27,3,2-5-6,734.2
2026-05-27,3,2-6-1,499.0
2026-05-27,3,2-6-3,549.2
2026-05-27,3,2-6-4,621.2
2026-05-27,3,2-6-5,924.0
2026-05-27,3,3-1-2,29.3
2026-05-27,3,3-1-4,20.1
2026-05-27,3,3-1-5,65.0
2026-05-27,3,3-1-6,83.3
2026-05-27,3,3-2-1,47.3
2026-05-27,3,3-2-4,52.9
2026-05-27,3,3-2-5,147.3
2026-05-27,3,3-2-6,162.4
2026-05-27,3,3-4-1,27.6
2026-05-27,3,3-4-2,51.2
2026-05-27,3,3-4-5,74.1
2026-05-27,3,3-4-6,70.7
2026-05-27,3,3-5-1,209.0
2026-05-27,3,3-5-2,283.2
2026-05-27,3,3-5-4,192.4
2026-05-27,3,3-5-6,390.8
2026-05-27,3,3-6-1,271.9
2026-05-27,3,3-6-2,399.3
2026-05-27,3,3-6-4,214.4
2026-05-27,3,3-6-5,612.5
2026-05-27,3,4-1-2,69.5
2026-05-27,3,4-1-3,35.4
2026-05-27,3,4-1-5,107.3
2026-05-27,3,4-1-6,104.6
2026-05-27,3,4-2-1,111.8
2026-05-27,3,4-2-3,112.6
2026-05-27,3,4-2-5,287.3
2026-05-27,3,4-2-6,286.1
2026-05-27,3,4-3-1,40.2
2026-05-27,3,4-3-2,83.8
2026-05-27,3,4-3-5,120.2
2026-05-27,3,4-3-6,94.2
2026-05-27,3,4-5-1,179.7
2026-05-27,3,4-5-2,318.3
2026-05-27,3,4-5-3,217.6
2026-05-27,3,4-5-6,250.6
2026-05-27,3,4-6-1,271.9
2026-05-27,3,4-6-2,454.3
2026-05-27,3,4-6-3,264.3
2026-05-27,3,4-6-5,377.9
2026-05-27,3,5-1-2,621.2
2026-05-27,3,5-1-3,514.3
2026-05-27,3,5-1-4,493.3
2026-05-27,3,5-1-6,875.7
2026-05-27,3,5-2-1,1028.0
2026-05-27,3,5-2-3,1009.0
2026-05-27,3,5-2-4,1185.0
2026-05-27,3,5-2-6,1664.0
2026-05-27,3,5-3-1,692.2
2026-05-27,3,5-3-2,1048.0
2026-05-27,3,5-3-4,845.2
2026-05-27,3,5-3-6,1406.0
2026-05-27,3,5-4-1,600.7
2026-05-27,3,5-4-2,1090.0
2026-05-27,3,5-4-3,835.5
2026-05-27,3,5-4-6,875.7
2026-05-27,3,5-6-1,1473.0
2026-05-27,3,5-6-2,1947.0
2026-05-27,3,5-6-3,1929.0
2026-05-27,3,5-6-4,1664.0
2026-05-27,3,6-1-2,901.1
2026-05-27,3,6-1-3,901.1
2026-05-27,3,6-1-4,927.9
2026-05-27,3,6-1-5,1337.0
2026-05-27,3,6-2-1,1591.0
2026-05-27,3,6-2-3,1627.0
2026-05-27,3,6-2-4,2019.0
2026-05-27,3,6-2-5,2370.0
2026-05-27,3,6-3-1,1329.0
2026-05-27,3,6-3-2,1615.0
2026-05-27,3,6-3-4,1118.0
2026-05-27,3,6-3-5,2370.0
