date,race,combo,odds
2026-08-09,1,1-2-3,26.1
2026-08-09,1,1-2-4,19.2
2026-08-09,1,1-2-5,34.4
2026-08-09,1,1-2-6,40.5
2026-08-09,1,1-3-2,41.4
2026-08-09,1,1-3-4,57.6
2026-08-09,1,1-3-5,87.6
2026-08-09,1,1-3-6,122.8
2026-08-09,1,1-4-2,29.9
2026-08-09,1,1-4-3,76.0
2026-08-09,1,1-4-5,78.9
2026-08-09,1,1-4-6,65.6
2026-08-09,1,1-5-2,91.7
2026-08-09,1,1-5-3,181.4
2026-08-09,1,1-5-4,153.2
2026-08-09,1,1-5-6,199.1
2026-08-09,1,1-6-2,125.4
2026-08-09,1,1-6-3,263.4
2026-08-09,1,1-6-4,140.5
2026-08-09,1,1-6-5,354.0
2026-08-09,1,2-1-3,26.8
2026-08-09,1,2-1-4,16.7
2026-08-09,1,2-1-5,29.9
2026-08-09,1,2-1-6,25.1
2026-08-09,1,2-3-1,43.5
2026-08-09,1,2-3-4,27.5
2026-08-09,1,2-3-5,40.5
2026-08-09,1,2-3-6,32.8
2026-08-09,1,2-4-1,23.5
2026-08-09,1,2-4-3,29.2
2026-08-09,1,2-4-5,19.8
2026-08-09,1,2-4-6,18.5
2026-08-09,1,2-5-1,71.4
2026-08-09,1,2-5-3,72.4
2026-08-09,1,2-5-4,46.0
2026-08-09,1,2-5-6,49.3
2026-08-09,1,2-6-1,86.3
2026-08-09,1,2-6-3,103.0
2026-08-09,1,2-6-4,58.5
2026-08-09,1,2-6-5,82.8
2026-08-09,1,3-1-2,123.2
2026-08-09,1,3-1-4,145.1
2026-08-09,1,3-1-5,157.6
2026-08-09,1,3-1-6,216.4
2026-08-09,1,3-2-1,108.2
2026-08-09,1,3-2-4,64.9
2026-08-09,1,3-2-5,93.8
2026-08-09,1,3-2-6,77.7
2026-08-09,1,3-4-1,157.3
2026-08-09,1,3-4-2,95.4
2026-08-09,1,3-4-5,141.1
2026-08-09,1,3-4-6,135.3
2026-08-09,1,3-5-1,238.2
2026-08-09,1,3-5-2,167.0
2026-08-09,1,3-5-4,232.2
2026-08-09,1,3-5-6,233.8
2026-08-09,1,3-6-1,614.4
2026-08-09,1,3-6-2,232.6
2026-08-09,1,3-6-4,378.5
2026-08-09,1,3-6-5,396.0
2026-08-09,1,4-1-2,81.9
2026-08-09,1,4-1-3,237.0
2026-08-09,1,4-1-5,132.2
2026-08-09,1,4-1-6,178.4
2026-08-09,1,4-2-1,76.9
2026-08-09,1,4-2-3,99.7
2026-08-09,1,4-2-5,62.3
2026-08-09,1,4-2-6,56.2
2026-08-09,1,4-3-1,282.5
2026-08-09,1,4-3-2,152.0
2026-08-09,1,4-3-5,232.2
2026-08-09,1,4-3-6,181.2
2026-08-09,1,4-5-1,154.1
2026-08-09,1,4-5-2,83.9
2026-08-09,1,4-5-3,227.2
2026-08-09,1,4-5-6,92.7
2026-08-09,1,4-6-1,258.5
2026-08-09,1,4-6-2,117.1
2026-08-09,1,4-6-3,321.6
2026-08-09,1,4-6-5,149.0
2026-08-09,1,5-1-2,192.9
2026-08-09,1,5-1-3,330.9
2026-08-09,1,5-1-4,313.5
2026-08-09,1,5-1-6,260.9
2026-08-09,1,5-2-1,169.3
2026-08-09,1,5-2-3,206.0
2026-08-09,1,5-2-4,129.3
2026-08-09,1,5-2-6,121.3
2026-08-09,1,5-3-1,405.3
2026-08-09,1,5-3-2,307.9
2026-08-09,1,5-3-4,389.2
2026-08-09,1,5-3-6,371.3
2026-08-09,1,5-4-1,267.0
2026-08-09,1,5-4-2,159.1
2026-08-09,1,5-4-3,350.4
2026-08-09,1,5-4-6,147.6
2026-08-09,1,5-6-1,426.8
2026-08-09,1,5-6-2,211.1
2026-08-09,1,5-6-3,501.9
2026-08-09,1,5-6-4,248.2
2026-08-09,1,6-1-2,487.6
2026-08-09,1,6-1-3,1104.0
