ym,touban,slow_n,slow_sum,dash_n,dash_sum
2025-07,3568,9,1.75,11,1.81
2025-07,3569,7,1.33,5,0.94
2025-07,3572,7,1.24,7,1.63
2025-07,3574,16,2.46,0,0.0
2025-07,3576,2,0.18,5,1.0
2025-07,3577,9,1.49,8,1.42
2025-07,3578,8,1.41,9,1.7
2025-07,3579,10,1.81,6,1.12
2025-07,3580,7,1.34,8,1.51
2025-07,3581,7,1.45,7,1.42
2025-07,3582,9,1.34,1,0.15
2025-07,3583,5,1.21,6,1.08
2025-07,3584,10,1.62,9,1.62
2025-07,3587,9,1.78,8,1.11
2025-07,3589,8,1.46,8,1.03
2025-07,3590,12,1.28,9,1.58
2025-07,3591,9,1.24,7,1.47
2025-07,3596,4,0.64,5,1.0
2025-07,3600,5,1.09,4,1.06
2025-07,3602,7,1.2,8,1.4
2025-07,3604,9,2.15,5,0.91
2025-07,3605,6,1.17,8,1.6
2025-07,3606,11,1.48,11,2.17
2025-07,3611,12,1.75,9,1.22
2025-07,3612,15,2.07,13,1.86
2025-07,3613,12,1.93,8,1.19
2025-07,3614,6,1.16,8,1.14
2025-07,3615,13,2.31,9,1.3
2025-07,3616,7,1.09,4,0.83
2025-07,3617,6,0.92,9,1.99
2025-07,3618,9,1.33,7,1.04
2025-07,3619,9,1.93,8,1.34
2025-07,3620,8,1.43,9,1.51
2025-07,3621,11,2.46,7,1.21
2025-07,3623,15,2.12,0,0.0
2025-07,3627,17,2.87,7,1.21
2025-07,3629,13,2.14,8,0.98
2025-07,3630,3,0.35,4,0.65
2025-07,3631,3,0.31,4,0.84
2025-07,3635,4,0.76,7,1.16
2025-07,3637,10,1.91,9,1.95
2025-07,3641,6,1.14,7,1.22
2025-07,3642,4,0.75,6,1.04
2025-07,3643,12,2.28,11,1.58
2025-07,3647,1,0.21,2,0.3
2025-07,3652,15,2.59,10,2.62
2025-07,3653,12,2.25,14,2.82
2025-07,3654,13,2.4,8,1.27
2025-07,3655,13,2.51,12,2.03
2025-07,3656,5,0.98,5,0.59
2025-07,3659,6,0.9,7,0.98
2025-07,3661,7,1.06,5,0.88
2025-07,3662,8,1.19,8,1.11
2025-07,3663,11,1.66,12,2.01
2025-07,3664,6,1.0,6,1.38
2025-07,3679,11,1.9,9,1.07
2025-07,3680,10,1.81,9,1.88
2025-07,3681,8,1.34,11,1.49
2025-07,3684,12,1.88,7,1.38
2025-07,3685,10,1.79,9,1.35
2025-07,3686,8,0.95,9,1.38
2025-07,3687,5,0.76,4,0.5
2025-07,3690,9,1.71,12,2.0
2025-07,3692,10,1.17,7,0.8
2025-07,3696,6,1.29,8,1.43
2025-07,3699,12,1.9,13,1.82
2025-07,3701,9,1.83,9,1.38
2025-07,3703,14,2.35,9,1.68
2025-07,3704,10,2.62,9,2.12
2025-07,3708,14,2.01,12,2.02
2025-07,3710,11,1.56,16,2.48
2025-07,3711,17,2.27,6,0.99
2025-07,3712,13,1.82,10,1.42
2025-07,3713,10,1.55,10,1.36
2025-07,3714,11,1.77,12,1.72
2025-07,3715,9,1.25,10,1.77
2025-07,3716,9,1.35,10,1.22
2025-07,3717,6,1.13,7,1.04
2025-07,3718,9,1.78,12,1.84
2025-07,3719,11,1.73,9,1.23
2025-07,3721,8,0.64,2,0.54
2025-07,3722,5,0.76,7,1.28
2025-07,3726,4,0.77,2,0.27
2025-07,3730,11,1.62,11,2.38
2025-07,3731,16,2.78,4,0.64
2025-07,3736,9,1.46,10,0.95
2025-07,3737,7,1.38,7,1.39
2025-07,3740,15,1.92,10,1.7
2025-07,3741,11,2.12,10,2.41
2025-07,3742,12,2.33,12,2.21
2025-07,3743,24,3.89,7,1.33
2025-07,3744,10,1.4,9,1.35
2025-07,3745,10,1.81,10,1.66
2025-07,3746,8,1.45,10,1.67
2025-07,3747,4,0.44,4,0.69
2025-07,3748,7,1.42,8,1.45
2025-07,3752,13,2.25,13,2.23
2025-07,3757,6,1.12,5,0.82
2025-07,3761,6,0.83,6,1.03
2025-07,3769,6,1.18,3,0.47
2025-07,3771,10,1.58,8,1.3
2025-07,3772,14,2.39,13,1.92
2025-07,3773,3,0.71,6,0.79
2025-07,3775,13,2.4,15,2.62
2025-07,3776,10,1.68,12,2.2
2025-07,3777,5,0.62,4,0.7
2025-07,3778,8,1.65,5,1.16
2025-07,3779,16,1.88,8,0.64
2025-07,3783,10,1.6,7,1.04
2025-07,3784,10,1.27,9,1.53
2025-07,3787,7,1.0,8,1.46
2025-07,3788,14,1.72,16,1.75
2025-07,3790,9,1.61,9,1.77
2025-07,3792,14,2.48,9,1.3
2025-07,3793,10,1.14,10,1.61
2025-07,3796,10,1.81,10,1.69
2025-07,3797,5,0.93,11,2.27
2025-07,3800,12,1.78,10,1.33
2025-07,3801,7,0.83,7,1.11
2025-07,3804,13,2.46,13,1.95
2025-07,3805,15,1.72,10,1.06
2025-07,3807,8,1.33,6,1.15
2025-07,3808,7,1.17,9,1.39
2025-07,3809,6,1.59,3,0.55
2025-07,3811,13,1.77,10,1.68
2025-07,3812,8,0.85,10,1.74
2025-07,3813,7,1.22,4,0.66
2025-07,3814,13,2.25,9,1.63
2025-07,3820,6,1.2,5,0.61
2025-07,3822,15,2.95,9,1.23
2025-07,3825,10,1.13,15,1.92
2025-07,3826,9,1.57,9,1.67
2025-07,3827,9,1.41,8,1.67
2025-07,3828,14,2.61,12,1.59
2025-07,3831,13,1.33,11,1.58
2025-07,3832,12,1.51,12,1.86
2025-07,3833,15,2.41,14,2.25
2025-07,3834,7,1.43,5,1.34
2025-07,3837,10,1.63,7,1.12
2025-07,3838,11,1.8,9,1.15
2025-07,3839,8,1.27,4,0.71
2025-07,3841,10,1.58,8,1.28
2025-07,3842,0,0.0,1,0.19
2025-07,3843,10,1.5,14,2.1
2025-07,3845,8,1.96,1,0.17
2025-07,3848,11,1.3,8,1.03
2025-07,3849,11,1.28,7,0.78
2025-07,3850,13,2.22,14,1.93
2025-07,3851,6,0.83,5,0.87
2025-07,3852,14,2.25,11,1.49
2025-07,3853,12,1.92,9,1.72
2025-07,3854,2,0.3,0,0.0
2025-07,3855,9,1.77,9,2.42
2025-07,3860,12,2.43,10,2.25
2025-07,3863,6,0.87,8,1.65
2025-07,3866,9,0.98,8,0.91
2025-07,3867,10,2.04,12,2.09
2025-07,3868,3,0.85,2,0.45
2025-07,3869,11,1.84,12,1.88
2025-07,3870,14,2.72,10,1.73
2025-07,3872,11,2.43,10,2.24
2025-07,3873,11,1.8,10,1.17
2025-07,3874,9,1.55,11,1.78
2025-07,3875,10,1.25,8,1.56
2025-07,3876,7,0.74,4,0.29
2025-07,3878,8,1.15,11,2.36
2025-07,3880,14,2.99,10,2.02
2025-07,3882,7,1.82,9,1.67
2025-07,3885,1,0.1,2,0.48
2025-07,3888,12,1.49,13,1.6
2025-07,3889,10,1.69,10,1.79
2025-07,3891,8,1.42,9,1.96
2025-07,3892,9,1.45,8,1.08
2025-07,3893,10,1.21,7,1.22
2025-07,3896,3,0.38,4,0.96
2025-07,3897,10,1.39,7,0.82
2025-07,3900,11,1.52,9,1.21
2025-07,3901,8,1.51,8,1.24
2025-07,3904,6,1.26,3,0.64
2025-07,3905,7,1.09,9,1.28
2025-07,3906,8,1.53,7,1.11
2025-07,3907,9,1.51,8,1.04
2025-07,3908,12,1.85,10,1.21
2025-07,3909,9,0.9,9,0.9
2025-07,3910,10,0.96,10,1.98
2025-07,3911,11,1.67,12,1.64
2025-07,3912,5,0.72,6,0.88
2025-07,3915,10,1.6,8,1.43
2025-07,3918,12,2.2,9,1.63
2025-07,3920,15,2.76,4,0.65
2025-07,3921,10,2.1,11,2.66
2025-07,3922,15,3.12,11,2.01
2025-07,3928,7,0.9,7,0.92
2025-07,3929,14,2.29,11,1.63
2025-07,3930,7,1.48,7,0.99
2025-07,3931,9,1.14,11,1.71
2025-07,3932,0,0.0,1,0.1
2025-07,3933,19,3.92,2,0.39
2025-07,3934,8,1.53,9,1.38
2025-07,3935,10,2.1,12,1.64
2025-07,3939,9,1.11,7,0.88
2025-07,3940,8,1.13,12,1.8
2025-07,3941,9,1.35,10,1.49
2025-07,3942,8,1.49,5,0.87
2025-07,3945,4,0.84,4,1.02
2025-07,3946,30,4.22,1,0.19
2025-07,3947,6,1.12,7,1.22
2025-07,3948,7,1.15,6,1.17
2025-07,3949,7,1.29,8,1.7
2025-07,3950,9,1.64,9,1.67
2025-07,3951,13,2.1,10,1.87
2025-07,3952,11,1.38,9,1.0
2025-07,3953,5,1.13,8,1.73
2025-07,3955,9,1.4,8,1.48
2025-07,3956,9,1.49,8,1.36
2025-07,3957,10,1.9,9,1.71
2025-07,3959,7,0.63,8,0.8
2025-07,3960,9,1.28,9,0.75
2025-07,3961,10,1.67,11,1.76
2025-07,3963,11,1.91,5,0.95
2025-07,3964,6,1.39,7,1.52
2025-07,3965,12,2.2,8,1.31
2025-07,3966,11,2.05,10,2.37
2025-07,3967,6,1.09,7,1.17
2025-07,3968,9,1.88,8,1.29
2025-07,3973,11,2.19,13,2.51
2025-07,3974,2,0.24,5,0.8
2025-07,3975,12,1.79,15,2.15
2025-07,3976,13,2.0,10,1.92
2025-07,3977,10,1.84,13,2.14
2025-07,3978,13,1.79,14,1.72
2025-07,3981,14,2.86,12,2.22
2025-07,3982,12,1.56,12,1.59
2025-07,3983,11,1.17,11,1.6
2025-07,3984,10,1.69,6,0.99
2025-07,3986,9,1.29,9,1.79
2025-07,3987,2,0.34,3,0.61
2025-07,3988,12,1.85,13,2.37
2025-07,3989,10,2.1,10,1.97
2025-07,3990,8,1.07,6,0.74
2025-07,3992,9,1.34,8,1.01
2025-07,3993,6,1.05,7,0.98
2025-07,3994,8,1.57,7,1.58
2025-07,3995,13,1.7,7,0.77
2025-07,3997,14,2.31,9,1.39
2025-07,3998,10,1.47,11,2.24
2025-07,3999,12,1.6,12,2.11
2025-07,4000,9,1.7,10,1.73
2025-07,4002,13,2.15,10,1.46
2025-07,4003,5,0.79,5,0.7
2025-07,4004,12,2.56,11,1.96
2025-07,4005,3,0.42,3,0.49
2025-07,4006,9,1.55,9,1.62
2025-07,4007,10,1.33,12,1.75
2025-07,4009,8,0.85,9,1.15
2025-07,4010,7,1.44,10,1.96
2025-07,4011,13,1.52,11,1.36
2025-07,4012,10,1.41,10,1.47
2025-07,4013,8,1.3,10,1.58
2025-07,4014,14,1.88,10,1.92
2025-07,4015,12,2.05,8,1.23
2025-07,4016,8,1.35,10,1.66
2025-07,4017,8,1.18,4,0.7
2025-07,4019,13,1.81,11,1.73
2025-07,4020,12,2.04,14,2.76
2025-07,4022,10,1.55,8,1.18
2025-07,4023,7,1.49,5,0.77
2025-07,4024,8,1.16,9,1.45
2025-07,4025,13,2.59,15,2.76
2025-07,4027,11,1.99,9,1.32
2025-07,4028,13,2.06,8,1.47
2025-07,4030,8,1.16,11,1.45
2025-07,4031,11,1.7,9,1.79
2025-07,4033,12,1.77,8,1.23
2025-07,4034,8,1.64,9,1.84
2025-07,4035,15,3.14,11,2.14
2025-07,4036,10,1.56,10,1.59
2025-07,4039,7,1.04,11,1.43
2025-07,4040,15,1.69,13,1.72
2025-07,4042,16,3.08,13,2.62
2025-07,4043,13,2.17,12,1.94
2025-07,4044,13,1.43,15,1.9
2025-07,4045,10,1.78,8,1.04
2025-07,4047,9,1.43,8,1.45
2025-07,4049,12,1.54,10,2.08
2025-07,4050,7,0.86,6,0.85
2025-07,4051,12,1.48,9,1.81
2025-07,4052,5,0.89,6,0.75
2025-07,4053,12,1.67,11,1.8
2025-07,4054,5,0.73,6,1.11
2025-07,4055,6,0.79,5,0.76
2025-07,4056,8,1.23,8,1.04
2025-07,4057,10,1.59,10,1.77
2025-07,4058,10,2.48,7,1.27
2025-07,4059,8,1.33,10,1.35
2025-07,4060,8,1.76,12,2.04
2025-07,4061,11,1.6,10,1.23
2025-07,4062,6,0.97,14,2.48
2025-07,4063,13,2.06,5,0.59
2025-07,4064,11,1.54,5,1.29
2025-07,4065,1,0.23,2,0.44
2025-07,4066,11,1.6,9,1.4
2025-07,4067,14,2.47,12,1.74
2025-07,4068,10,1.25,10,1.55
2025-07,4069,7,1.0,6,1.18
2025-07,4071,11,1.56,9,1.01
2025-07,4072,9,1.42,7,0.9
2025-07,4073,13,1.98,9,1.86
2025-07,4074,11,1.61,9,1.33
2025-07,4075,6,0.56,8,0.85
2025-07,4076,15,3.18,15,3.29
2025-07,4077,5,0.9,4,0.85
2025-07,4078,5,0.71,4,0.64
2025-07,4079,15,2.72,15,2.11
2025-07,4080,11,1.21,10,0.99
2025-07,4081,9,1.38,11,2.04
2025-07,4082,12,1.38,13,1.88
2025-07,4083,9,0.96,12,1.73
2025-07,4084,9,1.5,8,1.1
2025-07,4085,11,1.54,8,1.08
2025-07,4086,7,1.05,4,0.35
2025-07,4089,15,2.14,9,1.39
2025-07,4090,4,0.47,6,0.82
2025-07,4092,8,1.03,10,1.72
2025-07,4093,9,1.61,9,1.6
2025-07,4094,7,0.95,8,1.35
2025-07,4095,18,2.42,7,1.18
2025-07,4096,4,0.6,4,0.7
2025-07,4097,10,1.99,8,1.42
2025-07,4098,3,0.54,6,1.19
2025-07,4099,7,1.21,4,0.53
2025-07,4100,8,1.1,11,1.64
2025-07,4102,12,1.93,8,0.9
2025-07,4103,9,2.14,10,2.11
2025-07,4104,2,0.4,2,0.3
2025-07,4105,10,1.92,8,1.1
2025-07,4106,5,0.79,8,1.37
2025-07,4108,8,1.39,9,1.44
2025-07,4109,12,1.92,14,1.7
2025-07,4110,11,1.99,9,1.34
2025-07,4111,10,1.57,12,2.15
2025-07,4112,8,1.29,10,1.92
2025-07,4113,12,2.36,9,1.34
2025-07,4114,9,2.33,11,2.35
2025-07,4116,14,2.62,13,2.33
2025-07,4117,7,1.66,11,2.61
2025-07,4118,11,1.4,8,1.13
2025-07,4120,12,2.09,10,1.87
2025-07,4121,11,1.11,11,1.61
2025-07,4122,13,1.81,9,1.91
2025-07,4123,10,1.92,10,2.19
2025-07,4124,11,1.95,10,1.72
2025-07,4131,9,1.57,7,1.31
2025-07,4133,12,2.04,9,1.23
2025-07,4134,15,2.23,11,2.08
2025-07,4136,12,1.6,6,0.86
2025-07,4137,11,1.59,7,0.81
2025-07,4139,5,0.78,4,0.78
2025-07,4140,13,2.31,9,1.25
2025-07,4142,13,2.03,12,1.65
2025-07,4143,5,1.01,7,1.05
2025-07,4144,10,2.18,8,1.26
2025-07,4145,6,1.45,6,1.36
2025-07,4146,7,0.79,6,1.0
2025-07,4148,5,0.68,5,0.99
2025-07,4150,13,2.01,12,1.41
2025-07,4151,8,1.32,8,1.41
2025-07,4152,10,1.76,10,1.88
2025-07,4154,9,1.54,8,1.37
2025-07,4155,7,0.91,6,1.11
2025-07,4156,11,1.74,9,1.6
2025-07,4158,9,1.72,10,1.93
2025-07,4159,8,1.15,9,1.34
2025-07,4161,7,1.2,6,1.23
2025-07,4163,11,2.29,14,2.0
2025-07,4164,7,1.5,7,1.41
2025-07,4166,10,1.06,9,1.33
2025-07,4167,3,0.5,5,0.58
2025-07,4168,4,0.5,4,0.63
2025-07,4169,3,0.44,5,0.77
2025-07,4171,12,2.17,11,1.73
2025-07,4172,2,0.3,3,0.65
2025-07,4173,8,1.4,7,1.24
2025-07,4174,10,1.79,10,1.67
2025-07,4175,8,1.37,8,1.29
2025-07,4176,5,0.73,8,1.3
2025-07,4177,8,1.17,11,1.57
2025-07,4180,9,1.27,7,1.15
2025-07,4181,11,1.53,8,1.43
2025-07,4182,5,0.87,5,0.88
2025-07,4183,12,1.4,8,1.06
2025-07,4184,8,1.28,7,1.34
2025-07,4186,4,0.75,3,0.45
2025-07,4188,9,1.18,5,0.74
2025-07,4189,14,2.01,11,1.45
2025-07,4190,13,2.2,10,1.23
2025-07,4191,8,1.2,8,1.44
2025-07,4193,8,1.24,5,0.84
2025-07,4196,10,1.23,9,1.85
2025-07,4197,10,2.33,8,1.62
2025-07,4199,18,2.8,8,1.13
2025-07,4200,9,1.32,9,1.29
2025-07,4201,10,1.9,12,2.04
2025-07,4202,10,2.17,10,1.75
2025-07,4203,2,0.47,2,0.29
2025-07,4204,7,1.18,7,1.16
2025-07,4205,7,0.8,10,1.47
2025-07,4207,9,1.16,10,1.76
2025-07,4208,15,2.32,10,1.75
2025-07,4209,11,1.79,10,1.91
2025-07,4210,9,1.74,12,2.03
2025-07,4211,12,1.98,10,1.1
2025-07,4213,7,1.2,12,1.95
2025-07,4214,9,1.64,7,1.42
2025-07,4215,9,1.32,9,1.64
2025-07,4216,10,1.3,8,1.35
2025-07,4218,14,1.96,12,2.1
2025-07,4219,10,1.92,11,2.09
2025-07,4220,13,1.87,9,1.4
2025-07,4224,9,1.54,7,1.47
2025-07,4225,7,0.97,6,0.9
2025-07,4226,7,1.08,10,1.73
2025-07,4227,6,1.06,12,1.78
2025-07,4228,14,3.0,13,2.39
2025-07,4229,6,1.03,5,1.0
2025-07,4230,5,0.86,3,0.46
2025-07,4231,10,1.77,11,1.94
2025-07,4232,9,1.66,12,2.47
2025-07,4233,7,0.99,9,1.72
2025-07,4234,12,1.82,11,2.25
2025-07,4236,14,1.7,10,1.27
2025-07,4237,9,1.59,7,1.46
2025-07,4238,5,0.95,4,0.86
2025-07,4239,9,1.11,7,0.78
2025-07,4240,10,1.69,8,1.23
2025-07,4241,11,1.71,10,1.71
2025-07,4243,6,0.89,3,0.45
2025-07,4244,5,0.65,6,0.79
2025-07,4245,9,1.44,7,1.21
2025-07,4246,7,1.48,7,1.19
2025-07,4247,8,1.55,6,1.01
2025-07,4248,9,1.27,10,1.43
2025-07,4251,11,2.44,12,2.45
2025-07,4252,6,1.22,10,1.97
2025-07,4253,9,1.59,11,2.08
2025-07,4254,14,1.93,12,1.46
2025-07,4256,7,0.81,4,0.6
2025-07,4257,6,1.08,10,1.8
2025-07,4258,11,1.6,10,1.54
2025-07,4259,9,1.66,9,1.54
2025-07,4260,11,1.69,10,1.68
2025-07,4261,8,1.03,9,1.53
2025-07,4262,10,1.26,6,0.72
2025-07,4263,11,1.91,9,1.49
2025-07,4264,12,1.95,14,1.87
2025-07,4266,9,1.13,5,0.82
2025-07,4268,8,1.09,10,1.61
2025-07,4269,9,1.47,6,0.73
2025-07,4270,11,1.93,12,2.35
2025-07,4271,6,1.04,10,1.9
2025-07,4272,12,1.95,10,1.76
2025-07,4273,4,0.65,5,0.76
2025-07,4274,9,1.21,8,1.54
2025-07,4275,11,2.55,7,1.46
2025-07,4276,10,1.31,8,1.11
2025-07,4277,7,1.2,7,1.23
2025-07,4278,11,1.13,9,1.15
2025-07,4281,2,0.25,4,0.48
2025-07,4283,10,1.82,9,1.38
2025-07,4286,11,1.65,10,1.26
2025-07,4287,6,0.82,4,0.74
2025-07,4288,11,1.55,9,1.07
2025-07,4289,9,1.52,10,1.25
2025-07,4290,9,1.17,9,0.95
2025-07,4292,10,1.65,10,1.88
2025-07,4293,11,1.94,9,1.35
2025-07,4294,12,1.7,10,1.34
2025-07,4295,12,1.88,12,2.13
2025-07,4296,16,2.4,11,1.2
2025-07,4297,13,1.74,7,0.62
2025-07,4298,13,2.0,13,1.96
2025-07,4299,6,0.51,8,1.14
2025-07,4301,8,1.48,6,1.15
2025-07,4302,14,1.71,9,1.16
2025-07,4303,11,1.52,10,1.54
2025-07,4305,11,1.39,8,1.18
2025-07,4306,11,1.79,10,1.65
2025-07,4308,14,2.1,9,1.33
2025-07,4311,6,0.9,5,0.62
2025-07,4314,9,1.33,9,1.07
2025-07,4315,9,1.82,9,1.76
2025-07,4317,7,1.26,9,1.92
2025-07,4319,13,2.44,11,2.2
2025-07,4320,7,1.18,10,1.4
2025-07,4323,10,1.73,10,1.39
2025-07,4324,9,1.59,8,1.26
2025-07,4325,10,1.44,9,1.22
2025-07,4327,11,1.9,6,1.1
2025-07,4329,12,1.59,12,2.36
2025-07,4330,12,1.36,8,0.74
2025-07,4331,5,0.67,7,1.08
2025-07,4332,8,1.49,9,1.72
2025-07,4335,9,1.11,7,0.73
2025-07,4336,12,1.84,13,1.74
2025-07,4337,11,1.54,9,1.13
2025-07,4339,7,1.17,8,1.63
2025-07,4342,14,1.7,10,1.3
2025-07,4343,10,1.67,13,2.93
2025-07,4344,9,0.95,8,1.17
2025-07,4345,8,1.13,9,1.7
2025-07,4346,14,2.01,15,2.52
2025-07,4347,12,1.89,7,1.03
2025-07,4348,8,1.13,10,1.92
2025-07,4349,10,1.42,9,1.52
2025-07,4350,6,0.93,8,1.37
2025-07,4351,13,1.83,8,0.97
2025-07,4352,12,1.42,7,0.91
2025-07,4355,7,1.43,6,1.05
2025-07,4356,11,1.9,12,2.16
2025-07,4357,2,0.21,1,0.18
2025-07,4358,9,1.79,8,1.75
2025-07,4359,11,1.25,13,1.62
2025-07,4360,13,2.6,12,1.88
2025-07,4361,11,1.79,8,1.23
2025-07,4362,7,0.77,7,0.96
2025-07,4363,12,1.69,12,1.95
2025-07,4364,10,1.36,7,0.97
2025-07,4365,9,1.59,11,2.06
2025-07,4366,13,1.76,9,1.17
2025-07,4367,13,2.29,12,2.68
2025-07,4368,7,1.24,8,1.31
2025-07,4369,17,2.95,13,1.96
2025-07,4370,13,2.24,6,0.84
2025-07,4371,9,1.31,4,0.81
2025-07,4373,12,2.21,9,1.33
2025-07,4374,10,1.6,9,1.46
2025-07,4375,10,1.88,7,1.08
2025-07,4376,11,1.56,11,1.52
2025-07,4377,9,1.35,7,0.91
2025-07,4379,6,0.98,9,1.59
2025-07,4380,10,1.65,8,1.45
2025-07,4381,11,1.66,9,1.05
2025-07,4382,10,1.78,9,1.35
2025-07,4383,10,1.42,8,1.17
2025-07,4384,11,1.4,11,1.72
2025-07,4385,9,2.16,10,1.88
2025-07,4387,10,1.48,10,1.38
2025-07,4389,9,1.65,7,1.17
2025-07,4391,8,1.47,5,0.7
2025-07,4393,10,1.48,9,1.94
2025-07,4394,7,0.8,8,0.91
2025-07,4395,5,1.03,4,0.79
2025-07,4396,9,1.57,8,1.74
2025-07,4397,12,1.49,9,1.28
2025-07,4398,10,1.28,10,1.68
2025-07,4400,8,1.34,7,1.4
2025-07,4401,7,1.0,10,1.45
