date,rno,rname,nichime,kimarite,wdir,wspd,payout,ninki,win_course,win_teiban,entries
2025-08-08,11,選抜戦,6,まくり,南,5,9170,31,2,2,6
2025-08-08,12,優勝戦,6,抜き,南,6,1460,5,1,1,6
2025-08-17,1,予選,1,まくり差し,南,8,3820,13,3,3,6
2025-08-17,2,予選,1,逃げ,南,8,2540,11,1,1,6
2025-08-17,3,予選,1,まくり差し,南,9,3520,14,5,5,6
2025-08-17,4,予選,1,まくり差し,南,9,4570,21,4,4,6
2025-08-17,5,予選,1,差し,南,8,12380,48,4,4,6
2025-08-17,6,予選,1,逃げ,南,8,40110,84,1,1,6
2025-08-17,7,予選,1,差し,南,8,1280,4,2,2,6
2025-08-18,1,予選,2,逃げ,北西,3,1330,1,1,1,6
2025-08-18,2,予選,2,まくり,南西,3,3280,7,3,3,6
2025-08-18,3,予選,2,抜き,南西,4,3370,12,2,2,6
2025-08-18,4,予選,2,差し,南西,5,16810,69,3,3,6
2025-08-18,5,予選,2,逃げ,南,5,4130,19,1,1,6
2025-08-18,6,予選,2,まくり,南西,5,1180,2,3,3,6
2025-08-18,7,予選,2,逃げ,南,6,2280,11,1,1,6
2025-08-18,8,予選,2,逃げ,南,4,4260,17,1,1,6
2025-08-18,9,予選,2,まくり差し,南,5,13000,48,3,3,6
2025-08-18,10,予選ラリー選,2,抜き,南東,6,1420,3,1,1,6
2025-08-18,11,予選バディ選,2,逃げ,北東,4,5940,21,1,1,6
2025-08-18,12,予選特別選抜,2,抜き,南東,5,710,2,1,1,6
2025-08-19,1,予選,3,逃げ,南,7,3570,13,1,1,6
2025-08-19,2,予選,3,逃げ,南,7,5850,23,1,1,6
2025-08-19,3,予選,3,差し,南,8,8600,35,4,4,6
2025-08-19,4,予選,3,まくり,南,7,2850,10,2,2,6
2025-08-19,5,予選,3,まくり,南,8,1710,6,2,2,6
2025-08-19,6,予選,3,逃げ,南,8,1610,5,1,1,6
2025-08-19,7,予選,3,逃げ,南,8,4190,18,1,1,6
2025-08-19,8,予選,3,逃げ,南,8,1490,4,1,1,6
2025-08-19,9,予選,3,差し,南,9,13830,41,3,3,6
2025-08-19,10,予選ラリー選,3,逃げ,南,9,5010,18,1,1,6
2025-08-19,11,予選バディ選,3,抜き,南,8,790,1,1,1,6
2025-08-19,12,予選特別選抜,3,逃げ,南,7,910,3,1,1,6
2025-08-20,1,予選,4,逃げ,南,6,7680,29,1,1,6
2025-08-20,2,予選,4,差し,南,6,780,2,2,2,6
2025-08-20,3,予選,4,差し,南,7,4890,23,2,2,6
2025-08-20,4,予選,4,逃げ,南,7,1280,2,1,1,6
2025-08-20,5,予選,4,逃げ,南,7,2020,5,1,1,6
2025-08-20,6,予選,4,逃げ,南,8,1270,4,1,1,6
2025-08-20,7,予選,4,まくり差し,南,8,2840,10,5,5,6
2025-08-20,8,予選,4,差し,南,8,2840,10,4,4,6
2025-08-20,9,予選,4,差し,南,10,6400,25,2,2,6
2025-08-20,10,予選ラリー選,4,逃げ,南,9,760,2,1,1,6
2025-08-20,11,予選バディ選,4,逃げ,南,8,2500,10,1,1,6
2025-08-20,12,予選特別選抜,4,逃げ,南,8,3500,15,1,1,6
2025-08-21,1,一般,5,まくり,南,5,4210,13,3,3,6
2025-08-21,2,一般,5,逃げ,南,7,1920,6,1,1,6
2025-08-21,3,一般,5,逃げ,南,6,3750,15,1,1,6
2025-08-21,4,一般,5,まくり,南,6,49080,84,5,5,6
2025-08-21,5,一般,5,まくり差し,南,6,85880,82,4,4,6
2025-08-21,6,一般,5,逃げ,南,6,1540,6,1,1,6
2025-08-21,7,一般,5,逃げ,南,6,1570,5,1,1,6
2025-08-21,8,一般,5,まくり差し,南,5,12470,39,4,4,6
2025-08-21,9,一般,5,逃げ,南西,5,4060,13,1,1,6
2025-08-21,10,一般,5,逃げ,南,7,900,1,1,1,6
2025-08-21,11,準優勝戦,5,逃げ,南,6,2710,10,1,1,6
2025-08-21,12,準優勝戦,5,逃げ,南,7,2770,11,1,1,6
2025-08-22,1,一般,6,逃げ,南西,3,5570,20,1,1,6
2025-08-22,2,一般,6,差し,南,4,4860,20,2,2,6
2025-08-22,3,一般,6,差し,南,3,7390,34,2,2,6
2025-08-22,4,一般,6,逃げ,南,3,5460,19,1,1,6
2025-08-22,5,一般,6,逃げ,南,5,7440,24,1,1,6
2025-08-22,6,一般,6,逃げ,南,7,1160,3,1,1,6
2025-08-22,7,一般,6,まくり,南,5,2490,2,4,4,6
2025-08-22,8,一般,6,抜き,南,5,1280,1,1,1,6
2025-08-22,9,一般,6,逃げ,南,5,2380,2,1,1,6
2025-08-22,10,特別選抜戦,6,逃げ,南,6,840,2,1,1,6
2025-08-22,11,特別選抜戦,6,恵まれ,南,7,1800,5,2,2,6
2025-08-22,12,優勝戦,6,まくり差し,南,6,17800,37,5,5,6
2025-09-02,1,予選,1,逃げ,南,10,1850,4,1,1,6
2025-09-02,2,予選,1,まくり,南,9,3410,14,2,2,6
2025-09-02,3,予選,1,まくり,南,9,2380,10,4,4,6
2025-09-02,4,予選,1,差し,南,10,13230,36,2,2,6
2025-09-02,5,予選,1,差し,南,10,1800,6,2,2,6
2025-09-02,6,予選,1,抜き,南,9,4260,17,3,3,6
2025-09-02,7,予選,1,まくり,南,9,7420,24,3,3,6
2025-09-02,8,予選,1,まくり,南,9,4900,19,5,5,6
2025-09-02,9,予選特賞,1,抜き,南,9,1720,6,2,2,6
2025-09-02,10,予選特賞,1,差し,南,8,7140,28,2,2,6
2025-09-02,11,予選特選,1,逃げ,南,8,1410,2,1,1,6
2025-09-02,12,江戸川選抜,1,差し,南,8,29050,84,4,4,6
2025-09-03,1,予選,2,逃げ,南,6,1690,6,1,1,6
2025-09-03,2,予選,2,まくり,南,7,1700,6,2,2,6
2025-09-03,3,予選,2,逃げ,南,6,1690,3,1,1,6
2025-09-03,4,予選,2,差し,南,8,2140,7,2,2,6
2025-09-03,5,予選,2,抜き,南,8,3300,14,5,5,6
2025-09-03,6,予選,2,まくり差し,南,8,19280,51,3,3,6
2025-09-03,7,予選,2,まくり差し,南,9,12900,34,4,4,6
2025-09-03,8,予選,2,まくり差し,南,9,7720,30,4,4,6
2025-09-03,9,予選特賞,2,まくり差し,南,8,41860,105,3,3,6
2025-09-03,10,予選特賞,2,逃げ,南,7,1740,4,1,1,6
2025-09-03,11,予選特選,2,逃げ,南,6,800,2,1,1,6
2025-09-03,12,記者選抜戦,2,逃げ,南,6,3850,16,1,1,6
2025-09-04,1,予選,3,まくり,北東,3,6890,25,2,2,6
2025-09-04,2,予選,3,差し,北東,4,3030,10,2,2,6
2025-09-04,3,予選,3,抜き,北西,4,4670,22,4,4,6
2025-09-04,4,予選,3,まくり差し,北,4,1890,6,3,3,6
2025-09-04,5,予選,3,まくり,北,4,12390,62,4,4,6
2025-09-04,6,予選,3,抜き,北,3,1120,4,2,2,6
2025-09-04,7,予選,3,逃げ,北西,3,580,1,1,1,6
2025-09-04,8,予選,3,逃げ,北西,3,990,2,1,1,6
2025-09-04,9,予選特賞,3,まくり,北西,3,10360,37,5,5,6
2025-09-04,10,予選特賞,3,逃げ,北西,3,4920,21,1,1,6
2025-09-04,11,予選特選,3,逃げ,北西,2,25190,56,1,1,6
2025-09-04,12,記者選抜戦,3,逃げ,西,2,1080,2,1,1,6
2025-09-06,1,予選,4,逃げ,南西,4,3270,12,1,1,6
2025-09-06,2,予選,4,まくり差し,南西,5,42710,96,6,6,6
2025-09-06,3,予選,4,差し,南西,5,38880,86,4,4,6
2025-09-06,4,予選,4,差し,南西,5,2280,10,2,2,6
2025-09-06,5,予選,4,逃げ,南,5,650,1,1,1,6
2025-09-06,6,予選,4,逃げ,南西,6,3060,10,1,1,6
2025-09-06,7,予選,4,まくり,南西,5,40460,66,2,2,6
2025-09-06,8,予選,4,逃げ,南西,6,940,3,1,1,6
2025-09-06,9,予選特賞,4,まくり,南,6,1450,3,5,5,6
2025-09-06,10,予選特賞,4,逃げ,南,6,1500,6,1,2,6
2025-09-06,11,予選特選,4,逃げ,南,5,1300,3,1,1,6
2025-09-06,12,記者選抜戦,4,逃げ,南,7,910,2,1,1,6
2025-09-07,1,一般,5,差し,南,8,5470,21,3,3,6
2025-09-07,2,一般,5,抜き,南,8,3130,10,2,2,6
2025-09-07,3,一般,5,抜き,南,8,14320,46,6,6,6
2025-09-07,4,一般,5,逃げ,南,9,1960,3,1,1,6
2025-09-07,5,一般,5,逃げ,南,7,510,1,1,1,6
2025-09-07,6,一般,5,まくり差し,南,9,1700,3,4,4,6
2025-09-07,7,一般,5,逃げ,南,8,920,2,1,1,6
2025-09-07,8,一般,5,逃げ,南,8,240,1,1,1,6
2025-09-07,9,一般特賞,5,逃げ,南,8,1300,5,1,1,6
2025-09-07,10,一般特賞,5,差し,南,8,1470,3,2,2,6
2025-09-07,11,準優勝戦,5,逃げ,南,8,3180,11,1,1,6
2025-09-07,12,準優勝戦,5,恵まれ,南,8,2980,15,1,1,6
2025-09-08,1,一般,6,逃げ,南,4,7500,28,1,1,6
2025-09-08,2,一般,6,まくり差し,南,4,1420,2,4,4,6
