regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
5069,山崎小葉音,82,0.28,3,,0.28,全国,27,15,,,,20,,,,31,0.419,23,0.043,●,
5070,中島航,81,0.259,19,,0.259,全国,22,15,,,,25,,,,30,0.233,20,0.05,●,●
5071,野見山拓己,98,0.286,4,,0.286,全国,28,18,,,,27,,,,35,0.171,29,0.241,●,●
5072,吉田杏美,32,0.062,0,,0.062,全国,9,8,,,,11,,,,10,,10,,,
5073,上原健次郎,109,0.376,9,,0.376,全国,40,20,0.45,○,,37,,,,35,0.286,37,0.378,,
5074,大澤誠也,104,0.269,8,,0.269,全国,31,17,,,,33,,,,36,0.417,33,0.091,●,
5075,中島秀治,143,0.559,12,,0.559,全国,54,31,0.355,○,,48,0.104,0.25,○,43,0.651,48,0.396,,
5076,石原光,111,0.36,0,,0.36,全国,28,14,,,,38,,,,36,0.444,33,0.152,●,
5077,滝沢崚,69,0.261,0,,0.261,全国,16,15,,,,14,,,,24,0.25,19,0.158,●,
5078,山川波乙,102,0.255,4,,0.255,全国,28,12,,,,29,,,,34,0.353,31,0.097,●,
5079,大石真央,100,0.29,0,,0.29,全国,28,16,,,,34,,,,30,0.267,31,0.161,●,
5081,篠原飛翔,104,0.51,4,,0.51,全国,48,24,0.375,○,,29,,,,35,0.543,31,0.29,,
5082,一色凌雅,129,0.473,15,,0.473,全国,33,16,,,,42,0.19,0.143,○,41,0.415,38,0.342,,
5083,柳瀬幹太,94,0.351,9,,0.351,全国,28,16,,,,33,,,,32,0.406,32,0.25,,
5084,末永和也,101,0.495,0,,0.495,全国,48,9,,,,31,,,,30,0.3,34,0.5,,
5085,中村栄治,115,0.4,3,,0.4,全国,37,23,,,,29,,,,44,0.432,30,0.233,●,
5086,本村大,102,0.235,3,,0.235,全国,24,11,,,,24,,,,36,0.25,26,0.154,●,
5087,佐藤航,131,0.573,2,,0.573,全国,53,16,,,,36,,,,33,0.697,47,0.468,,
5088,高憧四季,148,0.527,8,,0.527,全国,81,25,0.48,○,,45,0.178,0.156,○,51,0.451,48,0.479,,
5089,前田翔,116,0.603,0,,0.603,全国,64,17,,,,33,,,,43,0.558,35,0.4,,
5090,生方靖亜,104,0.375,0,,0.375,全国,31,16,,,,37,,,,30,0.5,37,0.189,●,
5091,為本智也,81,0.519,0,,0.519,全国,28,7,,,,28,,,,25,0.48,32,0.438,,
5092,篠原晟弥,120,0.525,4,,0.525,全国,48,15,,,,37,,,,36,0.528,39,0.462,,
5093,浦野海,106,0.283,0,,0.283,全国,38,17,,,,36,,,,40,0.25,39,0.256,,
5095,小原聡将,96,0.552,21,,0.552,全国,43,14,,,,32,,,,35,0.514,31,0.548,,
5096,上原崚,136,0.441,25,0.44,0.44,当地,47,15,,,,43,0.07,0.163,○,44,0.545,41,0.244,●,
5098,大江純,116,0.362,0,,0.362,全国,28,18,,,,30,,,,42,0.238,26,0.192,●,●
5100,栗原一馬,85,0.282,5,,0.282,全国,23,16,,,,35,,,,26,0.423,32,0.188,●,
5101,表健太,91,0.242,8,,0.242,全国,18,16,,,,21,,,,30,0.233,20,0.1,●,●
5102,原田雄次,120,0.35,8,,0.35,全国,30,13,,,,37,,,,40,0.425,35,0.257,,
5103,芝田京介,90,0.233,11,,0.233,全国,18,14,,,,40,0.025,0.05,○,32,0.344,30,0.1,●,
5104,山田丈,96,0.448,0,,0.448,全国,37,14,,,,25,,,,32,0.438,35,0.343,,
5105,富田恕生,117,0.316,0,,0.316,全国,27,14,,,,26,,,,44,0.386,30,0.167,●,
5106,山崎祥,106,0.443,0,,0.443,全国,36,19,,,,31,,,,38,0.447,31,0.226,●,
5107,松本真広,91,0.319,7,,0.319,全国,19,9,,,,31,,,,27,0.259,23,0.261,,
5108,柴田愛梨,54,0.111,0,,0.111,全国,12,9,,,,16,,,,19,0.053,17,0.118,●,●
5109,川崎智稔,118,0.305,6,,0.305,全国,33,22,,,,38,,,,42,0.333,36,0.167,●,
5110,杉山喜一,110,0.4,7,,0.4,全国,38,23,,,,37,,,,38,0.342,35,0.371,,
5111,三村岳人,96,0.375,4,,0.375,全国,29,12,,,,30,,,,34,0.353,30,0.167,●,
5112,砂長知輝,121,0.545,5,,0.545,全国,56,15,,,,39,,,,37,0.676,39,0.308,,
5113,黒明花夢,47,0.085,4,,0.085,全国,13,10,,,,11,,,,18,0.111,13,,,●
5114,小林孝彰,138,0.391,8,,0.391,全国,59,23,0.522,○,,53,0.038,0.245,○,47,0.426,45,0.289,,
5115,香川颯太,98,0.296,7,,0.296,全国,31,14,,,,37,,,,29,0.276,31,0.226,●,
5117,冨名腰桃奈,81,0.247,0,,0.247,全国,18,13,,,,26,,,,26,0.308,26,0.038,●,
5118,野田なづき,86,0.43,0,,0.43,全国,29,15,,,,28,,,,29,0.414,28,0.393,,
5120,山本稔太朗,86,0.267,4,,0.267,全国,33,14,,,,25,,,,26,0.269,36,0.25,,
5121,定松勇樹,121,0.521,0,,0.521,全国,56,13,,,,37,,,,42,0.595,40,0.425,,
5122,相馬翔,72,0.25,8,,0.25,全国,20,12,,,,20,,,,24,0.25,20,0.25,,
5123,福山恵里奈,115,0.183,0,,0.183,全国,36,19,,,,36,,,,40,0.125,34,0.118,●,●
5124,上瀧絢也,88,0.307,5,,0.307,全国,19,13,,,,20,,,,33,0.455,21,0.048,●,
5125,高井雄基,118,0.381,5,,0.381,全国,53,18,,,,42,0.048,0.31,○,36,0.472,43,0.349,,
5126,山下大輝,129,0.605,0,,0.605,全国,56,16,,,,41,0.146,0.22,○,38,0.553,43,0.419,,
5127,沼田大都,105,0.324,3,,0.324,全国,27,17,,,,34,,,,36,0.306,30,0.267,,
5128,坪井爽佑,86,0.384,5,,0.384,全国,18,15,,,,28,,,,26,0.423,21,0.095,●,
5129,山口真喜子,113,0.442,0,,0.442,全国,42,20,0.45,○,,39,,,,33,0.424,43,0.302,,
5130,上野拓馬,116,0.319,0,,0.319,全国,34,22,,,,41,0.024,0.171,○,42,0.333,32,0.25,,
5131,江藤敦宏,101,0.208,3,,0.208,全国,23,20,,,,18,,,,38,0.105,21,0.19,●,●
5132,中野希一,127,0.63,4,,0.63,全国,73,29,0.276,○,飛ぶ型,39,,,,40,0.6,40,0.45,,
5133,堀越雄貴,100,0.38,10,,0.38,全国,31,16,,,,29,,,,36,0.389,27,0.407,,
5134,大原祥昌,117,0.436,2,,0.436,全国,48,18,,,,42,0.167,0.238,○,33,0.364,38,0.474,,
5135,仲航太,116,0.362,12,,0.362,全国,44,20,0.3,○,飛ぶ型,46,0.13,0.043,○,37,0.324,46,0.217,●,
5136,濱野斗馬,133,0.459,8,,0.459,全国,58,16,,,,46,0.109,0.239,○,45,0.511,45,0.333,,
5137,川原涼,123,0.398,7,,0.398,全国,29,12,,,,58,0.086,0.121,○,40,0.5,46,0.217,●,
5138,村本大成,66,0.227,7,,0.227,全国,16,11,,,,18,,,,23,0.174,17,0.118,●,●
5139,大場恒季,104,0.49,7,,0.49,全国,43,14,,,,26,,,,38,0.579,31,0.355,,
