regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
4478,櫻本あゆみ,130,0.147,11,0.139,0.139,当地,,,117,0.157,8,0.133,0.157,全国,,
4479,矢野真梨菜,79,0.183,0,,0.183,全国,●,,83,0.194,0,,0.194,全国,●,
4482,守屋美穂,146,0.152,0,,0.152,全国,,,123,0.172,0,,0.172,全国,,
4483,北野輝季,147,0.144,10,0.167,0.167,当地,,,129,0.14,7,0.15,0.14,全国,,
4484,稲生夏季,107,0.2,6,0.243,0.2,全国,●,,97,0.196,4,0.177,0.196,全国,●,
4485,楠原正剛,121,0.157,4,0.163,0.157,全国,,,118,0.16,3,0.197,0.16,全国,,
4486,野村誠,117,0.163,13,0.152,0.152,当地,,,128,0.175,10,0.205,0.205,当地,●,
4487,三原司,123,0.175,0,,0.175,全国,,,112,0.181,0,,0.181,全国,●,
4488,小山勉,138,0.166,2,0.33,0.166,全国,,,116,0.171,1,0.35,0.171,全国,,
4489,岩川仁士,108,0.136,0,,0.136,全国,,,125,0.168,0,,0.168,全国,,
4491,田中堅,101,0.184,8,0.189,0.184,全国,●,,106,0.206,9,0.212,0.206,全国,●,
4492,本多宏和,25,0.14,0,,0.14,全国,,,21,0.185,0,,0.185,全国,●,
4494,河合佑樹,113,0.135,0,,0.135,全国,,,113,0.161,0,,0.161,全国,,
4495,森晋太郎,85,0.14,4,0.133,0.14,全国,,,98,0.142,4,0.098,0.142,全国,,
4496,内堀学,185,0.162,0,,0.162,全国,,,124,0.147,0,,0.147,全国,,
4497,桑原悠,143,0.133,0,,0.133,全国,,,103,0.151,0,,0.151,全国,,
4498,宮本夏樹,64,0.164,0,,0.164,全国,,,71,0.173,1,0.28,0.173,全国,,
4499,滝川真由子,95,0.181,5,0.168,0.181,全国,●,,87,0.184,4,0.167,0.184,全国,●,
4500,山田康二,158,0.122,15,0.128,0.128,当地,,●,113,0.139,9,0.161,0.139,全国,,
4501,樋口由加里,148,0.147,0,,0.147,全国,,,132,0.153,0,,0.153,全国,,
4502,遠藤エミ,147,0.135,0,,0.135,全国,,,128,0.141,0,,0.141,全国,,
4503,上野真之介,158,0.112,0,,0.112,全国,,●,141,0.119,0,,0.119,全国,,●
4504,前田将太,159,0.152,5,0.128,0.152,全国,,,125,0.126,4,0.147,0.126,全国,,●
4505,島田賢人,123,0.145,0,,0.145,全国,,,122,0.154,0,,0.154,全国,,
4506,稗田聖也,135,0.137,0,,0.137,全国,,,124,0.133,0,,0.133,全国,,
4508,野間大樹,90,0.167,8,0.171,0.167,全国,,,100,0.187,8,0.225,0.187,全国,●,
4509,平見真彦,126,0.171,5,0.162,0.171,全国,,,124,0.186,3,0.18,0.186,全国,●,
4510,坂本奈央,58,0.217,5,0.342,0.217,全国,●,,59,0.228,4,0.328,0.228,全国,●,
4511,中岡健人,110,0.163,5,0.158,0.163,全国,,,113,0.187,5,0.23,0.187,全国,●,
4512,高野哲史,174,0.15,0,,0.15,全国,,,152,0.152,0,,0.152,全国,,
4513,河野真也,135,0.173,6,0.152,0.173,全国,,,113,0.191,4,0.242,0.191,全国,●,
4514,上條嘉嗣,188,0.17,3,0.137,0.17,全国,,,119,0.207,3,0.22,0.207,全国,●,
4515,藤田浩人,163,0.16,0,,0.16,全国,,,138,0.172,0,,0.172,全国,,
4516,野口勝弘,149,0.149,0,,0.149,全国,,,131,0.159,0,,0.159,全国,,
4518,大須賀友,144,0.161,0,,0.161,全国,,,110,0.183,0,,0.183,全国,●,
4519,清水沙樹,74,0.163,16,0.176,0.176,当地,,,61,0.146,12,0.148,0.148,当地,,
4520,高倉孝太,133,0.141,0,,0.141,全国,,,117,0.146,0,,0.146,全国,,
4521,小池公生,117,0.176,4,0.088,0.176,全国,,,112,0.223,8,0.311,0.223,全国,●,
4522,古澤光紀,136,0.147,0,,0.147,全国,,,112,0.153,0,,0.153,全国,,
4523,中村辰也,119,0.151,0,,0.151,全国,,,114,0.152,0,,0.152,全国,,
4524,深谷知博,131,0.122,0,,0.122,全国,,●,123,0.132,0,,0.132,全国,,
4525,真子奈津実,101,0.142,0,,0.142,全国,,,87,0.142,0,,0.142,全国,,
4526,池田雄祐,110,0.152,0,,0.152,全国,,,109,0.141,0,,0.141,全国,,
4527,高野心吾,97,0.148,0,,0.148,全国,,,102,0.186,0,,0.186,全国,●,
4528,黒井達矢,126,0.153,0,,0.153,全国,,,117,0.165,0,,0.165,全国,,
4529,嶋義信,115,0.126,0,,0.126,全国,,●,119,0.161,3,0.243,0.161,全国,,
4530,小野生奈,145,0.137,0,,0.137,全国,,,111,0.168,0,,0.168,全国,,
4531,武富智亮,152,0.149,0,,0.149,全国,,,132,0.164,0,,0.164,全国,,
4532,秋元哲,153,0.125,0,,0.125,全国,,●,108,0.139,0,,0.139,全国,,
4533,峰重侑治,70,0.187,0,,0.187,全国,●,,86,0.179,0,,0.179,全国,,
4534,坂咲友理,77,0.214,0,,0.214,全国,●,,69,0.187,0,,0.187,全国,●,
4535,北山康介,105,0.153,10,0.143,0.143,当地,,,97,0.148,8,0.144,0.148,全国,,
4536,喜井つかさ,147,0.148,6,0.133,0.148,全国,,,130,0.167,4,0.153,0.167,全国,,
4537,渡邉和将,165,0.139,0,,0.139,全国,,,132,0.139,0,,0.139,全国,,
4538,笠置博之,81,0.169,0,,0.169,全国,,,120,0.141,0,,0.141,全国,,
4539,金子賢志,154,0.129,0,,0.129,全国,,●,133,0.133,0,,0.133,全国,,
4540,相原利章,113,0.118,0,,0.118,全国,,●,111,0.124,0,,0.124,全国,,●
4543,重木輝彦,158,0.151,5,0.092,0.151,全国,,,127,0.191,4,0.217,0.191,全国,●,
4544,松田大志郎,178,0.165,0,,0.165,全国,,,129,0.165,0,,0.165,全国,,
