ym,regno,course,n,r1,r2,r3,st_sum,st_n,mk1
2025-07,5245,2,1,0,0,0,0.03,1,0
2025-07,5245,4,1,1,0,0,0.24,1,0
2025-07,5245,5,1,0,0,0,0.17,1,0
2025-07,5252,2,1,0,1,0,0.14,1,0
2025-07,5252,3,1,0,1,0,0.21,1,0
2025-07,5252,5,1,0,0,0,0.18,1,0
2025-07,5279,1,1,1,0,0,0.19,1,0
2025-07,5279,3,1,0,0,1,0.08,1,0
2025-07,5279,4,1,0,1,0,0.03,1,0
2025-07,5279,6,1,0,0,0,0.15,1,0
2025-07,5308,2,1,0,0,0,0.09,1,0
2025-07,5308,4,1,0,0,0,0.25,1,0
2025-07,5308,5,1,0,0,0,0.36,1,0
2025-07,5331,6,3,0,0,0,0.81,3,0
2025-08,3075,1,2,1,0,0,0.11,2,0
2025-08,3075,2,1,0,1,0,0.09,1,0
2025-08,3075,3,2,0,0,0,0.14,2,0
2025-08,3075,4,1,0,0,1,0.15,1,0
2025-08,3075,5,1,0,0,1,0.07,1,0
2025-08,3075,6,2,0,0,0,0.18,2,0
2025-08,3105,1,1,0,1,0,0.19,1,0
2025-08,3105,2,2,0,0,1,0.28,2,0
2025-08,3105,3,2,0,1,0,0.19,2,0
2025-08,3105,4,1,0,0,1,0.12,1,0
2025-08,3105,5,2,0,0,1,0.46,2,0
2025-08,3105,6,1,0,0,0,0.24,1,0
2025-08,3202,3,1,0,0,0,0.32,1,0
2025-08,3226,1,2,1,0,1,0.51,2,0
2025-08,3226,2,2,0,1,0,0.36,2,0
2025-08,3226,3,1,0,0,0,0.12,1,0
2025-08,3226,4,2,0,0,0,0.59,2,0
2025-08,3226,5,1,0,0,1,0.14,1,0
2025-08,3226,6,2,0,0,1,0.29,2,0
2025-08,3277,1,1,0,0,0,0.11,1,0
2025-08,3277,2,2,0,1,0,0.37,2,0
2025-08,3277,3,2,1,1,0,0.3,2,0
2025-08,3277,4,1,0,1,0,0.18,1,0
2025-08,3277,5,2,1,0,0,0.17,2,1
2025-08,3277,6,1,0,0,0,0.19,1,0
2025-08,3303,1,1,1,0,0,0.09,1,0
2025-08,3303,2,1,0,0,0,0.13,1,0
2025-08,3303,3,2,0,0,1,0.34,2,0
2025-08,3303,4,2,0,2,0,0.42,2,0
2025-08,3303,5,2,0,0,0,0.71,2,0
2025-08,3303,6,1,0,0,0,0.22,1,0
2025-08,3340,1,1,0,0,1,0.24,1,0
2025-08,3340,2,2,0,0,0,0.35,2,0
2025-08,3340,3,1,0,0,0,0.21,1,0
2025-08,3340,4,2,1,0,0,0.38,2,1
2025-08,3340,5,2,0,1,0,0.49,2,0
2025-08,3340,6,1,0,0,0,0.38,1,0
2025-08,3527,1,2,0,0,1,0.36,2,0
2025-08,3527,2,1,1,0,0,0.23,1,0
2025-08,3527,3,2,0,0,1,0.22,2,0
2025-08,3527,4,1,0,0,0,0.24,1,0
2025-08,3527,5,1,0,0,0,0.15,1,0
2025-08,3527,6,2,0,0,0,0.37,2,0
2025-08,3569,1,2,2,0,0,0.23,2,0
2025-08,3569,2,2,0,1,0,0.34,2,0
2025-08,3569,3,1,0,0,1,0.13,1,0
2025-08,3569,4,1,0,1,0,0.11,1,0
2025-08,3569,5,1,0,0,0,0.28,1,0
2025-08,3569,6,2,0,0,1,0.31,2,0
2025-08,3602,1,1,0,1,0,0.17,1,0
2025-08,3602,2,2,0,1,0,0.17,2,0
2025-08,3602,3,2,0,0,0,0.55,2,0
2025-08,3602,4,1,0,0,0,0.16,1,0
2025-08,3602,5,2,0,0,0,0.37,2,0
2025-08,3602,6,1,0,0,0,0.16,1,0
2025-08,3708,1,1,1,0,0,0.16,1,0
2025-08,3708,2,1,1,0,0,0.02,1,0
2025-08,3708,3,2,1,0,0,0.18,2,1
2025-08,3708,4,1,0,0,0,0.15,1,0
2025-08,3708,5,2,0,0,1,0.35,2,0
2025-08,3708,6,2,0,0,1,0.29,2,0
2025-08,3716,1,4,2,0,2,0.51,4,0
2025-08,3716,2,2,2,0,0,0.2,2,2
2025-08,3716,3,2,1,1,0,0.17,2,1
2025-08,3716,4,2,0,0,0,0.24,2,0
2025-08,3716,5,2,1,0,1,0.22,2,1
2025-08,3716,6,2,0,1,1,0.26,2,0
2025-08,3771,1,1,1,0,0,0.17,1,0
2025-08,3771,2,1,0,0,0,0.09,1,0
2025-08,3771,3,2,0,0,1,0.28,2,0
2025-08,3771,4,2,1,1,0,0.28,2,1
2025-08,3771,5,1,0,0,0,0.15,1,0
2025-08,3771,6,2,1,0,0,0.23,2,1
2025-08,3796,1,1,0,0,0,0.29,1,0
