date,race,combo,odds
2026-01-12,1,1-2-3,13.1
2026-01-12,1,1-2-4,19.1
2026-01-12,1,1-2-5,42.4
2026-01-12,1,1-2-6,28.9
2026-01-12,1,1-3-2,9.0
2026-01-12,1,1-3-4,6.0
2026-01-12,1,1-3-5,9.2
2026-01-12,1,1-3-6,9.3
2026-01-12,1,1-4-2,25.5
2026-01-12,1,1-4-3,14.6
2026-01-12,1,1-4-5,34.5
2026-01-12,1,1-4-6,24.5
2026-01-12,1,1-5-2,64.1
2026-01-12,1,1-5-3,28.4
2026-01-12,1,1-5-4,64.9
2026-01-12,1,1-5-6,45.9
2026-01-12,1,1-6-2,45.6
2026-01-12,1,1-6-3,23.9
2026-01-12,1,1-6-4,37.8
2026-01-12,1,1-6-5,57.7
2026-01-12,1,2-1-3,173.1
2026-01-12,1,2-1-4,235.9
2026-01-12,1,2-1-5,416.1
2026-01-12,1,2-1-6,279.4
2026-01-12,1,2-3-1,355.0
2026-01-12,1,2-3-4,658.1
2026-01-12,1,2-3-5,1091.0
2026-01-12,1,2-3-6,717.4
2026-01-12,1,2-4-1,577.5
2026-01-12,1,2-4-3,931.0
2026-01-12,1,2-4-5,1480.0
2026-01-12,1,2-4-6,1001.0
2026-01-12,1,2-5-1,1231.0
2026-01-12,1,2-5-3,1831.0
2026-01-12,1,2-5-4,1946.0
2026-01-12,1,2-5-6,2157.0
2026-01-12,1,2-6-1,626.9
2026-01-12,1,2-6-3,1113.0
2026-01-12,1,2-6-4,1265.0
2026-01-12,1,2-6-5,1843.0
2026-01-12,1,3-1-2,82.1
2026-01-12,1,3-1-4,46.4
2026-01-12,1,3-1-5,54.5
2026-01-12,1,3-1-6,54.7
2026-01-12,1,3-2-1,248.7
2026-01-12,1,3-2-4,397.1
2026-01-12,1,3-2-5,536.3
2026-01-12,1,3-2-6,438.3
2026-01-12,1,3-4-1,122.9
2026-01-12,1,3-4-2,340.3
2026-01-12,1,3-4-5,289.3
2026-01-12,1,3-4-6,210.2
2026-01-12,1,3-5-1,176.4
2026-01-12,1,3-5-2,601.2
2026-01-12,1,3-5-4,424.3
2026-01-12,1,3-5-6,375.1
2026-01-12,1,3-6-1,163.1
2026-01-12,1,3-6-2,607.8
2026-01-12,1,3-6-4,356.4
2026-01-12,1,3-6-5,475.8
2026-01-12,1,4-1-2,273.4
2026-01-12,1,4-1-3,179.0
2026-01-12,1,4-1-5,274.5
2026-01-12,1,4-1-6,233.5
2026-01-12,1,4-2-1,557.8
2026-01-12,1,4-2-3,878.1
2026-01-12,1,4-2-5,1384.0
2026-01-12,1,4-2-6,872.6
2026-01-12,1,4-3-1,280.3
2026-01-12,1,4-3-2,788.6
2026-01-12,1,4-3-5,702.9
2026-01-12,1,4-3-6,504.3
2026-01-12,1,4-5-1,524.2
2026-01-12,1,4-5-2,1122.0
2026-01-12,1,4-5-3,790.8
2026-01-12,1,4-5-6,730.6
2026-01-12,1,4-6-1,393.7
2026-01-12,1,4-6-2,835.9
2026-01-12,1,4-6-3,626.9
2026-01-12,1,4-6-5,875.4
2026-01-12,1,5-1-2,482.4
2026-01-12,1,5-1-3,250.1
2026-01-12,1,5-1-4,517.4
2026-01-12,1,5-1-6,315.2
2026-01-12,1,5-2-1,1012.0
2026-01-12,1,5-2-3,1319.0
2026-01-12,1,5-2-4,1488.0
2026-01-12,1,5-2-6,1378.0
2026-01-12,1,5-3-1,371.6
2026-01-12,1,5-3-2,1027.0
2026-01-12,1,5-3-4,934.1
2026-01-12,1,5-3-6,806.8
2026-01-12,1,5-4-1,781.9
2026-01-12,1,5-4-2,1666.0
2026-01-12,1,5-4-3,1231.0
2026-01-12,1,5-4-6,1113.0
2026-01-12,1,5-6-1,442.5
2026-01-12,1,5-6-2,1242.0
2026-01-12,1,5-6-3,853.9
2026-01-12,1,5-6-4,1095.0
2026-01-12,1,6-1-2,160.7
2026-01-12,1,6-1-3,108.8
2026-01-12,1,6-1-4,183.9
2026-01-12,1,6-1-5,269.7
2026-01-12,1,6-2-1,303.2
2026-01-12,1,6-2-3,525.2
2026-01-12,1,6-2-4,777.5
2026-01-12,1,6-2-5,1325.0
2026-01-12,1,6-3-1,208.6
2026-01-12,1,6-3-2,644.3
2026-01-12,1,6-3-4,467.0
2026-01-12,1,6-3-5,779.7
2026-01-12,1,6-4-1,356.4
2026-01-12,1,6-4-2,748.3
2026-01-12,1,6-4-3,562.3
2026-01-12,1,6-4-5,1012.0
2026-01-12,1,6-5-1,473.4
2026-01-12,1,6-5-2,1538.0
2026-01-12,1,6-5-3,1087.0
2026-01-12,1,6-5-4,1131.0
2026-01-12,2,1-2-3,54.2
2026-01-12,2,1-2-4,63.4
2026-01-12,2,1-2-5,270.8
2026-01-12,2,1-2-6,28.5
2026-01-12,2,1-3-2,40.0
2026-01-12,2,1-3-4,19.2
2026-01-12,2,1-3-5,157.7
2026-01-12,2,1-3-6,8.9
2026-01-12,2,1-4-2,55.9
2026-01-12,2,1-4-3,25.7
2026-01-12,2,1-4-5,196.2
2026-01-12,2,1-4-6,11.8
2026-01-12,2,1-5-2,501.5
2026-01-12,2,1-5-3,466.9
2026-01-12,2,1-5-4,558.7
2026-01-12,2,1-5-6,203.4
2026-01-12,2,1-6-2,18.8
2026-01-12,2,1-6-3,7.5
2026-01-12,2,1-6-4,9.0
2026-01-12,2,1-6-5,82.2
2026-01-12,2,2-1-3,278.2
2026-01-12,2,2-1-4,281.4
2026-01-12,2,2-1-5,889.9
2026-01-12,2,2-1-6,132.0
2026-01-12,2,2-3-1,471.1
2026-01-12,2,2-3-4,753.0
2026-01-12,2,2-3-5,1484.0
