登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
5409,宮本琉正,B2,全国,9,,0.157,,,
5410,今泉澪,B2,全国,0,,0.162,,,
5411,木下虎之輔,B2,全国,0,,0.188,,,●
5412,久保田凪紗,B2,全国,6,,0.198,,,●
5413,宮城那菜,B2,全国,15,,0.143,,,
5414,中澤英里,B2,全国,0,,,,,
5415,阿部未侑,B2,全国,0,,0.242,,,●
5416,龍田真白,B1,全国,0,,0.146,,,
5417,小柳勝希,B1,全国,8,0.11,0.199,●,,●
5418,堀内亜海,B2,全国,9,,0.197,,,●
5419,櫻井隼,B1,全国,0,,0.24,,,●
5420,吉原快誓,B2,全国,10,,0.173,,,
5421,原田朱理,B2,全国,6,,0.24,,,●
5422,真田聖也,B2,全国,0,,0.141,,,
5423,高橋嗣穏,B2,全国,0,,0.22,,,●
5424,熊倉幹太,B2,全国,0,,0.222,,,●
5425,西山育,B2,全国,0,,0.268,,,●
5426,甲斐貴大,B2,全国,9,,0.196,,,●
5427,港理樹,B1,全国,0,,0.22,,,●
5428,古園井綾南,B2,全国,0,,0.198,,,●
5429,吉川颯汰,B2,全国,9,,0.22,,,●
5430,鳥本智史,B2,全国,0,,0.18,,,
5431,得山大輝,B2,全国,6,,0.16,,,
5432,安藤瑠希,B1,全国,0,,0.171,,,
5433,米本圭佑,B2,全国,0,,0.24,,,●
5434,藤田康生,B1,全国,0,,0.16,,,
5435,中西月輝,B2,全国,0,,0.221,,,●
5436,市川瑚幸,B2,全国,0,,0.22,,,●
5437,中澤里桜,B2,全国,25,,0.23,,,●
5438,星田夢結,B2,全国,0,,0.226,,,●
5439,志賀美優,B2,全国,0,,0.21,,,●
5440,薗頭心,B2,全国,0,,0.191,,,●
5441,鈴木雄登,B1,全国,3,,0.17,,,
5442,池田美優,B2,全国,0,,0.2,,,●
5443,西村仁吾,B2,全国,0,,0.24,,,●
5444,林風音,B2,全国,0,,0.19,,,●
5445,一ノ木匠,B2,全国,0,,,,,
5446,長嶺真李愛,B2,全国,0,,,,,
5447,岡本亜子,B2,全国,0,,,,,
5448,福田柊人,B2,全国,0,,,,,
5449,堀井涼平,B2,全国,0,,,,,
5450,藤本遼磨,B2,全国,0,,,,,
5451,知念伶奈,B2,全国,0,,,,,
5452,上馬場風依,B2,全国,0,,,,,
5453,久保翔耶,B2,全国,10,,,,,
5454,谷島咲希,B2,全国,0,,,,,
5455,澁澤周羽,B2,全国,0,,,,,
5456,今村天次朗,B2,全国,0,,,,,
5457,山田陽翔,B2,全国,0,,,,,
5458,田中大輝,B2,全国,0,,,,,
5459,田中きら,B2,全国,0,,,,,
5460,早川理稀,B2,全国,3,,,,,
5461,板頭里緒,B2,全国,0,,,,,
5462,山浦槙,B2,全国,0,,,,,
5463,出口飛龍,B2,全国,0,,,,,
5464,宮田栞,B2,全国,0,,,,,
5465,直江健成,B2,全国,0,,,,,
5466,成田華音,B2,全国,0,,,,,
5467,野村羽玖,B2,全国,0,,,,,
5468,山口隼人,B2,全国,0,,,,,
5469,今泉博人,B2,全国,0,,,,,
5470,坂口諒宗,B2,全国,0,,,,,
5471,田中結,B2,全国,0,,,,,
5472,中川海虹,B2,全国,0,,,,,
