jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-10-07,4,anti_in,100,10000,1,2920,1.35,0.5568,3-2-4,2920,35,3500,1,2920,0.459,10
09,2025-10-08,4,head1,20,2000,0,0,1.37,0.5488,6-4-5,20330,20,2000,0,0,0.5488,65
09,2025-10-08,4,head2,20,2000,0,0,19.52,0.0384,6-4-5,20330,1,100,0,0,0.0059,65
09,2025-10-08,4,head3,20,2000,0,0,3.64,0.2058,6-4-5,20330,13,1300,0,0,0.1864,65
09,2025-10-08,4,head4,20,2000,0,0,10.06,0.0746,6-4-5,20330,6,600,0,0,0.0395,65
09,2025-10-08,4,head5,20,2000,0,0,11.54,0.065,6-4-5,20330,5,500,0,0,0.0297,65
09,2025-10-08,4,head6,20,2000,1,20330,10.88,0.0689,6-4-5,20330,5,500,0,0,0.0282,65
09,2025-10-08,4,anti_in,100,10000,1,20330,1.66,0.4528,6-4-5,20330,30,3000,0,0,0.2897,65
09,2025-10-11,4,head1,20,2000,1,2590,1.94,0.3859,1-6-2,2590,16,1600,1,2590,0.3694,9
09,2025-10-11,4,head2,20,2000,0,0,3.12,0.2402,1-6-2,2590,12,1200,0,0,0.2166,9
09,2025-10-11,4,head3,20,2000,0,0,9.85,0.0761,1-6-2,2590,6,600,0,0,0.039,9
09,2025-10-11,4,head4,20,2000,0,0,24.16,0.031,1-6-2,2590,0,0,0,0,0.0,9
09,2025-10-11,4,head5,20,2000,0,0,4.75,0.1579,1-6-2,2590,9,900,0,0,0.1299,9
09,2025-10-11,4,head6,20,2000,0,0,6.8,0.1103,1-6-2,2590,7,700,0,0,0.0794,9
09,2025-10-11,4,anti_in,100,10000,0,0,1.22,0.6155,1-6-2,2590,34,3400,0,0,0.4649,9
09,2025-10-12,4,head1,20,2000,0,0,1.29,0.5814,2-1-5,8770,19,1900,0,0,0.5784,29
09,2025-10-12,4,head2,20,2000,1,8770,5.12,0.1465,2-1-5,8770,10,1000,1,8770,0.1236,29
09,2025-10-12,4,head3,20,2000,0,0,6.95,0.1079,2-1-5,8770,9,900,0,0,0.0812,29
09,2025-10-12,4,head4,20,2000,0,0,14.91,0.0503,2-1-5,8770,3,300,0,0,0.013,29
09,2025-10-12,4,head5,20,2000,0,0,27.13,0.0276,2-1-5,8770,0,0,0,0,0.0,29
09,2025-10-12,4,head6,20,2000,0,0,8.35,0.0898,2-1-5,8770,9,900,0,0,0.0627,29
09,2025-10-12,4,anti_in,100,10000,1,8770,1.78,0.4222,2-1-5,8770,31,3100,1,8770,0.2805,29
09,2025-10-13,4,head1,20,2000,1,15190,1.28,0.5855,1-6-5,15190,20,2000,1,15190,0.5855,44
09,2025-10-13,4,head2,20,2000,0,0,7.22,0.1039,1-6-5,15190,7,700,0,0,0.073,44
09,2025-10-13,4,head3,20,2000,0,0,7.6,0.0986,1-6-5,15190,8,800,0,0,0.0628,44
09,2025-10-13,4,head4,20,2000,0,0,5.4,0.1388,1-6-5,15190,15,1500,0,0,0.12,44
09,2025-10-13,4,head5,20,2000,0,0,20.25,0.037,1-6-5,15190,0,0,0,0,0.0,44
09,2025-10-13,4,head6,20,2000,0,0,19.79,0.0379,1-6-5,15190,0,0,0,0,0.0,44
09,2025-10-13,4,anti_in,100,10000,0,0,1.8,0.4163,1-6-5,15190,30,3000,0,0,0.2558,44
09,2025-10-14,4,head1,20,2000,0,0,1.97,0.3801,2-6-3,10650,15,1500,0,0,0.3624,39
09,2025-10-14,4,head2,20,2000,1,10650,2.38,0.3155,2-6-3,10650,15,1500,1,10650,0.2969,39
09,2025-10-14,4,head3,20,2000,0,0,6.05,0.1239,2-6-3,10650,11,1100,0,0,0.0979,39
09,2025-10-14,4,head4,20,2000,0,0,6.45,0.1163,2-6-3,10650,9,900,0,0,0.0779,39
09,2025-10-14,4,head5,20,2000,0,0,17.13,0.0438,2-6-3,10650,0,0,0,0,0.0,39
09,2025-10-14,4,head6,20,2000,0,0,34.39,0.0218,2-6-3,10650,0,0,0,0,0.0,39
09,2025-10-14,4,anti_in,100,10000,1,10650,1.21,0.6213,2-6-3,10650,35,3500,1,10650,0.4727,39
09,2025-10-15,4,head1,20,2000,1,1900,2.11,0.3549,1-4-5,1900,14,1400,1,1900,0.3472,6
09,2025-10-15,4,head2,20,2000,0,0,2.69,0.2788,1-4-5,1900,12,1200,0,0,0.2661,6
09,2025-10-15,4,head3,20,2000,0,0,23.76,0.0316,1-4-5,1900,2,200,0,0,0.0077,6
09,2025-10-15,4,head4,20,2000,0,0,3.36,0.2231,1-4-5,1900,13,1300,0,0,0.2119,6
09,2025-10-15,4,head5,20,2000,0,0,6.94,0.108,1-4-5,1900,9,900,0,0,0.0916,6
09,2025-10-15,4,head6,20,2000,0,0,130.01,0.0058,1-4-5,1900,0,0,0,0,0.0,6
09,2025-10-15,4,anti_in,100,10000,0,0,1.16,0.6472,1-4-5,1900,36,3600,0,0,0.5772,6
09,2025-10-16,4,head1,20,2000,0,0,1.66,0.4527,4-5-2,2170,15,1500,0,0,0.439,7
