regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
5102,原田雄次,225,197,32,16,1,6,8,0,1,,
4894,原村拓也,227,197,21,14,2,1,1,2,1,,
5218,山田理央,243,197,64,31,12,9,7,5,0,,
5188,武井莉里佳,238,197,55,25,6,13,10,1,0,,
4688,永井彪也,252,197,68,39,13,6,8,1,1,,
3978,齊藤仁,244,197,50,31,6,6,4,3,0,,
5087,佐藤航,245,197,72,30,8,10,16,8,0,,
5196,鰐部太空海,243,197,79,31,16,14,11,7,0,,
5134,大原祥昌,245,197,49,28,3,4,8,5,1,,
4890,石川諒,234,197,45,17,5,8,8,7,0,,
4796,春園功太,251,197,72,40,8,14,8,2,0,,
5398,鐘ヶ江真司,208,196,10,4,2,1,2,1,0,,
5317,長尾萌加,230,196,18,11,1,1,3,1,1,,
3300,川崎智幸,247,196,56,33,6,5,6,5,1,,
5265,大廣咲季,220,196,16,7,3,3,2,1,0,,
3900,香川素子,244,196,51,29,3,9,8,2,0,,
4436,渋谷明憲,243,196,56,28,11,6,9,2,0,,
3415,松井繁,250,196,60,40,13,4,1,2,0,,
4914,吉田裕平,236,196,63,36,5,7,10,4,1,,
4415,下出卓矢,245,196,66,33,2,20,8,3,0,,
4150,山田雄太,238,196,52,23,6,11,4,8,0,,
3909,佐々木康幸,253,196,77,45,4,15,11,2,0,,
4468,大池佑来,240,196,65,39,4,15,6,1,0,,
4086,寺本重宣,241,196,45,24,5,8,6,2,0,,
3944,山口裕二,240,196,47,27,4,1,9,6,0,,
5126,山下大輝,247,196,75,37,5,20,12,1,0,,
3655,本橋克洋,246,196,29,22,0,3,2,1,1,,
4978,山田和佐,230,196,28,16,3,5,2,2,0,,
5143,常盤海心,218,196,9,2,2,4,0,1,0,,
5016,宮田龍馬,249,196,76,39,12,14,9,2,0,,
5247,大森翼,223,196,15,7,5,1,2,0,0,,
3906,飯山晃三,222,196,17,10,4,2,1,0,0,,
4002,古結宏,255,196,67,38,6,7,9,6,1,,
4119,泥谷一毅,236,196,37,21,7,7,1,1,0,,
4237,大峯豊,256,196,75,39,7,12,12,5,0,,
4403,木下大將,234,196,54,27,11,8,4,3,1,,
5325,澁川夏,224,196,26,13,2,6,2,3,0,,
4069,山本修一,247,196,47,28,7,1,4,6,1,,
5017,澤田尚也,245,196,72,40,7,7,12,5,1,,
4848,仲谷颯仁,248,195,63,36,5,3,9,9,1,,
4423,坂口貴彦,226,195,35,17,5,5,7,1,0,,
3422,服部幸男,253,195,66,36,3,17,8,2,0,,
5051,松本純平,248,195,65,41,6,8,6,4,0,,
3848,川上聡介,229,195,21,12,1,3,2,3,0,,
3576,白水勝也,252,195,52,30,5,8,4,5,0,,
4407,鹿島敏弘,230,195,23,14,5,2,1,1,0,,
4771,下寺秀和,260,195,85,51,13,7,11,2,1,,
4043,桐本康臣,245,195,47,25,3,7,9,2,1,,
4851,関浩哉,240,195,70,35,13,12,8,1,1,,
4035,杉江浩明,224,195,20,7,3,4,4,2,0,,
4737,竹井貴史,258,194,86,44,9,20,6,5,2,,
5109,川崎智稔,224,194,24,10,2,11,1,0,0,,
5299,西丸敦基,227,194,44,22,6,7,6,3,0,,
4168,石野貴之,247,194,65,36,4,8,14,3,0,,
4066,東本勝利,238,194,44,26,3,8,2,3,2,,
3572,安田政彦,239,194,29,19,4,4,2,0,0,,
4711,前出達吉,233,194,44,19,4,7,9,5,0,,
4759,今泉友吾,241,194,54,36,7,3,4,3,1,,
3716,石渡鉄兵,248,194,57,33,1,14,7,1,1,,
4191,赤羽克也,238,194,60,28,9,8,9,6,0,,
4239,竹田辰也,254,194,74,41,7,7,11,6,2,,
4808,松尾拓,237,194,52,28,2,12,6,4,0,,
3951,石川吉鎬,234,194,36,14,9,3,5,4,1,,
4381,田路朋史,245,194,53,26,4,15,4,3,1,,
4350,篠崎元志,259,194,87,54,7,17,2,7,0,,
4224,大橋栄里佳,229,194,30,16,6,3,3,2,0,,
4962,畑竜生,240,194,48,31,3,6,7,1,0,,
3690,河合三弘,227,193,24,10,5,5,2,2,0,,
4877,鈴谷一平,248,193,74,38,4,16,14,2,0,,
5105,富田恕生,219,193,19,10,2,0,2,5,0,●,
4364,池永太,246,193,67,34,5,22,3,3,0,,
3898,平田忠則,253,193,73,45,6,6,8,7,1,,
4482,守屋美穂,247,193,66,39,10,6,8,2,1,,
4719,上條暢嵩,254,193,77,53,6,11,5,1,1,,
4561,藤山翔大,235,193,71,24,2,39,3,2,1,,
4961,西橋奈未,251,193,64,35,6,9,7,7,0,,
3505,山田竜一,238,193,37,23,6,3,2,3,0,,
4345,西舘健,238,193,37,23,3,4,4,3,0,,
3963,原田秀弥,238,193,43,19,4,2,9,8,1,,
3455,谷本幸司,229,193,30,15,8,2,2,3,0,,
4654,篠田優也,243,193,54,33,6,3,9,3,0,,
3499,市川哲也,244,193,54,34,7,2,6,5,0,,
5177,松井貫太,217,193,13,6,2,0,1,2,2,●,
4256,渡辺浩司,243,193,56,32,10,6,5,3,0,,
3256,三角哲男,240,193,58,24,9,12,8,3,2,,
3539,金子順一,223,193,16,9,3,2,2,0,0,,
3662,大庭元明,232,192,43,20,2,11,6,4,0,,
4957,竹之内極,222,192,34,16,6,3,7,2,0,,
5263,花田凱成,217,192,15,7,4,3,0,0,1,,
4545,岡村慶太,252,192,86,53,7,3,15,7,1,,
3933,山地正樹,228,192,35,11,13,2,4,5,0,,
4967,中村魁生,245,192,65,37,6,6,12,4,0,,
4391,松田祐季,254,192,75,42,8,12,6,6,1,,
4013,中島孝平,252,192,71,50,5,6,7,3,0,,
4210,松村康太,241,192,31,19,2,1,3,6,0,,
4804,高田ひかる,245,192,74,32,4,25,6,6,1,,
5003,来田衣織,220,192,35,12,2,13,6,1,1,,
5035,櫻井優,222,192,39,12,7,12,6,2,0,,
3952,中澤和志,249,192,75,32,13,13,12,5,0,,
5238,笹木香吾,234,192,59,22,7,21,7,2,0,,
4432,黄金井力良,235,192,26,19,0,4,2,1,0,,
3981,今坂晃広,223,192,30,17,2,4,7,0,0,,
4619,伏田裕隆,215,192,40,10,4,22,2,2,0,,
4173,岡谷健吾,226,192,32,20,3,2,5,2,0,,
4614,石倉洋行,251,192,78,42,16,9,9,1,1,,
4570,前田聖文,242,192,56,28,6,9,9,3,1,,
3721,守田俊介,243,192,70,38,11,7,9,4,1,,
5060,数原魁,229,192,44,22,6,10,4,1,1,,
4292,麻生慎介,245,192,61,32,7,6,13,3,0,,
3574,大神康司,249,191,66,35,15,9,1,6,0,,
5089,前田翔,250,191,69,42,8,10,7,2,0,,
4762,藤原啓史朗,253,191,81,48,7,7,14,5,0,,
5004,河野主樹,223,191,34,18,5,5,5,1,0,,
4593,小坂宗司,235,191,44,27,8,5,3,1,0,,
5394,福西広太郎,192,191,4,0,2,1,1,0,0,,
3319,山崎義明,228,191,29,15,4,6,1,3,0,,
4428,有賀達也,234,191,48,30,8,7,1,2,0,,
5042,畑田汰一,238,191,61,30,8,7,14,2,0,,
4276,鈴木勝博,235,191,61,25,8,16,7,4,1,,
