regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
3837,秋山広一,223,180,55,32,10,2,8,3,0,,
3362,間嶋仁志,222,180,39,19,7,11,1,1,0,,
3872,岡田憲行,238,180,49,32,2,10,4,1,0,,
3587,武田信一,210,180,11,8,0,2,0,1,0,,
3870,寺嶋雄,207,180,23,8,3,7,4,1,0,,
5144,中尾彩香,209,180,26,13,2,9,1,1,0,,
4676,後藤隼之,219,180,30,18,3,4,4,1,0,,
3868,尾形栄治,207,180,20,10,4,3,2,1,0,,
4906,鈴木雅希,214,180,32,14,8,2,6,2,0,,
3508,久富政弘,212,180,32,20,5,4,2,1,0,,
4639,雑賀勇貴,208,180,22,14,1,4,2,0,1,,
5214,田中宏典,211,180,25,15,5,1,4,0,0,,
4466,南佑典,218,180,38,24,7,1,6,0,0,,
4974,安井瑞紀,217,180,47,18,2,19,5,3,0,,
4356,長岡良也,225,180,54,31,4,5,11,3,0,,
4434,田中辰彦,233,180,61,34,11,3,7,5,1,,
4840,鈴木秀茉,211,180,24,8,4,2,6,3,1,,
5125,高井雄基,227,180,46,28,4,5,6,3,0,,
4112,大久保信一郎,211,180,37,18,6,5,6,2,0,,
4474,渡辺崇,212,179,33,20,4,5,3,1,0,,
4511,中岡健人,207,179,20,11,2,5,0,1,1,,
4529,嶋義信,220,179,45,26,4,4,9,1,1,,
4816,村松修二,219,179,45,25,4,14,1,1,0,,
4977,馬野耀,218,179,45,23,6,7,7,2,0,,
3843,上之晃弘,211,179,30,15,2,9,4,0,0,,
3075,中村裕将,211,179,21,9,0,5,3,4,0,,
3566,川添英正,210,179,23,11,3,5,2,2,0,,
4380,鈴木峻佑,210,179,31,18,1,4,6,2,0,,
5194,大久保佑香,208,179,24,14,2,3,1,3,1,,
4672,守屋大地,205,179,12,0,3,4,4,1,0,,
3517,高橋勲,210,179,35,15,4,9,7,0,0,,
4979,中野夢斗,214,179,30,19,1,7,1,2,0,,
5123,福山恵里奈,212,179,22,16,1,4,1,0,0,,
4096,石橋道友,231,179,64,39,11,5,5,4,0,,
4992,廣瀬篤哉,206,179,33,16,4,7,2,3,1,,
5297,南彩寧,202,179,10,6,2,1,0,1,0,,
4371,西山貴浩,223,178,46,34,5,2,3,2,0,,
3713,伊藤誠二,216,178,41,20,4,8,5,3,1,,
4113,木村浩士,214,178,35,16,5,7,4,3,0,,
5038,金田智博,222,178,62,30,11,9,9,2,1,,
4207,松下一也,227,178,62,28,3,18,7,4,2,,
4661,中島昂章,210,178,24,11,6,1,3,2,1,,
4429,豊田泰洋,204,178,13,8,2,0,2,1,0,●,
4991,宗行治哉,221,178,51,27,9,5,8,2,0,,
4879,山崎鉄平,207,178,24,8,5,6,4,1,0,,
4478,櫻本あゆみ,227,178,56,31,3,8,11,1,2,,
5050,木下雄介,217,178,53,22,16,2,9,4,0,,
4315,山崎昂介,204,178,32,11,5,9,5,1,1,,
4549,小林文彦,219,178,34,17,7,4,2,4,0,,
5301,岩下巧斗,211,178,31,20,1,8,2,0,0,,
5172,田村慶,212,178,29,18,2,4,1,4,0,,
4034,西原明生,203,178,14,9,2,1,2,0,0,,
4082,濱崎誠,207,178,38,15,8,7,6,2,0,,
4565,西村豪洋,207,178,16,10,2,2,1,1,0,,
4346,前田健太郎,209,178,33,13,5,5,3,7,0,,
4329,小松卓司,205,177,14,9,2,1,1,1,0,,
4116,川田正人,207,177,22,11,0,2,5,4,0,,
4888,金児隆太,213,177,32,16,7,5,3,1,0,,
4489,岩川仁士,212,177,34,17,7,5,4,1,0,,
4575,戸塚邦好,212,177,43,24,2,11,5,1,0,,
4240,今井裕梨,220,177,43,23,7,7,3,3,0,,
4068,幸田智裕,208,177,17,11,2,2,2,0,0,,
4560,庄司樹良々,215,177,45,22,9,3,7,2,2,,
4847,佐藤隆太郎,224,177,53,31,3,7,6,5,1,,
3473,石川真二,283,177,87,52,21,6,0,6,2,,
3964,宮地博士,202,177,10,5,1,0,1,3,0,●,
4060,島田一生,206,177,33,12,3,11,4,3,0,,
4099,吉永則雄,226,177,48,32,8,4,1,3,0,,
4568,廣瀬真也,215,177,39,24,3,7,4,1,0,,
3563,堤昇,219,177,26,15,1,3,3,4,0,,
4161,黒柳浩孝,221,177,32,18,3,2,5,4,0,,
5243,三馬崇史,215,177,37,16,5,8,5,3,0,,
3990,芹澤克彦,203,177,25,9,3,8,1,4,0,,
3947,寺本昇平,214,177,20,12,4,1,3,0,0,,
4142,平野和明,220,177,31,19,5,4,2,1,0,,
3747,國崎良春,210,177,35,18,5,2,8,2,0,,
3875,廣中良一,206,177,22,18,1,2,1,0,0,,
5013,山下夏鈴,211,177,50,20,3,26,0,1,0,,
4825,倉持莉々,226,176,64,32,8,10,10,4,0,,
3385,渡邉睦広,216,176,37,19,12,3,2,1,0,,
3502,渡邉英児,214,176,30,17,2,9,2,0,0,,
3718,伊達正利,208,176,28,20,4,4,0,0,0,,
4246,喜多那由夏,207,176,9,6,3,0,0,0,0,●,●
4121,富永修一,221,176,48,23,11,3,7,4,0,,
4509,平見真彦,219,176,41,24,5,2,7,3,0,,
5308,藤森拓海,195,176,14,3,2,3,5,0,1,,
3893,汐崎正則,204,176,27,13,4,7,2,1,0,,
4942,柴田朋哉,218,176,35,18,1,7,7,1,1,,
4740,齋藤達希,202,176,21,10,5,2,4,0,0,,
4347,魚谷香織,221,176,45,27,3,12,1,2,0,,
4684,楠原翔太,219,176,40,24,3,7,2,4,0,,
5344,谷口丞,192,176,26,7,4,8,4,2,1,,
4564,山本景士郎,207,176,11,8,1,2,0,0,0,,
4839,四宮与寛,218,175,44,21,5,7,8,2,1,,
5303,土井歩夢,208,175,32,17,6,3,3,3,0,,
4155,長野壮志郎,223,175,51,25,7,4,11,3,1,,
3910,松下知幸,202,175,22,10,7,2,3,0,0,,
4017,向井美鈴,214,175,38,23,6,1,6,2,0,,
5289,佃來紀,206,175,31,17,2,7,3,2,0,,
3474,松瀬弘美,206,175,17,9,3,4,0,0,1,,
4702,三浦敬太,221,175,63,27,7,14,12,3,0,,
3623,深川真二,249,175,92,47,23,12,1,9,0,,
3615,横田茂,207,175,20,12,2,3,3,0,0,,
5137,川原涼,202,175,31,16,1,8,2,4,0,,
3434,松尾宣邦,209,175,19,15,2,1,0,1,0,,
4685,島村隆幸,235,175,87,46,11,10,17,3,0,,
4226,村田浩司,208,175,26,14,0,6,4,2,0,,
5375,庄島潤成,175,175,1,0,0,0,1,0,0,●,
5163,清水愛海,222,175,59,33,4,6,12,4,0,,
4197,渥美卓郎,205,174,18,10,1,4,0,2,1,,
4697,國弘翔平,203,174,14,11,0,3,0,0,0,,
5165,小林愛実,202,174,21,9,2,6,3,1,0,,
5057,上田紗奈,204,174,41,21,4,9,5,2,0,,
4652,酒見峻介,207,174,25,13,3,4,3,1,1,,
4900,中田夕貴,213,174,41,27,5,4,1,3,1,,
3277,齋藤勇,207,174,18,11,2,5,0,0,0,,
4158,木場雄二郎,204,174,27,17,0,4,2,3,1,,
4263,武重雄介,210,174,33,21,4,2,5,0,1,,
4305,金子拓矢,231,174,87,41,13,15,12,6,0,,
3863,海老澤泰行,205,174,16,9,0,5,2,0,0,,
4139,丹下健,202,174,22,10,3,4,3,2,0,,
4219,本岡勝利,193,174,6,3,1,0,0,1,1,●,●
4154,森安弘雅,212,174,29,14,4,6,3,2,0,,
4819,蜂須瑞生,213,174,39,23,3,9,4,0,0,,
5281,井上遥妃,217,174,58,29,9,9,6,5,0,,
4941,孫崎百世,200,174,26,7,6,2,5,5,1,,
4523,中村辰也,217,174,31,22,2,4,1,1,1,,
3998,冨成謙児,204,174,15,12,2,0,1,0,0,●,
4988,牟田奨太,200,174,27,15,1,3,5,3,0,,
3441,土屋太朗,202,174,16,8,3,2,2,0,1,,
4195,前川守嗣,208,173,30,13,6,5,4,2,0,,
4447,深川麻奈美,213,173,33,14,4,7,7,1,0,,
3975,小野寺智洋,207,173,42,22,6,9,5,0,0,,
4692,酒井俊弘,205,173,31,10,0,21,0,0,0,,
4342,谷野錬志,211,173,59,30,7,7,8,7,0,,
4464,山下友貴,208,173,38,20,7,6,3,2,0,,
3569,増田進,208,173,14,7,5,1,0,0,1,,
5279,石渡翔一郎,206,173,42,17,10,4,6,5,0,,
4528,黒井達矢,214,173,55,33,4,11,6,1,0,,
4735,角山雄哉,200,173,28,12,0,11,5,0,0,,
3643,米田隆弘,208,173,29,17,1,2,4,5,0,,
4006,小野勇作,202,173,25,10,1,5,4,4,1,,
3684,清水攻二,210,173,37,19,7,5,4,2,0,,
3731,高濱芳久,206,173,18,7,6,2,0,3,0,,
4857,加藤翔馬,217,173,65,30,5,6,13,10,1,,
3867,松浦勝,196,173,9,4,2,1,1,1,0,,
4343,村岡賢,200,173,14,6,2,1,1,4,0,,
5129,山口真喜子,210,173,43,18,4,8,7,5,1,,
4138,中井俊祐,202,173,24,11,5,2,5,1,0,,
5277,井上未都,202,173,26,12,3,6,3,1,1,,
4220,深川和仁,203,173,41,24,3,7,6,1,0,,
4300,加藤綾,208,173,22,15,4,1,2,0,0,,
5312,川辺郭人,195,172,14,6,3,3,0,1,1,,
4638,小林遼太,204,172,30,14,6,4,3,2,1,,
5316,村松将平,194,172,19,11,3,2,2,1,0,,
4128,川口貴久,203,172,27,11,0,5,8,2,1,,
4944,田代達也,190,172,16,3,4,5,2,2,0,,
4440,萩原知哉,199,172,17,7,2,3,3,1,1,,
4031,飯島誠,202,172,24,7,4,3,6,3,1,,
3503,堂原洋史,197,172,13,7,2,3,1,0,0,,
4718,北川太一,215,172,45,21,7,1,6,9,1,,
5153,佐藤ほのか,201,172,7,3,2,1,1,0,0,,
4791,黒澤めぐみ,207,172,27,10,4,2,6,5,0,,
5005,石田貴洋,209,172,46,17,0,25,4,0,0,,
5141,大澤風葵,221,172,60,27,5,11,12,5,0,,
4917,岩橋裕馬,200,172,19,9,3,3,2,1,1,,
4274,長畑友輔,199,172,22,9,6,3,3,1,0,,
4555,富永大一,214,172,29,21,2,1,1,4,0,,
4213,重富伸也,188,172,22,2,0,15,5,0,0,,
5292,佐藤右京,193,172,14,5,2,3,2,2,0,,
3282,池本輝明,204,172,14,13,0,1,0,0,0,,
3737,上平真二,224,172,64,34,9,9,6,5,1,,
3685,荒井輝年,199,171,29,12,1,6,6,4,0,,
4846,佐藤駿介,198,171,16,9,1,2,0,2,2,,
4578,藤山雅弘,214,171,50,27,10,9,2,2,0,,
4789,古賀智之,206,171,37,17,4,8,4,3,1,,
4797,中山将,203,171,55,25,6,14,6,4,0,,
5269,山口晃朋,211,171,56,28,5,9,9,5,0,,
3812,山崎聖司,203,171,15,10,3,0,2,0,0,●,
5011,高木圭大,195,171,14,10,2,1,1,0,0,,
3544,豊田訓靖,198,171,8,2,2,2,2,0,0,,
4592,小林孝弘,197,171,18,6,3,0,7,2,0,●,
3627,井上恵一,209,171,33,19,0,8,1,3,2,,
4004,山本浩輔,201,171,27,12,3,6,3,3,0,,
3892,草場康幸,201,171,26,17,2,2,2,2,1,,
4405,南野利騰,198,171,10,5,1,3,1,0,0,,
5239,上野俊樹,204,170,32,10,11,6,4,1,0,,
4020,川上清人,194,170,16,8,1,2,2,2,1,,
5338,香月大輝,182,170,13,6,2,4,1,0,0,,
5155,内山七海,203,170,39,15,9,7,5,3,0,,
3776,横井健太,192,170,3,0,1,0,0,1,1,●,●
5156,坂野さくら,196,170,28,9,2,6,9,2,0,,
4947,間庭菜摘,194,170,12,8,1,1,0,2,0,,
5135,仲航太,210,170,39,21,4,3,8,3,0,,
4883,岡部大輝,201,170,49,20,11,3,13,1,1,,
4895,門間雄大,200,170,32,13,4,12,2,1,0,,
4401,小林泰,213,170,45,28,4,8,4,1,0,,
5246,楠将太郎,202,170,30,14,5,4,6,1,0,,
4145,小澤学,195,170,8,2,2,1,1,1,1,,
4072,森永淳,225,170,87,42,14,20,8,3,0,,
5183,中野孝二,200,170,22,12,1,5,4,0,0,,
4011,堀之内紀代子,203,170,47,20,6,13,4,4,0,,
4828,松山将吾,216,170,51,25,11,6,7,2,0,,
3619,長谷川充,204,170,22,11,5,2,2,2,0,,
4973,栗原直也,207,170,32,17,2,6,2,5,0,,
4669,井上茂,192,170,15,8,2,3,1,1,0,,
4752,西尾亮輔,194,170,14,7,1,3,3,0,0,,
4714,喜多須杏奈,197,170,17,12,1,0,3,1,0,●,
5406,小畑楓夏,170,170,0,0,0,0,0,0,0,●,●
3828,明石正之,201,170,20,11,2,3,3,1,0,,
3687,花田和明,203,170,28,19,4,3,1,1,0,,
3827,今泉徹,200,170,8,6,0,1,0,1,0,,
4948,木場悠介,201,170,28,15,0,7,4,2,0,,
3929,杢野誓良,201,170,19,8,3,4,2,1,1,,
4522,古澤光紀,220,170,54,38,6,4,0,6,0,,
5217,藤原碧生,207,170,43,23,4,6,5,4,1,,
4303,牧原崇,203,169,26,16,3,1,3,3,0,,
4521,小池公生,208,169,35,18,5,6,3,3,0,,
4402,乙藤智史,216,169,53,30,2,8,7,6,0,,
3568,木村光宏,201,169,25,14,2,5,3,1,0,,
3629,浅見昌克,209,169,49,27,8,7,5,2,0,,
5290,坂本一真,194,169,9,4,0,4,0,1,0,,
4933,板橋侑我,211,169,46,32,3,5,6,0,0,,
3381,滝沢芳行,200,169,29,12,0,14,1,2,0,,
3357,福島陽子,200,169,9,6,0,1,0,2,0,,
4167,片岡秀樹,197,169,13,9,1,1,1,1,0,,
4705,吉川勇作,193,169,20,13,4,2,0,1,0,,
5258,仲本舜,196,169,25,13,3,3,3,3,0,,
4361,柳生泰二,226,169,84,48,9,15,8,4,0,,
5023,久永祥平,200,169,37,18,6,1,7,4,1,,
4062,後藤陽介,202,169,21,13,1,6,1,0,0,,
3976,内田圭,195,169,20,10,3,5,1,1,0,,
5027,重冨勇哉,195,169,19,9,5,1,4,0,0,,
3790,佐口達也,197,169,15,9,1,3,0,1,1,,
4232,笠雅雄,196,169,33,8,3,12,5,4,1,,
4461,安田吉宏,201,169,18,10,2,2,3,1,0,,
3784,中島友和,199,168,25,11,3,8,3,0,0,,
4936,戸敷晃美,208,168,50,24,6,15,1,4,0,,
4812,西野雄貴,219,168,75,39,6,12,13,5,0,,
4817,渡邉翼,213,168,54,32,7,5,5,4,1,,
5245,倉富大誠,191,168,25,8,3,9,4,0,1,,
4204,柴田大輔,198,168,31,12,5,6,6,2,0,,
5332,村松遥輝,193,168,15,9,4,1,1,0,0,,
4245,高橋直哉,196,168,20,8,4,3,2,2,1,,
4995,田邉亮蔵,194,168,19,12,1,5,1,0,0,,
3546,中里昌志,198,168,13,6,0,3,2,1,1,,
4444,桐生順平,213,168,48,30,6,4,5,2,1,,
4981,牧山敦也,194,168,22,12,3,1,4,2,0,,
5127,沼田大都,192,168,15,7,3,1,2,2,0,,
4009,小林一樹,213,168,37,25,2,7,0,2,1,,
5306,河内悠利杏,191,168,3,1,0,1,0,0,1,,
3809,吉田光,182,168,8,3,0,0,3,2,0,●,
4175,川尻泰輔,207,168,42,27,4,2,6,3,0,,
5334,樫葉新心,188,168,7,2,1,1,2,1,0,,
5313,鈴木唯央,185,168,15,3,4,4,2,1,1,,
4456,鎌倉涼,222,168,61,40,7,4,5,5,0,,
4494,河合佑樹,209,168,53,26,8,3,7,8,1,,
3942,寺田祥,231,168,58,34,5,5,9,5,0,,
5170,佐藤太亮,196,168,25,17,2,1,3,2,0,,
4271,川崎公靖,195,168,15,6,2,2,4,1,0,,
5382,山下心一,167,167,1,0,0,0,1,0,0,●,
5173,谷口佳蓮,197,167,37,22,7,4,4,0,0,,
4422,永井亮次,194,167,23,15,2,1,4,1,0,,
4389,伊藤喜智,199,167,31,12,5,5,6,2,1,,
3654,武田光史,215,167,60,31,5,11,9,3,1,,
4897,深見亜由美,194,167,12,7,0,5,0,0,0,,
3860,松本浩貴,193,167,9,3,1,3,1,1,0,,
3752,宇土泰就,194,167,14,7,3,2,1,1,0,,
5048,眞鳥康太,187,167,22,8,0,7,3,2,2,,
3873,別府昌樹,192,167,22,9,1,3,4,5,0,,
5384,八戸琉楓,168,167,3,0,0,1,2,0,0,,
5067,山田真聖,189,167,28,12,2,8,4,2,0,,
4277,金田大輔,195,167,36,12,1,10,6,7,0,,
5329,金子龍斗,187,167,26,9,1,3,10,1,2,,
5383,中村楓,167,167,2,0,0,0,2,0,0,●,
4270,岸本雄貴,197,167,25,17,3,3,2,0,0,,
5374,木山大聖,166,166,2,0,1,0,1,0,0,●,
4794,和田拓也,207,166,60,34,6,15,2,2,1,,
3796,長野道臣,193,166,20,9,6,2,2,1,0,,
2538,高橋二朗,193,166,3,2,1,0,0,0,0,●,●
4656,大崎翔,195,166,28,13,7,1,6,1,0,,
5106,山崎祥,200,166,30,14,1,7,5,3,0,,
3714,梶原正,193,166,20,15,0,3,2,0,0,,
4600,井内将太郎,209,166,53,29,4,10,5,5,0,,
5386,米玉利大悟,185,166,7,3,0,2,0,1,1,,
5012,加倉侑征,204,166,33,14,3,2,7,6,1,,
3831,安藤裕貴,197,166,22,10,2,8,1,1,0,,
5079,大石真央,192,166,24,12,2,8,2,0,0,,
4214,林祐介,208,166,37,28,5,0,2,1,1,●,
4625,渡邊裕貴,189,165,31,16,5,9,1,0,0,,
5093,浦野海,197,165,22,18,0,3,0,1,0,,
4323,山田佑樹,194,165,32,15,6,5,4,2,0,,
4317,木村紗友希,194,165,25,15,4,4,1,1,0,,
5271,杉山太陽,185,165,13,6,2,1,3,1,0,,
4653,小野達哉,214,165,62,40,2,9,5,6,0,,
4183,宇野弥生,202,165,47,30,3,7,6,1,0,,
5044,渡邉健,196,165,30,18,0,3,7,2,0,,
3226,浦田信義,201,165,20,15,0,3,1,1,0,,
5007,近藤雄一郎,194,165,22,13,2,2,2,3,0,,
4615,板倉敦史,186,165,12,7,1,0,1,2,1,●,
3696,白井友晴,193,165,17,8,2,4,1,2,0,,
3748,小黒竜吾,186,165,11,4,2,2,3,0,0,,
4951,新田洋一,203,165,27,17,2,3,2,2,1,,
5392,安武一也,165,165,0,0,0,0,0,0,0,●,●
3350,藤本佳史,200,165,28,20,4,3,0,1,0,,
4419,原加央理,195,165,25,11,5,5,3,1,0,,
4205,山口剛,215,165,68,38,9,3,13,5,0,,
5249,三木晴斗,196,165,27,11,6,1,6,2,1,,
5377,鳥居塚嶺王,172,165,17,5,2,6,3,1,0,,
3761,山本光雄,196,165,33,19,4,4,4,2,0,,
5250,嶋田有里,188,165,12,7,2,0,1,2,0,●,
3994,小野桜,194,165,20,11,3,3,3,0,0,,
5364,金子怜央,167,165,2,0,0,0,1,1,0,●,
4016,西川新太郎,193,165,22,9,6,1,5,1,0,,
3982,福田理,191,164,18,7,2,7,2,0,0,,
2878,富山弘幸,202,164,29,16,3,2,7,1,0,,
4631,新井英孝,191,164,27,14,2,1,4,6,0,,
5054,佐々木大河,199,164,48,29,5,7,7,0,0,,
4003,表憲一,194,164,21,10,4,1,5,1,0,,
4694,高田綾,190,164,18,7,3,5,2,0,1,,
5294,豊田祥生,189,164,13,7,1,4,0,1,0,,
5190,大月遊雅,184,164,19,7,2,6,4,0,0,,
3602,奥平拓也,192,164,15,6,4,3,1,1,0,,
4700,金子和之,202,164,42,24,8,4,4,2,0,,
5322,根岸真優,187,164,8,5,0,3,0,0,0,,
5203,神里琴音,190,164,24,11,3,7,1,1,1,,
5006,久保原秀人,182,164,6,2,0,3,1,0,0,,
4404,岸蔭亮,185,164,13,5,1,5,2,0,0,,
3769,佐竹恒彦,204,164,29,20,2,2,1,4,0,,
5151,山下奈緒,185,164,12,4,0,3,2,3,0,,
4129,宇野博之,194,164,11,4,1,1,3,2,0,,
5065,伊久間陽優,189,164,37,15,5,5,10,2,0,,
4896,花本剛,190,164,19,12,2,4,0,1,0,,
3202,三品隆浩,200,164,17,7,1,3,2,4,0,,
5181,森智哉,187,163,23,13,0,5,5,0,0,,
3224,栗山繁洋,187,163,12,7,1,1,2,1,0,,
4905,土井祥伍,185,163,15,9,3,1,0,2,0,,
3773,津留浩一郎,192,163,14,11,1,0,0,2,0,●,●
4339,平瀬城啓,195,163,15,10,2,0,1,2,0,●,
4372,原田佑実,200,163,46,24,9,4,7,2,0,,
5242,高山弘斗,183,163,10,4,3,3,0,0,0,,
3889,須藤隆雄,190,163,14,7,1,3,1,2,0,,
5000,岡本翔太郎,188,163,23,15,2,1,4,1,0,,
4630,岩永雅人,203,163,31,21,6,1,3,0,0,,
3757,畑和宏,196,163,28,15,1,9,2,1,0,,
3542,清水紀克,198,163,16,11,2,2,0,1,0,,
4093,吉田宗弘,193,163,16,10,1,4,0,1,0,,
3967,鈴木茂高,188,163,14,12,1,0,1,0,0,●,
4540,相原利章,201,163,30,17,5,4,2,2,0,,
4359,横川聖志,198,163,33,13,6,7,2,4,1,,
4491,田中堅,189,163,9,8,0,0,0,1,0,●,●
3411,池上隆行,188,163,7,5,2,0,0,0,0,●,●
5211,高井駿弥,184,163,5,3,0,1,1,0,0,,
5146,野田彩加,191,163,30,13,3,8,4,1,1,,
3605,中村守成,191,163,16,13,1,0,2,0,0,●,
5039,倉田茂将,192,163,24,15,4,3,1,1,0,,
5081,篠原飛翔,205,163,38,20,8,3,5,2,0,,
4965,福岡泉水,185,163,16,7,1,4,4,0,0,,
3620,信濃由行,191,163,17,10,5,1,1,0,0,,
4248,岡本大,185,163,14,7,0,3,3,1,0,,
3703,鳥飼眞,209,162,44,20,3,3,7,10,1,,
3692,竹腰正樹,197,162,19,13,1,5,0,0,0,,
4104,木下陽介,191,162,22,10,1,8,1,2,0,,
5063,大塚雅治,183,162,18,9,3,0,4,2,0,●,
5285,若林麗,191,162,12,7,2,0,1,2,0,●,
4027,松江秀徳,198,162,40,18,6,9,6,1,0,,
5388,佐野優都,162,162,10,0,1,4,4,0,1,,
5182,宮崎安奈,193,162,24,10,6,4,3,1,0,,
4320,峰竜太,215,162,73,43,15,7,6,2,0,,
5266,石田勇斗,189,162,20,12,0,2,3,1,2,,
3722,西村秀樹,183,162,7,2,1,3,0,1,0,,
4887,富澤祐作,192,162,30,18,2,7,3,0,0,,
4152,深水慎一郎,197,162,32,14,8,2,5,3,0,,
4435,服部達哉,191,162,36,16,8,5,5,2,0,,
4211,村田敦,194,162,14,8,0,4,2,0,0,,
5111,三村岳人,191,162,38,16,8,9,4,1,0,,
5407,中岡駿,164,161,2,1,0,0,1,0,0,●,
4727,安部慎一,183,161,16,9,2,3,2,0,0,,
3616,中村真,188,161,25,10,3,3,3,5,1,,
3233,小畑実成,187,161,21,8,2,7,2,1,1,,
4891,寺島美里,188,161,24,11,5,6,1,1,0,,
3792,田中豪,198,161,45,19,4,11,8,3,0,,
5047,國分将太郎,190,161,30,12,8,5,4,1,0,,
3105,内山文典,191,161,24,14,3,5,1,0,1,,
4258,関根彰人,191,161,21,11,7,1,2,0,0,,
3717,立間充宏,192,161,31,17,4,5,5,0,0,,
4041,小林基樹,185,161,14,6,3,1,2,2,0,,
4184,渡邊雄一郎,207,161,66,32,11,11,5,7,0,,
3175,渡辺千草,186,161,11,2,3,3,3,0,0,,
5412,久保田凪紗,161,161,0,0,0,0,0,0,0,●,●
5231,寺田空詩,192,161,35,18,6,5,4,2,0,,
4362,土屋智則,212,161,43,27,9,0,4,2,1,●,
4689,豊田結,200,161,28,16,1,5,4,2,0,,
5272,松田真実,189,161,24,14,5,2,0,3,0,,
4909,薮内瑞希,191,161,28,14,5,6,1,1,1,,
4393,田中孝明,184,161,16,12,3,0,1,0,0,●,
3477,近藤稔也,188,161,9,5,0,2,0,2,0,,
3580,水口由紀,188,161,9,7,0,1,1,0,0,,
5348,小林甘寧,165,161,16,1,2,3,7,2,1,,
4272,大場広孝,184,161,15,5,4,2,2,2,0,,
3896,上田洋平,189,161,19,13,3,1,1,1,0,,
4764,小池礼乃,194,160,36,19,2,8,2,5,0,,
5248,本田愛,182,160,15,4,1,4,4,2,0,,
3808,秋田健太郎,186,160,13,8,1,1,2,1,0,,
3370,坪内実,184,160,12,8,2,2,0,0,0,,
4730,土屋実沙希,190,160,31,11,7,4,4,5,0,,
4875,大塚康雅,192,160,24,9,5,4,3,3,0,,
3617,竹田広樹,186,160,23,11,2,7,1,1,1,,
5095,小原聡将,200,160,43,25,8,3,5,2,0,,
4837,酒井陽祐,186,160,17,11,3,1,2,0,0,,
4045,佐々木裕美,190,160,24,10,5,7,2,0,0,,
3313,本吉正樹,187,160,20,9,6,2,3,0,0,,
5167,小川竜太朗,189,160,21,6,5,4,3,2,1,,
4527,高野心吾,184,160,16,9,2,2,2,1,0,,
5369,岡崎凪汰,177,160,8,2,1,3,2,0,0,,
3993,永井聖美,192,160,25,11,6,2,5,1,0,,
4987,島倉都,185,160,15,11,1,0,2,1,0,●,
4526,池田雄祐,194,160,38,20,7,5,4,2,0,,
3869,井芹大志,183,159,11,10,1,0,0,0,0,●,●
4899,占部一真,184,159,21,12,2,4,2,1,0,,
3660,長谷川親王,183,159,6,5,0,0,1,0,0,●,
4449,中嶋達也,181,159,20,8,2,7,2,1,0,,
5046,松山裕基,184,159,13,8,2,0,2,1,0,●,
5314,中曽瑠華,178,159,6,4,1,0,1,0,0,●,
3880,浅見宗孝,188,159,17,8,1,3,3,1,1,,
4836,大谷健太,185,159,33,13,4,11,2,2,1,,
3664,鈴木賢一,190,159,23,12,2,6,1,2,0,,
4051,清水敦揮,205,159,49,30,6,1,7,5,0,,
5131,江藤敦宏,180,159,8,3,0,2,1,2,0,,
4871,菊池宏志,187,159,21,11,1,7,0,2,0,,
5262,鈴木章司,182,159,10,1,2,2,2,3,0,,
4893,渡邉真奈美,189,159,29,11,2,9,3,3,1,,
5033,藤原孝斗,181,159,16,7,2,1,1,4,1,,
5049,松井友汰,189,159,45,20,8,7,8,2,0,,
3878,胡本悟志,180,159,18,6,4,6,2,0,0,,
5296,永田楽,175,159,18,5,5,6,2,0,0,,
4234,野相弘司,182,159,18,11,1,4,1,1,0,,
3432,宮迫暢彦,182,159,12,5,4,1,0,2,0,,
4809,外崎悟,196,159,36,15,10,1,3,7,0,,
5400,高村諒,164,159,2,1,0,0,1,0,0,●,
3708,岡部貴司,190,159,19,13,0,4,1,1,0,,
4181,花本夏樹,181,159,10,5,3,1,0,1,0,,
4047,吉永浩則,184,158,19,15,2,0,2,0,0,●,
4785,木幡純也,182,158,13,3,2,3,3,1,1,,
5404,内田壮,158,158,2,0,0,1,1,0,0,,
5241,門田栞,182,158,20,6,3,3,6,2,0,,
4010,越智照浩,181,158,13,9,1,1,0,2,0,,
5342,原村百那,162,158,2,1,0,1,0,0,0,,
4254,川島圭司,194,158,43,22,0,7,10,2,2,,
4131,原豊土,193,158,40,23,4,6,6,1,0,,
3535,渡修平,183,158,16,10,1,3,1,1,0,,
5199,垂水悠,185,158,31,11,1,12,3,3,1,,
4911,片岡大地,191,158,19,13,3,1,1,1,0,,
4484,稲生夏季,185,158,18,10,3,3,0,2,0,,
3161,古場輝義,196,158,16,8,1,2,2,3,0,,
4765,野田部宏子,188,158,28,14,4,9,0,1,0,,
5405,竹内来,158,158,3,0,0,2,1,0,0,,
3805,高橋英之,189,158,26,12,2,7,5,0,0,,
4143,浦田晃嗣,178,158,12,7,0,4,1,0,0,,
3834,細川明人,183,158,13,9,0,4,0,0,0,,
3659,藤生雄人,191,158,25,19,2,2,2,0,0,,
5228,若林樹蘭,193,158,44,23,5,4,6,5,1,,
4976,金山立樹,188,158,24,10,1,8,2,3,0,,
4352,下條雄太郎,208,157,60,35,5,5,10,3,2,,
4094,中島真二,183,157,19,10,5,2,0,2,0,,
3454,井川大作,193,157,22,10,1,3,4,4,0,,
5037,田頭虎親,182,157,34,11,11,6,4,0,2,,
5416,龍田真白,157,157,5,0,1,2,1,1,0,,
