登番,名前,級,1コ進入,1コ負け,1コ負け時2着率,型,外進入(全国),外3着残し率(全国),丸亀外進入,丸亀外3着残し率,外採用値,6コ進入,6コ2着率,6コ3着率
5239,上野俊樹,B1,30,20,,,91,0.396,0,,0.396,33,,
4259,真庭明志,A2,53,21,0.571,残す,119,0.403,6,,0.403,34,,
5288,尾道佳諭,B1,23,17,,,90,0.289,5,,0.289,27,,
5183,中野孝二,B1,28,18,,,95,0.389,0,,0.389,31,,
4290,稲田浩二,A1,52,19,,,111,0.486,0,,0.486,37,,
4533,峰重侑治,B1,22,12,,,86,0.349,6,,0.349,28,,
4016,西川新太郎,B1,31,19,,,107,0.364,0,,0.364,33,,
3808,秋田健太郎,B1,25,18,,,85,0.188,3,,0.188,24,,
4268,和合俊介,B1,11,9,,,53,0.17,6,,0.17,16,,
4583,古田祐貴,B1,44,19,,,124,0.363,18,,0.363,48,0.042,0.25
4049,荒川健太,A2,60,17,,,116,0.431,10,,0.431,22,,
4832,権藤俊光,A1,54,16,,,117,0.573,0,,0.573,33,,
3334,角ひとみ,A2,56,24,0.25,飛ぶ,115,0.357,3,,0.357,33,,
4303,牧原崇,B1,31,16,,,96,0.333,3,,0.333,27,,
4368,山口隆史,B1,23,15,,,88,0.148,6,,0.148,35,,
3757,畑和宏,A2,32,17,,,97,0.433,0,,0.433,22,,
5045,平川香織,A2,48,25,0.56,残す,127,0.575,5,,0.575,34,,
5133,堀越雄貴,B1,26,15,,,86,0.384,0,,0.384,28,,
4626,伊藤紘章,B1,23,14,,,84,0.357,0,,0.357,25,,
3805,高橋英之,B1,34,22,,,92,0.402,5,,0.402,27,,
4710,福田宗平,A2,52,17,,,116,0.466,5,,0.466,38,,
5446,長嶺真李愛,B2,0,0,,,43,0.0,0,,0.0,40,0.0,0.0
4308,河村了,A1,61,15,,,108,0.639,0,,0.639,33,,
5221,竹間隆晟,A1,63,21,0.333,飛ぶ,124,0.524,12,,0.524,40,0.075,0.225
5375,庄島潤成,B1,0,0,,,185,0.119,0,,0.119,94,0.043,0.096
3904,森貴洋,B1,24,15,,,77,0.325,0,,0.325,20,,
5005,石田貴洋,A1,40,21,0.429,中間,109,0.569,0,,0.569,30,,
5443,西村仁吾,B2,0,0,,,112,0.027,9,,0.027,112,0.018,0.009
4458,抹香雄三,B1,30,19,,,106,0.377,5,,0.377,30,,
4825,倉持莉々,A1,51,15,,,100,0.6,3,,0.6,26,,
3873,別府昌樹,B1,23,11,,,107,0.318,2,,0.318,55,0.091,0.109
3880,浅見宗孝,B1,31,22,,,96,0.365,5,,0.365,34,,
4435,服部達哉,A2,33,13,,,102,0.412,5,,0.412,34,,
5037,田頭虎親,B1,26,15,,,97,0.443,26,0.577,0.577,33,,
4437,中田元泰,A2,54,13,,,123,0.512,24,,0.512,41,0.073,0.22
3804,中渡修作,B1,33,19,,,116,0.328,0,,0.328,33,,
3519,冨田秀幸,B1,25,20,,,92,0.261,0,,0.261,29,,
5284,嘉手苅徹哉,B2,12,6,,,83,0.229,5,,0.229,23,,
4433,川野芽唯,A1,65,12,,,119,0.588,12,,0.588,45,0.044,0.378
5230,石原凪紗,B1,25,13,,,90,0.278,4,,0.278,27,,
3841,佐々木和伸,A2,53,22,0.636,残す,116,0.491,6,,0.491,42,0.095,0.262
5141,大澤風葵,A1,49,19,,,97,0.546,6,,0.546,25,,
4330,奈須啓太,A2,48,15,,,109,0.44,5,,0.44,27,,
3827,今泉徹,B1,27,21,,,99,0.162,5,,0.162,27,,
5269,山口晃朋,A2,41,11,,,108,0.361,4,,0.361,32,,
4890,石川諒,A2,36,16,,,111,0.514,3,,0.514,37,,
4446,和田兼輔,A1,56,6,,,122,0.582,0,,0.582,31,,
5204,宇恵有香,B2,13,9,,,61,0.262,0,,0.262,18,,
5381,有山望,B1,9,5,,,129,0.147,19,,0.147,50,0.0,0.06
4584,村岡賢人,A1,52,18,,,112,0.562,0,,0.562,37,,
5192,中尾優香,B1,22,11,,,77,0.299,13,,0.299,31,,
4381,田路朋史,A2,51,23,0.435,中間,112,0.366,6,,0.366,27,,
5129,山口真喜子,A2,40,19,,,97,0.423,8,,0.423,35,,
4878,西岡育未,B1,25,19,,,77,0.195,9,,0.195,20,,
5216,長谷川晴哉,A1,59,24,0.333,飛ぶ,121,0.463,5,,0.463,34,,
5429,吉川颯汰,B2,0,0,,,108,0.009,17,,0.009,104,0.0,0.0
5410,今泉澪,B2,0,0,,,112,0.045,0,,0.045,106,0.019,0.019
5100,栗原一馬,B1,23,16,,,83,0.241,0,,0.241,34,,
4949,横田貴満,A2,57,21,0.381,飛ぶ,113,0.451,2,,0.451,30,,
5140,吉田彩乃,B1,24,18,,,82,0.207,0,,0.207,27,,
3445,加藤高史,B1,31,18,,,95,0.379,0,,0.379,26,,
3353,前田光昭,B1,13,11,,,71,0.169,0,,0.169,22,,
5205,刑部亜里紗,A2,42,16,,,123,0.447,9,,0.447,43,0.093,0.186
3814,金子貴志,B1,29,20,,,103,0.301,0,,0.301,27,,
3432,宮迫暢彦,B1,23,18,,,89,0.258,0,,0.258,22,,
3826,村田修次,A2,45,20,0.65,残す,102,0.49,4,,0.49,25,,
4748,渡邉雄朗,A1,49,18,,,108,0.537,0,,0.537,33,,
5401,谷海夏人,B2,0,0,,,78,0.141,0,,0.141,76,0.039,0.079
3896,上田洋平,B1,28,15,,,99,0.364,4,,0.364,27,,
3935,岩津徹郎,B1,25,13,,,88,0.375,3,,0.375,34,,
4927,関野文,A2,55,27,0.333,飛ぶ,120,0.433,5,,0.433,36,,
3731,高濱芳久,B1,32,24,,,80,0.287,12,,0.287,14,,
4928,栗城匠,A1,46,17,,,103,0.553,4,,0.553,30,,
3381,滝沢芳行,B1,33,21,,,101,0.436,9,,0.436,20,,
3444,香月大介,B1,13,7,,,53,0.189,0,,0.189,17,,
3952,中澤和志,A1,59,22,0.5,中間,115,0.574,5,,0.574,30,,
5292,佐藤右京,B1,23,18,,,95,0.253,3,,0.253,29,,
4720,西澤日花里,B1,23,17,,,90,0.233,0,,0.233,28,,
4052,興津藍,A2,49,14,,,120,0.35,5,,0.35,42,0.024,0.071
4245,高橋直哉,B1,28,19,,,95,0.232,10,,0.232,33,,
4880,澤崎雄哉,B1,22,16,,,94,0.415,0,,0.415,28,,
4637,中田友也,A2,31,12,,,89,0.36,0,,0.36,26,,
3773,津留浩一郎,B1,29,18,,,94,0.181,7,,0.181,25,,
4443,津田裕絵,B1,39,23,,,116,0.414,9,,0.414,29,,
3897,白井英治,A1,46,13,,,108,0.454,4,,0.454,29,,
4711,前出達吉,A2,40,21,0.571,残す,117,0.496,0,,0.496,31,,
4211,村田敦,B1,34,25,,,100,0.22,0,,0.22,38,,
4845,前田紗希,A1,40,16,,,90,0.544,4,,0.544,28,,
4861,田中宏樹,A2,31,13,,,110,0.427,10,,0.427,41,0.049,0.22
3776,横井健太,B1,22,22,,,101,0.129,0,,0.129,34,,
5455,澁澤周羽,B2,0,0,,,60,0.033,0,,0.033,60,0.0,0.033
3783,瓜生正義,A1,54,28,0.393,飛ぶ,113,0.416,0,,0.416,29,,
3619,長谷川充,B1,32,21,,,98,0.276,0,,0.276,28,,
4436,渋谷明憲,A1,48,16,,,112,0.545,4,,0.545,36,,
5245,倉富大誠,B1,21,13,,,95,0.389,0,,0.389,30,,
5151,山下奈緒,B1,20,14,,,87,0.126,0,,0.126,26,,
4058,野末智一,A1,57,22,0.5,中間,117,0.513,4,,0.513,31,,
5038,金田智博,A2,42,13,,,99,0.475,0,,0.475,31,,
5274,城間盛渚,B1,22,5,,,88,0.284,0,,0.284,28,,
5263,花田凱成,B1,25,18,,,105,0.286,5,,0.286,31,,
3947,寺本昇平,B1,36,25,,,103,0.359,9,,0.359,29,,
4022,待鳥雄紀,B1,24,14,,,87,0.184,7,,0.184,21,,
4073,大橋純一郎,A1,55,15,,,122,0.508,4,,0.508,38,,
5318,河内一馬,B1,21,16,,,104,0.202,5,,0.202,37,,
4566,塩田北斗,A1,42,11,,,112,0.438,4,,0.438,30,,
5257,西丸侑太朗,A1,62,20,0.35,飛ぶ,132,0.462,37,0.378,0.378,35,,
4028,田村隆信,A1,50,15,,,103,0.417,7,,0.417,27,,
4786,佐藤博亮,A1,60,19,,,130,0.608,5,,0.608,43,0.209,0.14
3635,石田政吾,B1,35,17,,,110,0.291,10,,0.291,42,0.024,0.167
3503,堂原洋史,B1,27,20,,,98,0.184,0,,0.184,29,,
5436,市川瑚幸,B2,0,0,,,127,0.016,0,,0.016,110,0.0,0.009
4289,落合直子,A2,46,15,,,113,0.363,8,,0.363,31,,
4600,井内将太郎,A1,44,14,,,102,0.52,0,,0.52,28,,
4335,若林将,A1,61,17,,,109,0.532,0,,0.532,39,,
4081,樋口範政,B1,33,21,,,115,0.235,0,,0.235,31,,
4961,西橋奈未,A1,58,18,,,116,0.466,3,,0.466,36,,
4919,吉田翔悟,B1,15,12,,,74,0.351,0,,0.351,29,,
4994,山本梨菜,A2,50,24,0.5,中間,112,0.446,14,,0.446,37,,
4623,中北将史,B1,38,19,,,120,0.258,3,,0.258,28,,
4474,渡辺崇,B1,32,12,,,109,0.367,5,,0.367,28,,
5424,熊倉幹太,B2,0,0,,,100,0.02,0,,0.02,80,0.0,0.0
4263,武重雄介,B1,35,12,,,104,0.298,6,,0.298,36,,
3987,後藤正宗,A1,44,16,,,122,0.525,9,,0.525,40,0.1,0.175
4449,中嶋達也,B1,24,16,,,98,0.327,0,,0.327,30,,
4708,半田尚也,B1,22,15,,,90,0.244,0,,0.244,20,,
3527,中嶋誠一郎,B1,38,21,,,107,0.336,0,,0.336,28,,
5430,鳥本智史,B2,0,0,,,109,0.037,0,,0.037,109,0.018,0.018
4117,廣中智紗衣,A2,49,29,0.483,中間,105,0.524,5,,0.524,28,,
4345,西舘健,A2,46,23,0.522,中間,114,0.351,6,,0.351,42,0.214,0.048
4729,佐藤謙史朗,B1,22,16,,,80,0.263,7,,0.263,20,,
4586,磯部誠,A1,49,14,,,123,0.553,5,,0.553,37,,
5304,井田涼介,B2,11,10,,,80,0.025,0,,0.025,34,,
4195,前川守嗣,B1,33,21,,,100,0.34,0,,0.34,30,,
5365,石村日奈那,B1,5,3,,,129,0.093,0,,0.093,52,0.019,0.038
5004,河野主樹,A2,33,13,,,114,0.386,0,,0.386,38,,
5317,長尾萌加,B1,28,18,,,111,0.315,5,,0.315,29,,
4734,安河内将,A1,60,17,,,114,0.553,10,,0.553,32,,
4905,土井祥伍,B1,22,12,,,98,0.224,0,,0.224,26,,
4161,黒柳浩孝,B1,44,23,0.522,中間,108,0.417,0,,0.417,33,,
4988,牟田奨太,B1,24,9,,,101,0.218,5,,0.218,34,,
4293,鈴木智啓,B1,46,29,0.517,中間,118,0.305,5,,0.305,42,0.048,0.143
5362,中嶋世奈,B2,9,6,,,103,0.068,0,,0.068,43,0.0,0.023
4102,益田啓司,A1,49,9,,,137,0.533,6,,0.533,45,0.156,0.222
4009,小林一樹,A2,45,18,,,101,0.406,7,,0.406,23,,
4888,金児隆太,B1,35,20,,,99,0.364,0,,0.364,21,,
3385,渡邉睦広,A2,38,20,,,98,0.418,0,,0.418,28,,
5258,仲本舜,B1,24,11,,,94,0.255,6,,0.255,24,,
4791,黒澤めぐみ,B1,35,23,,,97,0.433,6,,0.433,36,,
4090,中村尊,B2,34,13,,,90,0.456,5,,0.456,34,,
3712,淺香文武,B1,29,12,,,85,0.282,0,,0.282,24,,
4051,清水敦揮,A2,43,13,,,92,0.62,8,,0.62,27,,
4093,吉田宗弘,B1,30,20,,,90,0.178,5,,0.178,21,,
4219,本岡勝利,B1,18,14,,,103,0.223,0,,0.223,25,,
3851,,,10,9,,,41,0.049,0,,0.049,15,,
4266,長田頼宗,A1,58,12,,,110,0.445,6,,0.445,31,,
4772,石丸海渡,A1,51,13,,,112,0.509,19,,0.509,35,,
3207,田村美和,B1,24,21,,,70,0.143,0,,0.143,21,,
4177,萬正嗣,B1,28,12,,,89,0.281,12,,0.281,32,,
4139,丹下健,B1,27,15,,,99,0.283,5,,0.283,28,,
3730,塩崎優司,B1,32,17,,,110,0.218,5,,0.218,30,,
4909,薮内瑞希,B1,30,17,,,91,0.275,5,,0.275,31,,
4562,阪本勇介,B1,30,25,,,123,0.317,3,,0.317,33,,
5175,島崎丈一朗,B1,18,9,,,70,0.357,5,,0.357,18,,
4965,福岡泉水,B1,22,16,,,93,0.226,5,,0.226,26,,
4372,原田佑実,A2,37,10,,,95,0.411,10,,0.411,29,,
4401,小林泰,A2,42,14,,,101,0.396,5,,0.396,29,,
4571,菅章哉,A1,37,17,,,122,0.418,0,,0.418,68,0.059,0.059
4109,谷津幸宏,A2,51,16,,,121,0.455,4,,0.455,37,,
4636,赤池修平,B1,24,18,,,90,0.2,5,,0.2,29,,
4226,村田浩司,B1,32,16,,,100,0.28,0,,0.28,28,,
4980,佐々木完太,A1,54,8,,,118,0.492,0,,0.492,42,0.071,0.262
3889,須藤隆雄,B1,26,17,,,89,0.18,5,,0.18,27,,
4573,佐藤翼,A1,41,12,,,111,0.486,0,,0.486,40,0.1,0.175
4836,大谷健太,B1,25,12,,,93,0.355,6,,0.355,34,,
3412,鈴木博,A1,57,17,,,133,0.534,11,,0.534,40,0.175,0.25
5471,田中結,B2,0,0,,,64,0.0,0,,0.0,64,0.0,0.0
3793,高橋真吾,B1,24,16,,,84,0.25,5,,0.25,33,,
4873,蒲原健太,B1,46,26,0.462,中間,112,0.321,7,,0.321,30,,
5334,樫葉新心,B1,21,18,,,105,0.114,0,,0.114,33,,
4006,小野勇作,B1,29,18,,,101,0.327,0,,0.327,26,,
5290,坂本一真,B1,24,20,,,95,0.211,4,,0.211,29,,
3434,松尾宣邦,B1,35,19,,,108,0.287,4,,0.287,35,,
3778,安達美帆,B1,17,15,,,69,0.101,3,,0.101,17,,
4098,赤澤文香,B1,27,18,,,86,0.198,0,,0.198,23,,
4498,宮本夏樹,B2,14,8,,,62,0.339,0,,0.339,20,,
4251,川崎誠志,B1,26,17,,,111,0.297,0,,0.297,36,,
5232,樅山拓馬,B1,26,13,,,92,0.337,0,,0.337,26,,
4871,菊池宏志,B1,28,16,,,93,0.269,0,,0.269,33,,
4706,三浦洋次朗,A2,47,22,0.455,中間,120,0.417,3,,0.417,33,,
3859,多羅尾達之,B1,30,21,,,87,0.184,6,,0.184,28,,
3523,寳田亮治,B1,23,16,,,83,0.277,4,,0.277,28,,
5389,恵良琴美,B1,0,0,,,178,0.14,0,,0.14,88,0.034,0.068
4675,井手良太,A2,29,16,,,85,0.518,2,,0.518,27,,
5287,滝沢織寧,B1,20,18,,,90,0.2,5,,0.2,28,,
4578,藤山雅弘,A2,43,13,,,101,0.386,0,,0.386,33,,
4797,中山将,A1,32,8,,,108,0.565,4,,0.565,43,0.14,0.233
4164,岩永節也,B1,25,20,,,86,0.291,9,,0.291,19,,
5382,山下心一,B1,0,0,,,150,0.087,9,,0.087,68,0.029,0.044
4466,南佑典,A2,40,16,,,100,0.38,0,,0.38,31,,
3054,北川幸典,B1,23,14,,,81,0.383,7,,0.383,30,,
5023,久永祥平,A2,32,11,,,103,0.505,0,,0.505,38,,
4511,中岡健人,B1,27,16,,,103,0.34,14,,0.34,29,,
4470,平田健之佑,A2,46,17,,,96,0.552,0,,0.552,31,,
4213,重富伸也,B1,16,14,,,129,0.31,15,,0.31,66,0.076,0.061
4302,西野翔太,A1,62,14,,,79,0.532,6,,0.532,1,,
3961,谷村一哉,A1,41,10,,,93,0.602,0,,0.602,34,,
5189,藤原早菜,A2,44,26,0.308,飛ぶ,126,0.405,6,,0.405,37,,
5177,松井貫太,B1,25,19,,,112,0.304,5,,0.304,29,,
4218,吉川喜継,A1,52,14,,,95,0.589,0,,0.589,2,,
5378,鈴木結平太,B2,4,3,,,150,0.04,0,,0.04,84,0.012,0.012
4020,川上清人,B1,23,14,,,101,0.218,18,,0.218,33,,
3543,福田雅一,B1,24,11,,,83,0.386,10,,0.386,21,,
4352,下條雄太郎,A1,46,13,,,88,0.477,0,,0.477,30,,
3743,林美憲,A1,58,26,0.5,中間,81,0.444,4,,0.444,6,,
5165,小林愛実,B1,30,20,,,103,0.32,0,,0.32,32,,
4884,勝浦真帆,B2,20,7,,,43,0.279,0,,0.279,12,,
4744,伊藤玲奈,B1,21,14,,,78,0.308,2,,0.308,24,,
4792,杉村賢也,B1,20,13,,,62,0.258,0,,0.258,19,,
4202,浮田圭浩,B1,29,16,,,101,0.267,4,,0.267,31,,
4760,山崎郡,A1,69,12,,,135,0.57,0,,0.57,36,,
5449,堀井涼平,B2,0,0,,,42,0.048,0,,0.048,42,0.024,0.0
5441,鈴木雄登,B1,0,0,,,141,0.27,10,,0.27,117,0.103,0.12
3988,古川誠之,A2,53,18,,,128,0.469,8,,0.469,39,,
5468,山口隼人,B2,0,0,,,52,0.0,0,,0.0,52,0.0,0.0
5110,杉山喜一,B1,31,18,,,101,0.396,6,,0.396,33,,
3370,坪内実,B1,22,16,,,81,0.21,0,,0.21,21,,
4638,小林遼太,B1,31,16,,,100,0.35,0,,0.35,30,,
3302,谷川里江,B1,25,14,,,66,0.318,4,,0.318,20,,
3948,大町利克,B1,22,17,,,91,0.154,0,,0.154,31,,
5406,小畑楓夏,B2,0,0,,,167,0.024,19,,0.024,138,0.0,0.022
4383,竹田吉行,A2,45,28,0.607,残す,108,0.417,10,,0.417,33,,
4546,浜田亜理沙,B1,37,11,,,84,0.571,5,,0.571,24,,
4651,佐藤大騎,B1,20,13,,,92,0.185,0,,0.185,26,,
5118,野田なづき,A2,27,14,,,74,0.446,3,,0.446,26,,
4579,中嶋健一郎,A2,49,14,,,110,0.409,0,,0.409,27,,
5121,定松勇樹,A1,51,11,,,116,0.526,0,,0.526,34,,
4514,上條嘉嗣,A1,62,15,,,110,0.545,4,,0.545,31,,
3435,寺田千恵,A2,53,18,,,106,0.425,7,,0.425,29,,
4116,川田正人,B1,29,18,,,104,0.365,9,,0.365,31,,
3777,樋口亮,A2,50,21,0.381,飛ぶ,121,0.421,10,,0.421,44,0.068,0.159
5336,瀬川大地,B1,16,12,,,82,0.085,5,,0.085,31,,
4295,小坂尚哉,A1,71,16,,,128,0.625,8,,0.625,36,,
4076,杉田篤光,B1,47,24,0.542,中間,139,0.367,5,,0.367,37,,
3832,下田哲也,B2,12,11,,,47,0.149,17,,0.149,21,,
5194,大久保佑香,B1,27,15,,,101,0.248,6,,0.248,27,,
3631,田添康介,B2,10,9,,,50,0.14,6,,0.14,14,,
5400,高村諒,B2,6,5,,,144,0.056,4,,0.056,91,0.011,0.055
3663,木山和幸,B1,43,19,,,114,0.404,4,,0.404,33,,
3584,佐々木英樹,B1,34,25,,,108,0.444,0,,0.444,27,,
5438,星田夢結,B2,0,0,,,116,0.017,0,,0.017,107,0.0,0.019
5053,山口広樹,B1,26,12,,,97,0.196,0,,0.196,34,,
4461,安田吉宏,B1,33,23,,,102,0.314,0,,0.314,33,,
3998,冨成謙児,B1,29,19,,,101,0.168,10,,0.168,26,,
5408,,,0,0,,,52,0.077,7,,0.077,41,0.0,0.098
4934,佐々木翔斗,A2,48,23,0.609,残す,112,0.384,12,,0.384,38,,
4727,安部慎一,B1,22,13,,,92,0.283,0,,0.283,21,,
4336,松田竜馬,B1,34,12,,,105,0.267,4,,0.267,37,,
5231,寺田空詩,B1,29,11,,,83,0.337,0,,0.337,26,,
5235,岩田凌,B2,14,11,,,60,0.1,0,,0.1,18,,
4385,鈴木祐美子,B2,15,14,,,57,0.175,0,,0.175,13,,
3548,室田泰史,A2,55,23,0.435,中間,128,0.359,0,,0.359,37,,
4665,加藤啓太,B1,24,20,,,109,0.312,0,,0.312,30,,
5166,仲道大輔,A2,47,16,,,112,0.491,2,,0.491,34,,
4794,和田拓也,A1,41,5,,,91,0.538,0,,0.538,26,,
4057,松井賢治,A2,46,18,,,122,0.377,2,,0.377,35,,
4360,庄司孝輔,A2,38,18,,,113,0.46,5,,0.46,36,,
3699,富永正人,B1,20,17,,,86,0.314,0,,0.314,32,,
3075,中村裕将,B1,31,22,,,93,0.366,0,,0.366,27,,
3719,辻栄蔵,A1,46,13,,,118,0.508,0,,0.508,35,,
5305,伊藤栞,B1,13,11,,,74,0.095,4,,0.095,23,,
5427,港理樹,B1,0,0,,,169,0.16,0,,0.16,131,0.031,0.107
3514,山一鉄也,A2,52,19,,,119,0.345,4,,0.345,39,,
4406,幸野史明,B1,27,11,,,121,0.223,0,,0.223,46,0.022,0.065
4216,星栄爾,B1,44,18,,,122,0.311,11,,0.311,39,,
3612,馬袋義則,A1,71,30,0.6,残す,105,0.505,13,,0.505,14,,
3637,齋藤和政,B1,24,18,,,86,0.209,0,,0.209,28,,
4789,古賀智之,A2,36,15,,,102,0.392,7,,0.392,32,,
3605,中村守成,B1,26,15,,,92,0.163,5,,0.163,24,,
3850,小川知行,B1,34,16,,,116,0.345,0,,0.345,30,,
4464,山下友貴,A1,37,17,,,107,0.505,0,,0.505,29,,
5419,櫻井隼,B1,0,0,,,148,0.088,0,,0.088,115,0.009,0.078
4129,宇野博之,B1,31,27,,,104,0.221,5,,0.221,27,,
4134,杉山貴博,A2,47,21,0.476,中間,122,0.475,11,,0.475,36,,
4427,秦英悟,A1,53,12,,,110,0.5,0,,0.5,31,,
3845,中谷朋子,A2,28,13,,,66,0.409,4,,0.409,8,,
4540,相原利章,A2,40,22,0.273,飛ぶ,102,0.363,6,,0.363,36,,
3563,堤昇,B1,43,24,0.417,中間,94,0.394,0,,0.394,15,,
5146,野田彩加,A2,27,12,,,91,0.352,15,,0.352,25,,
4152,深水慎一郎,A2,36,19,,,93,0.344,10,,0.344,25,,
5268,山本幸也,B1,17,14,,,103,0.146,3,,0.146,51,0.02,0.039
4519,清水沙樹,B1,17,7,,,50,0.3,0,,0.3,13,,
5259,野田昇吾,B2,15,12,,,71,0.169,0,,0.169,23,,
3277,齋藤勇,B1,34,24,,,93,0.237,4,,0.237,24,,
4094,中島真二,B1,27,14,,,94,0.255,7,,0.255,22,,
4839,四宮与寛,A2,42,21,0.429,中間,105,0.438,5,,0.438,31,,
4624,高田明,A1,48,13,,,115,0.461,3,,0.461,29,,
3541,三嶌誠司,A2,55,22,0.409,中間,111,0.486,10,,0.486,33,,
5322,根岸真優,B1,23,17,,,93,0.118,0,,0.118,28,,
5337,出畑孝成,B1,0,0,,,187,0.374,0,,0.374,74,0.108,0.095
5088,高憧四季,A1,76,24,0.458,中間,140,0.5,8,,0.5,44,0.159,0.182
5036,福田翔吾,B1,35,21,,,122,0.418,0,,0.418,32,,
5320,岩崎麗子,B1,22,18,,,89,0.146,0,,0.146,27,,
3747,國崎良春,A2,33,15,,,103,0.437,0,,0.437,37,,
5315,浅井翼,B2,19,16,,,95,0.105,8,,0.105,42,0.024,0.0
4240,今井裕梨,A2,43,19,,,99,0.455,5,,0.455,30,,
4190,長嶋万記,B2,28,6,,,62,0.613,5,,0.613,17,,
5084,末永和也,A1,43,10,,,91,0.462,4,,0.462,30,,
3761,山本光雄,B1,31,12,,,99,0.323,0,,0.323,29,,
3656,伯母芳恒,B1,28,20,,,86,0.36,0,,0.36,26,,
4765,野田部宏子,B1,28,16,,,92,0.217,4,,0.217,29,,
5450,藤本遼磨,B2,0,0,,,52,0.058,0,,0.058,52,0.0,0.038
4660,宇田川信一,B1,19,14,,,81,0.247,0,,0.247,24,,
5428,古園井綾南,B2,0,0,,,103,0.0,0,,0.0,99,0.0,0.0
4664,東口晃,B1,18,14,,,73,0.219,0,,0.219,17,,
5451,知念伶奈,B2,0,0,,,30,0.033,0,,0.033,29,,
3882,新田智彰,B1,29,16,,,104,0.356,7,,0.356,24,,
4108,吉村正明,A1,42,9,,,116,0.422,0,,0.422,31,,
3589,西村勝,B1,22,10,,,80,0.237,0,,0.237,24,,
5472,中川海虹,B2,0,0,,,40,0.0,0,,0.0,39,,
3993,永井聖美,B1,34,21,,,94,0.394,0,,0.394,21,,
5308,藤森拓海,B1,20,17,,,108,0.222,10,,0.222,33,,
5354,渡邊雄斗,B1,9,6,,,159,0.189,0,,0.189,74,0.068,0.068
3415,松井繁,A1,52,12,,,98,0.398,3,,0.398,14,,
4743,木村仁紀,A1,62,21,0.571,残す,140,0.536,5,,0.536,43,0.14,0.326
5433,米本圭佑,B2,0,0,,,127,0.055,0,,0.055,90,0.011,0.022
3303,渡辺豊,B1,49,30,0.367,飛ぶ,130,0.262,5,,0.262,38,,
4393,田中孝明,B1,23,11,,,91,0.198,4,,0.198,30,,
4497,桑原悠,A1,56,12,,,100,0.55,4,,0.55,30,,
4769,馬場剛,A1,52,18,,,121,0.504,0,,0.504,37,,
3477,近藤稔也,B1,27,21,,,94,0.234,8,,0.234,27,,
4723,寺島吉彦,B1,24,17,,,105,0.324,0,,0.324,55,0.091,0.036
5083,柳瀬幹太,B1,26,15,,,87,0.322,0,,0.322,30,,
5252,荒木颯斗,A2,43,21,0.429,中間,106,0.481,6,,0.481,35,,
3853,岩崎正哉,A2,48,11,,,117,0.333,6,,0.333,33,,
4442,松竹大輔,B1,31,8,,,105,0.419,5,,0.419,28,,
4169,多田有佑,B1,28,21,,,95,0.211,11,,0.211,27,,
3792,田中豪,A1,35,17,,,92,0.478,3,,0.478,26,,
3872,岡田憲行,A2,58,26,0.192,飛ぶ,99,0.424,2,,0.424,31,,
3981,今坂晃広,B1,29,12,,,119,0.244,9,,0.244,36,,
5445,一ノ木匠,B2,0,0,,,48,0.021,0,,0.021,48,0.0,0.021
5357,田中瀬里奈,B2,15,15,,,100,0.02,0,,0.02,57,0.0,0.0
4926,吉川貴仁,A1,43,9,,,82,0.732,2,,0.732,24,,
4876,梅木敬太,B1,30,10,,,113,0.336,0,,0.336,40,0.05,0.1
3891,谷口健一,B1,27,19,,,105,0.114,0,,0.114,24,,
4997,濱崎寿里矢,B2,11,9,,,54,0.111,0,,0.111,13,,
4413,水摩敦,A2,57,25,0.28,飛ぶ,122,0.434,4,,0.434,39,,
5048,眞鳥康太,B1,20,11,,,131,0.359,6,,0.359,75,0.12,0.16
4764,小池礼乃,B1,30,12,,,88,0.273,0,,0.273,27,,
4823,中村桃佳,A2,42,13,,,102,0.5,23,,0.5,33,,
5009,大賀龍之介,A2,35,17,,,109,0.349,0,,0.349,39,,
5462,山浦槙,B2,0,0,,,41,0.024,0,,0.024,41,0.0,0.024
3718,伊達正利,B1,30,12,,,103,0.204,3,,0.204,32,,
4220,深川和仁,B1,29,6,,,102,0.265,18,,0.265,23,,
4014,片岡恵里,A2,49,19,,,106,0.358,0,,0.358,31,,
5115,香川颯太,B1,27,13,,,88,0.318,5,,0.318,32,,
4084,杉山正樹,A1,63,19,,,134,0.485,5,,0.485,45,0.133,0.156
4956,齊藤大将,B1,12,7,,,41,0.268,3,,0.268,10,,
4502,遠藤エミ,A1,64,19,,,118,0.568,5,,0.568,36,,
4355,小川広大,B1,14,11,,,60,0.067,3,,0.067,24,,
5125,高井雄基,A2,46,15,,,110,0.382,8,,0.382,39,,
4891,寺島美里,B1,28,15,,,92,0.304,4,,0.304,29,,
3474,松瀬弘美,B1,32,21,,,99,0.283,4,,0.283,28,,
4947,間庭菜摘,B1,23,13,,,92,0.315,6,,0.315,28,,
5407,中岡駿,B1,4,3,,,142,0.127,34,0.176,0.176,83,0.024,0.048
4065,金田幸子,B1,30,16,,,94,0.372,4,,0.372,29,,
4753,森照夫,B2,17,8,,,62,0.258,0,,0.258,27,,
5352,西岡蒼志,B1,26,14,,,105,0.333,14,,0.333,36,,
4544,松田大志郎,A1,76,17,,,119,0.714,6,,0.714,35,,
5238,笹木香吾,A2,42,20,0.55,残す,112,0.411,0,,0.411,41,0.098,0.073
4964,土屋南,A2,31,13,,,95,0.495,0,,0.495,27,,
