登番,名前,級,1コ進入,1コ負け,1コ負け時2着率,型,外進入(全国),外3着残し率(全国),丸亀外進入,丸亀外3着残し率,外採用値,6コ進入,6コ2着率,6コ3着率
5191,飛田江己,A1,57,10,,,137,0.54,4,,0.54,42,0.143,0.238
4146,柳橋宏紀,A2,41,18,,,115,0.374,5,,0.374,38,,
5105,富田恕生,B1,25,14,,,107,0.318,4,,0.318,26,,
4236,松村敏,A1,79,18,,,125,0.728,5,,0.728,31,,
3567,吉岡誠,B1,20,14,,,68,0.118,2,,0.118,24,,
4000,松本博昭,A2,60,27,0.667,残す,132,0.455,4,,0.455,35,,
3942,寺田祥,A1,60,25,0.52,中間,94,0.521,5,,0.521,17,,
3983,須藤博倫,A1,46,16,,,134,0.493,4,,0.493,39,,
4694,高田綾,B1,24,17,,,87,0.287,5,,0.287,23,,
3478,嶋田貴支,B1,31,11,,,101,0.376,20,,0.376,28,,
4281,大澤大夢,B1,29,13,,,91,0.33,7,,0.33,22,,
3930,岸本隆,A2,37,16,,,110,0.336,5,,0.336,30,,
3580,水口由紀,B1,28,21,,,95,0.211,5,,0.211,26,,
4730,土屋実沙希,B1,30,18,,,88,0.341,10,,0.341,21,,
3300,川崎智幸,A2,50,18,,,107,0.439,4,,0.439,37,,
5131,江藤敦宏,B1,20,17,,,89,0.202,4,,0.202,17,,
4985,井本昌也,A1,63,15,,,114,0.43,4,,0.43,32,,
4669,井上茂,B1,22,15,,,94,0.245,4,,0.245,25,,
4179,広次修,A2,45,20,0.25,飛ぶ,120,0.45,0,,0.45,35,,
4204,柴田大輔,B1,29,18,,,98,0.276,4,,0.276,30,,
5470,坂口諒宗,B2,0,0,,,47,0.0,0,,0.0,47,0.0,0.0
4428,有賀達也,A2,45,13,,,116,0.466,6,,0.466,36,,
3246,星野政彦,B2,9,6,,,35,0.171,0,,0.171,6,,
5267,石本裕武,A1,56,16,,,126,0.516,3,,0.516,41,0.122,0.122
4015,前野竜一,A2,49,19,,,123,0.415,15,,0.415,43,0.093,0.233
4847,佐藤隆太郎,A1,46,14,,,102,0.422,5,,0.422,34,,
3484,芝田浩治,A2,55,24,0.542,中間,114,0.404,11,,0.404,30,,
4425,大井清貴,B1,24,14,,,79,0.418,0,,0.418,27,,
5026,安河内健,A1,52,11,,,120,0.483,6,,0.483,33,,
3652,森下勇,B1,21,11,,,86,0.163,0,,0.163,20,,
5271,杉山太陽,B1,20,13,,,97,0.186,4,,0.186,31,,
4627,藤原菜希,A2,41,17,,,98,0.51,11,,0.51,27,,
4400,加藤奈月,B1,27,23,,,90,0.267,9,,0.267,30,,
5042,畑田汰一,A1,46,15,,,114,0.526,0,,0.526,27,,
5330,安河内鈴之介,A2,41,10,,,109,0.578,5,,0.578,33,,
3837,秋山広一,A2,43,10,,,104,0.452,22,,0.452,32,,
5185,加藤優弥,B1,29,16,,,102,0.422,5,,0.422,33,,
4697,國弘翔平,B1,28,19,,,103,0.233,5,,0.233,28,,
4388,是澤孝宏,A2,52,21,0.476,中間,140,0.521,9,,0.521,43,0.07,0.14
4793,金子萌,A2,43,14,,,118,0.492,0,,0.492,39,,
3976,内田圭,B1,26,16,,,98,0.194,0,,0.194,27,,
4503,上野真之介,A1,69,12,,,128,0.633,6,,0.633,34,,
4702,三浦敬太,A1,42,14,,,99,0.545,0,,0.545,35,,
3557,太田和美,A1,70,30,0.767,残す,151,0.53,6,,0.53,46,0.13,0.196
3915,繁野谷圭介,A2,51,18,,,119,0.42,10,,0.42,38,,
4771,下寺秀和,A1,64,13,,,112,0.554,3,,0.554,31,,
4676,後藤隼之,A2,38,19,,,95,0.432,0,,0.432,24,,
5193,米丸乃絵,A1,58,14,,,123,0.455,13,,0.455,38,,
4035,杉江浩明,B1,29,21,,,114,0.211,0,,0.211,30,,
4938,小芦るり華,A1,56,15,,,111,0.468,17,,0.468,31,,
3920,正木聖賢,B1,30,18,,,33,0.424,2,,0.424,0,,
5286,坂井滉哉,B1,26,15,,,99,0.283,4,,0.283,29,,
5373,諏訪玲奈,B2,2,2,,,94,0.17,0,,0.17,34,,
4097,貫地谷直人,B1,18,17,,,91,0.22,9,,0.22,26,,
2878,富山弘幸,B1,39,24,,,93,0.452,0,,0.452,17,,
4231,鈴木裕隆,B1,45,29,0.414,中間,118,0.373,0,,0.373,34,,
5463,出口飛龍,B2,0,0,,,47,0.0,0,,0.0,47,0.0,0.0
3645,淺田千亜希,B2,12,8,,,47,0.404,1,,0.404,16,,
4148,枝尾賢,A2,49,21,0.571,残す,121,0.471,5,,0.471,32,,
4233,亀山雅幸,A2,50,19,,,121,0.421,6,,0.421,37,,
5329,金子龍斗,B1,21,12,,,104,0.365,15,,0.365,33,,
3885,久田武,A2,39,17,,,110,0.345,6,,0.345,35,,
4423,坂口貴彦,B1,30,13,,,116,0.431,12,,0.431,36,,
4138,中井俊祐,B1,30,19,,,102,0.324,12,,0.324,29,,
5464,宮田栞,B2,0,0,,,44,0.0,0,,0.0,43,0.0,0.0
5302,秋末秦悟,B1,19,11,,,76,0.184,4,,0.184,23,,
4831,羽野直也,A1,40,9,,,97,0.536,0,,0.536,27,,
5277,井上未都,B1,30,16,,,108,0.333,0,,0.333,31,,
5261,岡暢祐,B1,24,14,,,85,0.247,9,,0.247,24,,
3551,藤田美代,B1,20,15,,,80,0.15,9,,0.15,17,,
4515,藤田浩人,A2,54,15,,,127,0.402,4,,0.402,44,0.045,0.205
4654,篠田優也,A1,49,17,,,108,0.509,10,,0.509,30,,
5278,田中駿兵,A1,59,10,,,118,0.602,6,,0.602,41,0.244,0.146
4066,東本勝利,A2,44,17,,,114,0.518,6,,0.518,37,,
4300,加藤綾,B1,37,21,,,104,0.337,0,,0.337,27,,
5065,伊久間陽優,A2,26,10,,,98,0.357,5,,0.357,36,,
5029,中亮太,A1,56,14,,,125,0.496,6,,0.496,38,,
3849,中岡正彦,A1,52,11,,,45,0.622,9,,0.622,5,,
4314,青木幸太郎,A2,47,16,,,108,0.38,14,,0.38,37,,
5458,田中大輝,B2,0,0,,,56,0.018,0,,0.018,56,0.0,0.018
4512,高野哲史,A1,69,9,,,139,0.482,0,,0.482,37,,
5243,三馬崇史,B1,38,21,,,112,0.411,6,,0.411,30,,
5203,神里琴音,B1,26,14,,,92,0.293,11,,0.293,26,,
5402,塚越陸斗,B2,0,0,,,121,0.017,0,,0.017,111,0.009,0.009
4816,村松修二,A2,40,15,,,110,0.418,5,,0.418,33,,
4110,小澤和也,B1,25,16,,,84,0.25,0,,0.25,20,,
3797,岩井繁,B1,29,24,,,108,0.241,0,,0.241,28,,
3813,佐藤大介,A1,53,16,,,99,0.535,0,,0.535,29,,
3305,小野信樹,B1,30,17,,,89,0.169,4,,0.169,25,,
3722,西村秀樹,B1,21,18,,,90,0.178,5,,0.178,28,,
3922,菅沼佳昭,B1,30,21,,,103,0.252,5,,0.252,22,,
4854,大橋由珠,B2,14,12,,,58,0.276,5,,0.276,19,,
5456,今村天次朗,B2,0,0,,,60,0.067,0,,0.067,59,0.017,0.051
3787,天野誠,B1,21,15,,,73,0.11,4,,0.11,20,,
3282,池本輝明,B1,33,20,,,101,0.248,3,,0.248,25,,
4239,竹田辰也,A1,58,17,,,107,0.421,5,,0.421,30,,
4570,前田聖文,A1,50,21,0.381,飛ぶ,110,0.527,5,,0.527,35,,
4684,楠原翔太,B1,41,16,,,103,0.369,0,,0.369,39,,
4410,井上大輔,B1,33,21,,,104,0.308,0,,0.308,26,,
5296,永田楽,B1,16,12,,,92,0.163,5,,0.163,31,,
3822,平尾崇典,A1,55,18,,,106,0.509,5,,0.509,32,,
3105,内山文典,B1,31,17,,,88,0.352,2,,0.352,31,,
5332,村松遥輝,B1,26,17,,,106,0.17,0,,0.17,35,,
4892,柴田直哉,B1,27,14,,,112,0.33,0,,0.33,34,,
4200,早川尚人,B1,30,18,,,104,0.231,5,,0.231,29,,
4418,茅原悠紀,A1,62,13,,,108,0.639,0,,0.639,34,,
5164,森田梨湖,B2,14,12,,,49,0.061,4,,0.061,12,,
5086,本村大,B1,25,11,,,95,0.221,3,,0.221,23,,
3710,吉永泰弘,B1,28,18,,,102,0.333,21,,0.333,26,,
3306,武田正紀,B1,33,29,,,93,0.258,0,,0.258,24,,
4394,永嶋裕一,A2,42,21,0.429,中間,108,0.546,6,,0.546,31,,
4159,向後龍一,A2,56,22,0.591,残す,124,0.444,0,,0.444,34,,
4074,柳沢一,A1,57,19,,,119,0.555,11,,0.555,32,,
4959,井上忠政,A1,54,12,,,121,0.554,5,,0.554,33,,
5007,近藤雄一郎,B1,29,14,,,96,0.354,5,,0.354,29,,
4981,牧山敦也,B1,27,15,,,104,0.404,6,,0.404,29,,
4886,入海馨,A2,34,11,,,113,0.54,10,,0.54,39,,
4042,丸岡正典,A2,54,19,,,120,0.483,5,,0.483,46,0.13,0.13
3568,木村光宏,B1,29,17,,,86,0.256,19,,0.256,14,,
4325,新出浩司,B1,27,19,,,84,0.286,5,,0.286,30,,
4558,宮野仁,B1,21,12,,,89,0.236,6,,0.236,28,,
3392,小森信雄,B1,34,23,,,93,0.183,5,,0.183,29,,
5144,中尾彩香,B1,29,16,,,102,0.373,0,,0.373,26,,
4610,佐藤大佑,A1,44,13,,,124,0.452,7,,0.452,36,,
5273,山下拓巳,B1,29,18,,,104,0.202,4,,0.202,27,,
5199,垂水悠,B1,26,14,,,96,0.292,4,,0.292,30,,
3554,仲口博崇,A1,77,26,0.615,残す,95,0.558,5,,0.558,4,,
3623,深川真二,A1,75,25,0.48,中間,0,,0,,,0,,
3401,上田隆章,B1,28,13,,,103,0.252,16,,0.252,30,,
4781,西舘果里,B2,7,5,,,30,0.067,0,,0.067,7,,
4137,君島秀三,A1,59,17,,,117,0.564,6,,0.564,39,,
5217,藤原碧生,A1,40,14,,,109,0.468,0,,0.468,44,0.114,0.182
3975,小野寺智洋,A2,37,12,,,104,0.365,17,,0.365,34,,
4089,妹尾忠幸,A2,50,14,,,128,0.523,0,,0.523,44,0.091,0.295
3107,平岡重典,B1,19,14,,,64,0.219,4,,0.219,16,,
3294,野中義生,B1,27,22,,,87,0.379,4,,0.379,32,,
