登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
4004,山本浩輔,B1,76,0.053,0,,0.053,
3623,深川真二,A1,28,0.214,5,,0.214,●
4786,佐藤博亮,A1,101,0.109,5,,0.109,
4220,深川和仁,B1,67,0.119,9,,0.119,
4583,古田祐貴,B1,97,0.062,16,0.062,0.062,
3953,志道吉和,B2,44,0.023,3,,0.023,
4798,浜先真範,A1,89,0.135,9,,0.135,●
3268,森竜也,B1,98,0.01,0,,0.01,
5038,金田智博,A2,65,0.185,0,,0.185,●
4270,岸本雄貴,B1,63,0.063,0,,0.063,
4458,抹香雄三,B1,67,0.09,3,,0.09,
3974,深山祐二,B1,69,0.014,0,,0.014,
5143,常盤海心,B1,79,0.038,13,,0.038,
5176,石倉拓美,B2,30,0.033,1,,0.033,
4969,町田洸希,B1,62,0.032,4,,0.032,
4817,渡邉翼,A1,70,0.114,2,,0.114,
4394,永嶋裕一,A2,83,0.084,2,,0.084,
4251,川崎誠志,B1,72,0.028,0,,0.028,
4379,桑島和宏,A2,84,0.06,2,,0.06,
3892,草場康幸,B1,69,0.014,4,,0.014,
4397,西村拓也,A1,95,0.084,0,,0.084,
4496,内堀学,A1,86,0.221,4,,0.221,●
5209,小野京平,B1,43,0.0,0,,0.0,
5237,永松良教,B2,52,0.019,2,,0.019,
4588,田中京介,A2,93,0.108,7,,0.108,
4551,三川昂暁,A2,74,0.081,0,,0.081,
4403,木下大將,A2,84,0.083,5,,0.083,
4329,小松卓司,B1,75,0.013,0,,0.013,
4679,植田太一,A2,83,0.157,0,,0.157,●
5210,藤井公人,A2,80,0.075,0,,0.075,
5138,村本大成,B1,48,0.0,0,,0.0,
4232,笠雅雄,B1,66,0.121,2,,0.121,●
4151,下河誉史,B1,100,0.05,3,,0.05,
5392,安武一也,B2,21,0.0,2,,0.0,
5152,丸山祐也,B1,66,0.0,7,,0.0,
4684,楠原翔太,B1,75,0.08,0,,0.08,
5382,山下心一,B1,48,0.021,4,,0.021,
4789,古賀智之,A2,83,0.072,7,,0.072,
5239,上野俊樹,B1,63,0.063,0,,0.063,
4522,古澤光紀,A2,75,0.067,0,,0.067,
4474,渡辺崇,B1,79,0.101,7,,0.101,
4288,永田啓二,A1,80,0.188,9,,0.188,●
4504,前田将太,A1,83,0.072,4,,0.072,
3942,寺田祥,A1,79,0.114,3,,0.114,
4413,水摩敦,A2,95,0.105,2,,0.105,
4349,犬童千秋,B1,57,0.07,4,,0.07,
3663,木山和幸,B1,85,0.094,3,,0.094,
3556,田中信一郎,A1,79,0.152,3,,0.152,●
3708,岡部貴司,B1,68,0.044,0,,0.044,
4033,伊藤将吉,A2,81,0.148,0,,0.148,●
4823,中村桃佳,A2,77,0.195,20,0.3,0.3,●
4693,松下誉士,B1,77,0.013,5,,0.013,
5172,田村慶,B1,71,0.042,7,,0.042,
4485,楠原正剛,B1,83,0.072,6,,0.072,
4144,石塚久也,A2,73,0.055,0,,0.055,
3973,崎利仁,B1,75,0.053,0,,0.053,
4066,東本勝利,A2,78,0.09,5,,0.09,
4515,藤田浩人,A2,89,0.079,3,,0.079,
3730,塩崎優司,B1,78,0.038,3,,0.038,
4293,鈴木智啓,B1,72,0.014,4,,0.014,
3701,大西隆洋,B1,69,0.029,15,0.0,0.0,
3703,鳥飼眞,A2,88,0.102,0,,0.102,
4313,西村美智子,A2,51,0.157,14,,0.157,●
4275,菅野はやか,B1,41,0.0,5,,0.0,
5241,門田栞,B1,59,0.051,17,0.059,0.059,
5069,山崎小葉音,B1,50,0.08,3,,0.08,
3509,池千夏,B1,56,0.018,8,,0.018,
3470,新田芳美,B1,68,0.176,2,,0.176,●
4419,原加央理,A2,74,0.081,3,,0.081,
5383,中村楓,B1,27,0.0,0,,0.0,
3826,村田修次,A2,71,0.07,8,,0.07,
5338,香月大輝,B1,65,0.062,0,,0.062,
4669,井上茂,B1,75,0.053,0,,0.053,
4294,古賀繁輝,A1,92,0.228,7,,0.228,●
5269,山口晃朋,A2,67,0.179,4,,0.179,●
4906,鈴木雅希,A2,72,0.069,0,,0.069,
4116,川田正人,B1,84,0.048,8,,0.048,
5103,芝田京介,B2,38,0.026,3,,0.026,
4877,鈴谷一平,A1,79,0.203,0,,0.203,●
4434,田中辰彦,A2,86,0.105,8,,0.105,
3911,鈴木猛,B1,93,0.086,3,,0.086,
4181,花本夏樹,B1,65,0.031,2,,0.031,
4463,三苫晃幸,A2,75,0.133,0,,0.133,●
