date,race,combo,odds
2025-09-15,1,1-2-3,17.7
2025-09-15,1,1-2-4,40.3
2025-09-15,1,1-2-5,330.4
2025-09-15,1,1-2-6,40.2
2025-09-15,1,1-3-2,15.9
2025-09-15,1,1-3-4,21.2
2025-09-15,1,1-3-5,243.4
2025-09-15,1,1-3-6,25.5
2025-09-15,1,1-4-2,56.9
2025-09-15,1,1-4-3,39.5
2025-09-15,1,1-4-5,422.8
2025-09-15,1,1-4-6,73.7
2025-09-15,1,1-5-2,761.7
2025-09-15,1,1-5-3,724.4
2025-09-15,1,1-5-4,1051.0
2025-09-15,1,1-5-6,1096.0
2025-09-15,1,1-6-2,60.2
2025-09-15,1,1-6-3,50.0
2025-09-15,1,1-6-4,110.2
2025-09-15,1,1-6-5,495.6
2025-09-15,1,2-1-3,31.2
2025-09-15,1,2-1-4,60.4
2025-09-15,1,2-1-5,451.3
2025-09-15,1,2-1-6,61.0
2025-09-15,1,2-3-1,39.7
2025-09-15,1,2-3-4,49.0
2025-09-15,1,2-3-5,451.3
2025-09-15,1,2-3-6,53.6
2025-09-15,1,2-4-1,95.2
2025-09-15,1,2-4-3,72.2
2025-09-15,1,2-4-5,863.2
2025-09-15,1,2-4-6,108.5
2025-09-15,1,2-5-1,1204.0
2025-09-15,1,2-5-3,1170.0
2025-09-15,1,2-5-4,1631.0
2025-09-15,1,2-5-6,1479.0
2025-09-15,1,2-6-1,100.6
2025-09-15,1,2-6-3,83.5
2025-09-15,1,2-6-4,143.6
2025-09-15,1,2-6-5,838.8
2025-09-15,1,3-1-2,20.8
2025-09-15,1,3-1-4,23.5
2025-09-15,1,3-1-5,250.2
2025-09-15,1,3-1-6,26.7
2025-09-15,1,3-2-1,25.1
2025-09-15,1,3-2-4,29.7
2025-09-15,1,3-2-5,333.6
2025-09-15,1,3-2-6,33.2
2025-09-15,1,3-4-1,24.4
2025-09-15,1,3-4-2,24.9
2025-09-15,1,3-4-5,287.7
2025-09-15,1,3-4-6,24.0
2025-09-15,1,3-5-1,737.3
2025-09-15,1,3-5-2,775.9
2025-09-15,1,3-5-4,711.9
2025-09-15,1,3-5-6,747.9
2025-09-15,1,3-6-1,36.8
2025-09-15,1,3-6-2,38.7
2025-09-15,1,3-6-4,36.8
2025-09-15,1,3-6-5,418.5
2025-09-15,1,4-1-2,83.0
2025-09-15,1,4-1-3,58.9
2025-09-15,1,4-1-5,523.2
2025-09-15,1,4-1-6,74.2
2025-09-15,1,4-2-1,93.1
2025-09-15,1,4-2-3,74.7
2025-09-15,1,4-2-5,600.5
2025-09-15,1,4-2-6,90.5
2025-09-15,1,4-3-1,50.0
2025-09-15,1,4-3-2,55.0
2025-09-15,1,4-3-5,463.5
2025-09-15,1,4-3-6,49.6
2025-09-15,1,4-5-1,946.0
2025-09-15,1,4-5-2,1138.0
2025-09-15,1,4-5-3,977.3
2025-09-15,1,4-5-6,852.6
2025-09-15,1,4-6-1,69.9
2025-09-15,1,4-6-2,70.0
2025-09-15,1,4-6-3,57.9
2025-09-15,1,4-6-5,440.8
2025-09-15,1,5-1-2,1372.0
2025-09-15,1,5-1-3,1409.0
2025-09-15,1,5-1-4,1849.0
2025-09-15,1,5-1-6,1918.0
2025-09-15,1,5-2-1,1618.0
2025-09-15,1,5-2-3,1833.0
2025-09-15,1,5-2-4,2092.0
2025-09-15,1,5-2-6,2557.0
2025-09-15,1,5-3-1,1419.0
2025-09-15,1,5-3-2,1918.0
2025-09-15,1,5-3-4,1523.0
2025-09-15,1,5-3-6,2622.0
