date,race,combo,odds
2026-03-23,1,1-2-3,8.8
2026-03-23,1,1-2-4,10.4
2026-03-23,1,1-2-5,27.2
2026-03-23,1,1-2-6,181.2
2026-03-23,1,1-3-2,11.4
2026-03-23,1,1-3-4,13.5
2026-03-23,1,1-3-5,27.2
2026-03-23,1,1-3-6,234.9
2026-03-23,1,1-4-2,14.2
2026-03-23,1,1-4-3,20.3
2026-03-23,1,1-4-5,28.0
2026-03-23,1,1-4-6,142.4
2026-03-23,1,1-5-2,52.4
2026-03-23,1,1-5-3,66.8
2026-03-23,1,1-5-4,64.1
2026-03-23,1,1-5-6,303.6
2026-03-23,1,1-6-2,424.4
2026-03-23,1,1-6-3,772.6
2026-03-23,1,1-6-4,387.5
2026-03-23,1,1-6-5,792.9
2026-03-23,1,2-1-3,31.1
2026-03-23,1,2-1-4,33.0
2026-03-23,1,2-1-5,68.5
2026-03-23,1,2-1-6,397.7
2026-03-23,1,2-3-1,61.3
2026-03-23,1,2-3-4,85.6
2026-03-23,1,2-3-5,131.7
2026-03-23,1,2-3-6,825.5
2026-03-23,1,2-4-1,64.9
2026-03-23,1,2-4-3,106.0
2026-03-23,1,2-4-5,134.5
2026-03-23,1,2-4-6,579.4
2026-03-23,1,2-5-1,173.9
2026-03-23,1,2-5-3,241.5
2026-03-23,1,2-5-4,230.4
2026-03-23,1,2-5-6,1126.0
2026-03-23,1,2-6-1,1048.0
2026-03-23,1,2-6-3,1854.0
2026-03-23,1,2-6-4,1066.0
2026-03-23,1,2-6-5,3013.0
2026-03-23,1,3-1-2,36.4
2026-03-23,1,3-1-4,43.4
2026-03-23,1,3-1-5,56.9
2026-03-23,1,3-1-6,512.9
2026-03-23,1,3-2-1,54.9
2026-03-23,1,3-2-4,75.0
2026-03-23,1,3-2-5,102.0
2026-03-23,1,3-2-6,700.7
2026-03-23,1,3-4-1,66.5
2026-03-23,1,3-4-2,86.6
2026-03-23,1,3-4-5,95.8
2026-03-23,1,3-4-6,651.5
2026-03-23,1,3-5-1,106.8
2026-03-23,1,3-5-2,149.1
2026-03-23,1,3-5-4,149.3
2026-03-23,1,3-5-6,798.2
2026-03-23,1,3-6-1,1066.0
2026-03-23,1,3-6-2,1401.0
2026-03-23,1,3-6-4,1469.0
2026-03-23,1,3-6-5,1746.0
2026-03-23,1,4-1-2,26.9
2026-03-23,1,4-1-3,45.8
2026-03-23,1,4-1-5,38.5
2026-03-23,1,4-1-6,230.9
2026-03-23,1,4-2-1,44.8
2026-03-23,1,4-2-3,81.5
2026-03-23,1,4-2-5,69.5
2026-03-23,1,4-2-6,345.3
2026-03-23,1,4-3-1,75.8
2026-03-23,1,4-3-2,85.3
2026-03-23,1,4-3-5,105.9
2026-03-23,1,4-3-6,608.7
2026-03-23,1,4-5-1,47.6
2026-03-23,1,4-5-2,61.1
2026-03-23,1,4-5-3,90.4
2026-03-23,1,4-5-6,225.7
2026-03-23,1,4-6-1,482.1
2026-03-23,1,4-6-2,658.6
2026-03-23,1,4-6-3,1095.0
2026-03-23,1,4-6-5,662.2
2026-03-23,1,5-1-2,141.6
2026-03-23,1,5-1-3,189.5
2026-03-23,1,5-1-4,162.0
2026-03-23,1,5-1-6,803.5
2026-03-23,1,5-2-1,185.1
2026-03-23,1,5-2-3,277.7
2026-03-23,1,5-2-4,255.9
2026-03-23,1,5-2-6,1012.0
2026-03-23,1,5-3-1,232.2
2026-03-23,1,5-3-2,279.6
2026-03-23,1,5-3-4,317.1
2026-03-23,1,5-3-6,1158.0
2026-03-23,1,5-4-1,158.8
2026-03-23,1,5-4-2,191.9
2026-03-23,1,5-4-3,247.5
2026-03-23,1,5-4-6,787.7
2026-03-23,1,5-6-1,1339.0
2026-03-23,1,5-6-2,1651.0
2026-03-23,1,5-6-3,1674.0
2026-03-23,1,5-6-4,1565.0
2026-03-23,1,6-1-2,848.8
2026-03-23,1,6-1-3,1565.0
2026-03-23,1,6-1-4,1170.0
2026-03-23,1,6-1-5,2511.0
2026-03-23,1,6-2-1,1469.0
2026-03-23,1,6-2-3,3090.0
2026-03-23,1,6-2-4,1242.0
2026-03-23,1,6-2-5,3888.0
2026-03-23,1,6-3-1,2564.0
2026-03-23,1,6-3-2,2078.0
2026-03-23,1,6-3-4,2191.0
2026-03-23,1,6-3-5,3443.0
2026-03-23,1,6-4-1,1525.0
2026-03-23,1,6-4-2,1205.0
2026-03-23,1,6-4-3,3090.0
2026-03-23,1,6-4-5,2317.0
2026-03-23,1,6-5-1,4017.0
2026-03-23,1,6-5-2,2869.0
2026-03-23,1,6-5-3,3348.0
2026-03-23,1,6-5-4,2939.0
2026-03-23,2,1-2-3,20.8
2026-03-23,2,1-2-4,20.0
2026-03-23,2,1-2-5,62.5
2026-03-23,2,1-2-6,23.9
2026-03-23,2,1-3-2,24.6
2026-03-23,2,1-3-4,17.9
2026-03-23,2,1-3-5,65.5
2026-03-23,2,1-3-6,23.8
2026-03-23,2,1-4-2,29.4
2026-03-23,2,1-4-3,25.0
2026-03-23,2,1-4-5,80.5
2026-03-23,2,1-4-6,19.4
2026-03-23,2,1-5-2,156.4
2026-03-23,2,1-5-3,186.4
2026-03-23,2,1-5-4,173.9
2026-03-23,2,1-5-6,146.2
2026-03-23,2,1-6-2,61.0
2026-03-23,2,1-6-3,59.6
2026-03-23,2,1-6-4,38.7
2026-03-23,2,1-6-5,134.9
2026-03-23,2,2-1-3,42.3
2026-03-23,2,2-1-4,36.2
2026-03-23,2,2-1-5,96.1
2026-03-23,2,2-1-6,37.5
2026-03-23,2,2-3-1,75.5
2026-03-23,2,2-3-4,93.6
2026-03-23,2,2-3-5,281.5
2026-03-23,2,2-3-6,97.6
2026-03-23,2,2-4-1,69.6
2026-03-23,2,2-4-3,121.4
2026-03-23,2,2-4-5,246.3
2026-03-23,2,2-4-6,63.5
2026-03-23,2,2-5-1,366.3
2026-03-23,2,2-5-3,596.5
2026-03-23,2,2-5-4,632.9
2026-03-23,2,2-5-6,396.2
2026-03-23,2,2-6-1,123.5
2026-03-23,2,2-6-3,181.6
2026-03-23,2,2-6-4,104.0
2026-03-23,2,2-6-5,362.1
2026-03-23,2,3-1-2,71.4
2026-03-23,2,3-1-4,36.6
2026-03-23,2,3-1-5,142.4
2026-03-23,2,3-1-6,45.9
2026-03-23,2,3-2-1,95.1
2026-03-23,2,3-2-4,81.6
