date,race,combo,odds
2026-09-11,1,1-2-3,11.4
2026-09-11,1,1-2-4,24.5
2026-09-11,1,1-2-5,71.3
2026-09-11,1,1-2-6,41.8
2026-09-11,1,1-3-2,6.8
2026-09-11,1,1-3-4,5.1
2026-09-11,1,1-3-5,26.3
2026-09-11,1,1-3-6,11.4
2026-09-11,1,1-4-2,34.8
2026-09-11,1,1-4-3,16.0
2026-09-11,1,1-4-5,68.5
2026-09-11,1,1-4-6,32.8
2026-09-11,1,1-5-2,187.9
2026-09-11,1,1-5-3,85.5
2026-09-11,1,1-5-4,152.8
2026-09-11,1,1-5-6,153.1
2026-09-11,1,1-6-2,97.0
2026-09-11,1,1-6-3,53.8
2026-09-11,1,1-6-4,78.4
2026-09-11,1,1-6-5,177.5
2026-09-11,1,2-1-3,87.3
2026-09-11,1,2-1-4,124.8
2026-09-11,1,2-1-5,374.8
2026-09-11,1,2-1-6,198.1
2026-09-11,1,2-3-1,147.8
2026-09-11,1,2-3-4,285.9
2026-09-11,1,2-3-5,762.4
2026-09-11,1,2-3-6,428.3
2026-09-11,1,2-4-1,312.3
2026-09-11,1,2-4-3,439.5
2026-09-11,1,2-4-5,1322.0
2026-09-11,1,2-4-6,741.4
2026-09-11,1,2-5-1,1405.0
2026-09-11,1,2-5-3,2409.0
2026-09-11,1,2-5-4,2871.0
2026-09-11,1,2-5-6,2014.0
2026-09-11,1,2-6-1,531.2
2026-09-11,1,2-6-3,924.2
2026-09-11,1,2-6-4,1273.0
2026-09-11,1,2-6-5,2212.0
2026-09-11,1,3-1-2,23.8
2026-09-11,1,3-1-4,14.3
2026-09-11,1,3-1-5,34.9
2026-09-11,1,3-1-6,23.5
2026-09-11,1,3-2-1,78.1
2026-09-11,1,3-2-4,99.7
2026-09-11,1,3-2-5,186.3
2026-09-11,1,3-2-6,124.4
2026-09-11,1,3-4-1,42.5
2026-09-11,1,3-4-2,101.8
2026-09-11,1,3-4-5,82.5
2026-09-11,1,3-4-6,54.9
2026-09-11,1,3-5-1,123.9
2026-09-11,1,3-5-2,216.2
2026-09-11,1,3-5-4,147.3
2026-09-11,1,3-5-6,173.4
2026-09-11,1,3-6-1,79.9
2026-09-11,1,3-6-2,148.1
2026-09-11,1,3-6-4,83.6
2026-09-11,1,3-6-5,174.7
2026-09-11,1,4-1-2,251.7
2026-09-11,1,4-1-3,123.9
2026-09-11,1,4-1-5,316.7
2026-09-11,1,4-1-6,192.2
2026-09-11,1,4-2-1,385.5
2026-09-11,1,4-2-3,619.0
2026-09-11,1,4-2-5,1124.0
2026-09-11,1,4-2-6,881.9
2026-09-11,1,4-3-1,158.2
2026-09-11,1,4-3-2,509.2
2026-09-11,1,4-3-5,404.0
2026-09-11,1,4-3-6,252.7
2026-09-11,1,4-5-1,539.7
2026-09-11,1,4-5-2,1215.0
2026-09-11,1,4-5-3,859.5
2026-09-11,1,4-5-6,758.1
2026-09-11,1,4-6-1,365.7
2026-09-11,1,4-6-2,887.7
2026-09-11,1,4-6-3,594.4
2026-09-11,1,4-6-5,827.8
2026-09-11,1,5-1-2,1133.0
2026-09-11,1,5-1-3,775.5
2026-09-11,1,5-1-4,733.3
2026-09-11,1,5-1-6,881.9
2026-09-11,1,5-2-1,1799.0
2026-09-11,1,5-2-3,1955.0
2026-09-11,1,5-2-4,2249.0
2026-09-11,1,5-2-6,2595.0
2026-09-11,1,5-3-1,924.2
2026-09-11,1,5-3-2,1730.0
2026-09-11,1,5-3-4,1007.0
2026-09-11,1,5-3-6,1310.0
2026-09-11,1,5-4-1,1163.0
2026-09-11,1,5-4-2,2933.0
2026-09-11,1,5-4-3,1708.0
2026-09-11,1,5-4-6,1569.0
2026-09-11,1,5-6-1,1848.0
2026-09-11,1,5-6-2,2595.0
2026-09-11,1,5-6-3,2326.0
2026-09-11,1,5-6-4,1708.0
2026-09-11,1,6-1-2,539.7
2026-09-11,1,6-1-3,287.7
2026-09-11,1,6-1-4,407.6
2026-09-11,1,6-1-5,827.8
2026-09-11,1,6-2-1,1249.0
2026-09-11,1,6-2-3,1062.0
2026-09-11,1,6-2-4,1799.0
2026-09-11,1,6-2-5,3373.0
2026-09-11,1,6-3-1,366.6
2026-09-11,1,6-3-2,963.8
2026-09-11,1,6-3-4,688.4
2026-09-11,1,6-3-5,1226.0
2026-09-11,1,6-4-1,930.6
2026-09-11,1,6-4-2,2108.0
2026-09-11,1,6-4-3,1115.0
2026-09-11,1,6-4-5,2453.0
2026-09-11,1,6-5-1,1645.0
2026-09-11,1,6-5-2,3748.0
2026-09-11,1,6-5-3,2367.0
2026-09-11,1,6-5-4,2645.0
2026-09-11,2,1-2-3,64.9
2026-09-11,2,1-2-4,114.0
2026-09-11,2,1-2-5,387.9
2026-09-11,2,1-2-6,88.9
2026-09-11,2,1-3-2,56.0
2026-09-11,2,1-3-4,35.3
2026-09-11,2,1-3-5,226.6
2026-09-11,2,1-3-6,30.4
2026-09-11,2,1-4-2,138.2
2026-09-11,2,1-4-3,60.4
2026-09-11,2,1-4-5,462.3
2026-09-11,2,1-4-6,76.3
2026-09-11,2,1-5-2,828.7
2026-09-11,2,1-5-3,792.6
2026-09-11,2,1-5-4,931.5
2026-09-11,2,1-5-6,981.7
2026-09-11,2,1-6-2,57.1
2026-09-11,2,1-6-3,33.8
2026-09-11,2,1-6-4,54.6
2026-09-11,2,1-6-5,335.8
2026-09-11,2,2-1-3,103.5
2026-09-11,2,2-1-4,161.9
2026-09-11,2,2-1-5,512.5
2026-09-11,2,2-1-6,139.7
2026-09-11,2,2-3-1,63.4
2026-09-11,2,2-3-4,19.6
2026-09-11,2,2-3-5,71.2
2026-09-11,2,2-3-6,36.2
2026-09-11,2,2-4-1,133.7
2026-09-11,2,2-4-3,35.1
2026-09-11,2,2-4-5,167.0
2026-09-11,2,2-4-6,84.3
2026-09-11,2,2-5-1,862.3
2026-09-11,2,2-5-3,422.5
2026-09-11,2,2-5-4,481.5
2026-09-11,2,2-5-6,807.7
2026-09-11,2,2-6-1,148.7
2026-09-11,2,2-6-3,57.4
2026-09-11,2,2-6-4,86.8
2026-09-11,2,2-6-5,437.0
2026-09-11,2,3-1-2,70.6
2026-09-11,2,3-1-4,37.1
2026-09-11,2,3-1-5,157.3
2026-09-11,2,3-1-6,44.6
2026-09-11,2,3-2-1,64.8
2026-09-11,2,3-2-4,17.6
2026-09-11,2,3-2-5,67.1
2026-09-11,2,3-2-6,30.7
2026-09-11,2,3-4-1,28.8
2026-09-11,2,3-4-2,20.0
2026-09-11,2,3-4-5,37.2
2026-09-11,2,3-4-6,13.6
2026-09-11,2,3-5-1,365.6
2026-09-11,2,3-5-2,270.3
2026-09-11,2,3-5-4,136.0
2026-09-11,2,3-5-6,227.4
2026-09-11,2,3-6-1,58.1
2026-09-11,2,3-6-2,42.6
2026-09-11,2,3-6-4,22.1
2026-09-11,2,3-6-5,145.1
2026-09-11,2,4-1-2,205.8
2026-09-11,2,4-1-3,92.8
2026-09-11,2,4-1-5,449.3
2026-09-11,2,4-1-6,122.8
2026-09-11,2,4-2-1,206.1
2026-09-11,2,4-2-3,55.9
2026-09-11,2,4-2-5,221.9
2026-09-11,2,4-2-6,96.7
2026-09-11,2,4-3-1,69.1
2026-09-11,2,4-3-2,54.7
2026-09-11,2,4-3-5,81.7
2026-09-11,2,4-3-6,39.4
2026-09-11,2,4-5-1,540.7
2026-09-11,2,4-5-2,470.9
2026-09-11,2,4-5-3,267.5
2026-09-11,2,4-5-6,429.7
2026-09-11,2,4-6-1,138.1
2026-09-11,2,4-6-2,129.9
2026-09-11,2,4-6-3,49.9
2026-09-11,2,4-6-5,306.7
2026-09-11,2,5-1-2,2127.0
2026-09-11,2,5-1-3,1575.0
2026-09-11,2,5-1-4,1823.0
2026-09-11,2,5-1-6,2363.0
2026-09-11,2,5-2-1,1849.0
2026-09-11,2,5-2-3,1418.0
2026-09-11,2,5-2-4,1483.0
2026-09-11,2,5-2-6,2552.0
2026-09-11,2,5-3-1,1239.0
2026-09-11,2,5-3-2,1343.0
2026-09-11,2,5-3-4,529.5
2026-09-11,2,5-3-6,1251.0
2026-09-11,2,5-4-1,1701.0
2026-09-11,2,5-4-2,1797.0
2026-09-11,2,5-4-3,675.2
2026-09-11,2,5-4-6,1537.0
2026-09-11,2,5-6-1,3449.0
2026-09-11,2,5-6-2,3190.0
2026-09-11,2,5-6-3,2127.0
2026-09-11,2,5-6-4,1679.0
2026-09-11,2,6-1-2,79.2
2026-09-11,2,6-1-3,53.4
2026-09-11,2,6-1-4,91.7
2026-09-11,2,6-1-5,510.4
2026-09-11,2,6-2-1,118.6
2026-09-11,2,6-2-3,62.1
2026-09-11,2,6-2-4,97.0
2026-09-11,2,6-2-5,419.8
2026-09-11,2,6-3-1,56.3
2026-09-11,2,6-3-2,50.8
2026-09-11,2,6-3-4,38.3
2026-09-11,2,6-3-5,225.0
2026-09-11,2,6-4-1,123.3
2026-09-11,2,6-4-2,130.8
2026-09-11,2,6-4-3,62.5
2026-09-11,2,6-4-5,390.2
2026-09-11,2,6-5-1,1129.0
2026-09-11,2,6-5-2,1119.0
2026-09-11,2,6-5-3,782.9
2026-09-11,2,6-5-4,733.4
2026-09-11,3,1-2-3,12.3
2026-09-11,3,1-2-4,43.4
2026-09-11,3,1-2-5,12.7
2026-09-11,3,1-2-6,18.9
2026-09-11,3,1-3-2,28.3
2026-09-11,3,1-3-4,110.2
2026-09-11,3,1-3-5,40.1
2026-09-11,3,1-3-6,48.1
2026-09-11,3,1-4-2,106.1
2026-09-11,3,1-4-3,164.8
2026-09-11,3,1-4-5,109.1
2026-09-11,3,1-4-6,136.7
2026-09-11,3,1-5-2,31.0
2026-09-11,3,1-5-3,55.4
2026-09-11,3,1-5-4,99.2
2026-09-11,3,1-5-6,45.3
2026-09-11,3,1-6-2,67.6
2026-09-11,3,1-6-3,103.8
2026-09-11,3,1-6-4,165.1
2026-09-11,3,1-6-5,79.6
2026-09-11,3,2-1-3,18.9
2026-09-11,3,2-1-4,41.4
2026-09-11,3,2-1-5,14.4
