regno,選手名,n2,壁力,判定,タイプ
4063,市橋卓士,49,-5.2,,
3256,三角哲男,44,-5.1,,
4278,藤岡俊介,47,-5.0,,
4611,今井美亜,41,-4.9,,
4834,浜本裕己,43,-4.9,,
4938,小芦るり華,44,-4.9,,
4433,川野芽唯,45,-4.8,,
4144,石塚久也,49,-4.6,,
4236,松村敏,44,-4.5,,
4357,田中和也,50,-4.5,,
4076,杉田篤光,40,-4.2,,
3915,繁野谷圭介,43,-4.1,,
4397,西村拓也,50,-4.1,,
3951,石川吉鎬,44,-4.0,,
5042,畑田汰一,43,-4.0,,
5205,刑部亜里紗,45,-4.0,,
4992,廣瀬篤哉,40,-4.0,,
4262,馬場貴也,40,-3.9,,
4607,鶴田勇雄,40,-3.9,,
3161,古場輝義,42,-3.6,,
3663,木山和幸,41,-3.5,,
4713,白神優,40,-3.5,,
4974,安井瑞紀,41,-3.4,,
4903,吉田凌太朗,43,-3.4,,
4377,濱本優一,40,-3.4,,
3156,金子良昭,45,-3.3,,
4434,田中辰彦,41,-3.2,,
4537,渡邉和将,53,-3.2,,
4182,吉田和仁,41,-3.2,,
4231,鈴木裕隆,47,-3.0,,
4477,篠崎仁志,43,-2.8,,
3576,白水勝也,47,-2.8,,
4496,内堀学,49,-2.7,,
4551,三川昂暁,42,-2.7,,
3562,山下和彦,46,-2.6,,
3304,烏野賢太,49,-2.6,,
5060,数原魁,40,-2.4,,
4776,竹田和哉,48,-2.4,,
5082,一色凌雅,45,-2.4,,
3661,柳瀬興志,48,-2.3,,
4173,岡谷健吾,42,-2.3,,
5121,定松勇樹,46,-2.2,,
4074,柳沢一,41,-2.1,,
5043,中村日向,42,-2.1,,
5034,若林義人,49,-2.1,,
4224,大橋栄里佳,44,-2.1,,
4961,西橋奈未,40,-2.1,,
5278,田中駿兵,44,-2.0,,
4738,清埜翔子,42,-2.0,,
4376,藤田靖弘,45,-1.9,,
4067,永井源,43,-1.8,,
4467,渡邉俊介,44,-1.7,,
4927,関野文,44,-1.7,,
4487,三原司,41,-1.6,,
4930,佐藤悠,40,-1.6,,
3687,花田和明,57,-1.6,,
3841,佐々木和伸,46,-1.5,,
4959,井上忠政,49,-1.5,,
4035,杉江浩明,41,-1.5,,
4122,安東幸治,47,-1.4,,
3703,鳥飼眞,44,-1.4,,
3327,野長瀬正孝,48,-1.2,,
4260,中越博紀,42,-1.1,,
4168,石野貴之,41,-0.8,,
5075,中島秀治,50,-0.8,,
3489,大場敏,45,-0.8,,
5142,常住蓮,47,-0.8,,
4084,杉山正樹,43,-0.7,,
5112,砂長知輝,42,-0.6,,
4743,木村仁紀,52,-0.6,,
3898,平田忠則,40,-0.5,,
3554,仲口博崇,57,-0.5,,
4430,永田秀二,44,-0.5,,
3946,赤岩善生,131,-0.5,,
4233,亀山雅幸,48,-0.5,,
3997,北村征嗣,50,-0.4,,
3612,馬袋義則,63,-0.3,,
3940,飯山泰,49,-0.2,,
4991,宗行治哉,46,-0.1,,
4532,秋元哲,47,-0.1,,
4659,木下翔太,46,-0.1,,
4953,尾上雅也,46,-0.0,,
4524,深谷知博,40,0.0,,
3744,徳増秀樹,40,0.0,,
3941,池田浩二,40,0.1,,
5223,森清友翔,45,0.1,,
3908,重成一人,44,0.3,,
4978,山田和佐,45,0.4,,
4172,森定晃史,41,0.4,,
5096,上原崚,40,0.5,,
4515,藤田浩人,43,0.5,,
4420,津久井拓也,47,0.5,,
4259,真庭明志,49,0.5,,
3641,一瀬明,47,0.6,,
4033,伊藤将吉,50,0.7,,
4363,大野芳顕,41,0.8,,
4910,中村泰平,41,0.8,,
3333,丸尾義孝,42,0.9,,
4163,山崎裕司,44,0.9,,
3850,小川知行,40,1.1,,
4748,渡邉雄朗,44,1.1,,
4174,赤坂俊輔,41,1.1,,
4298,宮下元胤,50,1.2,,
4294,古賀繁輝,42,1.2,,
4311,岡村仁,45,1.3,,
3909,佐々木康幸,46,1.3,,
4350,篠崎元志,40,1.4,,
4061,萩原秀人,45,1.5,,
4109,谷津幸宏,42,1.5,,
5234,塚越海斗,40,1.6,,
4994,山本梨菜,40,1.6,,
4208,三浦永理,44,1.6,,
4057,松井賢治,44,1.7,,
4679,植田太一,47,1.7,,
4209,藤田竜弘,42,1.8,,
5018,竹下大樹,43,1.9,,
4189,川上剛,55,2.0,,
3474,松瀬弘美,40,2.1,,
4409,坂元浩仁,44,2.1,,
4902,山川雄大,41,2.2,,
3539,金子順一,41,2.2,,
4468,大池佑来,40,2.2,,
4581,吉村誠,41,2.3,,
5068,前田滉,40,2.3,,
4218,吉川喜継,55,2.4,,
4472,尾嶋一広,43,2.5,,
4604,岩瀬裕亮,48,2.6,,
4873,蒲原健太,41,2.7,,
4624,高田明,42,2.7,,
4475,末永祐輝,43,2.8,,
4302,西野翔太,58,3.0,,
4486,野村誠,45,3.0,,
4120,柘植政浩,40,3.1,,
3349,吉田一郎,48,3.1,,
4482,守屋美穂,41,3.1,,
4058,野末智一,42,3.2,,
3944,山口裕二,41,3.2,,
4295,小坂尚哉,45,3.2,,
