regno,選手名,slow_st,slow_src,slow_flag,dash_st,dash_src,dash_flag
5315,浅井翼,0.191,全国,遅れ,0.199,全国,遅れ
5316,村松将平,0.154,全国,,0.14,全国,
5317,長尾萌加,0.172,当地,,0.165,全国,
5318,河内一馬,0.175,全国,,0.179,全国,
5319,近藤颯斗,0.16,全国,,0.133,全国,
5320,岩崎麗子,0.184,全国,遅れ,0.158,全国,
5321,一色颯輝,0.187,全国,遅れ,0.189,全国,遅れ
5322,根岸真優,0.208,全国,遅れ,0.168,全国,
5323,香川陽太,0.17,全国,,0.178,全国,
5324,畑田希咲,0.201,全国,遅れ,0.228,全国,遅れ
5325,澁川夏,0.161,全国,,0.162,全国,
5326,三嶌さらら,0.179,全国,,0.18,全国,遅れ
5327,西田和加,0.19,全国,遅れ,0.194,全国,遅れ
5328,井上慧人,0.192,全国,遅れ,0.18,全国,遅れ
5329,金子龍斗,0.151,全国,,0.174,全国,
5330,安河内鈴之介,0.137,全国,,0.153,全国,
5331,佐藤永梧,0.148,全国,,0.158,全国,
5332,村松遥輝,0.174,全国,,0.16,全国,
5333,山下智己,0.182,全国,遅れ,0.188,全国,遅れ
5334,樫葉新心,0.18,全国,遅れ,0.258,当地,遅れ
5335,森陽多,0.195,全国,遅れ,0.172,全国,
5336,瀬川大地,0.154,全国,,0.174,全国,
5337,出畑孝成,0.31,全国,遅れ,0.2,当地,遅れ
5338,香月大輝,0.169,当地,,0.159,当地,
5339,石井伸長,0.186,全国,遅れ,0.166,全国,
5340,樋江井舞,0.166,全国,,0.202,当地,遅れ
5341,山道諄也,0.15,全国,,0.193,全国,遅れ
5342,原村百那,0.199,全国,遅れ,0.165,全国,
5343,小林礼央,0.13,全国,巧者,0.167,全国,
5344,谷口丞,0.159,全国,,0.146,全国,
5345,牧村俊輝,0.167,全国,,0.211,全国,遅れ
5346,中村紋夕梨,0.196,全国,遅れ,0.216,全国,遅れ
5347,井澤聖奈,0.243,全国,遅れ,0.207,全国,遅れ
5348,小林甘寧,0.165,全国,,0.163,全国,
5349,宮崎奏磨,0.226,全国,遅れ,0.197,全国,遅れ
5350,網代良芽,0.161,全国,,0.158,全国,
5351,齊藤廉,0.15,当地,,0.177,当地,
5352,西岡蒼志,0.19,当地,遅れ,0.201,当地,遅れ
5353,草川壮良,0.155,全国,,0.169,全国,
5354,渡邊雄斗,0.165,全国,,0.203,全国,遅れ
5355,萩原丈太朗,0.184,全国,遅れ,0.18,全国,
5356,長谷川暖,0.152,全国,,0.151,全国,
5357,田中瀬里奈,0.206,全国,遅れ,0.17,全国,
5358,増本杏珠,0.18,全国,,0.189,全国,遅れ
5359,佐藤世那,0.15,全国,,0.177,全国,
5360,高木茉白,0.184,全国,遅れ,0.17,全国,
5361,植竹玲奈,0.212,全国,遅れ,0.211,全国,遅れ
5362,中嶋世奈,0.222,全国,遅れ,0.207,全国,遅れ
5363,山本凱立,0.13,全国,巧者,0.195,全国,遅れ
5364,金子怜央,,全国,,0.158,全国,
5365,石村日奈那,0.235,全国,遅れ,0.197,全国,遅れ
5366,塩嶋泰空,0.192,全国,遅れ,0.192,全国,遅れ
5367,赤松咲香,0.199,全国,遅れ,0.175,全国,
5368,宮崎心之介,0.152,全国,,0.177,全国,
5369,岡崎凪汰,0.17,全国,,0.183,全国,遅れ
5370,日隈茜,,全国,,0.176,当地,
5371,早川颯太,,全国,,0.208,全国,遅れ
5372,上岡巧汰,,全国,,0.163,全国,
5373,諏訪玲奈,0.29,全国,遅れ,0.218,全国,遅れ
5374,木山大聖,,全国,,0.163,当地,
5375,庄島潤成,,全国,,0.191,全国,遅れ
5376,吉田一心,0.157,全国,,0.171,全国,
5377,鳥居塚嶺王,0.144,全国,,0.169,全国,
5378,鈴木結平太,,全国,,0.219,全国,遅れ
5379,廣部大明,0.196,全国,遅れ,0.186,全国,遅れ
5380,野田亜湖,,全国,,0.29,全国,遅れ
5381,有山望,0.151,全国,,0.172,全国,
5382,山下心一,0.197,全国,遅れ,0.172,当地,
5383,中村楓,,全国,,0.175,全国,
5384,八戸琉楓,0.245,全国,遅れ,0.21,全国,遅れ
5385,鈴木柊介,0.27,全国,遅れ,0.156,全国,
5386,米玉利大悟,0.175,全国,,0.18,全国,
5387,戸田海咲音,,全国,,0.194,全国,遅れ
5388,佐野優都,0.095,全国,巧者,0.121,当地,巧者
5389,恵良琴美,,全国,,0.183,全国,遅れ
5390,高橋涼夏,,全国,,0.225,当地,遅れ
5391,出穂和鼓,,全国,,0.193,全国,遅れ
5392,安武一也,,全国,,0.205,当地,遅れ
5393,藤原駿,,全国,,0.214,全国,遅れ
5394,福西広太郎,,全国,,0.188,全国,遅れ
5395,日高龍之介,,全国,,0.198,全国,遅れ
5396,近藤来希,0.15,全国,,0.206,全国,遅れ
5397,寺田夢生,,全国,,0.208,当地,遅れ
5398,鐘ヶ江真司,0.166,全国,,0.194,当地,遅れ
5399,長野未来,,全国,,0.233,全国,遅れ
5400,高村諒,0.158,全国,,0.174,全国,
5401,谷海夏人,,全国,,0.208,全国,遅れ
5402,塚越陸斗,,全国,,0.206,全国,遅れ
5403,藤山湧太,,全国,,0.207,当地,遅れ
5404,内田壮,,全国,,0.212,全国,遅れ
5405,竹内来,0.24,全国,遅れ,0.187,全国,遅れ
5406,小畑楓夏,,全国,,0.219,当地,遅れ
5407,中岡駿,0.13,全国,巧者,0.211,当地,遅れ
5408,中山鷹輔,,全国,,0.204,全国,遅れ
5409,宮本琉正,,全国,,0.186,当地,遅れ
5410,今泉澪,,全国,,0.177,全国,
5411,木下虎之輔,,全国,,0.169,全国,
5412,久保田凪紗,,全国,,0.182,全国,遅れ
5413,宮城那菜,,全国,,0.151,当地,
5414,中澤英里,,全国,,0.22,全国,遅れ
