regno,選手名,外3着率,外3着源,艇番5乗艇,艇番5率,艇番6乗艇,艇番6率,残し率,型,6コ2着率,6コ3着率
3415,松井繁,0.242,全国,41.0,0.268,36.0,0.444,,,,
3419,栗原謙治,0.024,全国,,,,,,,,
3422,服部幸男,0.155,全国,33.0,0.455,44.0,0.432,0.429,,,
3430,角浜修,0.125,全国,38.0,0.316,30.0,0.1,,,,
3432,宮迫暢彦,0.156,全国,31.0,0.226,25.0,0.28,,,,
3434,松尾宣邦,0.15,全国,37.0,0.297,32.0,0.188,,,,
3435,寺田千恵,0.241,全国,35.0,0.371,34.0,0.382,,,,
3436,柏野幸二,0.247,全国,31.0,0.516,29.0,0.207,,,,
3439,大平誉史明,0.173,全国,35.0,0.429,35.0,0.371,0.524,,,
3441,土屋太朗,0.235,全国,35.0,0.371,28.0,0.214,,,,
3442,宮武英司,0.207,全国,32.0,0.312,26.0,0.154,,,,
3444,香月大介,0.088,全国,25.0,0.24,15.0,0.133,,,,
3445,加藤高史,0.231,全国,29.0,0.414,29.0,0.345,,,,
3448,高山秀雄,0.127,全国,22.0,0.182,17.0,0.235,,,,
3454,井川大作,0.156,全国,30.0,0.567,34.0,0.088,,,,
3455,谷本幸司,0.216,全国,34.0,0.412,36.0,0.222,,,,
3458,東健介,0.088,全国,30.0,0.2,24.0,0.0,,,,
3459,中野和裕,0.083,全国,32.0,0.125,18.0,0.056,,,,
3461,渡邊哲也,0.044,全国,18.0,0.056,25.0,0.04,,,,
3462,竹上真司,0.0,全国,,,,,,,,
3463,乙津康志,0.21,全国,40.0,0.275,25.0,0.28,,,,
3467,森弘行,0.14,全国,25.0,0.28,27.0,0.185,,,,
3470,新田芳美,0.241,全国,28.0,0.393,22.0,0.318,,,,
3471,赤峰和也,0.126,全国,30.0,0.3,23.0,0.087,,,,
3473,石川真二,,,37.0,0.568,45.0,0.689,0.377,,,
3474,松瀬弘美,0.16,全国,36.0,0.306,27.0,0.185,,,,
3475,橋本久和,0.129,全国,28.0,0.393,30.0,0.3,0.286,飛ぶ型,,
3477,近藤稔也,0.172,全国,30.0,0.267,30.0,0.133,,,,
3478,嶋田貴支,0.204,全国,40.0,0.35,31.0,0.29,,,,
3482,金子猛志,0.202,全国,44.0,0.455,39.0,0.256,0.444,,0.116,0.163
3484,芝田浩治,0.165,全国,37.0,0.297,37.0,0.216,0.522,,,
3489,大場敏,0.22,全国,42.0,0.452,46.0,0.348,,,,
3497,後藤浩,0.132,全国,28.0,0.179,28.0,0.107,,,,
3499,市川哲也,0.245,全国,32.0,0.375,44.0,0.295,,,,
3502,渡邉英児,0.237,全国,34.0,0.441,29.0,0.448,,,,
3503,堂原洋史,0.072,全国,32.0,0.188,26.0,0.038,,,,
3505,山田竜一,0.139,全国,39.0,0.282,34.0,0.118,0.429,,,
3507,藤井徹,0.133,全国,29.0,0.276,24.0,0.125,,,,
3508,久富政弘,0.206,全国,35.0,0.257,25.0,0.2,,,,
3509,池千夏,0.103,全国,19.0,0.263,22.0,0.182,,,,
3514,山一鉄也,0.157,全国,32.0,0.312,47.0,0.277,,,0.075,0.125
3516,吉原聖人,0.068,全国,29.0,0.103,29.0,0.103,,,,
3517,高橋勲,0.209,全国,30.0,0.5,32.0,0.406,,,,
3518,倉田郁美,0.165,全国,29.0,0.276,21.0,0.143,,,,
3519,冨田秀幸,0.178,全国,27.0,0.185,27.0,0.185,,,,
3523,寳田亮治,0.169,全国,31.0,0.355,25.0,0.24,,,,
3527,中嶋誠一郎,0.231,全国,36.0,0.361,31.0,0.355,,,,
3528,笠野友紀恵,0.214,全国,27.0,0.222,24.0,0.25,,,,
3532,柴田光,0.292,全国,20.0,0.55,24.0,0.458,,,,
3535,渡修平,0.075,全国,31.0,0.226,25.0,0.04,,,,
3538,菊池峰晴,0.153,全国,20.0,0.2,16.0,0.188,,,,
3539,金子順一,0.112,全国,38.0,0.184,30.0,0.067,,,,
3541,三嶌誠司,0.276,全国,41.0,0.488,41.0,0.341,0.391,,,
3542,清水紀克,0.0,全国,32.0,0.25,27.0,0.111,,,,
3543,福田雅一,0.154,全国,27.0,0.259,21.0,0.381,,,,
3544,豊田訓靖,0.113,全国,33.0,0.273,24.0,0.083,,,,
3546,中里昌志,0.196,全国,29.0,0.207,28.0,0.25,,,,
3548,室田泰史,0.194,全国,47.0,0.298,41.0,0.268,0.435,,,
3550,都築正治,0.17,全国,39.0,0.538,36.0,0.222,0.429,,,
3551,藤田美代,0.074,全国,27.0,0.185,20.0,0.05,,,,
3554,仲口博崇,0.158,全国,48.0,0.688,44.0,0.477,0.577,,,
3556,田中信一郎,0.205,全国,38.0,0.5,38.0,0.395,,,,
3557,太田和美,0.209,全国,52.0,0.596,54.0,0.407,0.786,残す型,0.111,0.178
3558,山本浩次,0.167,全国,26.0,0.346,34.0,0.176,,,,
3562,山下和彦,0.167,全国,39.0,0.538,43.0,0.326,0.375,,,
3563,堤昇,0.165,全国,36.0,0.389,36.0,0.167,0.375,,,
3564,桑原啓,0.13,全国,43.0,0.186,31.0,0.226,,,,
3566,川添英正,0.155,全国,38.0,0.237,26.0,0.154,,,,
3567,吉岡誠,0.043,全国,23.0,0.174,21.0,0.048,,,,
3568,木村光宏,0.068,全国,31.0,0.194,28.0,0.036,,,,
3569,増田進,0.141,全国,39.0,0.231,29.0,0.241,,,,
3572,安田政彦,0.172,全国,41.0,0.171,35.0,0.171,0.5,,,
3574,大神康司,0.0,全国,36.0,0.667,40.0,0.35,0.35,,,
3576,白水勝也,0.381,全国,33.0,0.727,44.0,0.545,0.565,,,
3577,向所浩二,0.088,全国,29.0,0.172,32.0,0.156,,,,
3578,塩田雄一,0.132,全国,24.0,0.25,20.0,0.15,,,,
3579,中里優子,0.149,全国,27.0,0.296,22.0,0.091,,,,
3580,水口由紀,0.128,全国,32.0,0.188,23.0,0.087,,,,
3581,加木郁,0.142,全国,40.0,0.4,33.0,0.212,,,,
3582,吉川昭男,0.2,全国,40.0,0.5,40.0,0.325,0.455,,,
3583,齋藤智裕,0.081,全国,28.0,0.214,23.0,0.087,,,,
3584,佐々木英樹,0.212,全国,37.0,0.324,28.0,0.357,,,,
3587,武田信一,0.133,全国,35.0,0.229,32.0,0.094,,,,
3589,西村勝,0.094,全国,32.0,0.281,24.0,0.083,,,,
3590,濱野谷憲吾,0.2,全国,35.0,0.6,39.0,0.462,0.333,飛ぶ型,,
3591,後藤孝義,0.068,全国,21.0,0.048,17.0,0.176,,,,
3596,河上年昭,0.138,全国,28.0,0.25,25.0,0.12,,,,
3602,奥平拓也,0.21,全国,38.0,0.342,30.0,0.233,,,,
3604,武藤綾子,0.146,全国,31.0,0.129,28.0,0.179,,,,
3605,中村守成,0.083,全国,34.0,0.147,27.0,0.111,,,,
3606,川北浩貴,0.191,全国,35.0,0.429,35.0,0.171,0.581,,,
3611,岩崎芳美,0.236,全国,36.0,0.361,37.0,0.351,0.476,,,
3612,馬袋義則,0.2,全国,46.0,0.478,41.0,0.439,0.6,,,
3613,角谷健吾,0.197,全国,38.0,0.395,44.0,0.25,0.5,,,
3614,谷勝幸,0.079,全国,40.0,0.2,29.0,0.138,,,,
3615,横田茂,0.066,全国,33.0,0.152,33.0,0.061,,,,
3616,中村真,0.278,全国,32.0,0.5,30.0,0.4,,,,
3617,竹田広樹,0.07,全国,32.0,0.156,20.0,0.0,,,,
3618,海野ゆかり,0.198,全国,37.0,0.459,38.0,0.263,0.417,,,
3619,長谷川充,0.139,全国,31.0,0.323,32.0,0.125,,,,
3620,信濃由行,0.086,全国,32.0,0.156,27.0,0.111,,,,
3621,天野晶夫,0.211,全国,24.0,0.375,27.0,0.37,,,,
3623,深川真二,,,29.0,0.793,40.0,0.75,0.524,,,
3627,井上恵一,0.094,全国,31.0,0.129,34.0,0.235,,,,
3629,浅見昌克,0.196,全国,33.0,0.394,31.0,0.355,,,,
3630,黒田誠司,0.079,全国,23.0,0.043,18.0,0.056,,,,
3631,田添康介,0.138,全国,22.0,0.227,,,,,,
3635,石田政吾,0.154,全国,31.0,0.29,48.0,0.25,,,0.021,0.188
3637,齋藤和政,0.112,全国,34.0,0.118,23.0,0.174,,,,
3641,一瀬明,0.206,全国,42.0,0.5,38.0,0.289,,,,
3642,大塚浩二,0.13,全国,28.0,0.179,19.0,0.105,,,,
3643,米田隆弘,0.208,全国,34.0,0.382,31.0,0.065,,,,
3645,淺田千亜希,0.128,全国,16.0,0.312,15.0,0.333,,,,
3647,伊藤雄二,0.145,全国,44.0,0.136,29.0,0.069,,,,
3652,森下勇,0.106,全国,28.0,0.214,20.0,0.1,,,,
3653,品川賢次,0.255,全国,18.0,0.278,17.0,0.294,,,,
3654,武田光史,0.163,全国,29.0,0.655,33.0,0.394,,,,
3655,本橋克洋,0.194,全国,39.0,0.41,37.0,0.243,0.519,,,
3656,伯母芳恒,0.211,全国,30.0,0.367,26.0,0.269,,,,
3659,藤生雄人,0.266,全国,27.0,0.519,29.0,0.31,,,,
3660,長谷川親王,0.13,全国,37.0,0.162,23.0,0.13,,,,
3661,柳瀬興志,0.18,全国,36.0,0.25,41.0,0.244,0.4,,,
3662,大庭元明,0.119,全国,34.0,0.441,44.0,0.227,0.619,残す型,0.085,0.149
3663,木山和幸,0.234,全国,37.0,0.297,35.0,0.371,0.7,残す型,,
3664,鈴木賢一,0.16,全国,34.0,0.324,31.0,0.161,,,,
3679,飯島昌弘,0.27,全国,41.0,0.317,38.0,0.474,,,,
3680,森林太,0.127,全国,33.0,0.364,32.0,0.062,,,,
3681,山谷央,0.211,全国,20.0,0.4,23.0,0.174,,,,
3684,清水攻二,0.2,全国,27.0,0.444,34.0,0.206,,,,
3685,荒井輝年,0.24,全国,31.0,0.645,28.0,0.357,,,,
3686,鳥居塚孝博,0.237,全国,36.0,0.556,42.0,0.452,,,,
3687,花田和明,0.169,全国,30.0,0.3,27.0,0.259,,,,
3690,河合三弘,0.128,全国,39.0,0.308,31.0,0.129,,,,
3692,竹腰正樹,0.192,全国,28.0,0.25,35.0,0.2,,,,
3696,白井友晴,0.26,全国,40.0,0.45,27.0,0.148,,,,
3699,富永正人,0.18,全国,27.0,0.259,28.0,0.321,,,,
3701,大西隆洋,0.14,全国,32.0,0.188,25.0,0.2,,,,
3703,鳥飼眞,0.203,全国,27.0,0.37,31.0,0.419,0.409,,,
3704,本部めぐみ,0.088,全国,24.0,0.125,21.0,0.048,,,,
3708,岡部貴司,0.152,全国,36.0,0.278,28.0,0.143,,,,
3710,吉永泰弘,0.171,全国,39.0,0.308,29.0,0.276,,,,
3711,江本真治,0.198,全国,45.0,0.511,44.0,0.341,0.536,,0.098,0.122
3712,淺香文武,0.08,全国,29.0,0.207,28.0,0.25,,,,
3713,伊藤誠二,0.148,全国,35.0,0.343,39.0,0.231,,,,
3714,梶原正,0.14,全国,33.0,0.364,26.0,0.038,,,,
3715,倉尾大介,0.26,全国,26.0,0.308,21.0,0.381,,,,
3716,石渡鉄兵,0.165,全国,41.0,0.463,38.0,0.316,0.381,,,
3717,立間充宏,0.2,全国,29.0,0.414,36.0,0.278,,,,
3718,伊達正利,0.121,全国,34.0,0.206,31.0,0.097,,,,
3719,辻栄蔵,0.252,全国,40.0,0.575,44.0,0.432,,,,
3721,守田俊介,0.144,全国,35.0,0.371,41.0,0.415,,,,
3722,西村秀樹,0.129,全国,34.0,0.118,28.0,0.143,,,,
3726,桂林寛,0.111,全国,25.0,0.32,20.0,0.2,,,,
3730,塩崎優司,0.105,全国,42.0,0.262,26.0,0.115,,,,
3731,高濱芳久,0.165,全国,33.0,0.394,31.0,0.484,,,,
3737,上平真二,0.316,全国,33.0,0.636,33.0,0.364,,,,
3740,大澤普司,0.197,全国,43.0,0.535,41.0,0.512,0.682,残す型,0.1,0.2
3741,松尾基成,0.053,全国,32.0,0.156,24.0,0.0,,,,
3742,宮地秀祈,0.129,全国,32.0,0.344,25.0,0.12,,,,
3743,林美憲,0.188,全国,39.0,0.462,34.0,0.471,0.481,,,
3744,徳増秀樹,0.115,全国,41.0,0.293,42.0,0.381,,,,
3745,橋本年光,0.23,全国,28.0,0.393,24.0,0.375,,,,
3746,岡瀬正人,0.286,全国,37.0,0.432,48.0,0.375,0.4,,0.048,0.31
3747,國崎良春,0.21,全国,34.0,0.441,32.0,0.438,,,,
3748,小黒竜吾,0.108,全国,34.0,0.235,23.0,0.217,,,,
3752,宇土泰就,0.105,全国,31.0,0.226,26.0,0.115,,,,
3757,畑和宏,0.147,全国,32.0,0.469,26.0,0.346,,,,
3761,山本光雄,0.172,全国,34.0,0.5,31.0,0.129,,,,
3769,佐竹恒彦,0.212,全国,37.0,0.189,30.0,0.367,,,,
3771,折下寛法,0.248,全国,44.0,0.273,25.0,0.4,,,,
3772,一柳和孝,0.278,全国,29.0,0.414,29.0,0.276,,,,
3773,津留浩一郎,0.17,全国,34.0,0.176,29.0,0.103,,,,
3775,泉啓文,0.088,全国,39.0,0.179,31.0,0.097,,,,
3776,横井健太,0.089,全国,37.0,0.27,28.0,0.0,,,,
3777,樋口亮,0.2,全国,40.0,0.5,43.0,0.326,0.409,,0.071,0.167
3778,安達美帆,0.044,全国,26.0,0.077,17.0,0.0,,,,
3779,原田幸哉,0.145,全国,32.0,0.281,47.0,0.383,,,,
3783,瓜生正義,0.212,全国,42.0,0.452,39.0,0.359,0.414,,,
3784,中島友和,0.184,全国,31.0,0.355,29.0,0.172,,,,
3787,天野誠,0.065,全国,27.0,0.074,24.0,0.125,,,,
3788,一宮稔弘,0.087,全国,25.0,0.32,18.0,0.167,,,,
3790,佐口達也,0.191,全国,31.0,0.355,29.0,0.172,,,,
