regno,選手名,外3着率,外3着源,艇番5乗艇,艇番5率,艇番6乗艇,艇番6率,残し率,型,6コ2着率,6コ3着率
3963,原田秀弥,0.189,全国,36.0,0.417,41.0,0.293,0.318,飛ぶ型,,
3964,宮地博士,0.155,全国,36.0,0.278,26.0,0.077,,,,
3965,北中元樹,0.179,全国,34.0,0.471,44.0,0.341,0.545,,0.073,0.244
3966,作間章,0.296,全国,39.0,0.538,43.0,0.488,0.35,,,
3967,鈴木茂高,0.108,全国,34.0,0.176,26.0,0.115,,,,
3968,茶谷信次,0.311,全国,34.0,0.5,41.0,0.341,,,,
3973,崎利仁,0.164,全国,37.0,0.378,31.0,0.226,,,,
3974,深山祐二,0.138,全国,30.0,0.2,21.0,0.19,,,,
3975,小野寺智洋,0.231,全国,38.0,0.316,29.0,0.207,,,,
3976,内田圭,0.06,全国,34.0,0.206,26.0,0.038,,,,
3977,山本兼士,0.172,全国,35.0,0.257,32.0,0.188,,,,
3978,齊藤仁,0.208,全国,38.0,0.447,41.0,0.317,,,0.1,0.2
3981,今坂晃広,0.145,全国,38.0,0.211,29.0,0.103,,,,
3982,福田理,0.098,全国,34.0,0.176,24.0,0.042,,,,
3983,須藤博倫,0.211,全国,40.0,0.6,41.0,0.341,,,,
3984,坂口周,0.28,全国,41.0,0.585,44.0,0.364,,,,
3986,沖島広和,0.19,全国,21.0,0.381,24.0,0.125,,,,
3987,後藤正宗,0.237,全国,30.0,0.6,39.0,0.333,,,,
3988,古川誠之,0.21,全国,36.0,0.528,47.0,0.34,,,,
3989,熊本英一,0.122,全国,26.0,0.154,24.0,0.208,,,,
3990,芹澤克彦,0.117,全国,36.0,0.25,28.0,0.143,,,,
3992,関口智久,0.178,全国,29.0,0.241,27.0,0.444,,,,
3993,永井聖美,0.217,全国,33.0,0.364,22.0,0.273,,,,
3994,小野桜,0.211,全国,33.0,0.212,23.0,0.217,,,,
3995,重野哲之,0.277,全国,28.0,0.643,33.0,0.333,,,,
3997,北村征嗣,0.284,全国,52.0,0.519,36.0,0.361,0.476,,,
3998,冨成謙児,0.08,全国,40.0,0.25,28.0,0.036,,,,
3999,大瀧明日香,0.273,全国,41.0,0.366,38.0,0.421,0.6,,,
4000,松本博昭,0.272,全国,42.0,0.357,47.0,0.383,0.68,残す型,0.075,0.3
4002,古結宏,0.214,全国,37.0,0.459,38.0,0.605,0.45,,,
4003,表憲一,0.253,全国,34.0,0.382,32.0,0.406,,,,
4004,山本浩輔,0.225,全国,36.0,0.389,26.0,0.231,,,,
4005,瀬川公則,,,,,,,,,,
4006,小野勇作,0.163,全国,33.0,0.303,25.0,0.24,,,,
4007,榮田将彦,0.218,全国,28.0,0.357,26.0,0.154,,,,
4009,小林一樹,0.178,全国,29.0,0.379,34.0,0.265,,,,
4010,越智照浩,0.207,全国,31.0,0.194,21.0,0.238,,,,
4011,堀之内紀代子,0.198,全国,29.0,0.379,34.0,0.471,,,,
4012,中村有裕,0.153,全国,38.0,0.474,34.0,0.353,,,,
4013,中島孝平,0.2,全国,43.0,0.581,43.0,0.395,,,0.244,0.122
4014,片岡恵里,0.187,全国,32.0,0.375,37.0,0.324,,,,
4015,前野竜一,0.209,全国,37.0,0.459,42.0,0.286,0.364,,0.065,0.239
4016,西川新太郎,0.165,全国,29.0,0.414,32.0,0.219,,,,
4017,向井美鈴,0.25,全国,34.0,0.471,33.0,0.242,,,,
4019,笠原亮,0.193,全国,41.0,0.512,40.0,0.4,,,,
4020,川上清人,0.097,全国,34.0,0.176,27.0,0.185,,,,
4022,待鳥雄紀,0.1,全国,28.0,0.25,25.0,0.12,,,,
4023,柴田友和,0.097,全国,34.0,0.324,25.0,0.08,,,,
4024,井口佳典,0.2,全国,40.0,0.475,45.0,0.4,0.4,,,
4025,山本隆幸,0.229,全国,28.0,0.5,27.0,0.556,,,,
4027,松江秀徳,0.149,全国,28.0,0.393,28.0,0.179,,,,
4028,田村隆信,0.163,全国,37.0,0.378,33.0,0.364,,,,
4030,森高一真,0.252,全国,48.0,0.5,36.0,0.25,0.476,,,
4031,飯島誠,0.15,全国,35.0,0.286,31.0,0.129,,,,
4033,伊藤将吉,0.222,全国,37.0,0.432,40.0,0.4,,,,
4034,西原明生,0.059,全国,40.0,0.175,23.0,0.043,,,,
4035,杉江浩明,0.079,全国,46.0,0.196,27.0,0.185,,,,
4036,金田諭,0.229,全国,35.0,0.571,48.0,0.458,,,0.093,0.302
4039,村上功祐,0.165,全国,35.0,0.429,39.0,0.179,0.478,,,
4040,廣瀬将亨,0.21,全国,36.0,0.556,45.0,0.178,,,0.065,0.13
4041,小林基樹,0.169,全国,35.0,0.229,22.0,0.182,,,,
4042,丸岡正典,0.23,全国,37.0,0.622,47.0,0.34,0.409,,0.125,0.146
4043,桐本康臣,0.315,全国,38.0,0.579,35.0,0.4,0.5,,,
4044,湯川浩司,0.226,全国,35.0,0.286,32.0,0.406,,,,
4045,佐々木裕美,0.08,全国,34.0,0.235,20.0,0.15,,,,
4047,吉永浩則,0.09,全国,30.0,0.267,25.0,0.04,,,,
4049,荒川健太,0.328,全国,39.0,0.513,41.0,0.39,,,,
4050,田口節子,0.239,全国,34.0,0.647,41.0,0.439,,,0.146,0.22
4051,清水敦揮,0.32,全国,33.0,0.576,30.0,0.5,,,,
4052,興津藍,0.22,全国,44.0,0.455,41.0,0.146,,,0.025,0.1
4053,芦澤望,0.209,全国,35.0,0.543,36.0,0.278,,,,
4054,福嶋智之,0.126,全国,35.0,0.371,39.0,0.128,,,0.068,0.068
4055,吉田俊彦,0.218,全国,49.0,0.592,42.0,0.405,,,,
4056,小西英輝,0.35,全国,,,,,,,,
4057,松井賢治,0.179,全国,33.0,0.333,42.0,0.238,,,,
4058,野末智一,0.285,全国,41.0,0.512,40.0,0.35,0.48,,,
4059,入澤友治,0.125,全国,27.0,0.407,32.0,0.281,,,,
4060,島田一生,0.12,全国,36.0,0.194,30.0,0.2,,,,
4061,萩原秀人,0.26,全国,41.0,0.561,45.0,0.467,,,0.119,0.167
4062,後藤陽介,0.118,全国,30.0,0.167,31.0,0.129,,,,
4063,市橋卓士,0.266,全国,47.0,0.596,40.0,0.425,,,,
4064,原田篤志,0.273,全国,34.0,0.559,46.0,0.5,,,,
4065,金田幸子,0.151,全国,28.0,0.393,28.0,0.321,,,,
4066,東本勝利,0.35,全国,36.0,0.528,39.0,0.436,,,,
4067,永井源,0.187,全国,40.0,0.55,35.0,0.4,0.455,,,
4068,幸田智裕,0.262,全国,40.0,0.275,29.0,0.276,,,,
4069,山本修一,0.303,全国,41.0,0.39,38.0,0.5,0.45,,,
4071,古賀千晶,0.093,全国,28.0,0.107,20.0,0.25,,,,
4072,森永淳,0.175,全国,39.0,0.538,25.0,0.48,,,,
4073,大橋純一郎,0.229,全国,40.0,0.425,44.0,0.5,,,0.268,0.146
4074,柳沢一,0.277,全国,36.0,0.556,36.0,0.444,,,,
4075,中野次郎,0.189,全国,40.0,0.5,37.0,0.27,,,,
4076,杉田篤光,0.232,全国,44.0,0.295,38.0,0.263,0.5,,,
4077,品田直樹,0.193,全国,42.0,0.214,35.0,0.2,,,,
4079,出畑孝典,0.205,全国,41.0,0.415,44.0,0.25,0.5,,,
4080,山崎哲司,0.192,全国,,,,,,,,
4081,樋口範政,0.148,全国,39.0,0.179,31.0,0.194,,,,
4082,濱崎誠,0.195,全国,39.0,0.359,35.0,0.314,,,,
4083,福島勇樹,0.235,全国,45.0,0.711,40.0,0.55,,,,
4084,杉山正樹,0.211,全国,43.0,0.535,49.0,0.306,,,0.111,0.156
4085,荻野裕介,0.238,全国,27.0,0.556,25.0,0.36,,,,
4086,寺本重宣,0.179,全国,39.0,0.436,40.0,0.175,0.333,飛ぶ型,,
4089,妹尾忠幸,0.31,全国,37.0,0.676,46.0,0.413,,,0.091,0.273
4090,中村尊,0.172,全国,29.0,0.483,36.0,0.361,,,,
4092,岡部大輔,0.188,全国,30.0,0.367,27.0,0.222,,,,
4093,吉田宗弘,0.108,全国,39.0,0.154,24.0,0.083,,,,
4094,中島真二,0.184,全国,31.0,0.161,29.0,0.241,,,,
4095,福来剛,0.189,全国,38.0,0.632,39.0,0.615,,,,
4096,石橋道友,0.234,全国,36.0,0.472,36.0,0.556,,,,
4097,貫地谷直人,0.146,全国,33.0,0.303,23.0,0.174,,,,
4098,赤澤文香,0.136,全国,29.0,0.207,27.0,0.259,,,,
4099,吉永則雄,0.228,全国,30.0,0.3,39.0,0.513,,,,
4100,松田隆司,0.161,全国,34.0,0.294,31.0,0.161,,,,
4102,益田啓司,0.213,全国,44.0,0.591,39.0,0.436,,,0.159,0.25
4103,山崎善庸,0.182,全国,30.0,0.233,26.0,0.154,,,,
4104,木下陽介,0.147,全国,30.0,0.367,29.0,0.172,,,,
4105,松下直也,0.239,全国,33.0,0.333,39.0,0.282,0.345,,,
4106,坂井康嗣,0.111,全国,31.0,0.29,18.0,0.111,,,,
4108,吉村正明,0.128,全国,36.0,0.389,38.0,0.316,,,,
4109,谷津幸宏,0.221,全国,38.0,0.368,46.0,0.37,,,,
4110,小澤和也,0.115,全国,32.0,0.312,22.0,0.227,,,,
4111,奥田誠,0.179,全国,37.0,0.378,30.0,0.3,,,,
4112,大久保信一郎,0.227,全国,37.0,0.351,31.0,0.323,,,,
4113,木村浩士,0.174,全国,34.0,0.235,29.0,0.276,,,,
4114,深澤達徳,0.23,全国,29.0,0.31,29.0,0.31,,,,
4116,川田正人,0.195,全国,33.0,0.485,34.0,0.088,,,,
4117,廣中智紗衣,0.287,全国,35.0,0.486,28.0,0.536,0.5,,,
4118,宇佐見淳,0.248,全国,45.0,0.489,43.0,0.326,0.682,残す型,0.047,0.279
4119,泥谷一毅,0.226,全国,40.0,0.275,34.0,0.353,,,,
4120,柘植政浩,0.218,全国,40.0,0.525,44.0,0.182,,,,
4121,富永修一,0.215,全国,30.0,0.367,40.0,0.3,,,0.024,0.214
4122,安東幸治,0.264,全国,45.0,0.4,40.0,0.325,0.385,,,
4123,細川裕子,0.301,全国,40.0,0.6,39.0,0.513,0.478,,,
4124,池田雄一,0.321,全国,31.0,0.419,44.0,0.409,,,,
4128,川口貴久,0.21,全国,41.0,0.488,35.0,0.171,,,,
4129,宇野博之,0.091,全国,34.0,0.206,28.0,0.107,,,,
4131,原豊土,0.19,全国,34.0,0.441,31.0,0.29,,,,
4133,高橋正男,0.227,全国,34.0,0.441,38.0,0.474,0.524,,,
4134,杉山貴博,0.225,全国,39.0,0.436,38.0,0.474,0.522,,,
4136,江夏満,0.291,全国,26.0,0.538,31.0,0.484,,,,
4137,君島秀三,0.242,全国,35.0,0.514,41.0,0.39,,,0.125,0.175
4138,中井俊祐,0.109,全国,35.0,0.314,27.0,0.148,,,,
4139,丹下健,0.137,全国,31.0,0.29,28.0,0.179,,,,
4140,梶野学志,0.225,全国,31.0,0.387,32.0,0.344,,,,
4142,平野和明,0.248,全国,38.0,0.316,30.0,0.167,0.522,,,
4143,浦田晃嗣,0.1,全国,32.0,0.156,20.0,0.1,,,,
4144,石塚久也,0.216,全国,39.0,0.487,36.0,0.333,,,,
4145,小澤学,0.211,全国,33.0,0.182,22.0,0.091,,,,
4146,柳橋宏紀,0.181,全国,40.0,0.425,31.0,0.29,,,,
4148,枝尾賢,0.24,全国,42.0,0.357,44.0,0.5,0.545,,,
4150,山田雄太,0.216,全国,35.0,0.457,36.0,0.167,,,,
4151,下河誉史,0.206,全国,39.0,0.256,34.0,0.382,0.35,,,
4152,深水慎一郎,0.099,全国,28.0,0.214,32.0,0.25,,,,
4154,森安弘雅,0.198,全国,31.0,0.419,35.0,0.171,,,,
4155,長野壮志郎,0.178,全国,36.0,0.417,33.0,0.394,0.5,,,
4156,浜野孝志,0.215,全国,38.0,0.395,37.0,0.27,0.385,,,
4158,木場雄二郎,0.2,全国,36.0,0.222,30.0,0.333,,,,
4159,向後龍一,0.234,全国,44.0,0.477,40.0,0.275,0.609,残す型,,
4161,黒柳浩孝,0.181,全国,34.0,0.324,34.0,0.353,0.522,,,
4162,竹本太樹,0.135,全国,16.0,0.5,,,,,,
4163,山崎裕司,0.16,全国,44.0,0.432,44.0,0.068,0.45,,,
4164,岩永節也,0.143,全国,28.0,0.25,25.0,0.12,,,,
4166,吉田拡郎,0.277,全国,39.0,0.436,46.0,0.5,,,0.093,0.372
4167,片岡秀樹,0.212,全国,31.0,0.355,35.0,0.086,,,0.05,0.05
4168,石野貴之,0.183,全国,47.0,0.617,36.0,0.361,,,,
4169,多田有佑,0.074,全国,31.0,0.161,28.0,0.071,,,,
4171,榎幸司,0.209,全国,38.0,0.289,48.0,0.458,0.45,,0.125,0.25
4172,森定晃史,0.248,全国,42.0,0.571,42.0,0.381,0.577,,0.125,0.25
4173,岡谷健吾,0.14,全国,38.0,0.263,29.0,0.379,,,,
4174,赤坂俊輔,0.212,全国,41.0,0.439,42.0,0.476,0.261,飛ぶ型,,
4175,川尻泰輔,0.186,全国,33.0,0.455,28.0,0.286,,,,
4176,樋口喜彦,0.119,全国,27.0,0.185,,,,,,
4177,萬正嗣,0.165,全国,23.0,0.261,31.0,0.161,,,,
4179,広次修,0.328,全国,40.0,0.55,38.0,0.368,,,,
4180,上野秀和,0.226,全国,37.0,0.378,31.0,0.258,,,,
4181,花本夏樹,0.128,全国,32.0,0.062,21.0,0.19,,,,
4182,吉田和仁,0.169,全国,35.0,0.371,34.0,0.118,,,,
4183,宇野弥生,0.136,全国,29.0,0.172,35.0,0.143,,,,
4184,渡邊雄一郎,0.306,全国,28.0,0.75,33.0,0.515,,,,
4186,小川時光,0.093,全国,30.0,0.067,23.0,0.087,,,,
4188,久田敏之,0.182,全国,38.0,0.632,39.0,0.667,,,,
4189,川上剛,0.219,全国,37.0,0.351,41.0,0.463,,,,
4190,長嶋万記,0.233,全国,23.0,0.565,20.0,0.55,,,,
4191,赤羽克也,0.219,全国,33.0,0.636,33.0,0.303,,,,
4193,郷原章平,0.205,全国,43.0,0.302,42.0,0.214,,,,
4195,前川守嗣,0.159,全国,37.0,0.243,32.0,0.312,,,,
4196,田中太一郎,0.134,全国,41.0,0.195,29.0,0.103,,,,
4197,渥美卓郎,0.086,全国,37.0,0.135,26.0,0.115,,,,
4199,北川潤二,0.227,全国,41.0,0.463,45.0,0.622,,,,
4200,早川尚人,0.12,全国,38.0,0.158,29.0,0.31,,,,
4201,佐竹友樹,0.152,全国,31.0,0.452,29.0,0.103,,,,
4202,浮田圭浩,0.176,全国,36.0,0.222,33.0,0.182,,,,
4203,小倉康典,0.122,全国,33.0,0.152,25.0,0.2,,,,
4204,柴田大輔,0.09,全国,36.0,0.222,28.0,0.179,,,,
4205,山口剛,0.227,全国,29.0,0.69,35.0,0.457,,,,
4207,松下一也,0.152,全国,35.0,0.286,42.0,0.381,,,,
4208,三浦永理,0.295,全国,43.0,0.698,38.0,0.447,,,,
4209,藤田竜弘,0.266,全国,41.0,0.366,35.0,0.4,0.385,,,
4210,松村康太,0.342,全国,37.0,0.459,39.0,0.462,0.483,,,
4211,村田敦,0.149,全国,35.0,0.286,23.0,0.13,,,,
4213,重富伸也,0.078,全国,40.0,0.375,48.0,0.271,,,0.074,0.059
4214,林祐介,0.245,全国,36.0,0.278,35.0,0.343,,,,
4215,吉島祥之,0.205,全国,38.0,0.605,50.0,0.36,0.269,飛ぶ型,0.111,0.244
4216,星栄爾,0.169,全国,45.0,0.289,35.0,0.171,,,0.049,0.122
4218,吉川喜継,0.228,全国,42.0,0.524,42.0,0.548,,,,
4219,本岡勝利,0.147,全国,40.0,0.225,23.0,0.13,,,,
4220,深川和仁,0.1,全国,32.0,0.219,29.0,0.172,,,,
4224,大橋栄里佳,0.227,全国,36.0,0.333,37.0,0.27,,,,
4225,土屋千明,0.212,全国,29.0,0.345,32.0,0.344,,,,
4226,村田浩司,0.153,全国,37.0,0.243,29.0,0.172,,,,
4227,安達裕樹,0.216,全国,40.0,0.375,34.0,0.324,,,,
4228,吉田慎二郎,0.279,全国,35.0,0.343,45.0,0.467,0.5,,0.114,0.295
4229,市川美宏,0.19,全国,31.0,0.258,26.0,0.231,,,,
4230,濱崎直矢,0.219,全国,34.0,0.441,32.0,0.5,,,,
4231,鈴木裕隆,0.214,全国,40.0,0.375,34.0,0.294,0.429,,,
4232,笠雅雄,0.175,全国,36.0,0.417,27.0,0.296,,,,
4233,亀山雅幸,0.227,全国,45.0,0.444,40.0,0.45,0.381,,,
4234,野相弘司,0.189,全国,35.0,0.2,21.0,0.048,,,,
4236,松村敏,0.444,当地,41.0,0.756,40.0,0.625,,,,
4237,大峯豊,0.261,全国,38.0,0.526,39.0,0.487,,,,
4238,毒島誠,0.333,全国,25.0,0.76,26.0,0.808,,,,
4239,竹田辰也,0.153,全国,34.0,0.529,39.0,0.282,,,,
4240,今井裕梨,0.224,全国,34.0,0.471,36.0,0.25,,,,
4241,大串重幸,0.246,全国,38.0,0.447,38.0,0.342,,,,
4243,西村歩,0.202,全国,41.0,0.439,35.0,0.286,0.524,,,
4244,鈴木成美,0.058,全国,28.0,0.143,19.0,0.053,,,,
4245,高橋直哉,0.115,全国,32.0,0.156,31.0,0.226,,,,
4246,喜多那由夏,0.101,全国,34.0,0.206,28.0,0.071,,,,
4247,齊藤優,0.206,全国,37.0,0.378,30.0,0.2,,,,
4248,岡本大,0.191,全国,36.0,0.306,21.0,0.286,,,,
4251,川崎誠志,0.142,全国,45.0,0.311,29.0,0.207,,,,
4252,松下哲也,0.204,全国,37.0,0.324,27.0,0.074,,,,
4253,西川真人,0.195,全国,40.0,0.225,25.0,0.08,,,,
4254,川島圭司,0.175,全国,31.0,0.258,31.0,0.323,,,,
4256,渡辺浩司,0.3,全国,35.0,0.571,41.0,0.537,,,0.2,0.275
4257,古川健,0.115,全国,28.0,0.357,23.0,0.13,,,,
4258,関根彰人,0.103,全国,27.0,0.185,29.0,0.207,,,,
4259,真庭明志,0.242,全国,41.0,0.415,36.0,0.306,,,,
4260,中越博紀,0.151,全国,43.0,0.395,39.0,0.282,,,0.14,0.14
4261,岡祐臣,0.24,全国,39.0,0.359,51.0,0.431,,,0.149,0.191
4262,馬場貴也,0.202,全国,38.0,0.474,43.0,0.395,,,,
4263,武重雄介,0.143,全国,32.0,0.344,32.0,0.062,,,,
4264,長尾章平,0.246,全国,32.0,0.688,40.0,0.525,0.35,,,
4266,長田頼宗,0.212,全国,36.0,0.444,37.0,0.351,,,,
4268,和合俊介,0.136,全国,20.0,0.2,17.0,0.118,,,,
4269,杉山裕也,0.221,全国,42.0,0.595,43.0,0.395,0.636,残す型,,
4270,岸本雄貴,0.149,全国,34.0,0.235,26.0,0.231,,,,
4271,川崎公靖,0.165,全国,36.0,0.361,24.0,0.25,,,,
4272,大場広孝,0.189,全国,28.0,0.321,26.0,0.231,,,,
4273,佐藤旭,0.202,全国,39.0,0.385,36.0,0.194,,,,
4274,長畑友輔,0.216,全国,29.0,0.345,29.0,0.138,,,,
4275,菅野はやか,0.063,全国,23.0,0.087,19.0,0.158,,,,
4276,鈴木勝博,0.164,全国,32.0,0.594,45.0,0.289,,,,
4277,金田大輔,0.124,全国,32.0,0.344,28.0,0.143,,,,
4278,藤岡俊介,0.198,全国,41.0,0.317,43.0,0.442,,,,
4281,大澤大夢,0.212,全国,31.0,0.387,23.0,0.217,,,,
4283,石井裕美,0.167,全国,30.0,0.2,22.0,0.273,,,,
4286,平田さやか,0.186,全国,45.0,0.333,45.0,0.311,0.71,残す型,,
4287,今井貴士,0.23,全国,34.0,0.324,42.0,0.5,,,0.214,0.286
4288,永田啓二,0.208,全国,42.0,0.595,38.0,0.632,0.6,,,
4289,落合直子,0.195,全国,39.0,0.333,33.0,0.273,,,,
4290,稲田浩二,0.23,全国,39.0,0.513,37.0,0.351,,,,
4292,麻生慎介,0.261,全国,36.0,0.528,37.0,0.432,0.476,,,
4293,鈴木智啓,0.164,全国,35.0,0.343,41.0,0.22,0.5,,0.023,0.14
4294,古賀繁輝,0.208,全国,34.0,0.529,38.0,0.447,,,,
4295,小坂尚哉,0.277,全国,44.0,0.591,38.0,0.553,,,,
4296,岡崎恭裕,0.221,全国,29.0,0.414,27.0,0.519,,,,
4297,山田哲也,0.156,全国,41.0,0.561,38.0,0.395,,,,
4298,宮下元胤,0.289,全国,41.0,0.439,38.0,0.5,0.519,,,
4299,中島浩哉,0.18,全国,35.0,0.314,21.0,0.143,,,,
4300,加藤綾,0.202,全国,35.0,0.343,31.0,0.194,,,,
4301,関裕也,0.184,全国,32.0,0.5,24.0,0.292,,,,
4302,西野翔太,0.138,全国,39.0,0.513,33.0,0.667,,,,
4303,牧原崇,0.18,全国,32.0,0.312,34.0,0.147,,,,
4305,金子拓矢,0.278,全国,32.0,0.781,39.0,0.641,,,,
4306,畔柳俊吾,0.176,全国,31.0,0.419,32.0,0.125,,,,
4308,河村了,0.327,全国,37.0,0.622,36.0,0.583,,,,
4311,岡村仁,0.252,全国,35.0,0.543,44.0,0.523,,,,
4313,西村美智子,0.171,全国,23.0,0.348,31.0,0.226,,,,
4314,青木幸太郎,0.164,全国,35.0,0.314,38.0,0.342,,,,
4315,山崎昂介,0.158,全国,37.0,0.378,26.0,0.038,,,,
4317,木村紗友希,0.091,全国,37.0,0.189,27.0,0.111,,,,
4318,桑原将光,0.31,全国,36.0,0.472,35.0,0.343,0.273,飛ぶ型,0.05,0.275
4319,三宅潤,0.209,全国,52.0,0.423,39.0,0.256,0.45,,0.125,0.15
4320,峰竜太,0.302,全国,31.0,0.645,31.0,0.71,,,,
4323,山田佑樹,0.176,全国,32.0,0.344,31.0,0.355,,,,
4324,海野康志郎,0.131,全国,47.0,0.532,49.0,0.592,,,,
4325,新出浩司,0.233,全国,29.0,0.345,25.0,0.16,,,,
4327,加藤翔,0.202,全国,34.0,0.206,30.0,0.167,,,,
4329,小松卓司,0.207,全国,36.0,0.278,29.0,0.103,,,,
4330,奈須啓太,0.205,全国,38.0,0.579,38.0,0.158,,,,
4331,三好勇人,0.188,全国,40.0,0.35,32.0,0.281,,,,
4332,村上彰一,0.165,全国,27.0,0.222,23.0,0.174,,,,
4335,若林将,0.27,全国,35.0,0.629,39.0,0.513,,,,
4336,松田竜馬,0.11,全国,35.0,0.229,37.0,0.162,,,,
4337,平本真之,0.205,全国,46.0,0.609,44.0,0.455,,,,
4339,平瀬城啓,0.23,全国,39.0,0.154,28.0,0.179,,,,
4340,土性雅也,0.036,全国,,,,,,,,
4342,谷野錬志,0.235,全国,28.0,0.536,32.0,0.375,,,,
4343,村岡賢,0.163,全国,36.0,0.25,27.0,0.185,,,,
4344,新田雄史,0.235,全国,31.0,0.677,34.0,0.529,,,,
4345,西舘健,0.14,全国,32.0,0.375,43.0,0.256,0.571,,0.214,0.048
4346,前田健太郎,0.117,全国,36.0,0.278,35.0,0.2,,,0.05,0.175
4347,魚谷香織,0.225,全国,32.0,0.406,37.0,0.351,,,,
4348,宮崎奨,0.254,全国,39.0,0.462,41.0,0.341,0.48,,0.1,0.225
4349,犬童千秋,0.09,全国,33.0,0.212,24.0,0.208,,,,
4350,篠崎元志,0.2,全国,41.0,0.439,41.0,0.537,,,,
4351,里岡右貴,0.269,全国,34.0,0.676,53.0,0.491,0.4,,0.13,0.261
4352,下條雄太郎,0.237,全国,25.0,0.56,33.0,0.424,,,,
4355,小川広大,0.059,全国,24.0,0.083,21.0,0.048,,,,
4356,長岡良也,0.194,全国,34.0,0.529,35.0,0.257,,,,
4357,田中和也,0.27,全国,42.0,0.81,47.0,0.468,0.556,,,
4358,松本庸平,0.101,全国,30.0,0.167,28.0,0.071,,,,
4359,横川聖志,0.172,全国,31.0,0.387,35.0,0.314,,,,
4360,庄司孝輔,0.216,全国,40.0,0.425,36.0,0.444,0.286,飛ぶ型,,
4361,柳生泰二,0.228,全国,28.0,0.643,40.0,0.55,,,,
4362,土屋智則,0.217,全国,30.0,0.5,35.0,0.4,0.56,,,
4363,大野芳顕,0.285,全国,43.0,0.326,42.0,0.405,0.524,,0.025,0.325
4364,池永太,0.218,全国,36.0,0.389,36.0,0.472,,,,
4365,盛本真輔,0.112,全国,34.0,0.353,35.0,0.171,,,,
4366,前沢丈史,0.301,全国,47.0,0.66,42.0,0.405,0.5,,,
4367,山口修路,0.222,全国,29.0,0.345,26.0,0.231,,,,
4368,山口隆史,0.125,全国,32.0,0.25,23.0,0.087,,,,
4369,丹下将,0.172,全国,38.0,0.474,47.0,0.255,0.458,,0.075,0.125
4370,山口達也,0.204,全国,39.0,0.513,39.0,0.436,0.273,飛ぶ型,,
4371,西山貴浩,0.139,全国,33.0,0.364,36.0,0.333,,,,
4372,原田佑実,0.208,全国,35.0,0.343,24.0,0.292,,,,
4373,若狭奈美子,0.272,全国,29.0,0.379,42.0,0.405,0.538,,,
4374,永田義紘,0.133,全国,37.0,0.135,31.0,0.258,,,,
4375,照屋厚仁,0.238,全国,41.0,0.341,42.0,0.429,0.619,残す型,,
4376,藤田靖弘,0.159,全国,40.0,0.3,47.0,0.234,,,0.104,0.104
4377,濱本優一,0.25,全国,46.0,0.522,43.0,0.488,,,0.106,0.319
4379,桑島和宏,0.24,全国,45.0,0.444,39.0,0.385,0.478,,,
4380,鈴木峻佑,0.1,全国,32.0,0.188,31.0,0.194,,,,
4381,田路朋史,0.164,全国,43.0,0.372,33.0,0.182,0.435,,,
4382,高山智至,0.243,全国,37.0,0.243,31.0,0.258,,,,
4383,竹田吉行,0.218,全国,35.0,0.371,32.0,0.188,0.643,残す型,,
4384,鶴本崇文,0.291,全国,41.0,0.634,40.0,0.25,0.615,残す型,,
4385,鈴木祐美子,0.107,全国,20.0,0.05,16.0,0.25,,,,
4387,平山智加,0.269,全国,39.0,0.462,33.0,0.424,0.429,,,
4388,是澤孝宏,0.275,全国,44.0,0.545,47.0,0.298,0.478,,0.071,0.143
4389,伊藤喜智,0.224,全国,33.0,0.515,30.0,0.1,,,,
4390,松本弓雄,0.15,全国,41.0,0.317,27.0,0.148,,,,
4391,松田祐季,0.193,全国,39.0,0.564,45.0,0.356,,,,
4393,田中孝明,0.152,全国,31.0,0.194,29.0,0.138,,,,
4394,永嶋裕一,0.343,全国,35.0,0.514,33.0,0.394,,,,
4395,下河雅史,0.231,当地,40.0,0.3,38.0,0.105,0.348,,,
4396,大田直弥,0.211,全国,33.0,0.212,33.0,0.303,,,,
4397,西村拓也,0.185,全国,45.0,0.622,38.0,0.474,,,,
4398,船岡洋一郎,0.152,全国,42.0,0.5,41.0,0.268,,,0.1,0.075
4400,加藤奈月,0.178,全国,28.0,0.25,28.0,0.25,,,,
4401,小林泰,0.183,全国,33.0,0.333,31.0,0.29,,,,
4402,乙藤智史,0.175,全国,35.0,0.4,38.0,0.237,,,,
4403,木下大將,0.209,全国,38.0,0.579,30.0,0.267,,,,
4404,岸蔭亮,0.075,全国,32.0,0.219,26.0,0.038,,,,
4405,南野利騰,0.213,全国,34.0,0.353,25.0,0.12,,,,
4406,幸野史明,0.134,全国,40.0,0.275,31.0,0.161,,,0.022,0.067
4407,鹿島敏弘,0.218,全国,34.0,0.324,34.0,0.118,,,,
4408,仁科さやか,0.062,全国,30.0,0.233,21.0,0.048,,,,
4409,坂元浩仁,0.231,全国,35.0,0.486,36.0,0.361,,,,
4410,井上大輔,0.127,全国,39.0,0.231,27.0,0.333,,,,
4411,沢田昭宏,0.213,全国,40.0,0.45,42.0,0.19,,,0.047,0.116
4413,水摩敦,0.214,全国,38.0,0.447,45.0,0.467,0.292,飛ぶ型,,
4414,大澤真菜,0.075,全国,31.0,0.129,18.0,0.056,,,,
4415,下出卓矢,0.094,全国,45.0,0.4,41.0,0.341,,,0.143,0.061
4416,三宅健太,0.168,全国,34.0,0.265,36.0,0.194,,,,
4417,服部剛,0.157,全国,34.0,0.412,24.0,0.25,,,,
